,Announced,Call records,Resolution,Price,Infrared port,Keyboard,Chipset,_3,CPU,Technology,Model Image,Alert types,Phonebook,Video_1,WLAN,Games,GPRS,NFC,Messaging,Talk time,OS,USB,EDGE,Features,Status,3G bands,Positioning,Radio,Bluetooth,Brand,Sensors,_1,Video,Speed,Features_1,Dimensions,Single,Colors,3.5mm jack,SIM,Size,Weight,Type_1,Internal,2G bands,Browser,Loudspeaker,_2,GPU,Single_1,Model Name,Type,Card slot,4G bands,Java,Stand-by
eMMC 4.5,"2015, May. Released 2015, May",,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,,,Qualcomm MSM8939 Snapdragon 615 (28 nm),,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/benq-f52.jpg,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,Yes,,Up to 24 h (3G),Android 5.0 (Lollipop),microUSB 2.0,,"LED flash, HDR, panorama",Discontinued,HSDPA 850 / 900 / 1900 / 2100,GPS,No,"4.0, A2DP",BenQ,"Accelerometer, proximity, compass",,Yes,"HSPA, LTE Cat4 150/50 Mbps",LED flash,147 x 74.5 x 9.3 mm (5.79 x 2.93 x 0.37 in),"13 MP, AF","Glam Pink, Chic Gray",Yes,Micro-SIM,"5.2 inches, 74.5 cm2(~68.1% screen-to-body ratio)",142 g (5.01 oz),"Li-Ion 2500 mAh, removable",16GB 2GB RAM,GSM 850 / 900 / 1800 / 1900,,Yes,,Adreno 405,8 MP,BenQ F52,IPS LCD,microSDXC (dedicated slot),LTE 700 / 900 / 1800,,Up to 580 h (3G)
,"2014, October. Released 2014, October",,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,Mediatek MT6582 (28 nm),,Quad-core 1.3 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/benq-b502.jpg,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,No,,Up to 11 h (3G),Android 4.4.2 (KitKat),microUSB 2.0,,LED flash,Discontinued,HSDPA 900 / 2100,GPS,FM radio,"3.0, A2DP",BenQ,"Accelerometer, proximity",,Yes,HSPA 21.1/5.76 Mbps,,144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in),"13 MP, AF","Black, White",Yes,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2(~68.7% screen-to-body ratio)",125 g (4.41 oz),"Li-Ion 1800 mAh, non-removable",16GB 2GB RAM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,Yes,,Mali-400MP2,5 MP,BenQ B502,IPS LCD,microSDHC,,,Up to 430 h (3G)
eMMC 4.5,"2014, September. Released 2014, September",,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",About 80 EUR,,,Qualcomm MSM8926 Snapdragon 400 (28 nm),,Quad-core 1.2 GHz Cortex-A7,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/benq-t3.jpg,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,No,,Up to 15 h (3G),Android 4.4.2 (KitKat),microUSB 2.0,,"LED flash, HDR, panorama",Discontinued,HSDPA 850 / 900 / 1900 / 2100,GPS,FM radio,"4.0, A2DP",BenQ,"Accelerometer, gyro, proximity, compass",,Yes,"HSPA, LTE Cat4 150/50 Mbps",,131.9 x 66.7 x 8.5 mm (5.19 x 2.63 x 0.33 in),"8 MP, AF","Black, White, Green",Yes,Micro-SIM,"4.5 inches, 55.8 cm2(~63.5% screen-to-body ratio)",128 g (4.52 oz),"Li-Ion 1840 mAh, non-removable",4GB 1GB RAM,GSM 850 / 900 / 1800 / 1900,,Yes,,Adreno 305,VGA,BenQ T3,IPS LCD,microSDXC (dedicated slot),"3, 7",,Up to 450 h (3G)
eMMC 4.5,"2014, September. Released 2014, September",,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",About 100 EUR,,,Qualcomm MSM8926 Snapdragon 400 (28 nm),,Quad-core 1.2 GHz Cortex-A7,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/benq-f5.jpg,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",,,Yes,,Up to 24 h (3G),Android 4.4.2 (KitKat),microUSB 2.0,,"LED flash, HDR, panorama",Discontinued,HSDPA 850 / 900 / 1900 / 2100,GPS,FM radio,"4.0, A2DP",BenQ,"Accelerometer, gyro, proximity, compass",,Yes,"HSPA, LTE Cat4 150/50 Mbps",,143 x 72.8 x 8.5 mm (5.63 x 2.87 x 0.33 in),"13 MP, AF","Black, White",Yes,Micro-SIM,"5.0 inches, 68.9 cm2(~66.2% screen-to-body ratio)",135 g (4.76 oz),"Li-Ion 2520 mAh, non-removable",16GB 2GB RAM,GSM 850 / 900 / 1800 / 1900,,Yes,,Adreno 305,2 MP,BenQ F5,IPS LCD,microSDXC (dedicated slot),"3, 7",,Up to 550 h (3G)
,"2013, November. Released 2013, November",,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",About 200 EUR,,,Mediatek MT6589 (28 nm),,Quad-core 1.2 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/benq-f3.jpg,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",,,No,,,Android 4.2.2 (Jelly Bean),microUSB 2.0,,"LED flash, HDR, panorama",Discontinued,HSDPA 900 / 2100,GPS,FM radio,Yes,BenQ,"Accelerometer, gyro, proximity, compass",,Yes,HSPA 42.2/11.5 Mbps,,131.6 x 66.9 x 8.9 mm (5.18 x 2.63 x 0.35 in),"13 MP, AF","White, Red",Yes,Micro-SIM,"4.5 inches, 55.8 cm2(~63.4% screen-to-body ratio)",119 g (4.20 oz),"Li-Ion 2100 mAh, removable",4GB 1GB RAM,GSM 850 / 900 / 1800 / 1900,,Yes,,PowerVR SGX544,2 MP,BenQ F3,IPS LCD,microSDHC (dedicated slot),,,
,"2013, November. Released 2013, November",,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",About 150 EUR,,,Qualcomm MSM8225Q Snapdragon S4 Play,,Quad-core 1.2 GHz Cortex-A5,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/benq-a3.jpg,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",,,No,,,Android 4.1.2 (Jelly Bean),microUSB 2.0,,LED flash,Discontinued,HSDPA 900 / 2100,GPS,Stereo FM radio,Yes,BenQ,"Accelerometer, proximity, compass",,Yes,HSPA 7.2/5.76 Mbps,,133.9 x 66 x 10 mm (5.27 x 2.60 x 0.39 in),"8 MP, AF","Black, White",Yes,Mini-SIM,"4.5 inches, 55.8 cm2(~63.2% screen-to-body ratio)",135 g (4.76 oz),"Li-Ion 2000 mAh, removable",4GB 1GB RAM,GSM 850 / 900 / 1800 / 1900,,Yes,,Adreno 203,2 MP,BenQ A3,IPS LCD,microSDHC (dedicated slot),,,
"WallpapersSecond external 1-inch 65K CSTN display, 96 x 64 pixels","2008, July. Released 2008, July",Yes,176 x 220 pixels (~141 ppi density),,,,,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/benq-e55.jpg,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,,No,Yes,,,"SMS, EMS, MMS, Email",Up to 2 h 40 min,,1.2,,,Discontinued,UMTS 2100,No,No,"1.2, A2DP",BenQ,,MP3/MP4 playerOrganizerVoice memo,Yes,"Yes, 384 kbps",,94 x 48 x 19 mm (3.70 x 1.89 x 0.75 in),2 MP,"Red, Brown",No,Mini-SIM,"2.0 inches, 12.6 cm2(~27.9% screen-to-body ratio)",95 g (3.35 oz),Removable Li-Ion 900 mAh battery,45MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,,,VGA videocall camera,BenQ E55,"TFT, 256K colors",microSD (dedicated slot),,"Yes, MIDP 2.0",Up to 180 h
No,"2008, April. Released 2008","10 dialed, 10 received, 10 missed calls",176 x 220 pixels (~141 ppi density),,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-c36.jpg,"Vibration; Downloadable polyphonic, MP3, AAC, WAV, AMR, MIDI ringtones, composer",Yes,,No,Yes,Class 12,,"SMS, EMS, MMS",Up to 2 h 40 min,,1.1,No,,Discontinued,,No,FM radio; scheduled recording,No,BenQ,,Dedicated music keys,Yes,,,108 x 47.2 x 14.2 mm (4.25 x 1.86 x 0.56 in),1.3 MP,Lustrous Blue,No,Mini-SIM,"2.0 inches, 12.6 cm2(~24.7% screen-to-body ratio)",78 g (2.75 oz),Removable Li-Ion 640 mAh battery,,GSM 900 / 1800,WAP 2.0/xHTML,Yes,Dual loud speakersMP3 playerVoice memoHealth managementE-book readerWebcamChatPhoto editor,,,BenQ C36,"TFT, 256K colors",microSD (dedicated slot),,"Yes, MIDP 2.0",Up to 180 h
WallpapersSecond external 1-inch OLED display,"2008, March. Released 2008",Yes,176 x 220 pixels (~141 ppi density),,,,,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/benq-e53.jpg,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,,No,Yes,,,"SMS, EMS, MMS, Email",,,1.2,,,Discontinued,UMTS 2100,No,No,2.0,BenQ,,MP3/MP4 playerVoice memoPhoto editor,Yes,"Yes, 384 kbps",,93 x 47 x 17 mm (3.66 x 1.85 x 0.67 in),1.3 MP,Black,No,Mini-SIM,"2.0 inches, 12.6 cm2(~28.8% screen-to-body ratio)",90 g (3.17 oz),Removable Li-Ion 900 mAh battery,45MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,,,Yes,BenQ E53,"TFT, 256K colors",microSD (dedicated slot),,"Yes, MIDP 2.0",
No,"2008, March. Released 2008",Yes,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-t60.jpg,"Vibration; Downloadable polyphonic, MIDI, MP3 ringtones",Yes,,No,Yes,Class 12,,"SMS, MMS, EMS, Email",Up to 2 h 30 min,,1.2,No,,Discontinued,,No,FM radio; scheduled recording,"1.1, A2DP",BenQ,,MP3/MP4/3GP playerCaller BlacklistPhoto ArtistVoice memo,Yes,,,109 x 46 x 8.9 mm (4.29 x 1.81 x 0.35 in),3.15 MP,Sleek black,No,Mini-SIM,"2.2 inches, 15.0 cm2(~29.9% screen-to-body ratio)",80 g (2.82 oz),Removable Li-Ion 750 mAh battery,24MB,GSM 900 / 1800,WAP 2.0/xHTML,Yes,,,,BenQ T60,"TFT, 256K colors",microSD (dedicated slot),,"Yes, MIDP 2.0",Up to 180 h
MP3/AAC/AAC/eAAC+/XMF playerMP4/3GP playerVoice memo,"2007, Q4",Yes,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,Qualcomm 6250A,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/benq-m7.gif,Vibration; Downloadable polyphonic ringtones,Yes,,No,Yes,,,"SMS, MMS, EMS, Email",Up to 5 h,,1.1,,,Cancelled,UMTS 2100,"GPS, A-GPS",No,1.1,BenQ,,,480p,"Yes, 384 kbps",,105 x 47.5 x 16.8 mm (4.13 x 1.87 x 0.66 in),2 MP,Charcoal with crimson trim,No,Mini-SIM,"2.0 inches, 12.4 cm2(~24.8% screen-to-body ratio)",93 g (3.28 oz),Removable Li-Ion 920 mAh battery,50MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,,,VGA videocall camera,BenQ M7,"TFT, 256K colors",microSD,,"Yes, MIDP 2.0",Up to 400 h
Wallpapers,"2007, August",,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",About 120 EUR,,,TI OMAP V1030,,260 MHz,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-e72.gif,"Vibration; Downloadable polyphonic, MP3, MIDI, Flash ringtones",,,Wi-Fi 802.11 b/g,,Class 10,,,Up to 4 h,Microsoft Windows Mobile 6.0,2.0,Yes,,Discontinued,,No,No,"2.0, A2DP",BenQ,,No,Yes,,,108 x 46 x 13 mm (4.25 x 1.81 x 0.51 in),2 MP,Bright red,No,Mini-SIM,"2.0 inches, 12.4 cm2(~24.9% screen-to-body ratio)",90 g (3.17 oz),Removable Li-Ion 900 mAh battery,128MB 64MB RAM,GSM 850 / 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML, Email, MSN",Yes,MP3/AAC/AAC+/WAV/WMA playerMP4/WMV/3GP playerVoice memo,,,BenQ E72,"TFT, 65K colors",microSD (dedicated slot),,,Up to 180 h
Wallpapers,"2007, September","10 dialed, 10 received, 10 missed calls",128 x 160 pixels (~114 ppi density),,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-c30.gif,"Vibration; Downloadable polyphonic, MP3, AAC, WAV, AMR, MIDI ringtones",Yes,,No,Yes,Class 12,,"SMS, EMS, MMS",Up to 4 h,,1.1,No,,Cancelled,,No,FM radio,No,BenQ,,No,Yes,,,108 x 47.3 x 14.4 mm (4.25 x 1.86 x 0.57 in),VGA,Vibrant grey,No,Mini-SIM,"1.8 inches, 10.2 cm2(~20.0% screen-to-body ratio)",77 g (2.72 oz),Removable Li-Ion 650 mAh battery,,GSM 900 / 1800,WAP 2.0/xHTML,Yes,"E-book readerHealth managementMP3, AAC, WAV playerVoice memo",,,BenQ C30,"TFT, 256K colors",microSD,,"Yes, MIDP 2.0",Up to 250 h
"Second external mono OLED display 128 x 32 pixels, 1 inchWallpapers","2007, August","10 dialed, 10 received, 10 missed calls",176 x 220 pixels (~157 ppi density),,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-t51.gif,"Vibration; Polyphonic(64), MP3, MIDI, iMelody ringtones",Yes,,No,Yes,Class 10,,"SMS, MMS",Up to 3 h 30 min,,1.1,No,,Cancelled,,No,FM radio,1.2,BenQ,,No,Yes,,,86.4 x 45.3 x 20.8 mm (3.40 x 1.78 x 0.82 in),2 MP,"Burnished graphite, Peach essence",No,Mini-SIM,"1.8 inches, 10.2 cm2(~26.1% screen-to-body ratio)",85.5 g (3.00 oz),Removable Li-Ion 750 mAh battery,23MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,Webcam funcitonPredictive text inputStopwatchOrganizer,,,BenQ T51,"TFT, 256K colors",microSD,,"Yes, MIDP 2.0",Up to 150 h
Wallpapers,"2007, August","10 dialed, 10 received, 10 missed calls",176 x 220 pixels (~157 ppi density),,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-t33.gif,"Vibration; Downloadable polyphonic, MP3, MIDI, Flash ringtones",Yes,,No,Yes,Class 10,,"SMS, MMS",Up to 3 h 30 min,,1.1,No,,Cancelled,,No,FM radio,"1.2, A2DP",BenQ,,No,Yes,,,92 x 48 x 19 mm (3.62 x 1.89 x 0.75 in),2 MP,Black Rock,No,Mini-SIM,"1.8 inches, 10.2 cm2(~23.1% screen-to-body ratio)",85 g (3.00 oz),Removable Li-Ion 750 mAh battery,23MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,MP3 playerWebcam functionPredictive text inputStopwatchOrganizer,,,BenQ T33,"TFT, 256K colors",microSD,,"Yes, MIDP 2.0",Up to 150 h
Wallpapers,"2006, February","100 dialed, 100 received, 100 missed calls","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-el71.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","1000 x 20 fields, Photo call",,No,Yes,Class 10,,"SMS, EMS, MMS",Up to 4 h,,2.0,Class 10,LED flash,Discontinued,,No,No,"1.2, A2DP",BenQ,,No,Yes,,,90 x 46.3 x 16.5 mm (3.54 x 1.82 x 0.65 in),1.3 MP,Vibrant grey,No,Mini-SIM,"2.0 inches, 30 x 40 mm, 12.4 cm2(~29.7% screen-to-body ratio)",94 g (3.32 oz),Removable Li-Ion 570 mAh battery,16MB,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, Email",No,MP3/AAC/WAV playerPredictive text inputStopwatchOrganizerVoice memo,,,BenQ EL71,"TFT, 256K colors",microSD (dedicated slot),,"Yes, MIDP 2.0",Up to 280 h
