,Announced,Call records,Resolution,Keyboard,_3,CPU,Technology,Model Image,Alert types,Phonebook,Video_1,WLAN,Games,GPRS,Messaging,Talk time,USB,OS,EDGE,Features,Status,3G bands,Positioning,Radio,Bluetooth,Brand,Sensors,_1,Video,Speed,Dimensions,Single,Colors,3.5mm jack,SIM,Size,Weight,Type_1,Internal,2G bands,Browser,Loudspeaker,_2,Single_1,Model Name,Type,Card slot,Java,Stand-by
"Second external 65K colors display, OLED (96 x 64 pixels)","2007, March","100 dialed, 100 received, 100 missed calls","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sf71.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","500 x 20 fields, Photo call",,No,"5 - StarWars, SeaBattle, SuperBomber + downloadable",,"SMS, MMS, Email",Up to 4 h 30 min,1.1,,,LED flash,Discontinued,UMTS 2100,No,No,"1.1, A2DP",BenQ_Siemens,,Video telephonyMP3/AAC/AAC+/eAAC+ playerPhoto editorPredictive text inputVoice dialStopwatchOrganizer,Yes,"Yes, 384 kbps",96 x 48 x 23 mm (3.78 x 1.89 x 0.91 in),2 MP,Black,No,Mini-SIM,"2.0 inches, 12.4 cm2(~26.9% screen-to-body ratio)",118 g (4.16 oz),Removable Li-Ion 920 mAh battery,45MB,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML",No,,VGA videocall camera,BenQ-Siemens SF71,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 160 h
No,"2007, June","20 dialed, 20 received, 20 missed calls",176 x 220 pixels (~157 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e52.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes,Class 10,"SMS, MMS, Email",Up to 4 h 10 min,1.1,,No,,Cancelled,,No,FM radio,1.2,BenQ_Siemens,,AAC/MP3 playerPredictive text inputVoice memoStopwatchOrganizer,Yes,,102 x 45 x 14.9 mm (4.02 x 1.77 x 0.59 in),1.3 MP,TransSilver,No,Mini-SIM,"1.8 inches, 10.2 cm2(~22.2% screen-to-body ratio)",122 g (4.30 oz),Removable Li-Ion 920 mAh battery,20MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,,,BenQ-Siemens E52,"TFT, 256K colors",microSD,"Yes, MIDP 2.0",Up to 245 h
No,"2007, July","20 dialed, 20 received, 20 missed calls",176 x 220 pixels (~141 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c32.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes,Class 12,"SMS, MMS, EMS",Up to 4 h,1.1,,No,,Cancelled,,No,No,"1.2, A2DP",BenQ_Siemens,,AAC/MP3 playerPredictive text inputVoice memoStopwatchOrganizer,Yes,,101.6 x 47.3 x 16.6 mm (4.0 x 1.86 x 0.65 in),2 MP,Liquid aura,No,Mini-SIM,"2.0 inches, 12.6 cm2(~26.2% screen-to-body ratio)",82 g (2.89 oz),Removable Li-Ion 720 mAh battery,,GSM 900 / 1800,WAP 2.0/xHTML,Yes,,,BenQ-Siemens C32,"TFT, 256K colors",microSD,"Yes, MIDP 2.0",Up to 250 h
No,"2007, June","20 dialed, 20 received, 20 missed calls",176 x 220 pixels (~157 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c31.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes,Class 10,"SMS, MMS",Up to 3 h 30 min,1.1,,No,,Cancelled,,No,FM radio,No,BenQ_Siemens,,AAC/MP3 playerPredictive text inputVoice memoStopwatchOrganizer,Yes,,99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in),1.3 MP,"SilverShine, GraphiteGloss",No,Mini-SIM,"1.8 inches, 10.2 cm2(~21.9% screen-to-body ratio)",86 g (3.03 oz),Removable Li-Ion 920 mAh battery,20MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,,,BenQ-Siemens C31,"TFT, 256K colors",microSD,"Yes, MIDP 2.0",Up to 170 h
No,"2006, August","100 dialed, 100 received, 100 missed calls","132 x 176 pixels, 4:3 ratio (~122 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sl80.gif,"Vibration; Downloadable polyphonic, MP3, AAC ringtones","1000 x 23 fields, Photo call",,No,"SeaBattle, Wappo 2, Golf + downloadable",Class 10,"SMS, MMS, Email",Up to 5 h,Proprietary,,Class 10,LED flash,Cancelled,,No,No,1.2,BenQ_Siemens,,MP3/AAC/MP4 playerPredictive text inputOrganizerVoice memo,Yes,,"92 x 48 x 23 mm, 78 cc (3.62 x 1.89 x 0.91 in)",1.3 MP,Mauve Sensation,No,Mini-SIM,"1.8 inches, 10.0 cm2(~22.7% screen-to-body ratio)",99 g (3.49 oz),Removable Li-Ion 750 mAh battery,52MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,,,BenQ-Siemens SL80,"TFT, 256K colors",No,"Yes, MIDP 2.0",Up to 300 h
GSM 850 / 1800 / 1900 - US version,"2006, August","10 dialed, 10 received, 10 missed calls","130 x 130 pixels, 1:1 ratio",,CalculatorCurrency converterBirthday reminder,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-al26.gif,Vibration; Downloadable polyphonic ringtones,Yes,,No,Yes,Class 8,"SMS, EMS, MMS",Up to 5 h,Proprietary,,No,,Cancelled,,No,No,No,BenQ_Siemens,,Special Hello Kitty wallpapers and ringtones4-way navigation key,,,86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in),,Pink,No,Mini-SIM,,80 g (2.82 oz),Removable Li-Ion 600 mAh battery,1.5MB,GSM 900 / 1800 / 1900,WAP 1.2.1,No,No,,BenQ-Siemens AL26,"TFT, 65K colors",No,"Yes, MIDP 1.0",Up to 220 h
"Second external 65K colors CSTN display, 120 x 160 pixels","2007, April","20 dialed, 20 received, 20 missed calls",176 x 220 pixels,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-a53.jpg,,Yes,,No,Yes,Class 12,"SMS, MMS, Email",Up to 3 h 20 min,1.1,,No,,Discontinued,,No,No,No,BenQ_Siemens,,No,Yes,,80 x 42 x 14.8 mm (3.15 x 1.65 x 0.58 in),1.3 MP,"Black, Blue, Pink",No,Mini-SIM,,68 g (2.40 oz),Removable Li-Ion 600 mAh battery,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,MP3 playerOrganizerVoice memoPredictive text input,,BenQ-Siemens A53,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 200 h
Touch-sensitive navigation keys,"2006, July","10 dialed, 10 received, 10 missed calls","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sl91.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes + downloadable,,"SMS, MMS, Email",Up to 3 h 15 min,2.0,,,,Discontinued,UMTS 2100,No,"Stereo FM radio, RDS",Yes,BenQ_Siemens,,MP3/AAC/eAAC+/XMF playerPredictive text inputReminderOrganizer,Yes,"Yes, 384 kbps",89 x 47 x 23 mm (3.50 x 1.85 x 0.91 in),"3.15 MP, AF",Magic Black,No,Mini-SIM,"2.0 inches, 12.4 cm2(~29.6% screen-to-body ratio)",109 g (3.84 oz),Removable Li-Ion 950 mAh battery,64MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,,VGA videocall camera,BenQ-Siemens SL91,"TFT, 16M colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 310 h
No,"2006, July","10 dialed, 10 received, 10 missed calls",176 x 220 pixels (~157 ppi density),,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e81.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes + downloadable,,"SMS, MMS, Email",Up to 5 h,2.0,,,LED flash,Discontinued,UMTS 2100,No,No,Yes,BenQ_Siemens,,MP3/AAC/eAAC+/XMF playerPredictive text inputReminderOrganizer,QCIF,"Yes, 384 kbps",99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in),1.3 MP,Lucent Black,No,Mini-SIM,"1.8 inches, 10.2 cm2(~21.9% screen-to-body ratio)",90 g (3.17 oz),Removable Li-Ion 900 mAh battery,16MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,,,BenQ-Siemens E81,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 300 h
GSM 850 / 1800 / 1900 - US version,"2006, July","100 dialed, 100 received, 100 missed calls","240 x 320 pixels, 4:3 ratio (~190 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e71.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","1000 x 20 fields, Photo call",,No,Yes + downloadable,Class 10,"SMS, MMS, Email",Up to 6 h 20 min,2.0,,Class 10,,Discontinued,,No,FM radio,Yes,BenQ_Siemens,,No,QCIF,,104 x 46 x 15 mm (4.09 x 1.81 x 0.59 in),1.3 MP,"Dark Silver, Onyx Black",No,Mini-SIM,"2.1 inches, 31 x 42 mm, 13.7 cm2(~28.5% screen-to-body ratio)",80 g (2.82 oz),Removable Li-Ion 730 mAh battery,16MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,MP3/AAC/AAC+ playerPredictive text inputOrganizerVoice memo,,BenQ-Siemens E71,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 390 h
"Second external CSTN, 4096 colors display (96 x 64 pixels)","2006, July","100 dialed, 100 received, 100 missed calls",128 x 160 pixels,,MP3/AAC/WMA playerPhoto editorPredictive text inputVoice memoStopwatchOrganizer,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-ef61.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes + downloadable,Class 10,"SMS, EMS, MMS",Up to 3 h,1.1,,No,,Discontinued,,No,No,Yes,BenQ_Siemens,,No,No,,88 x 46 x 23 mm (3.46 x 1.81 x 0.91 in),1.3 MP,Whisper,No,Mini-SIM,,99 g (3.49 oz),Removable Li-Ion 750 mAh battery,1.5MB,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML",No,3D surround sound,,BenQ-Siemens EF61,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 225 h
Dust and shock resistant,"2006, June","10 dialed, 10 received, 10 missed calls","132 x 176 pixels, 4:3 ratio (~122 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-m81.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes + downloadable,Class 10,"SMS, MMS, EMail, Instant Messaging",Up to 5 h,2.0,,Class 10,LED flash,Discontinued,,No,No,Yes,BenQ_Siemens,,No,Yes,,105.3 x 47.5 x 18.4 mm (4.15 x 1.87 x 0.72 in),1.3 MP,"Graphite Black, Steel Blue",No,Mini-SIM,"1.8 inches, 27 x 36 mm, 10.0 cm2(~20.1% screen-to-body ratio)",96 g (3.39 oz),Removable Li-Ion 820 mAh battery,27MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,MP3/AAC playerOrganizerVoice memoPredictive text input,,BenQ-Siemens M81,"TFT, 256K colors",RS-MMC,"Yes, MIDP 2.0",Up to 300 h
No,"2006, May","10 dialed, 10 received, 10 missed calls","128 x 128 pixels, 1:1 ratio",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-a58.gif,"Vibration; Polyphonic(32), MP3 ringtones",500 entries,,No,Yes + Java downloadable,Class 8,"SMS, EMS, MMS, Email",Up to 6 h,No,,No,,Cancelled,,No,No,Yes,BenQ_Siemens,,iTapOrganizerStopwatchVoice memo,,,"102 x 46 x 17.6 mm, 75 cc (4.02 x 1.81 x 0.69 in)",,"Mercury Silver, Carbon Black",No,Mini-SIM,,85 g (3.00 oz),Removable Li-Ion 820 mAh battery,6.5MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,,,BenQ-Siemens A58,"CSTN, 65K colors",No,"Yes, MIDP 2.0",Up to 300 h
No,"2006, May","10 dialed, 10 received, 10 missed calls","96 x 64 pixels, 3:2 ratio (~82 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-a38.gif,Vibration; Polyphonic(32) ringtones,300 entries,,No,"Box World, Mini Mouse, Bricks",No,"SMS, EMS",Up to 4 h,No,,No,,Discontinued,,No,No,No,BenQ_Siemens,,iTapOrganizer,,,103.5 x 45.5 x 18.7 mm (4.07 x 1.79 x 0.74 in),,"Bold Charcoal, X-treme Gray",No,Mini-SIM,"1.4 inches, 5.8 cm2(~12.4% screen-to-body ratio)",90 g (3.17 oz),Removable Li-Ion 860 mAh battery,256 KB,GSM 900 / 1800 / 1900,No,No,,,BenQ-Siemens A38,"CSTN, 65K colors",No,No,Up to 286 h
"Second external mono display, OLED (128 x 64 pixels)","2006, May","100 dialed, 100 received, 100 missed calls",176 x 220 pixels (~128 ppi density),,MP3/AAC/WMA playerPhoto editorPredictive text inputVoice memoStopwatchOrganizer,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-ef71.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","500 x 20 fields, Photo call",,No,Yes + downloadable,Class 10,"SMS, EMS, MMS",Up to 3 h,Proprietary,,No,,Discontinued,,No,No,Yes,BenQ_Siemens,,No,Yes,,90 x 47 x 18.5 mm (3.54 x 1.85 x 0.73 in),2 MP,Stellar Aluminum,No,Mini-SIM,"2.2 inches, 34 x 45 mm, 15.2 cm2(~36.0% screen-to-body ratio)",100 g (3.53 oz),Removable Li-Ion 750 mAh battery,24MB,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML",No,"3D surround sound, 10-bandequalizer",,BenQ-Siemens EF71,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 225 h
5-way navigation stick,"2006, March",,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",QWERTY,,32-bit Intel XScale PXA272 416 MHz,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-p51.gif,"Vibration; Downloadable polyphonic, MP3 ringtones",,,"Wi-Fi 802.11b/g, VoIP via Wi-Fi",,Class 10,,Up to 4 h,Proprietary,Microsoft Windows Mobile 5.0 PocketPC,No,,Discontinued,,GPS,No,"1.2, A2DP",BenQ_Siemens,,No,QCIF,,"122 x 60 x 20 mm, 130 cc (4.80 x 2.36 x 0.79 in)",1.3 MP,,No,Mini-SIM,"2.8 inches, 42 x 57 mm, 24.3 cm2(~33.2% screen-to-body ratio)",170 g (6.00 oz),Removable Li-Ion 1370 mAh battery,"64MB RAM, 192MB ROM",GSM 850 / 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML",Yes,MP3/MP4 playerHandwriting recognitionPocket OfficeVoice command,,BenQ-Siemens P51,"TFT resistive touchscreen, 256K colors",MMC/SDIO,,Up to 150 h
No,"2006, February","100 dialed, 100 received, 100 missed calls","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-el71.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","1000 x 20 fields, Photo call",,No,Yes + downloadable,Class 10,"SMS, MMS, Email, Instant Messaging",Up to 5 h,2.0,,Class 10,LED flash,Discontinued,,No,No,"1.2, A2DP",BenQ_Siemens,,MP3/AAC/WAV playerPredictive text inputStopwatchOrganizerVoice memo,Yes,,90 x 46.3 x 16.5 mm (3.54 x 1.82 x 0.65 in),1.3 MP,Vibrant grey,No,Mini-SIM,"2.0 inches, 30 x 40 mm, 12.4 cm2(~29.7% screen-to-body ratio)",94 g (3.32 oz),Removable Li-Ion 570 mAh battery,16MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,,,BenQ-Siemens EL71,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 300 h
No,"2006, March","10 dialed, 10 received, 10 missed calls",176 x 220 pixels,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-cl71.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes + downloadable,Class 10,"SMS, EMS, MMS",Up to 2 h 20 min,1.1,,No,,Discontinued,,No,FM radio,1.2,BenQ_Siemens,,MP3/AAC/WMA playerPredictive text inputVoice dialOrganizerStopwatch,Yes,,97 x 46.5 x 17.8 mm (3.82 x 1.83 x 0.70 in),1.3 MP,Black,No,Mini-SIM,,115 g (4.06 oz),Removable Li-Ion 750 mAh battery,24MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,,,BenQ-Siemens CL71,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 170 h
"Second external 4K colors display, CSTN (96 x 64 pixels)5-way navigation key","2006, March","10 dialed, 10 received, 10 missed calls",128 x 160 pixels (~114 ppi density),,MP3/AAC/WMA playerPredictive text inputOrganizerExchangeable front coverVoice memo,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-cf61.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","1000 x 20 fields, Photo call",,No,Yes + downloadable,Class 10,"SMS, EMS, MMS",Up to 3 h,1.1,,No,,Discontinued,,No,No,Yes,BenQ_Siemens,,No,No,,"88 x 46 x 23 mm, 80 cc (3.46 x 1.81 x 0.91 in)",1.3 MP,Silver,No,Mini-SIM,"1.8 inches, 29 x 35 mm, 10.2 cm2(~25.2% screen-to-body ratio)",99 g (3.49 oz),Removable Li-Ion 750 mAh battery,1.5MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,3D surround sound,,BenQ-Siemens CF61,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 225 h
No,"2006, March","10 dialed, 10 received, 10 missed calls","132 x 176 pixels, 4:3 ratio (~122 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c81.gif,"Vibration; Downloadable polyphonic, MP3, AAC ringtones","Yes, Photo call",,No,Yes + downloadable,Class 10,"SMS, MMS, EMail, Instant Messaging",Up to 5 h,2.0,,Class 10,,Discontinued,,No,No,"1.2, A2DP",BenQ_Siemens,,MP3/AAC playerPredictive text inputOrganizerVoice memo,Yes,,104 x 46.5 x 17.7 mm (4.09 x 1.83 x 0.70 in),1.3 MP,Piano Black,No,Mini-SIM,"1.8 inches, 27 x 36 mm, 10.0 cm2(~20.7% screen-to-body ratio)",90 g (3.17 oz),Removable Li-Ion 820 mAh battery,23MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,,,BenQ-Siemens C81,"TFT, 256K colors",RS-MMC,"Yes, MIDP 2.0",Up to 300 h
No,"2006, March","20 dialed, 20 received, 20 missed calls",128 x 160 pixels (~114 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e61.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","500 x 12 fields, Photo call",,No,Yes,Class 10,"SMS, MMS",Up to 3 h 20 min,1.1,,No,,Discontinued,,No,No,No,BenQ_Siemens,,AAC/AAC+/AAC++/MIDI/MP3/PCM(WAV)/XMF playerPredictive text inputVoice memoOrganizerStopwatch,No,,101 x 44 x 17 mm (3.98 x 1.73 x 0.67 in),VGA,"Silver, Orange",No,Mini-SIM,"1.8 inches, 29 x 35 mm, 10.2 cm2(~22.9% screen-to-body ratio)",88 g (3.10 oz),Removable Li-Ion 840 mAh battery,1MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,,,BenQ-Siemens E61,"TFT, 65K colors",miniSD,No,Up to 215 h
"Second external 65K colors display, OLED(96 x 64 pixels)","2006, February","10 dialed, 10 received, 10 missed calls","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-ef91.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes + downloadable,,"SMS, MMS, Email",,Proprietary,,,LED flash,Discontinued,HSDPA 2100,No,No,"1.2, A2DP",BenQ_Siemens,,3D sound,Yes,HSPA,"92 x 46.5 x 23.5 mm, 86 cc (3.62 x 1.83 x 0.93 in)","3.15 MP, AF",Arctic Silver,No,Mini-SIM,"2.0 inches, 30 x 40 mm, 12.4 cm2(~29.0% screen-to-body ratio)",100 g (3.53 oz),Removable Li-Ion 1000 mAh battery,32MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,Video telephonyMP3/AAC playerPredictive text inputVoice memoStopwatchOrganizer,VGA videocall camera,BenQ-Siemens EF91,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",
MP3/AAC playerVideo telephonyiTapStopwatchOrganizer,"2006, February","10 dialed, 10 received, 10 missed calls",176 x 220 pixels (~141 ppi density),,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-s81.gif,"Vibration; Downloadable polyphonic, MP3, AAC ringtones","Yes, Photo call",,No,Yes,,"SMS, MMS, Email",Up to 4 h 50 min,Proprietary,,,LED flash,Discontinued,UMTS 2100,No,No,1.1,BenQ_Siemens,,,Yes,"Yes, 384 kbps",109 x 48 x 13 mm (4.29 x 1.89 x 0.51 in),1.3 MP,Black/Silver,No,Mini-SIM,"2.0 inches, 31 x 39 mm, 12.6 cm2(~24.1% screen-to-body ratio)",99 g (3.49 oz),Removable Li-Ion 920 mAh battery,30MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,,VGA videocall camera,BenQ-Siemens S81,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 320 h
GSM 850 / 1800 / 1900 - US version,"2006, February","10 dialed, 10 received, 10 missed calls",120 x 128 pixels (~80 ppi density),,WMA/MP3/AAC/AAC+ playerPredictive text inputVoice memoStopwatchOrganizer,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-ef51.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes + downloadable,Class 10,"SMS, MMS",Up to 4 h,Proprietary,,No,,Discontinued,,No,FM radio,"1.2, A2DP",BenQ_Siemens,,No,No,,89 x 49 x 18 mm (3.50 x 1.93 x 0.71 in),1.3 MP,"Flashy White, Black",No,Mini-SIM,"2.2 inches, 40 x 40 mm, 15.6 cm2(~35.7% screen-to-body ratio)",95 g (3.35 oz),Removable Li-Ion 870 mAh battery,20MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,3D surround sound,,BenQ-Siemens EF51,"TFT, 256K colors",miniSD,"Yes, MIDP 2.0",Up to 200 h
"Second external 256K colors display, TFT (120 x 160 pixels)Aluminum rear cover","2006, January","100 dialed, 100 received, 100 missed calls","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-ef81.gif,"Vibration; Downloadable polyphonic, AAC ringtones","500 x 20 fields, Photo call",,No,"5 - StarWars, SeaBattle, SuperBomber + downloadable",,"SMS, MMS, Email",Up to 4 h 30 min,Proprietary,,,rotating lens,Discontinued,UMTS 2100,No,No,Yes,BenQ_Siemens,,No,Yes,"Yes, 384 kbps",94 x 51 x 15.9 mm (3.70 x 2.01 x 0.63 in),2 MP,Titanium Silver,No,Mini-SIM,"2.2 inches, 34 x 45 mm, 15.0 cm2(~31.3% screen-to-body ratio)",110 g (3.88 oz),Removable Li-Ion 950 mAh battery,64MB,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML",No,Video telephonyMP3/AAC playerVideo playerPhoto editorPredictive text inputVoice dialStopwatchOrganizer,,BenQ-Siemens EF81,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 300 h
No,"2006, January","10 dialed, 10 received, 10 missed calls",176 x 220 pixels (~141 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-s88.gif,"Vibration; Downloadable polyphonic, MP3 ringtones, composer","Yes, Photo call",,No,Yes + downloadable,Class 10,"SMS, MMS",Up to 3 h 15 min,Proprietary,,No,LED flash,Discontinued,,No,No,Yes,BenQ_Siemens,,3D surrounding sound,Yes,,99 x 47 x 17 mm (3.90 x 1.85 x 0.67 in),"2 MP, AF","Cosmic Black, Astral White",No,Mini-SIM,"2.0 inches, 31 x 39 mm, 12.6 cm2(~27.1% screen-to-body ratio)",105 g (3.70 oz),Removable Li-Ion 920 mAh battery,20MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,MP3/AAC playerPredictive text inputVoice memoStopwatchOrganizer,,BenQ-Siemens S88,"AMOLED, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 110 h
"- Second external CSTN display 96 x 64 pixels, 4096 colors- Downloadable pictures","2004, 1Q","10 dialed, 10 received, 10 missed calls",128 x 160 pixels,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqz150.gif,"Vibration; Polyphonic(40) ringtones, composer",Yes,,No,Yes,Class 10,"SMS, MMS",,,,No,,Cancelled,,No,No,No,BenQ_Siemens,,No,,,79 x 40 x 20 mm (3.11 x 1.57 x 0.79 in),,,No,Mini-SIM,,82 g (2.89 oz),,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,- Java MIDP 1.0- WAP 2.0- iTap,,BenQ-Siemens Z150,"CSTN, 65K colors",No,"Yes, MIDP 1.0",
No,"2006, January","10 dialed, 10 received, 10 missed calls","132 x 176 pixels, 4:3 ratio (~122 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-s68.gif,Vibration; Downloadable polyphonic ringtones,Yes,,No,Yes + downloadable,Class 10,"SMS, MMS, Email, Instant Messaging",Up to 5 h,Proprietary,,No,,Discontinued,,No,No,"1.2, A2DP",BenQ_Siemens,,Media playerPredictive text inputStopwatchOrganizerVoice memo,,,"107.5 x 44 x 13.2 mm, 58 cc (4.23 x 1.73 x 0.52 in)",,Brushed Aluminum,No,Mini-SIM,"1.8 inches, 28 x 37 mm, 10.0 cm2(~21.2% screen-to-body ratio)",78.5 g (2.75 oz),Removable Li-Ion 660 mAh battery,26MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,,,BenQ-Siemens S68,"TFT, 256K colors",No,"Yes, MIDP 2.0",Up to 300 h
