,Triple,Resolution,Penta,Price,Display,Type_1,512GB 12GB RAM,Video,_2,GPU,Card slot,Chipset,Charging,Technology,Announced,Type,OS,Single_1,Features_1,Brand,5G bands,Dual_1,Protection,Radio,256GB 8GB RAM,Performance,CPU,_4,Video_1,EDGE,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Camera,Loudspeaker_1,Status,Model Image,Languages,USB,Sensors,Battery (old),GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,256GB 12GB RAM,Dual,Colors,4G bands,WLAN,Positioning,NFC,Quad,2G bands,Features,Dimensions,SAR
CDMA 800 / 1900,,"1200 x 1920 pixels, 16:10 ratio (~207 ppi density)",,About 330 EUR,,30000 mAh,,1080p@60fps,Tuned by Harman Kardon,Mali-G615 MC2,Unspecified,Mediatek Dimensity 7300 (4 nm),55W wired,GSM / CDMA / HSPA / LTE / 5G,"2024, December 09","IPS LCD, 90Hz, 360 nits","Android 14, Doke OS_P 4.0",,,Blackview,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA",,Corning Gorilla Glass 5,FM Radio,,,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,1080p@30fps,,1214 g (2.68 lb),,Nano-SIM + Nano-SIM,"256GB 12GB RAM, 512GB 12GB RAM","50 MP, (wide)",,"10.95 inches, 347.7 cm2(~72.6% screen-to-body ratio)",Yes,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliantDedicated flood flashlight,,,"Available. Released 2024, December 09",https://fdn2.gsmarena.com/vv/bigpic/blackview-active-10-pro.jpg,,"USB Type-C 2.0, OTG","Accelerometer, gyro, proximity, compass, barometer",,,Blackview Active 10 Pro,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G","Yes, with stereo speakers","5.4, A2DP, LE",,"108 MP, (wide)20 MP, (night vision)","Black, Orange","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,LED flash,267.6 x 179 x 19.5 mm (10.54 x 7.05 x 0.77 in),1.34 W/kg (body)
UFS 2.2,"50 MP, (wide), PDAF2 MP, (macro)2 MP, (depth)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,,,5000 mAh,,"4K@30fps, 1080p@30fps",,,microSDXC (uses shared SIM slot),Unisoc T820,18W wired,GSM / HSPA / LTE / 5G,"2024, October","IPS LCD, 90Hz, 700 nits","Android 14, Doke OS 4.0",,,Blackview,"1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA",,,FM radio,,,,,1080p@30fps,,200 g (7.05 oz),,Nano-SIM + Nano-SIM,256GB 8GB RAM,"8 MP, (wide)",,"6.67 inches, 107.2 cm2(~86.1% screen-to-body ratio)",Yes,,,,"Available. Released 2024, November",https://fdn2.gsmarena.com/vv/bigpic/blackview-shark-9.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity",,,Blackview Shark 9,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE, 5G","Yes, with stereo speakers","5.0, A2DP, LE",,,"Starry Rock Black, Azure Wave Blue","1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 28, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",164.8 x 75.6 x 8.7 mm (6.49 x 2.98 x 0.34 in),
UFS 2.1,,"1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",,,,8200 mAh,,1080p@30fps,,Mali-G57 MP1,microSDXC (dedicated slot),Unisoc T606 (12 nm),10W wired,No cellular connectivity,"2024, June",IPS LCD,"Android 14, DokeOS_P 4.0",8 MP,,Blackview,,,,No,,,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,Yes,No,540 g (1.19 lb),,No,256GB 6GB RAM,13 MP,,"11.0 inches, 350.9 cm2(~87.9% screen-to-body ratio)",Yes,,,,"Available. Released 2024, June",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab9-wifi.jpg,,"USB Type-C 2.0, OTG",Accelerometer,,No,Blackview Tab9WiFi,N/A,,"Yes, with stereo speakers","5.0, A2DP",,,"Ink Grey, Frost Blue, Blush Pink",N/A,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,No,,N/A,LED flash,246.8 x 161.8 x 9.1 mm (9.72 x 6.37 x 0.36 in),
UFS 2.1,,"800 x 1280 pixels, 16:10 ratio (~138 ppi density)",,,,8200 mAh,,1080p@30fps,,Mali-G57 MP1,microSDXC (dedicated slot),Unisoc T606 (12 nm),10W wired,No cellular connectivity,"2024, June",IPS LCD,"Android 14, DokeOS_P 4.0",8 MP,,Blackview,,,,No,,,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,Yes,No,540 g (1.19 lb),,No,128GB 4GB RAM,13 MP,,"10.92 inches, 345.8 cm2(~79.9% screen-to-body ratio)",Yes,,,,"Available. Released 2024, June",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab90-wifi.jpg,,"USB Type-C 2.0, OTG",Accelerometer,,No,Blackview Tab90WiFi,N/A,,"Yes, with stereo speakers","5.0, A2DP",,,"Ink Grey, Frost Blue, Blush Pink",N/A,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,No,,N/A,LED flash,256.9 x 168.5 x 9.5 mm (10.11 x 6.63 x 0.37 in),
CDMA 800 / 1900,,1080 x 2560 pixels (~403 ppi density),,$ 329.99 / € 599.99,,4000 mAh,,"1440p@30fps, 1080p@30fps",UFS 2.2,Mali-G57 MC2,No,Mediatek Helio G99 (6 nm),"45W wired, 48% in 20 min",GSM / CDMA / HSPA / LTE,"2024, May","Foldable AMOLED, 1B colors, 1300 nits (peak)","Android 13, DokeOS 4",,,Blackview,,,,No,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,198 g (6.98 oz),,Nano-SIM + Nano-SIM,256GB 12GB RAM,"32 MP, f/2.5, (wide)",,"6.9 inches, 110.0 cm2(~86.2% screen-to-body ratio)",No,"Cover display:OLED, 1.19 inches, 390 x 390 pixels",,,"Available. Released 2024, May",https://fdn2.gsmarena.com/vv/bigpic/blackview-hero-10.jpg,,USB Type-C,"Fingerprint (side-mounted), accelerometer, proximity",,,Blackview Hero 10,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE","Yes, with stereo speakers",Yes,$ 349.99,"108 MP, f/1.9, (wide), 1/1.67"" , PDAF8 MP, 120˚ (ultrawide)","Black, Purple","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",Unfolded: 169 x 75.5 x 8.1 mmFolded: 87 x 75.5 x 16.3 mm,
UFS 2.2,,"1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",,,,7700 mAh,,1080p@30fps,,Mali-G57 MP1,microSDXC (uses shared SIM slot),Unisoc Tiger T616 (12 nm),18W wired,GSM / HSPA / LTE,"2024, May",IPS LCD,Android 14,,,Blackview,,,,Unspecified,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,Yes,,503 g (1.11 lb),,Nano-SIM + Nano-SIM,256GB 8GB RAM,8 MP,,"11.0 inches, 350.9 cm2(~81.8% screen-to-body ratio)",No,,,,"Available. Released 2024, May",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab-16-pro.jpg,,"USB Type-C, OTG",Accelerometer,,,Blackview Tab 16 Pro,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers","5.0, A2DP",,13 MP2 MP,"Gray, Blue, Violet","1, 3, 7, 8, 19, 20, 40, 41","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,256.8 x 167 x 7.5 mm (10.11 x 6.57 x 0.30 in),
CDMA 800 / 1900,,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,$ 179.55 / £ 899.00 / € 229.99,,8800 mAh,,"1440p@30fps, 1080p@30fps",UFS 2.1,Mali-G57 MC2,microSDXC (uses shared SIM slot),Mediatek Helio G99 (6 nm),45W wired5W reverse wired,GSM / CDMA / HSPA / LTE,"2024, May","IPS LCD, 120Hz, 440 nits",Android 14,,,Blackview,,,Corning Gorilla Glass 5,FM radio,$ 179.55,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,360 g (12.70 oz),,Nano-SIM + Nano-SIM,256GB 8GB RAM,32 MP,,"6.5 inches, 102.0 cm2(~71.5% screen-to-body ratio)",No,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810H compliantDedicated flashlight (top mounted),,,"Available. Released 2024, May",https://fdn2.gsmarena.com/vv/bigpic/blackview-bv8100.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview BV8100,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"50 MP, f/1.8, (wide), 1/1.57"", PDAF13 MP, f/2.2, 120˚, (ultrawide), AF","Black, Green, Orange","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"Dual-LED flash, HDR, panorama",175.8 x 81.2 x 18.1 mm (6.92 x 3.20 x 0.71 in),
CDMA 800 / 1900,"50 MP, (wide), 1/1.57"", PDAF13 MP, 120˚, (ultrawide), AFFLIR thermal camera (Lepton 3.5 module)",1080 x 2460 pixels (~396 ppi density),,"$ 444.92 / C$ 1,099.99 / £ 498.00 / € 549.99",,8800 mAh,$ 799.99,"4K@30fps, 1080p@30fps",UFS 3.1,Mali-G77 MC9,No,Mediatek Dimensity 8020 (6 nm),120W wired5W reverse wired,GSM / CDMA / HSPA / LTE / 5G,"2024, April","IPS LCD, 120Hz","Android 14, Doke-OS 4.0",,,Blackview,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA",,Corning Gorilla Glass Victus,FM radio,,,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,1080p@30fps,,412 g (14.53 oz),,Nano-SIM + Nano-SIM,512GB 12GB RAM,"50 MP, (wide), 1/2.8""",Sound by Harman Kardon,"6.78 inches, 109.2 cm2(~73.6% screen-to-body ratio)",No,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,,,"Available. Released 2024, May",https://fdn2.gsmarena.com/vv/bigpic/blackview-bl9000-pro.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",,,Blackview BL9000 Pro,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G","Yes, with stereo speakers","5.1, A2DP, LE",,,"Splendid Gold, Interstellar Black","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","GPS, GLONASS, BDS, GALILEO",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",179.5 x 82.6 x 17 mm (7.07 x 3.25 x 0.67 in),
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,About 150 EUR,,6000 mAh,,1080p@30fps,,Mali-G57 MP1,microSDXC (dedicated slot),Unisoc Tiger T616 (12 nm),18W wired,GSM / HSPA / LTE,"2024, January","IPS LCD, 90Hz, 450 nits (typ)","Android 13, Doke OS 4.0",,,Blackview,,,,FM radio,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,1080p@30fps,,214 g (7.55 oz),,Nano-SIM + Nano-SIM,256GB 8GB RAM,"8 MP, (wide), 1/4.0, 1.12µm",,"6.75 inches, 110.0 cm2(~84.7% screen-to-body ratio)",Yes,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 66 - USA",,,"Available. Released 2024, January",https://fdn2.gsmarena.com/vv/bigpic/blackview-color8.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, proximity",,,Blackview Color 8,HSDPA 900 / 2100 - International,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"50 MP, (wide), 1/2.76, 0.64µm, PDAFSecondary unspecified camera","Ash Gray, Ripple Blue, Wisteria Purple","1, 3, 7, 8, 19, 20, 28, 40, 41 - International","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",167.8 x 77.4 x 9.1 mm (6.61 x 3.05 x 0.36 in),
Stylus support,,"1200 x 2000 pixels, 5:3 ratio (~203 ppi density)",,,,8800 mAh,,"1440p@30fps, 1080p@30fps",,Mali-G57 MC2,microSDXC (uses shared SIM slot),Mediatek Helio G99 (6 nm),33W wired,GSM / HSPA / LTE,"2024, March","IPS LCD, 120Hz, 400 nits","Android 13, DokeOS_P 4.0",13 MP,,Blackview,,,,FM radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,528 g (1.16 lb),,Nano-SIM + Nano-SIM,"256GB 8GB RAM, 256GB 12GB RAM","50 MP, (wide), 1/2.76"", 0.64µm",,"11.5 inches, 376.4 cm2(~82.9% screen-to-body ratio)",No,UFS 2.1,,,"Available. Released 2024, March",https://fdn2.gsmarena.com/vv/bigpic/blackview-mega1.jpg,,"USB Type-C, OTG","Fingerprint (top-mounted), accelerometer, proximity (accessories only), gyro",,,Blackview Mega 1,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers (4 speakers)","5.1, A2DP, LE",,,"Space Grey, Sky Blue, Dreamy Purple","1, 3, 7, 8, 19, 20, 28, 40, 41","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,268.7 x 169 x 7.6 mm (10.58 x 6.65 x 0.30 in),
CDMA 800 / 1900,,1080 x 2460 pixels (~396 ppi density),,About 490 EUR,,8800 mAh,,"4K@30fps, 1080p@30fps","Back display:1.32 inches, 360 x 360 pixels (Gorilla Glass Victus)",Mali-G77 MC9,No,Mediatek Dimensity 8020 (6 nm),120W wired5W reverse wired,GSM / CDMA / HSPA / LTE / 5G,"2024, January","IPS LCD, 120Hz","Android 13, Doke-OS 4.0",,,Blackview,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA",,Corning Gorilla Glass Victus,FM radio,,,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Sound by Harman Kardon,1080p@30fps,,413 g (14.57 oz),,Nano-SIM + Nano-SIM,512GB 12GB RAM,"50 MP, (wide), 1/2.8""",UFS 3.1,"6.78 inches, 109.2 cm2(~73.6% screen-to-body ratio)",No,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,,,"Available. Released 2024, January",https://fdn2.gsmarena.com/vv/bigpic/blackview-bl9000.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",,,Blackview BL9000,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G","Yes, with stereo speakers","5.1, A2DP, LE",,"50 MP, (wide), 1/1.57"", PDAF13 MP, 120˚, (ultrawide), AF","Rose Gold, Interstellar Black","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","GPS, GLONASS, BDS, GALILEO",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",179.5 x 82.6 x 17 mm (7.07 x 3.25 x 0.67 in),
CDMA 800 / 1900,"50 MP, (wide), 1/1.57"", PDAF8 MP, 117˚, (ultrawide)2 MP, (depth)",1080 x 2460 pixels (~396 ppi density),,,,8800 mAh,,"4K@30fps, 1080p@30fps","Back display:1.32 inches, 240 x 240 pixels (Gorilla Glass 5)",Mali-G68 MC4,No,Mediatek Dimensity 7050 (6 nm),33W wired5W reverse wired,GSM / CDMA / HSPA / LTE / 5G,"2024, January","IPS LCD, 120Hz","Android 13, Doke-OS 4.0",,,Blackview,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA",,Corning Gorilla Glass 5,FM radio,,,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,Yes,,385 g (13.58 oz),,Nano-SIM + Nano-SIM,512GB 12GB RAM,"16 MP, (wide)",UFS 3.1,"6.78 inches, 109.2 cm2(~73.6% screen-to-body ratio)",No,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,,,"Available. Released 2024, January",https://fdn2.gsmarena.com/vv/bigpic/blackview-bl8000.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass, gyro",,,Blackview BL8000,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",Yes,"5.1, A2DP, LE",,,"Celestial Silver, Orbit Grey","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","GPS (L1+L5), GLONASS, BDS, GALILEO",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",179.5 x 82.6 x 17 mm (7.07 x 3.25 x 0.67 in),
UFS 2.2,,1080 x 2460 pixels (~396 ppi density),,About 160 EUR,,5000 mAh,,"1440p@30fps, 1080p@30fps",,Mali-G57 MC2,microSDXC (dedicated slot),Mediatek Helio G99 (6 nm),33W wired,GSM / HSPA / LTE,"2023, November","IPS LCD, 120Hz, 500 nits","Android 13, Doke OS 4.0",,,Blackview,,,,FM radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,198.3 g (6.98 oz),,Nano-SIM + Nano-SIM,256GB 8GB RAM,"13 MP, (wide), 1/3"", 1.12µm",,"6.78 inches, 109.2 cm2(~84.6% screen-to-body ratio)",Yes,,,,"Available. Released 2023, November",https://fdn2.gsmarena.com/vv/bigpic/blackview-shark8.jpg,,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity",,,Blackview Shark 8,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"64 MP, (wide), 1/1.97"", 0.7µm, PDAFSecondary unspecified camera","Galaxy Blue, Scorching Gold, Moonlight Grey","1, 3, 7, 8, 19, 20, 28, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",168.5 x 76.6 x 8.4 mm (6.63 x 3.02 x 0.33 in),
Stylus support,,"1200 x 2000 pixels, 5:3 ratio (~194 ppi density)",,,,8800 mAh,,1080p@30fps,Tuned by Harman Kardon,Mali-G57 MC2,microSDXC (uses shared SIM slot),Mediatek Helio G99 (6 nm),33W wired,GSM / HSPA / LTE,"2023, November","IPS LCD, 350 nits","Android 13, Doke OS_P 4.0",8 MP,,Blackview,,,,FM Radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,Yes,,632 g (1.39 lb),,Nano-SIM + Nano-SIM,256GB 12GB RAM,16 MP,,"12.0 inches, 409.9 cm2(~85.2% screen-to-body ratio)",No,UFS 2.1,,,"Available. Released 2023, November",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab18.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview Tab 18,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers (4 speakers)","5.1, A2DP, LE",,,"Turquoise Green, Glacier Blue, Space Grey","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,277.6 x 173.2 x 7.9 mm (10.93 x 6.82 x 0.31 in),
CDMA 800 / 1900,,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,About 190 EUR,,4380 mAh,,"1440p@30fps, 1080p@30fps",,Mali-G57 MC2,No,Mediatek Helio G99 (6 nm),18W wired,GSM / CDMA / HSPA / LTE,"2023, September","IPS LCD, 120Hz","Android 13, Doke OS 3.1",,,Blackview,,,,FM radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,193.9 g (6.84 oz),,Nano-SIM + Nano-SIM,"256GB 8GB RAM, 256GB 12GB RAM","16 MP, (wide), 1/3"", 1.0µm",,"6.5 inches, 102.0 cm2(~85.0% screen-to-body ratio)",No,UFS 2.2,,,"Available. Released 2023, September",https://fdn2.gsmarena.com/vv/bigpic/blackview-a96.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview A96,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"48 MP, (wide), 1/2.25"", 0.8µm, PDAF8 MP, 117˚ (ultrawide)","Provence Purple, Obsidian Black","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 38, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",161.8 x 74.2 x 8.6 mm (6.37 x 2.92 x 0.34 in),
