,Triple,Resolution,Penta,Price,Display,Type_1,512GB 12GB RAM,Video,_2,GPU,Card slot,Chipset,Charging,Technology,Announced,Type,OS,Single_1,Features_1,Brand,5G bands,Dual_1,Protection,Radio,256GB 8GB RAM,Performance,CPU,_4,Video_1,EDGE,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Camera,Loudspeaker_1,Status,Model Image,Languages,USB,Sensors,Battery (old),GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,256GB 12GB RAM,Dual,Colors,4G bands,WLAN,Positioning,NFC,Quad,2G bands,Features,Dimensions,SAR
HSDPA 900 / 2100 - International,12 MPother unspecified camera,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,,5080 mAh,,1080p@30fps,eMMC 5.0,PowerVR GE8320,microSDXC (uses shared SIM slot),Mediatek MT6761 Helio A22 (12 nm),10W wired,GSM / HSPA / LTE,"2023, March 03",IPS LCD,"Android 12, Doke OS 3.0",,,Blackview,,,,FM radio,,,Quad-core 2.0 GHz Cortex-A53,,Yes,,193 g (6.81 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,16GB 3GB RAM,5 MP,,"6.5 inches, 102.0 cm2(~80.6% screen-to-body ratio)",Yes,"2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 41, 66 - USA",,,"Available. Released 2023, March",https://fdn2.gsmarena.com/vv/bigpic/blackview-a53.jpg,,"USB Type-C, OTG",Unspecified,,,Blackview A53,HSDPA 850 / 1700(AWS) / 1900 - USA,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Rock Grey, Murky Black, Starry  Blue","1, 3, 7, 8, 20, 40 - International",Wi-Fi 802.11 a/b/g/n/ac,"GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,164.6 x 76.9 x 9.4 mm (6.48 x 3.03 x 0.37 in),
eMMC 5.1,,"1200 x 2000 pixels, 5:3 ratio (~212 ppi density)",,About 170 EUR,,7680 mAh,,1080p@30fps,,Mali-G57 MP1,microSDXC (uses shared SIM slot),Unisoc Tiger T616 (12 nm),,GSM / HSPA / LTE,"2023, February 28",IPS LCD,"Android 12, Doke OS_P 3.0",8 MP,,Blackview,,,,FM Radio,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,Yes,,533 g (1.18 lb),,Nano-SIM + Nano-SIM,"128GB 8GB RAM, 256GB 8GB RAM",13 MP,,"11.0 inches, 344.4 cm2(~80.4% screen-to-body ratio)",No,,,,"Available. Released 2023, March 20",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab-16.jpg,,"USB Type-C, OTG",Accelerometer,,,Blackview Tab 16,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers","5.0, A2DP",,,"Meteorite Gray, Twilight Blue, Mint Green","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,260.1 x 164.7 x 8 mm (10.24 x 6.48 x 0.31 in),
eMMC 5.1,,"1200 x 2000 pixels, 5:3 ratio (~225 ppi density)",,About 240 EUR,,7680 mAh,,1080p@30fps,,Mali-G57 MP1,microSDXC (uses shared SIM slot),Unisoc T606 (12 nm),,GSM / HSPA / LTE,"2023, February 17",IPS LCD,"Android 12, Doke OS_P 3.0",8 MP,,Blackview,,,,FM Radio,,,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,Yes,,512 g (1.13 lb),,Nano-SIM + Nano-SIM,"128GB 8GB RAM, 256GB 8GB RAM",13 MP,,"10.36 inches, 305.5 cm2(~78.3% screen-to-body ratio)",No,,,,"Available. Released 2023, February 17",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab-11-se.jpg,,"USB Type-C, OTG",Accelerometer,,,Blackview Tab 11 SE,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers","5.0, A2DP",,,"Blue, Gray, Silver","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,249 x 156.7 x 8.1 mm (9.80 x 6.17 x 0.32 in),
eMMC 5.1,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",,,,5580 mAh,,Yes,,,microSDXC,Rockchip RK3326S,,No cellular connectivity,"2023, March 03",IPS LCD,"Android 12, Doke OS Go 3.0",0.3 MP,,Blackview,,,,No,,,,,,No,355 g (12.52 oz),,Nano-SIM + Nano-SIM,64GB 3GB RAM,2 MP,,"8.0 inches, 185.6 cm2(~69.6% screen-to-body ratio)",Yes,,,,"Available. Released 2023, March",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab-5.jpg,,"USB Type-C, OTG",No,,No,Blackview Tab 5,N/A,,Yes,"4.2, A2DP",,,"Twilight Blue, Space Gray",N/A,Wi-Fi 802.11 b/g/n,No,No,,N/A,LED flash,211.2 x 126.2 x 9.7 mm (8.31 x 4.97 x 0.38 in),
CDMA 800 / 1900,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF8 MP, f/1.8, 120˚, (ultrawide), AF0.3 MP, (depth)","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",,About 200 EUR,"1423:1 contrast ratio, 481 nits max brightness (measured)",5000 mAh,,"1440p@30fps, 1080p@30fps",UFS 2.1,Mali-G52 MC2,microSDXC (dedicated slot),Mediatek MT6781 Helio G96 (12 nm),66W wired30W wireless,GSM / CDMA / HSPA / LTE,"2022, December 28","IPS LCD, 120Hz","Android 12, Doke-OS 3.1",,,Blackview,,,Corning Gorilla Glass 5,FM radio,,,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p,,310 g (10.93 oz),,Nano-SIM + Nano-SIM,256GB 8GB RAM,"16 MP, f/2.0, (wide), 1/3"", 1.0µm",,"6.6 inches, 104.9 cm2(~73.5% screen-to-body ratio)",No,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliant,,-26.3 LUFS (Good),"Available. Released 2023, January 09",https://fdn2.gsmarena.com/vv/bigpic/blackview-bv-9200.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",,,Blackview BV9200,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE","Yes, with dual speakers","5.2, A2DP, LE",,,"Black, Orange, Green","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",174.5 x 81.8 x 13.6 mm (6.87 x 3.22 x 0.54 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,About 100 EUR,,5180 mAh,,1080p@30fps,,PowerVR GE8320,microSDXC (dedicated slot),Mediatek MT6765 Helio G35 (12 nm),10W wiredReverse wired,GSM / HSPA / LTE,"2022, December 05",IPS LCD,"Android 12, Doke-OS 3.0",,,Blackview,,,,FM radio,,,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,Yes,,268 g (9.45 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,8 MP,,"6.1 inches, 91.3 cm2(~72.6% screen-to-body ratio)",No,,,,"Available. Released 2022, December 05",https://fdn2.gsmarena.com/vv/bigpic/blackview-bv5200-pro.jpg,,"USB Type-C, OTG",Unspecified,,,Blackview BV5200 Pro,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"13 MP, (wide), 1/3.06"", PDAFSecondary unspecified camera","Black, Orange, Green","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",161.6 x 77.9 x 13.7 mm (6.36 x 3.07 x 0.54 in),
UFS 2.1,,"720 x 1612 pixels, 20:9 ratio (~272 ppi density)",,About 160 EUR,,4480 mAh,,1080p@30fps,,Mali-G57 MP1,microSDXC (dedicated slot),Unisoc T606 (12 nm),18W wired,GSM / HSPA / LTE,"2022, November 22","IPS LCD, 90Hz","Android 12, Doke OS 3.0",,,Blackview,,,,FM radio,,,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,Yes,,193 g (6.81 oz),"Glass front, aluminum frame, glass back",Nano-SIM + Nano-SIM,128GB 8GB RAM,"8 MP, (wide), 1/4.0"", 1.12µm",,"6.5 inches, 101.5 cm2(~81.2% screen-to-body ratio)",Yes,,,,"Available. Released 2022, November 25",https://fdn2.gsmarena.com/vv/bigpic/blackview-a85.jpg,,"Yes, OTG","Fingerprint (side-mounted), accelerometer, proximity",,,Blackview A85,HSDPA 900 / 2100,"HSPA, LTE",Yes,Yes,,"50 MP, (wide), 1/2.76"", 0.64µm, PDAF8 MP, 120˚ (ultrawide)","Black, Blue, Sky","1, 3, 7, 8, 20, 40",Yes,"GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",164.3 x 76.1 x 8.7 mm (6.47 x 3.00 x 0.34 in),
eMMC,,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 100 EUR,,5180 mAh,,1080p@30fps,,PowerVR GE8322,microSDXC (uses shared SIM slot),Unisoc SC9863A1 (28 nm),,GSM / HSPA / LTE,"2022, November 22",IPS LCD,"Android 12, Doke OS G0 3.0",,,Blackview,,,,Unspecified,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,Yes,,183.6 g (6.49 oz),,Nano-SIM + Nano-SIM,32GB 2GB RAM,5 MP,,"6.5 inches, 102.0 cm2(~100.2% screen-to-body ratio)",Yes,,,,"Available. Released 2022, November 25",https://fdn2.gsmarena.com/vv/bigpic/blackview-a52.jpg,,microUSB 2.0,Unspecified,,,Blackview A52,HSDPA 900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP",,13 MPother unspecified camera,"Polar Night, Vitality Green, Ice Blue","1, 3, 7, 8, 20",Wi-Fi 802.11 b/g/n,"GPS, GLONASS, GALILEO",No,,GSM 850 / 900 / 1800 / 1900,LED flash,164.2 x 62 x 9.1 mm (6.46 x 2.44 x 0.36 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliant,,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,About 250 EUR,,5180 mAh,,1080p@30fps,,Mali-G52 MC2,microSDXC (uses shared SIM slot),Mediatek MT6769Z Helio G85 (12 nm),18W wired2.5W reverse wired,GSM / HSPA / LTE,"2022, October 26",IPS LCD,"Android 12, Doke-OS 3.0",,,Blackview,,,Corning Gorilla Glass 3,FM radio,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,1080p@30fps,,288 g (10.16 oz),,Nano-SIM + Nano-SIM,128GB 6GB RAM,"8 MP, f/2.2, (wide), 1/4.0"", 1.12µm",,"6.1 inches, 91.3 cm2(~67.7% screen-to-body ratio)",No,eMMC 5.1,,,"Available. Released 2022, November 01",https://fdn2.gsmarena.com/vv/bigpic/blackview-bv7200.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), gyro, accelerometer, compass, barometer",,,Blackview BV7200,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF8 MP, 117˚ (ultrawide)","Black, Orange, Green","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"Dual-LED flash, HDR, panorama",165.3 x 81.6 x 16 mm (6.51 x 3.21 x 0.63 in),
eMMC 5.1,,"1200 x 1920 pixels, 16:10 ratio (~216 ppi density)",,About 230 EUR,,8280 mAh,,1080p@30fps,,Mali-G52 MP2,microSDXC (uses shared SIM slot),Unisoc T610 (12 nm),18W wired,GSM / HSPA / LTE,"2022, October 26",IPS LCD,"Android 12, Doke OS_P 3.0",8 MP,,Blackview,,,,FM Radio,,,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,Yes,,525 g (1.16 lb),,Nano-SIM + Nano-SIM,128GB 8GB RAM,13 MP,,"10.5 inches, 319.7 cm2(~80.3% screen-to-body ratio)",Yes,,,,"Available. Released 2022, October 26",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab15.jpg,,"USB Type-C, OTG",Accelerometer,,,Blackview Tab 15,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers","5.0, A2DP",,,"Lunar Silver, Twilight Blue, Space Gray","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO",No,,GSM 850 / 900 / 1800 / 1900,LED flash,246.4 x 161.5 x 7.3 mm (9.70 x 6.36 x 0.29 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,About 120 EUR,,5180 mAh,,1080p@30fps,,PowerVR GE8320,microSDXC (uses shared SIM slot),Mediatek MT6761 Helio A22 (12 nm),10W wired5W reverse wired,GSM / HSPA / LTE,"2022, September 07","IPS LCD, 450 nits","Android 12, Doke-OS 3.0",,,Blackview,,,,FM radio,,,Quad-core 2.0 GHz Cortex-A53,,Yes,,268 g (9.45 oz),,Nano-SIM + Nano-SIM,32GB 4GB RAM,5 MP,,"6.1 inches, 91.3 cm2(~72.6% screen-to-body ratio)",No,,,,"Available. Released 2022, September 14",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV5200.jpg,,"USB Type-C, OTG","Accelerometer, gyro, compass",,,Blackview BV5200,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"13 MP, (wide), AFSecondary unspecified camera","Black, Orange, Green","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",161.6 x 77.9 x 13.7 mm (6.36 x 3.07 x 0.54 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,"12 MP, f/2.0, (wide), 1/2.55"", 1.4µm, dual pixel AF8 MP, 117˚ (ultrawide)2 MP, (depth)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",,About 220 EUR,,13000 mAh,,1080p@30fps,,Mali-G52 MC2,microSDXC (uses shared SIM slot),Mediatek MT6769Z Helio G85 (12 nm),"33W wired, 51% in 66 minReverse wired",GSM / HSPA / LTE,"2022, September 07","IPS LCD, 90Hz, 480 nits","Android 12, Doke-OS 3.0",,,Blackview,,,,FM radio,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,1080p@30fps,,460 g (1.01 lb),,Nano-SIM + Nano-SIM,128GB 6GB RAM,8 MP,,"6.58 inches, 104.3 cm2(~73.6% screen-to-body ratio)",No,eMMC 5.1,,,"Available. Released 2022, September 14",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV7100.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, compass",,,Blackview BV7100,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Black, Orange, Green","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",174 x 81.4 x 18.9 mm (6.85 x 3.20 x 0.74 in),
eMMC 5.1,,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",,,,7280 mAh,,1080p@30fps,,Mali-G52 MC2,microSDXC (uses shared SIM slot),Mediatek MT6769Z Helio G85 (12 nm),,GSM / HSPA / LTE,"2022, August 20",IPS LCD,"Android 12, Doke OS_P 3.0",,,Blackview,,,,FM Radio,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,Yes,,450 g (0.99 lb),,Nano-SIM + Nano-SIM,128GB 6GB RAM,8 MP,,"10.1 inches, 295.8 cm2(~78.6% screen-to-body ratio)",No,,,,"Available. Released 2022, August 20",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab13.jpg,,"USB Type-C, OTG",Accelerometer,,,Blackview Tab 13,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers","5.0, A2DP",,13 MP2 MP,"Twilight Blue, Space Gray, Silver","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,,238.8 x 157.6 x 7.7 mm (9.40 x 6.20 x 0.30 in),
eMMC 5.1,,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,About 140 EUR,,6580 mAh,,1080p@30fps,,PowerVR GE8300,microSDXC (uses shared SIM slot),Unisoc Tiger T310 (12 nm),10W wired,GSM / HSPA / LTE,"2022, July 05",IPS LCD,Android 11,"2 MP, f/2.8",,Blackview,,,Asahi Glass,FM Radio,,,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),,Yes,,536 g (1.18 lb),,Nano-SIM + Nano-SIM,32GB 3GB RAM,"5 MP, f/2.0",,"10.1 inches, 295.8 cm2(~76.6% screen-to-body ratio)",Yes,,,,"Available. Released 2022, July 05",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab7.jpg,,"USB Type-C, OTG",Accelerometer,,,Blackview Tab 7,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP",,,"Grey, Blue, Silver","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,241.3 x 160 x 8.9 mm (9.50 x 6.30 x 0.35 in),
eMMC 5.1,,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",,About 160 EUR,,6580 mAh,,1440p@30fps,,IMG8322,microSDXC,Unisoc SC9863A (28 nm),10W wired,GSM / HSPA / LTE,"2022, May 15",IPS LCD,Android 11,"5 MP, f/2.2, (wide)",,Blackview,,,Asahi Glass,FM radio,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,Yes,,430 g (15.17 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"13 MP, f/2.2, (wide)",,"10.1 inches, 295.8 cm2(~78.7% screen-to-body ratio)",Yes,,,,"Available. Released 2022, May 31",https://fdn2.gsmarena.com/vv/bigpic/blackview-Tab12.jpg,,"USB Type-C, OTG",Accelerometer,,,Blackview Tab 12,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers","5.0, A2DP, LE",,,"Gray, Blue, Silver","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, BDS",No,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR",238.5 x 157.5 x 7.4 mm (9.39 x 6.20 x 0.29 in),
CDMA 800 / 1900,,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)","50 MP, f/1.8, (wide), PDAF5 MP, thermal assisted cameraFLIR thermal camera (Lepton module)2x 2 MP, (depth)",About 300 EUR,,8380 mAh,,1440p@30fps,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,Mali-G57 MC2,No,Mediatek Dimensity 700 (7 nm),"33W wired, 31% in 30 min, 100% in 90 minReverse wired",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,"2022, May 09","IPS LCD, 480 nits","Android 11, Doke-OS 3.0",,,Blackview,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA",,,FM radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,367 g (12.95 oz),,Nano-SIM + Nano-SIM,128GB 8GB RAM,"16 MP, f/2.0, (wide)",UFS 2.1,"6.58 inches, 104.3 cm2(~70.9% screen-to-body ratio)",No,CDMA2000 1x,,,"Available. Released 2022, May 09",https://fdn2.gsmarena.com/vv/bigpic/blackview-bl8800-pro.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",,,Blackview BL8800 Pro,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",Yes,"5.1, A2DP, LE",,,"Black, Orange, Green","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 66",Wi-Fi 802.11 a/b/g/n/ac,"GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"Thermal imaging, Dual-LED flash, HDR, panorama",176.2 x 83.5 x 17.7 mm (6.94 x 3.29 x 0.70 in),
CDMA 800 / 1900,,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",,About 480 EUR,,8380 mAh,,1440p@30fps,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,Mali-G57 MC2,No,Mediatek Dimensity 700 (7 nm),"33W wired, 31% in 30 min, 100% in 90 minReverse wired",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,"2022, May 09","IPS LCD, 480 nits","Android 11, Doke-OS 3.0",,,Blackview,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA",,,FM radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,367 g (12.95 oz),,Nano-SIM + Nano-SIM,128GB 8GB RAM,"16 MP, f/2.0, (wide)",UFS 2.1,"6.58 inches, 104.3 cm2(~70.9% screen-to-body ratio)",No,CDMA2000 1x,,,"Available. Released 2022, May 09",https://fdn2.gsmarena.com/vv/bigpic/blackview-bl8800.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",,,Blackview BL8800,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",Yes,"5.1, A2DP, LE",,,"Black, Orange, Green","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 66",Wi-Fi 802.11 a/b/g/n/ac,"GPS, GLONASS, GALILEO, BDS",Yes,"50 MP, f/1.8, (wide), PDAF8 MP, f/2.2, 117˚ (ultrawide)20 MP, f/1.8, (IR camera), 2 IR emitters2 MP, (depth)",GSM 850 / 900 / 1800 / 1900,"Dual-LED flash, HDR, panorama",176.2 x 83.5 x 17.7 mm (6.94 x 3.29 x 0.70 in),
