,Triple,Resolution,Penta,Price,Display,Type_1,512GB 12GB RAM,Video,_2,GPU,Card slot,Chipset,Charging,Technology,Announced,Type,OS,Single_1,Features_1,Brand,5G bands,Dual_1,Protection,Radio,256GB 8GB RAM,Performance,CPU,_4,Video_1,EDGE,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Camera,Loudspeaker_1,Status,Model Image,Languages,USB,Sensors,Battery (old),GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,256GB 12GB RAM,Dual,Colors,4G bands,WLAN,Positioning,NFC,Quad,2G bands,Features,Dimensions,SAR
eMMC,"13 MP, f/1.9, (wide), AFother unspecified cameras","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,About 130 EUR,,4780 mAh,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6762V Helio P22 (12 nm),,GSM / HSPA / LTE,"2022, March 07",IPS LCD,Android 11,,,Blackview,,,,FM radio,,,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),,Yes,,197 g (6.95 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"5 MP, f/2.2, (wide)",,"6.53 inches, 102.9 cm2(~81.4% screen-to-body ratio)",Yes,,,,"Available. Released 2022, March",https://fdn2.gsmarena.com/vv/bigpic/blackview-A55pro.jpg,,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity",,,Blackview A55 Pro,HSDPA 900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP",,,"Black, Blue, White, Green","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,164.8 x 76.7 x 9.2 mm (6.49 x 3.02 x 0.36 in),
eMMC,"13 MP, f/2.0, (wide), AFother unspecified cameras","720 x 1560 pixels, 19.5:9 ratio (~286 ppi density)",,About 120 EUR,,4280 mAh,,1080p@30fps,,PowerVR GE8300,microSDXC,Unisoc Tiger T310 (12 nm),,GSM / HSPA / LTE,"2022, March 04",IPS LCD,Android 11,,,Blackview,,,,FM radio,,,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),,Yes,,156 g (5.50 oz),,Nano-SIM + Nano-SIM,64GB 3GB RAM,"5 MP, f/2.2, (wide)",,"6.01 inches, 88.7 cm2(~77.8% screen-to-body ratio)",Yes,,,,"Available. Released 2022, March",https://fdn2.gsmarena.com/vv/bigpic/blackview-A50.jpg,,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity",,,Blackview A50,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Black, Green, Blue, Gradient","1, 3, 7, 8, 20, 40",Wi-Fi 802.11 b/g/n/ac,"GPS, GLONASS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,156.4 x 72.9 x 8.9 mm (6.16 x 2.87 x 0.35 in),
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"20 MP, f/1.8, (wide), PDAFother unspecified cameras","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,About 190 EUR,,4380 mAh,,"1080p@30fps, HDR",UFS 2.1,Mali-G72 MP3,microSDXC,Mediatek MT6771V/CT Helio P70 (12 nm),18W wired,GSM / HSPA / LTE,"2022, January 22",IPS LCD,Android 11,,,Blackview,,,,FM radio,,,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,1080p@30fps,,195 g (6.88 oz),,Nano-SIM + Nano-SIM,128GB 8GB RAM,"8 MP, f/2.2, (wide)",,"6.53 inches, 102.9 cm2(~83.3% screen-to-body ratio)",No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 41, 66 - USA",,,"Available. Released 2022, February",https://fdn2.gsmarena.com/vv/bigpic/blackview-A95.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity",,,Blackview A95,HSDPA 900 / 2100 - EU,"HSPA, LTE",Yes,"4.2, A2DP, LE",,,"Black, Gold, Blue","1, 3, 7, 8, 20, 40 - EU","Wi-Fi 802.11 b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR",163.7 x 75.5 x 8.6 mm (6.44 x 2.97 x 0.34 in),
CDMA 800 / 1900,"16 MP, f/2.0, (wide), PDAF5 MP, thermal assisted cameraFLIR thermal camera (Lepton module)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,About 260 EUR,,8580 mAh,,1080p@30fps,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,PowerVR GE8320,microSDXC,Mediatek MT6765V/CA Helio P35 (12 nm),18W wired,GSM / CDMA / HSPA / CDMA2000 / LTE,"2021, September 28",IPS LCD,Android 11,,,Blackview,,,Dragontrail Glass,FM radio,,,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,1080p@30fps,,325 g (11.46 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"8 MP, f/2.0, (wide)",eMMC,"5.7 inches, 83.8 cm2(~66.4% screen-to-body ratio)",No,CDMA2000 1x,,,"Available. Released 2021, October",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV6600pro-b.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview BV6600 Pro,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Black, Orange, Green","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 18, 20, 28, 25, 26, 38, 40, 41, 66",Wi-Fi 802.11 a/b/g/n/ac,"GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"Thermal imaging, LED flash",159 x 79.4 x 18 mm (6.26 x 3.13 x 0.71 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,About 150 EUR,,8580 mAh,,1080p@30fps,,IMG8322,microSDXC,Unisoc SC9863A (28 nm),10W wired,GSM / HSPA / LTE,"2021, September",IPS LCD,Android 11,"5 MP, f/2.2, (wide)",,Blackview,,,Dragontrail Glass,FM radio,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,Yes,,325 g (11.46 oz),,Nano-SIM + Nano-SIM,32GB 4GB RAM,"13 MP, f/2.2, (wide), AF",,"5.7 inches, 83.8 cm2(~66.4% screen-to-body ratio)",No,eMMC,,,"Available. Released 2021, October",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV6600E-b.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview BV6600E,HSDPA 900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",,,"Black, Orange, Green","1, 3, 7, 8, 20, 40",Wi-Fi 802.11 b/g/n,"GPS, GLONASS, BDS",No,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR",159 x 79.4 x 18 mm (6.26 x 3.13 x 0.71 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,About 120 EUR,,5580 mAh,,1080p@30fps,,IMG8322,microSDXC,Unisoc SC9863A (28 nm),,GSM / HSPA / LTE,"2021, October 02",IPS LCD,Android 11 (Go edition),"5 MP, f/2.2, (wide)",,Blackview,,,Dragontrail Glass,FM radio,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,Yes,,261 g (9.21 oz),,Nano-SIM + Nano-SIM,32GB 2GB RAM,"8 MP, f/2.4, (wide), AF",,"5.7 inches, 83.8 cm2(~68.2% screen-to-body ratio)",Yes,eMMC,,,"Available. Released 2021, October",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV4900s-b.jpg,,"microUSB 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview BV4900s,HSDPA 900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",,,"Black, Orange, Green, Yellow","1, 3, 7, 8, 20, 40",Wi-Fi 802.11 b/g/n,"GPS, GLONASS, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,157.5 x 78.1 x 13.7 mm (6.20 x 3.07 x 0.54 in),
eMMC 5.1,,"1200 x 2000 pixels, 5:3 ratio (~225 ppi density)",,About 210 EUR,,6580 mAh,,720p,,Mali G52 MP2,microSDXC,Unisoc Tiger T618 (12 nm),10W wired,GSM / HSPA / LTE,"2021, November 15",IPS LCD,Android 11,,,Blackview,,,Asahi Glass,FM radio,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,720p,,460 g (1.01 lb),,Nano-SIM + Nano-SIM,128GB 8GB RAM,"8 MP, f/2.2, (wide)",,"10.36 inches, 305.5 cm2(~78.9% screen-to-body ratio)",Yes,,,,"Available. Released 2021, November",https://fdn2.gsmarena.com/vv/bigpic/blackview-TAB11.jpg,,"USB Type-C, OTG","Accelerometer, proximity",,,Blackview Tab 11,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers","5.0, A2DP, LE",,"13 MP, f/2.0, (wide)other unspecified camera","Gray, Green, Silver","1, 3, 7, 8, 20",Wi-Fi 802.11 a/b/g/n/ac,"GPS, GLONASS, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,247 x 156.7 x 8.1 mm (9.72 x 6.17 x 0.32 in),
eMMC,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",,About 120 EUR,,5580 mAh,,Yes,,PowerVR GE8300,microSDXC,Unisoc Tiger T310 (12 nm),,GSM / HSPA / LTE,"2021, November 15",IPS LCD,Android 11,"2 MP, f/2.2, (wide)",,Blackview,,,Innolux Glass,FM radio,,,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),,Yes,,365 g (12.87 oz),,Nano-SIM + Nano-SIM,32GB 3GB RAM,"5 MP, f/2.2, (wide)",,"8.0 inches, 185.6 cm2(~72.1% screen-to-body ratio)",Yes,,,,"Available. Released 2021, November",https://fdn2.gsmarena.com/vv/bigpic/blackview-TAB6.jpg,,"USB Type-C, OTG",Accelerometer,,,Blackview Tab 6,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Gray, Gold, Blue","1, 3, 7, 8, 20","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,207.6 x 124 x 9.5 mm (8.17 x 4.88 x 0.37 in),
eMMC 5.1,"12 MP, f/1.8, (wide), AFother unspecified cameras","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)",,About 150 EUR,,4280 mAh,,"1080p@30fps, HDR",,Mali-G72 MP3,microSDXC,Mediatek MT6771 Helio P60 (12 nm),10W wired,GSM / HSPA / LTE,"2021, May 04",IPS LCD,Android 11,,,Blackview,,,,FM radio,,,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,1080p@30fps,,185 g (6.53 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"8 MP, f/2.2, (wide)",,"6.39 inches, 100.2 cm2(~77.7% screen-to-body ratio)",No,,,,"Available. Released 2021, May",https://fdn2.gsmarena.com/vv/bigpic/blackview-A90.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview A90,HSDPA 850 / 900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",,,"Black, Blue, Orange, Purple","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR",166.3 x 77.6 x 8.8 mm (6.55 x 3.06 x 0.35 in),
CDMA 800,,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",,About 170 EUR,,7480 mAh,,1080p@30fps,,Mali-G52 MP2,microSDXC,Unisoc T610 (12 nm),10W wired,GSM / CDMA / HSPA / LTE,"2021, March 24",IPS LCD,Android 10,"5 MP, f/2.4, (wide)",,Blackview,,,Asahi Glass,FM radio,,,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,Yes,,570 g (1.26 lb),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"13 MP, f/2.2, (wide)",,"10.1 inches, 295.8 cm2(~74.7% screen-to-body ratio)",Yes,eMMC,,,"Available. Released 2021, April",https://fdn2.gsmarena.com/vv/bigpic/blackview-TAB9.jpg,,"USB Type-C, OTG",No,,,Blackview Tab 9,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Gray, Gold","1, 3, 7, 8, 20","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,243.7 x 162.5 x 8.5 mm (9.59 x 6.40 x 0.33 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,About 160 EUR,,8580 mAh,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6762V/WD Helio A25 (12 nm),18W wired,GSM / HSPA / LTE,"2021, March 05",IPS LCD,Android 10,"8 MP, f/2.0, (wide)",,Blackview,,,Corning Gorilla Glass 3,FM radio,,,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),,1080p@30fps,,325 g (11.46 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"16 MP, f/2.0, (wide), PDAF",,"5.7 inches, 83.8 cm2(~66.4% screen-to-body ratio)",No,eMMC,,,"Available. Released 2021, March",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV6600-b.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview BV6600,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Black, Orange, Green","1, 3, 7, 8, 20, 40",Wi-Fi 802.11 a/b/g/n/ac,"GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR",159 x 79.4 x 18 mm (6.26 x 3.13 x 0.71 in),
CDMA 800 / 1900,"12 MP, f/1.8, (wide), dual pixel PDAF8 MP, (ultrawide)0.3 MP, (depth)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,About 180 EUR,,4680 mAh,,1080p@30fps,UFS 2.1,Mali-G72 MP3,microSDXC,Mediatek MT6771T Helio P70 (12 nm),18W wired,GSM / CDMA / HSPA / CDMA2000 / LTE,"2021, June 21",IPS LCD,Android 11,,,Blackview,,,,FM radio,,,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,1080p@30fps,,195 g (6.88 oz),,Nano-SIM + Nano-SIM,128GB 6GB RAM,"8 MP, (wide)",,"6.67 inches, 107.4 cm2(~83.2% screen-to-body ratio)",No,CDMA2000 1x,,,"Available. Released 2021, June",https://fdn2.gsmarena.com/vv/bigpic/blackview-A100.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview A100,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",,,"Gray, Blue, Green, Pink","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,LED flash,166.3 x 77.6 x 8.8 mm (6.55 x 3.06 x 0.35 in),
eMMC,,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",,About 180 EUR,,7480 mAh,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MTK8768,18W wired,GSM / HSPA / LTE,"2021, June 08",IPS LCD,Android 11,"8 MP, f/2.2, (wide)",,Blackview,,,Rainbow Glass,FM radio,,,Octa-core 2.0 GHz Cortex-A53,,1080p@30fps,,523 g (1.15 lb),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"13 MP, f/2.2, (wide)",,"10.1 inches, 295.8 cm2(~75.1% screen-to-body ratio)",No,,,,"Available. Released 2021, June",https://fdn2.gsmarena.com/vv/bigpic/blackview-TAB10.jpg,,"USB Type-C, OTG","Accelerometer, gyro, proximity",,,Blackview Tab 10,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Gray, Gold, Silver","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,243 x 162 x 8.4 mm (9.57 x 6.38 x 0.33 in),
CDMA 800 / 1900,,1080 x 2300 pixels (~400 ppi density),,About 260 EUR,,4980 mAh,,1440p@30fps,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,Mali-G57 MC2,No,Mediatek Dimensity 700 (7 nm),30W wired,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,"2021, July 29",IPS LCD,Android 11,,,Blackview,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA",,Corning Gorilla Glass 5,FM radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,273 g (9.63 oz),,Nano-SIM + Nano-SIM,128GB 8GB RAM,"16 MP, f/2.0, (wide)",UFS 2.2,"6.36 inches, 100.4 cm2(~76.1% screen-to-body ratio)",No,CDMA2000 1x,,,"Available. Released 2021, August",https://fdn2.gsmarena.com/vv/bigpic/blackview-BL5000-b.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",,,Blackview BL5000,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",Yes,"5.2, A2DP, LE",,"12 MP, f/1.8, (wide), PDAF16 MP, 125˚ (ultrawide)","Black, Orange, Green","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",Wi-Fi 802.11 a/b/g/n/ac,"GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",164 x 80.4 x 12.8 mm (6.46 x 3.17 x 0.50 in),
eMMC,"13 MP, f/2.2, (wide), AFother unspecified cameras","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,About 120 EUR,,5380 mAh,,1080p@30fps,,IMG8322,microSDXC,Unisoc SC9863A (28 nm),10W wired,GSM / HSPA / LTE,"2021, January 26",IPS LCD,Android 11,,,Blackview,,,,FM radio,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,Yes,,205 g (7.23 oz),,Nano-SIM + Nano-SIM,32GB 3GB RAM,"5 MP, f/2.2, (wide)",,"6.52 inches, 102.6 cm2(~80.1% screen-to-body ratio)",Yes,,,,"Available. Released 2021, February",https://fdn2.gsmarena.com/vv/bigpic/blackview-A70.jpg,,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity",,,Blackview A70,HSDPA 850 / 900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",,,"Black, Blue, Red, Green","1, 3, 7, 8, 20, 40, 41",Wi-Fi 802.11 b/g/n,"GPS, GLONASS, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,165.3 x 77.5 x 8.3 mm (6.51 x 3.05 x 0.33 in),
eMMC 5.1,,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)",,About 130 EUR,,4200 mAh,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6762V/WD Helio A25 (12 nm),,GSM / HSPA / LTE,"2021, January 12",IPS LCD,Android 10,,,Blackview,,,,FM radio,,,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),,Yes,,180 g (6.35 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"5 MP, (wide)",,"6.22 inches, 96.6 cm2(~80.3% screen-to-body ratio)",Yes,,,,"Available. Released 2021, January",https://fdn2.gsmarena.com/vv/bigpic/blackview-A80s.jpg,,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity",,,Blackview A80s,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",,,"Black, Blue, Red","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, BDS",Yes,"13 MP, f/2.2, (wide), AFother unspecified cameras",GSM 850 / 900 / 1800 / 1900,"LED flash, HDR",157.6 x 76.3 x 8.8 mm (6.20 x 3.00 x 0.35 in),
eMMC,,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",,About 140 EUR,,6580 mAh,,1080p@30fps,,IMG8322,microSDXC,Unisoc SC9863A (28 nm),10W wired,No cellular connectivity,"2021, January 06",IPS LCD,Android 10,"5 MP, f/2.2, (wide)",,Blackview,,,Asahi Glass,FM radio,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,Yes,N/A,600 g (1.32 lb),,No,32GB 3GB RAM,"13 MP, f/2.2, (wide)",,"10.1 inches, 295.8 cm2(~74.8% screen-to-body ratio)",Yes,,,,"Available. Released 2021, January",https://fdn2.gsmarena.com/vv/bigpic/blackview-TAB8E.jpg,,"USB Type-C, OTG",Accelerometer,,N/A,Blackview Tab 8E,N/A,N/A,Yes,"5.0, A2DP, LE",,,"Gray, Gold",N/A,Wi-Fi 802.11 b/g/n/ac,"GPS, GLONASS, GALILEO, BDS",No,,N/A,LED flash,243.6 x 162.4 x 8.9 mm (9.59 x 6.39 x 0.35 in),
CDMA 800 / 1900,,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",,About 350 EUR,"1348:1 contrast ratio, 501 nits max brightness (measured)",8380 mAh,,1440p@30fps,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,Mali-G57 MC2,No,Mediatek MT6781 Helio G96 (12 nm),"33W wired, 31% in 30 min, 100% in 90 minReverse wired",GSM / CDMA / HSPA / CDMA2000 / LTE,"2021, December 24","IPS LCD, 90Hz, 480 nits","Android 11, Doke-OS 3.0",,,Blackview,,,,FM radio,,"AnTuTu: 254849 (v8), 288964 (v9)GeekBench: 1752 (v5.1)GFXBench: 10fps (ES 3.1 onscreen)",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,367 g (12.95 oz),,Nano-SIM + Nano-SIM,128GB 8GB RAM,"16 MP, f/2.0, (wide)",UFS 2.1,"6.58 inches, 104.3 cm2(~70.9% screen-to-body ratio)",No,CDMA2000 1x,Photo/Video,-29.3 LUFS (Average),"Available. Released 2022, January 10",https://fdn2.gsmarena.com/vv/bigpic/blackview-bv8800.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Endurance rating 199h,,Blackview BV8800,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.2, A2DP, LE",,,"Black, Orange, Green","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 34, 38, 39, 40, 41, 66",Wi-Fi 802.11 a/b/g/n/ac,"GPS, GLONASS, GALILEO, BDS",Yes,"50 MP, f/1.8, (wide), PDAF8 MP, f/2.2, 117˚ (ultrawide)20 MP, f/1.8, (IR camera), 2 IR emitters2 MP, (depth)",GSM 850 / 900 / 1800 / 1900,"Dual-LED flash, HDR, panorama",176.2 x 83.5 x 17.7 mm (6.94 x 3.29 x 0.70 in),
