,Triple,Resolution,Penta,Price,Display,Type_1,512GB 12GB RAM,Video,_2,GPU,Card slot,Chipset,Charging,Technology,Announced,Type,OS,Single_1,Features_1,Brand,5G bands,Dual_1,Protection,Radio,256GB 8GB RAM,Performance,CPU,_4,Video_1,EDGE,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Camera,Loudspeaker_1,Status,Model Image,Languages,USB,Sensors,Battery (old),GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,256GB 12GB RAM,Dual,Colors,4G bands,WLAN,Positioning,NFC,Quad,2G bands,Features,Dimensions,SAR
eMMC,"13 MP, f/2.2, (wide), AFother unspecified cameras","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,About 120 EUR,,5380 mAh,,1080p@30fps,,PowerVR GE8300,microSDXC,Unisoc Tiger T310 (12 nm),,GSM / HSPA / LTE,"2021, December 24",IPS LCD,Android 11,,,Blackview,,,Panda Glass,FM radio,,,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),,Yes,,205 g (7.23 oz),,Nano-SIM + Nano-SIM,32GB 4GB RAM,"5 MP, f/2.2, (wide)",,"6.52 inches, 102.6 cm2(~80.7% screen-to-body ratio)",Yes,,,,"Available. Released 2021, December",https://fdn2.gsmarena.com/vv/bigpic/blackview-A70pro.jpg,,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity",,,Blackview A70 Pro,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Black, Blue, Red, Green","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,165.2 x 77 x 9.6 mm (6.50 x 3.03 x 0.38 in),
Stylus support,,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",,About 220 EUR,,6580 mAh,,1080p@30fps,,Mali-G72 MP3,microSDXC,Mediatek MT8788V,30W wired,GSM / HSPA / LTE,"2021, December 16",IPS LCD,Android 11,"8 MP, f/2.2, (wide)",,Blackview,,,Asahi Glass,FM radio,,,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,1080p@30fps,,588 g (1.30 lb),,Nano-SIM + Nano-SIM,128GB 8GB RAM,"13 MP, f/2.2, (wide)",,"10.1 inches, 295.8 cm2(~75.1% screen-to-body ratio)",No,UFS,,,"Available. Released 2021, December",https://fdn2.gsmarena.com/vv/bigpic/blackview-TAB10pro.jpg,,"USB Type-C, OTG","Accelerometer, gyro, proximity, compass",,,Blackview Tab 10 Pro,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers","5.0, A2DP, LE",,,"Gray, Gold, Silver","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,243 x 162 x 8.8 mm (9.57 x 6.38 x 0.35 in),
eMMC,"8 MP, f/2.2, (wide), AFother unspecified cameras","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,About 100 EUR,,4780 mAh,,1080p@30fps,,PowerVR GE8300,microSDXC,Mediatek MT6761V Helio A22 (12 nm),,GSM / HSPA / LTE,"2021, December 06",IPS LCD,Android 11,,,Blackview,,,,FM radio,,,Quad-core 2.0 GHz Cortex-A53,,Yes,,196 g (6.91 oz),,Nano-SIM + Nano-SIM,16GB 3GB RAM,"5 MP, f/2.2, (wide)",,"6.53 inches, 102.9 cm2(~81.6% screen-to-body ratio)",Yes,,,,"Available. Released 2021, December",https://fdn2.gsmarena.com/vv/bigpic/blackview-A55.jpg,,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity",,,Blackview A55,HSDPA 900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP",,,"Gray, Green, Blue, Gradient","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,164.5 x 76.7 x 9.1 mm (6.48 x 3.02 x 0.36 in),
CDMA 800 / 1900,,"1080 x 2280 pixels, 19:9 ratio (~432 ppi density)",,About 260 EUR,,4380 mAh,,"4K@30fps, 1080p@60fps",IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,PowerVR GM9446,microSDXC,Mediatek MT6779V/CE Helio P90 (12 nm),15W wired18W wireless,GSM / CDMA / HSPA / CDMA2000 / LTE,"2020, September 10",IPS LCD,Android 10,,,Blackview,,,Corning Gorilla Glass 5,FM radio,,,Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,273 g (9.63 oz),,Nano-SIM + Nano-SIM,128GB 6GB RAM,"16 MP, f/2.0, (wide)",UFS 2.1,"5.84 inches, 85.1 cm2(~69.5% screen-to-body ratio)",No,CDMA2000 1x,,,"Available. Released 2020, September",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV9900E-b.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",,,Blackview BV9900E,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Black, Silver","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",Wi-Fi 802.11 a/b/g/n/ac,"GPS, GLONASS, GALILEO, BDS",Yes,"48 MP, f/1.8, (wide), PDAF16 MP, 120˚ (ultrawide)2 MP, (macro)0.3 MP, (depth)",GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",156.5 x 78.3 x 14.2 mm (6.16 x 3.08 x 0.56 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,About 140 EUR,,5580 mAh,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6762V/WD Helio P22 (12 nm),,GSM / HSPA / LTE,"2020, October 18",IPS LCD,Android 10,"5 MP, f/2.2, (wide)",,Blackview,,,Dragontrail Glass,FM radio,,,Octa-core 2.0 GHz Cortex-A53,,Yes,,261 g (9.21 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"13 MP, f/2.2, (wide), AF",,"5.7 inches, 83.8 cm2(~68.2% screen-to-body ratio)",Yes,eMMC,,,"Available. Released 2020, November",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV4900Pro-b.jpg,,"microUSB 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview BV4900 Pro,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Black, Orange, Green, Yellow","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,LED flash,157.5 x 78.1 x 13.7 mm (6.20 x 3.07 x 0.54 in),
CDMA 800 / 1900,"48 MP, (wide), PDAF13 MP, 125˚ (ultrawide)0.3 MP",1080 x 2300 pixels (~400 ppi density),,About 380 EUR,,5280 mAh,,4K@30fps,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,Mali-G57 MP4,No,Mediatek Dimensity 800 (7 nm),18W wiredWireless,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,"2020, November 17",IPS LCD,"Android 10, upgradable to Android 11",,,Blackview,"1, 3, 5, 8, 20, 28, 38, 41, 77, 78, 79 SA/NSA",,Corning Gorilla Glass 3,FM radio,,,Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),,1080p@30fps,,273 g (9.63 oz),,Nano-SIM + Nano-SIM,258GB 8GB RAM,"16 MP, f/2.0, (wide)",UFS 2.1,"6.36 inches, 100.4 cm2(~74.1% screen-to-body ratio)",No,CDMA2000 1x,,,"Available. Released 2020, November",https://fdn2.gsmarena.com/vv/bigpic/blackview-BL6000Pro-b.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",,,Blackview BL6000 Pro,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",Yes,"5.1, A2DP, LE",,,"Black, Gray, Silver","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",Wi-Fi 802.11 a/b/g/n/ac,"GPS, GLONASS, GALILEO, BDS, QZSS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",166.7 x 81.3 x 12.8 mm (6.56 x 3.20 x 0.50 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,"16 MP, f/2.0, (wide), AF8 MP, f/2.2, 117˚ (ultrawide)0.3 MP","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,About 180 EUR,,5580 mAh,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6762V/WD Helio P22 (12 nm),18W wiredWireless,GSM / HSPA / LTE,"2020, November 13",IPS LCD,Android 10,,,Blackview,,,Corning Gorilla Glass 3,FM radio,,,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),,1080p@30fps,,275 g (9.70 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"13 MP, f/2.2, (wide)",,"5.7 inches, 83.8 cm2(~67.7% screen-to-body ratio)",No,eMMC,,,"Available. Released 2020, November",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV5100-b.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview BV5100,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Black, Orange, Green, Yellow","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66",Wi-Fi 802.11 a/b/g/n,"GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR",159.4 x 77.7 x 13.7 mm (6.28 x 3.06 x 0.54 in),
eMMC,,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",,About 150 EUR,,6580 mAh,,1080p@30fps,,IMG8322,microSDXC,Unisoc SC9863A (28 nm),10W wired,GSM / HSPA / LTE,"2020, July 21",IPS LCD,Android 10,"5 MP, f/2.2, (wide)",,Blackview,,,Asahi Glass,FM radio,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,Yes,,600 g (1.32 lb),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"13 MP, f/2.2, (wide)",,"10.1 inches, 295.8 cm2(~74.8% screen-to-body ratio)",Yes,,,,"Available. Released 2020, July",https://fdn2.gsmarena.com/vv/bigpic/blackview-TAB8.jpg,,"USB Type-C, OTG",Accelerometer,,,Blackview Tab 8,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Gray, Gold","1, 3, 7, 8, 20",Wi-Fi 802.11 b/g/n/ac,"GPS, GLONASS, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,243.6 x 162.4 x 8.9 mm (9.59 x 6.39 x 0.35 in),
CDMA 800 / 1900,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,About 200 EUR,,4380 mAh,,1080p@30fps,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,Mali-G72 MP3,microSDXC,Mediatek MT6771T Helio P70 (12 nm),18W wired10W wireless,GSM / CDMA / HSPA / CDMA2000 / LTE,"2020, February 24",IPS LCD,Android 10,,,Blackview,,,Corning Gorilla Glass 3,FM radio,,,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,1080p@30fps,,230 g (8.11 oz),,Nano-SIM + Nano-SIM,128GB 6GB RAM,"13 MP, f/2.2, (wide)",eMMC,"5.7 inches, 83.8 cm2(~67.2% screen-to-body ratio)",Yes,CDMA2000 1x,,,"Available. Released 2020, May",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV6300pro-b.jpg,,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,Blackview BV6300 Pro,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",,,"Black, Orange, Green, Yellow","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66",Wi-Fi 802.11 a/b/g/n,"GPS, GLONASS, BDS",Yes,"16 MP, f/2.0, (wide), PDAF8 MP, f/2.2, 120˚ (ultrawide)2 MP, f/2.0, (macro)0.3 MP, f/1.8, (depth)",GSM 850 / 900 / 1800 / 1900,"Dual-LED flash, HDR",159.6 x 78.2 x 12.8 mm (6.28 x 3.08 x 0.50 in),
eMMC,,"720 x 1560 pixels, 19.5:9 ratio (~265 ppi density)",,About 130 EUR,,4680 mAh,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6762V/WD Helio A25 (12 nm),10W wired,GSM / HSPA / LTE,"2020, December 10",IPS LCD,Android 10,,,Blackview,,,,FM radio,,,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),,1080p@30fps,,180 g (6.35 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"8 MP, (wide)",,"6.49 inches, 103.4 cm2(~81.6% screen-to-body ratio)",Yes,,,,"Available. Released 2020, December",https://fdn2.gsmarena.com/vv/bigpic/blackview-A80plus.jpg,,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity",,,Blackview A80 Plus,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",,,"Black, Blue, Red","1, 3, 7, 8, 20, 40",Wi-Fi 802.11 b/g/n/ac,"GPS, GLONASS, BDS",Yes,"13 MP, f/2.0, (wide), AFother unspecified cameras",GSM 850 / 900 / 1800 / 1900,"LED flash, HDR",162.8 x 77.8 x 8.8 mm (6.41 x 3.06 x 0.35 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,About 130 EUR,,5580 mAh,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6761V/WE Helio A22 (12 nm),,GSM / HSPA / LTE,"2020, August 18",IPS LCD,Android 10,"5 MP, f/2.2, (wide)",,Blackview,,,Dragontrail Glass,FM radio,,,Quad-core 2.0 GHz Cortex-A53,,Yes,,261 g (9.21 oz),,Nano-SIM + Nano-SIM,32GB 3GB RAM,"8 MP, f/2.4, (wide), AF",,"5.7 inches, 83.8 cm2(~68.2% screen-to-body ratio)",Yes,eMMC,,,"Available. Released 2020, August",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV4900-b.jpg,,"microUSB 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview BV4900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Black, Orange, Green, Yellow","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,LED flash,157.5 x 78.1 x 13.7 mm (6.20 x 3.07 x 0.54 in),
CDMA 800 / 1900,"48 MP, (wide), PDAF5 MP, thermal assisted cameraFLIR thermal camera (Lepton module)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",,About 340 EUR,,6580 mAh,,1080p@30fps,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,Mali-G72 MP3,microSDXC,Mediatek MT6771V/CT Helio P70 (12 nm),18W wired,GSM / CDMA / HSPA / CDMA2000 / LTE,"2019, October 28",IPS LCD,Android 9.0 (Pie),,,Blackview,,,,FM radio,,,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,1080p@30fps,,322 g (11.36 oz),,Nano-SIM + Nano-SIM,128GB 6GB RAM,"16 MP, f/2.0, (wide)",eMMC,"6.3 inches, 97.4 cm2(~71.4% screen-to-body ratio)",Yes,CDMA2000 1x,,,"Available. Released 2019, November",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV9800pro-b.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",,,Blackview BV9800 Pro,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP",,,"Black, Orange","1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",Wi-Fi 802.11 a/b/g/n/ac,"GPS, GLONASS, GALILEO",Yes,,GSM 850 / 900 / 1800 / 1900,"Thermal imaging, LED flash",168.5 x 81 x 14.8 mm (6.63 x 3.19 x 0.58 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)",,About 80 EUR,,5580 mAh,,1080p@30fps,,PowerVR GE8320,microSD,Mediatek MT6761 Helio A22 (12 nm),10W wired,GSM / HSPA / LTE,"2019, August 14",IPS LCD,Android 9.0 (Pie),,,Blackview,,,,FM radio,,,Quad-core 2.0 GHz Cortex-A53,,Yes,,268 g (9.45 oz),,Nano-SIM + Nano-SIM,32GB 3GB RAM,"5 MP, f/2.2, (wide)",,"5.7 inches, 81.1 cm2(~63.8% screen-to-body ratio)",Yes,eMMC,,,"Available. Released 2019, August",https://fdn2.gsmarena.com/vv/bigpic/blackview-BV5900-b.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview BV5900,HSDPA 850 / 1900  / 900 / 1800,"HSPA, LTE",Yes,"4.2, A2DP",,"13 MP, f/2.2, (wide), AF0.3 MP, f/2.8","Black, Orange, Green","1, 3, 7, 8, 20, 40",Wi-Fi 802.11 a/b/g/n,"GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,LED flash,159 x 80 x 15 mm (6.26 x 3.15 x 0.59 in),
eMMC 5.0,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,About 100 EUR,,"4180 mAh, non-removable",,1080p@30fps,,Mali-T720MP1,microSDXC (dedicated slot),Mediatek MT6737VWH,,GSM / HSPA / LTE,"2018, January",IPS LCD,Android 7.0 (Nougat),,,Blackview,,,,No,,,Quad-core 1.3 GHz Cortex-A53,,,,-,,Nano-SIM + Nano-SIM,16GB 2GB RAM,5 MP,,"5.7 inches, 83.8 cm2(~73.7% screen-to-body ratio)",Yes,,,,"Available. Released 2018, January",https://fdn2.gsmarena.com/vv/bigpic/blackview-s6.jpg,,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity",,,Blackview S6,HSDPA 900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP",,"8 MP, AF0.3 MP, (depth)","Black, Gold, Silver","1, 3, 7, 8, 20",Wi-Fi 802.11 b/g/n,GPS,No,,GSM 850 / 900 / 1800 / 1900,Dual-LED dual-tone flash,155 x 73.4 x 9.7 mm (6.10 x 2.89 x 0.38 in),
eMMC 5.1,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,About 170 EUR,,"3180 mAh, non-removable",,1080p@30fps,,Mali-T860MP2,microSDXC,Mediatek MT6750T (28 nm),10W wired,GSM / HSPA / LTE,"2017, September",IPS LCD,Android 7.0 (Nougat),,LED flash,Blackview,,"13 MP, AF, f/2.0VGA, depth sensor",,No,,,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,,190 g (6.70 oz),"Glass front, aluminum back, aluminum frame",Nano-SIM + Micro-SIM,64GB 4GB RAM,,,"5.7 inches, 83.8 cm2(~75.7% screen-to-body ratio)",Yes,,,,"Available. Released 2017, October",https://fdn2.gsmarena.com/vv/bigpic/blackview-s8.jpg,,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,Blackview S8,HSDPA 900 / 2100,"HSPA, LTE",Yes,"4.0, A2DP",,"13 MP, f/2.0, AF0.3 MP, (depth)","Black, Gold, Blue","1, 3, 7, 8, 20",Wi-Fi 802.11 b/g/n,GPS,No,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",154 x 71.9 x 8.5 mm (6.06 x 2.83 x 0.33 in),
,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,About 250 EUR,,"6180 mAh, non-removable",,1080p@30fps,,Mali-T880MP2,microSDXC,Mediatek MT6757CD Helio P25 (16 nm),10W wired,GSM / HSPA / LTE,2017,IPS LCD,Android 7.1.1 (Nougat),,,Blackview,,,,No,,,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),,,,230 g (8.11 oz),,Nano-SIM + Nano-SIM,64GB 6GB RAM,8 MP,,"5.5 inches, 83.4 cm2(~70.6% screen-to-body ratio)",Yes,,,,Available. Released 2017,https://fdn2.gsmarena.com/vv/bigpic/blackview-p6000.jpg,,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,Blackview P6000,HSDPA 900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP, LE",,"21 MP, f/2.0, AF0.3 MP, (depth)","Black, Blue","1, 3, 7, 8, 20",Wi-Fi 802.11 b/g/n,"GPS, GLONASS",No,,GSM 850 / 900 / 1800 / 1900,"Dual-LED flash, HDR, panorama",154.5 x 76.5 x 10.2 mm (6.08 x 3.01 x 0.40 in),
,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,About 70 EUR,,"2800 mAh, non-removable",,1080p@30fps,,Mali-400MP2,microSDHC (uses shared SIM slot),Mediatek MT6580A (28 nm),,GSM / HSPA,2017,IPS LCD,Android 7.0 (Nougat),,,Blackview,,,,No,,,Quad-core 1.3 GHz Cortex-A7,,,,169 g (5.96 oz),,Nano-SIM + Micro-SIM,16GB 2GB RAM,5 MP,,"5.0 inches, 68.9 cm2(~68.5% screen-to-body ratio)",Yes,,,,Available. Released 2017,https://fdn2.gsmarena.com/vv/bigpic/blackview-a10.jpg,,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer",,,Blackview A10,HSDPA 900 / 2100,HSPA,Yes,"4.0, A2DP",,"8 MP, AF5 MP, f/2.4, (depth)","Olive Black, Lily White, Barley Golden, Coral Blue",,Wi-Fi 802.11 b/g/n,GPS,No,,GSM 850 / 900 / 1800 / 1900,LED flash,143.2 x 70.3 x 8.8 mm (5.64 x 2.77 x 0.35 in),
eMMC 5.0,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,About 80 EUR,,"2800 mAh, removable",,1080p@30fps,,Mali-T720,microSDHC,Mediatek MT6737 (28 nm),,GSM / HSPA / LTE,2017,IPS LCD,Android 7.0 (Nougat),,,Blackview,,,,No,,,Quad-core 1.3 GHz Cortex-A53,,,,176 g (6.21 oz),,Dual SIM,16GB 2GB RAM,5 MP,,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",Yes,,,,Available. Released 2017,https://fdn2.gsmarena.com/vv/bigpic/blackview-a7-pro.jpg,,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer",,,Blackview A7 Pro,HSDPA 900 / 2100,HSPA,Yes,"4.0, A2DP",,"8 MP, AF0.3 MP, (depth)","Champagne Gold, Chocolate Black, Cream White, Jelly Blue","1, 3, 7, 8, 20",Wi-Fi 802.11 b/g/n,GPS,No,,GSM 850 / 900 / 1800 / 1900,LED flash,143 x 71 x 9.5 mm (5.63 x 2.80 x 0.37 in),
,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,About 60 EUR,,"2800 mAh, removable",,1080p@30fps,,Mali-400MP2,microSDHC,Mediatek MT6580A (28 nm),,GSM / HSPA,2017,IPS LCD,Android 7.0 (Nougat),,,Blackview,,,,No,,,Quad-core 1.3 GHz Cortex-A7,,,,176 g (6.21 oz),,Dual SIM,8GB 1GB RAM,2 MP,,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",Yes,,,,Available. Released 2017,https://fdn2.gsmarena.com/vv/bigpic/blackview-a7.jpg,,microUSB 2.0,Accelerometer,,,Blackview A7,HSDPA 900 / 2100,HSPA,Yes,"4.0, A2DP",,"5 MP, AF0.3 MP, (depth)","Champagne Gold, Chocolate Black, Cream White, Jelly Blue",,Wi-Fi 802.11 b/g/n,GPS,No,,GSM 850 / 900 / 1800 / 1900,LED flash,143 x 71 x 9.5 mm (5.63 x 2.80 x 0.37 in),
