,Java,Status,Type,3.5mm jack,Model Image,Positioning,Messaging,Alarm,Size,Colors,GPRS,2G bands,Languages,Card slot,_2,Type_1,Clock,Resolution,Model Name,Dimensions,Sensors,Talk time,Announced,Alert types,Bluetooth,Browser,Loudspeaker,Stand-by,_1,USB,Games,SIM,Weight,Technology,Brand,Call records,WLAN,Radio,EDGE,Phonebook
WallpapersDownloadable image,No,Discontinued,"CSTN, 4096 colors",No,https://fdn2.gsmarena.com/vv/bigpic/cha90.gif,No,SMS,,,,Class 10,GSM 900 / 1800 / 1900,"English,Spanish",No,KaraokeDownloadable karaoke,Removable battery,,128 x 160 pixels,Chea A90,86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in),,,"2004, Q1",Vibration; Downloadable polyphonic ringtones,No,WAP 1.2.1,No,,No,,,Mini-SIM,82.8 g (2.89 oz),GSM,Chea,,No,No,No,500
Wallpapers,No,Cancelled,"CSTN, 256 colors",No,https://fdn2.gsmarena.com/vv/bigpic/chjms110.gif,No,"SMS, EMS",,,,Class 8,GSM 900 / 1800 / 1900,,No,Predictive text input,Removable Li-Ion 720 mAh battery,,"128 x 128 pixels, 1:1 ratio",Chea JMS-110,50.3 x 94 x 24 mm (1.98 x 3.70 x 0.94 in),,,"2004, Q1",Vibration; Polyphonic(16) ringtones,No,WAP,No,Up to 240 h,No,,,Mini-SIM,77 g (2.72 oz),GSM,Chea,,No,No,No,300
Screensavers,Yes,Cancelled,"STN, 4096 colors",No,https://fdn2.gsmarena.com/vv/bigpic/ch328.gif,No,"SMS, MMS",,,,Yes,GSM 900 / 1800,English,No,OrganizerVoice dialVoice memo,Removable Li-Ion battery,,"128 x 128 pixels, 1:1 ratio",Chea 328,109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),,Up to 5 h,"2003, Q3","Vibration; Polyphonic ringtones, composer",No,WAP 1.2,No,Up to 150 h,No,,3,Mini-SIM,77 g (2.72 oz),GSM,Chea,,No,No,No,150
Screensavers,Yes,Cancelled,"STN, 4096 colors",No,https://fdn2.gsmarena.com/vv/bigpic/ch318.gif,No,"SMS, MMS",,,,Yes,GSM 900 / 1800,English,No,OrganizerVoice dialVoice memo,Removable Li-Ion battery,,"128 x 128 pixels, 1:1 ratio",Chea 318,109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),,Up to 5 h,"2003, Q3","Vibration; Polyphonic ringtones, composer",No,WAP 1.2,No,Up to 150 h,No,,3,Mini-SIM,77 g (2.72 oz),GSM,Chea,,No,No,No,150
Screensavers,Yes,Cancelled,"STN, 4096 colors",No,https://fdn2.gsmarena.com/vv/bigpic/ch308.gif,No,"SMS, MMS",,,,Yes,GSM 900 / 1800,English,No,OrganizerVoice dial,Removable Li-Ion battery,,"128 x 128 pixels, 1:1 ratio",Chea 308,109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),,Up to 5 h,"2003, Q3","Vibration; Polyphonic ringtones, composer",No,WAP 1.2,No,Up to 150 h,No,,3,Mini-SIM,77 g (2.72 oz),GSM,Chea,,No,No,No,150
Second external FSTN monochrome display (96 x 64 pixels)Screensavers,Yes,Cancelled,"TFT, 65K colors",No,https://fdn2.gsmarena.com/vv/bigpic/ch228.gif,No,"SMS, MMS",,,,Yes,GSM 900 / 1800,English,No,OrganizerVoice memoVoice dial,Removable Li-Ion battery,,128 x 160 pixels,Chea 228,85 x 45 x 20.5 mm (3.35 x 1.77 x 0.81 in),,Up to 2 h,"2003, Q3","Vibration; Polyphonic ringtones, composer",No,WAP 1.2.1,No,Up to 200 h,No,,4,Mini-SIM,74 g (2.61 oz),GSM,Chea,,No,No,No,150
Second external FSTN monochrome display (96 x 64 pixels)Screensavers,Yes,Cancelled,"TFT, 65K colors",No,https://fdn2.gsmarena.com/vv/bigpic/ch218.gif,No,"SMS, MMS",,,,Yes,GSM 900 / 1800,English,No,OrganizerVoice memoVoice dial,Removable Li-Ion battery,,128 x 160 pixels,Chea 218,85 x 45 x 20 mm (3.35 x 1.77 x 0.79 in),,Up to 2 h,"2003, Q3","Vibration; Polyphonic ringtones, composer",No,WAP 1.2.1,No,Up to 200 h,No,,4,Mini-SIM,74 g (2.61 oz),GSM,Chea,,No,No,No,150
Second external FSTN monochrome display (96 x 64 pixels)Screensavers,Yes,Cancelled,"TFT, 65K colors",No,https://fdn2.gsmarena.com/vv/bigpic/ch208.gif,No,"SMS, MMS",Yes,,,Yes,GSM 900 / 1800,English,No,OrganizerVoice memoVoice dial,Removable Li-Ion battery,Yes,128 x 160 pixels,Chea 208,85 x 45 x 20 mm (3.35 x 1.77 x 0.79 in),,Up to 2 h,"2003, Q3","Vibration; Polyphonic ringtones, composer",No,WAP 1.2.1,No,Up to 200 h,No,,4,Mini-SIM,74 g (2.61 oz),GSM,Chea,,No,No,No,150
Screensavers,No,Discontinued,"FSTN, monochrome graphics",No,https://fdn2.gsmarena.com/vv/bigpic/ch198.gif,No,SMS,Yes,,,No,GSM 900 / 1800,Major European languages,No,Predictive text inputOrganizer,Removable Li-Ion 650 mAh battery,Yes,"112 x 64 pixels, 16:9 ratio",Chea 198,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),,Up to 3 h,"2003, Q2","Vibration; Polyphonic ringtones, composer",No,,Yes,Up to 160 h,No,,3,Mini-SIM,80 g (2.82 oz),GSM,Chea,,No,No,No,100
Screensavers,No,Discontinued,"FSTN, monochrome graphics",No,https://fdn2.gsmarena.com/vv/bigpic/ch188.gif,No,SMS,Yes,,,No,GSM 900 / 1800,Major European languages,No,Predictive text inputOrganizer,Removable Li-Ion 650 mAh battery,Yes,"112 x 64 pixels, 16:9 ratio",Chea 188,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),,Up to 3 h,"2003, Q2","Vibration; Polyphonic ringtones, composer",No,,Yes,Up to 160 h,No,,3,Mini-SIM,80 g (2.82 oz),GSM,Chea,,No,No,No,100
Screensavers,No,Discontinued,"FSTN, monochrome graphics",No,https://fdn2.gsmarena.com/vv/bigpic/ch178.gif,No,SMS,Yes,,,No,GSM 900 / 1800,Major European languages,No,Predictive text inputOrganizer,Removable Li-Ion 650 mAh battery,Yes,"112 x 64 pixels, 16:9 ratio",Chea 178,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),,Up to 3 h,"2003, Q2","Vibration; Polyphonic ringtones, composer",No,,Yes,Up to 160 h,No,,3,Mini-SIM,80 g (2.82 oz),GSM,Chea,,No,No,No,100
Screensavers,No,Discontinued,"FSTN, monochrome graphics",No,https://fdn2.gsmarena.com/vv/bigpic/ch168.gif,No,SMS,Yes,,,No,GSM 900 / 1800,Major European languages,No,Predictive text inputOrganizer,Removable Li-Ion 650 mAh battery,Yes,"112 x 64 pixels, 16:9 ratio",Chea 168,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),,Up to 3 h,"2003, Q2","Vibration; Polyphonic ringtones, composer",No,,Yes,Up to 160 h,No,,3,Mini-SIM,80 g (2.82 oz),GSM,Chea,,No,No,No,100
