,CPU,Model Name,Weight,Price,SIM,Size,2G bands,Positioning,Announced,256GB 16GB RAM,Charging,5G bands,Model Image,Video,Protection,GPU,Bluetooth,Video_1,NFC,Loudspeaker,Chipset,Card slot,Quad,USB,256GB 12GB RAM,Speed,GPRS,Resolution,128GB 6GB RAM,Build,Technology,EDGE,Penta,Radio,Type,WLAN,Dual,_2,Colors,3G bands,3.5mm jack,4G bands,Dimensions,256GB 24GB RAM,256GB 8GB RAM,Brand,Single,Internal,Single_1,Sensors,Features,OS,Triple,_1,512GB 16GB RAM,Type_1,Status
,Quad-core 1.3 GHz Cortex-A7,Cubot J10,143 g (5.04 oz),,Nano-SIM + Nano-SIM,"4.0 inches, 44.1 cm2(~57.6% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,GPS,2021,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-j10.jpg,Yes,,Mali-400 MP2,"4.2, A2DP",Yes,No,Yes,Unisoc SC7731e,microSDXC (dedicated slot),,microUSB,,HSPA,,"480 x 854 pixels, 16:9 ratio (~245 ppi density)",,,GSM / HSPA,,,Unspecified,IPS LCD,Wi-Fi 802.11 b/g/n,,,"Blue, Black, Green",HSDPA 900 / 2100,Unspecified,,126.3 x 60.6 x 12.7 mm (4.97 x 2.39 x 0.5 in),,,Cubot,"5 MP, (wide), AF",32GB 1GB RAM,2 MP,Accelerometer,LED flash,Android 11,,,,"2350 mAh, removable",Available. Released 2021
,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Cubot Max 3,-,,Nano-SIM + Nano-SIM,"6.95 inches, 114.7 cm2(~86.1% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS, GLONASS, BDS",2021,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-max3.jpg,Yes,,PowerVR GE8320,"5.0, A2DP",Yes,Yes,Yes,Mediatek MT6762 Helio P22 (12 nm),microSDXC (dedicated slot),,"USB Type-C, OTG",,"HSPA, LTE",,720 x 1640 pixels (~258 ppi density),,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,"Wi-Fi 802.11 a/b/g/n, dual-band",,,"Black, Green",HSDPA 900 / 2100,Unspecified,"1, 3, 5, 7, 8, 19, 20, 40",173 x 77 x 9.4 mm (6.81 x 3.03 x 0.37 in),,,Cubot,16 MP,64GB 4GB RAM,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",LED flash,Android 11,"48 MP, (wide), PDAF5 MP, (macro)0.3 MP",,,"5000 mAh, removable",Available. Released 2021
CDMA 800 / 1900,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Cubot KingKong 7,267 g (9.42 oz),,Nano-SIM + Nano-SIM,"6.36 inches, 100.4 cm2(~72.1% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS, GLONASS, BDS",2022,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-king-kong7.jpg,Yes,,Mali-G72 MP3,"4.2, A2DP",Yes,Yes,Yes,Mediatek MT6771V/CA Helio P60 (12 nm),microSDXC (uses shared SIM slot),,"USB Type-C, OTG",,"HSPA, LTE",,1080 x 2300 pixels (~400 ppi density),,,GSM / CDMA / HSPA / LTE,,,Unspecified,IPS LCD,Wi-Fi 802.11 a/b/g/n,,,Black,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Unspecified,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66",166.8 x 83.5 x 14 mm (6.57 x 3.29 x 0.55 in),,,Cubot,32 MP,128GB 8GB RAM,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",LED flash,Android 11,"64 MP, (wide), AF16 MP, (ultrawide)5 MP, (macro)",IP68/IP69K dust/water resistant (up to 1.5m for 30 min),,5000 mAh,Available. Released 2022
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5m,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Cubot KingKong 5,-,,Nano-SIM + Nano-SIM,"6.01 inches, 88.7 cm2(~70.4% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS, GLONASS, BDS",2022,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-king-kong5.jpg,Yes,,PowerVR GE8320,"5.3, A2DP, LE",Yes,Yes,Yes,Mediatek MT6762 Helio P22 (12 nm),microSDXC (uses shared SIM slot),,"USB Type-C, OTG",,"HSPA, LTE",,"720 x 1560 pixels, 19.5:9 ratio (~286 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,Black,HSDPA 900 / 2100,Unspecified,"1, 3, 5, 7, 8, 19, 20, 40",160.3 x 78.6 x 15 mm (6.31 x 3.09 x 0.59 in),,,Cubot,8 MP,32GB 4GB RAM,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",LED flash,Android 11,"48 MP, (wide), AF5 MP, (macro), AF0.3 MP",,,5000 mAh,Available. Released 2022
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),Cubot Note 9,-,,Nano-SIM + Nano-SIM,5.99 inches,GSM 850 / 900 / 1800 / 1900,"GPS, GLONASS, BDS",2022,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-note9.jpg,Yes,,IMG8322,"4.2, A2DP",Yes,No,Yes,Unisoc SC9863A (28 nm),microSDXC (dedicated slot),,USB Type-C,,"HSPA, LTE",,Unspecified,,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,Wi-Fi 802.11 b/g/n,,,"Black, Green",HSDPA 900 / 2100,Yes,"1, 3, 5, 7, 8, 19, 20, 40",153 x 77 x 11 mm (6.02 x 3.03 x 0.43 in),,,Cubot,5 MP,32GB 3GB RAM,,"Accelerometer, proximity",LED flash,Android 11,"16 MP, (wide), AFother unspecified cameras",,,"5900 mAh, removable",Available. Released 2022
,Quad-core 1.3 GHz,Cubot J9,185 g (6.53 oz),,Nano-SIM + Nano-SIM,"6.2 inches, 95.9 cm2(~82.3% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,GPS,2020,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-j9.jpg,Yes,,,"4.0, A2DP",Yes,No,Yes,Mediatek MT6580 (28 nm),No,,USB Type-C,,HSPA,,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",,,GSM / HSPA,,,Unspecified,IPS LCD,Wi-Fi 802.11 b/g/n,,,"Blue, Black, Green",HSDPA 900 / 2100,Yes,,156.2 x 74.6 x 9.4 mm (6.15 x 2.94 x 0.37 in),,,Cubot,8 MP,16GB 2GB RAM,,"Accelerometer, proximity",LED flash,Android 10,"13 MP, (wide), AF2 MP0.3 MP",,,"4200 mAh, removable",Available. Released 2020
CDMA 800 / 1900,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Cubot X50,213 g (7.51 oz),,Nano-SIM + Nano-SIM,"6.67 inches, 107.4 cm2(~83.0% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS, GLONASS, GALILEO, BDS",2021,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-x50.jpg,Yes,,Mali-G72 MP3,"4.2, A2DP",Yes,Yes,Yes,Mediatek MT6771V/CA Helio P60 (12 nm),microSDXC (uses shared SIM slot),"64 MP, (wide), PDAF16 MP, 125˚ (ultrawide)5 MP, (macro), AF0.3 MP","microUSB, OTG",,"HSPA, LTE",,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,GSM / CDMA / HSPA / LTE,,,Unspecified,IPS LCD,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,"Black, Green",HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,Unspecified,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66",166.8 x 77.6 x 8.8 mm (6.57 x 3.06 x 0.35 in),,,Cubot,32 MP,128GB 8GB RAM,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",LED flash,Android 11,,,,4500 mAh,Available. Released 2021
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5m,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Cubot KingKong 5 Pro,319 g (11.25 oz),,Nano-SIM + Nano-SIM,"6.01 inches, 88.7 cm2(~65.7% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS, GLONASS, BDS",2021,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-king-kong5-pro.jpg,Yes,,PowerVR GE8320,"5.0, A2DP, LE",Yes,Yes,"Yes, with stereo speakers",Mediatek MT6762D Helio P22 (12 nm),microSDXC (uses shared SIM slot),,"USB Type-C, OTG",,"HSPA, LTE",,"720 x 1560 pixels, 19.5:9 ratio (~286 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,Black,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Unspecified,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66",165.8 x 81.4 x 18.8 mm (6.53 x 3.20 x 0.74 in),,,Cubot,25 MP,64GB 4GB RAM,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",LED flash,Android 11,"48 MP, (wide), AF5 MP, (macro), AF0.3 MP",,,8000 mAh,Available. Released 2021
,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Cubot C20,192.8 g (6.81 oz),,Nano-SIM + Nano-SIM,"6.18 inches, 96.2 cm2(~83.9% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,GPS,2020,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-c20.jpg,Yes,,PowerVR GE8320,"4.2, A2DP",Yes,Yes,Yes,Mediatek MT6762D Helio P22 (12 nm),microSDXC (dedicated slot),,"USB Type-C, OTG",,"HSPA, LTE",,"1080 x 2246 pixels, 18.7:9 ratio (~403 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,Wi-Fi 802.11 a/b/g/n,,,"Blue, Black",HSDPA 900 / 2100,Yes,"1, 3, 7, 8, 20",155 x 74 x 10 mm (6.10 x 2.91 x 0.39 in),,,Cubot,8 MP,64GB 4GB RAM,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",LED flash,Android 10,"12 MP, (wide), PDAF5 MP, (macro)0.3 MP",,,"4200 mAh, removable",Available. Released 2020
,Quad-core 1.3 GHz,Cubot J8,144 g (5.08 oz),,Nano-SIM + Nano-SIM,"5.5 inches, 74.1 cm2(~87.2% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,GPS,2020,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-j8.jpg,Yes,,,"4.2, A2DP",Yes,No,Yes,Mediatek MT6580 (28 nm),No,,Yes,,HSPA,,"442 x 960 pixels, 19.5:9 ratio (~192 ppi density)",,,GSM / HSPA,,,Unspecified,IPS LCD,Wi-Fi 802.11 a/b/g/n,,,"Black, Red, Blue, Green",HSDPA 900 / 2100,Yes,,135 x 63 x 11 mm (5.31 x 2.48 x 0.43 in),,,Cubot,8 MP,16GB 2GB RAM,,"Accelerometer, proximity",LED flash,Android 10,"13 MP, (wide), AF0.3 MPthird unspecified camera",,,"3100 mAh, removable",Available. Released 2020
Water/dust resistant,Quad-core 2.0 GHz Cortex-A53,Cubot KingKong Mini 2,122.7 g (4.34 oz),,Nano-SIM + Nano-SIM,"4.0 inches, 41.3 cm2(~59.8% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS, GLONASS, GALILEO, BDS",2020,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-king-kong-mini2.jpg,Yes,,PowerVR GE8320,"4.2, A2DP",Yes,No,Yes,Mediatek MT6761 Helio A22 (12 nm),microSDXC (dedicated slot),,USB Type-C,,"HSPA, LTE",,"540 x 1080 pixels, 18:9 ratio (~302 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,Wi-Fi 802.11 a/b/g/n,,,"Red/Black, Orange/Black",HSDPA 900 / 2100,Unspecified,"1, 3, 7, 8, 19, 20",119 x 58 x 12.1 mm (4.69 x 2.28 x 0.48 in),,,Cubot,"13 MP, f/2.2, (wide)",32GB 3GB RAM,8 MP,"Accelerometer, gyro, proximity, compass",LED flash,Android 10,,,,3000 mAh,Available. Released 2020
,Quad-core 1.4 GHz Cortex-A53,Cubot Note 7,144 g (5.08 oz),,Nano-SIM + Nano-SIM,"5.5 inches, 74.1 cm2(~82.7% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,GPS,2020,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-note-7.jpg,Yes,,Mali-T720MP1,"4.2, A2DP",Yes,No,Yes,Mediatek MT6737 (28 nm),No,,Yes,,"HSPA, LTE",,"442 x 960 pixels, 19.5:9 ratio (~192 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,Wi-Fi 802.11 a/b/g/n,,,"Black, Red, Blue, Green",HSDPA 900 / 2100,Yes,"1, 3, 7, 8, 19, 20",138 x 65 x 10.8 mm (5.43 x 2.56 x 0.43 in),,,Cubot,8 MP,16GB 2GB RAM,,"Accelerometer, proximity",LED flash,Android 10,"13 MP, (wide), AF0.3 MPthird unspecified camera",,,"3100 mAh, removable",Available. Released 2020
,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Cubot Note 20 Pro,200 g (7.05 oz),,Nano-SIM + Nano-SIM,"6.5 inches, 102.0 cm2(~83.1% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,GPS,2020,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-note20-pro.jpg,Yes,,Mali-G72 MP3,"4.2, A2DP",Yes,Yes,Yes,Mediatek MT6771 Helio P60 (12 nm),microSDXC (dedicated slot),"12 MP, (wide), 1/2.9"", AF20 MP, (depth), 1/2.78""0.3 MP4th unspecified camera","microUSB, OTG",,"HSPA, LTE",,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,Wi-Fi 802.11 a/b/g/n,,,"Black, Blue, Green",HSDPA 900 / 2100,Yes,"1, 3, 7, 8, 19, 20",162.8 x 75.4 x 9.1 mm (6.41 x 2.97 x 0.36 in),,,Cubot,8 MP,128GB 8GB RAM,,"Accelerometer, gyro, proximity, compass",LED flash,Android 10,,,,"4200 mAh, removable",Available. Released 2020
,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Cubot C30,190 g (6.70 oz),,Nano-SIM + Nano-SIM,"6.4 inches, 101.4 cm2(~84.5% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,GPS,2020,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-c30.jpg,Yes,,Mali-G72 MP3,"4.2, A2DP",Yes,Yes,Yes,Mediatek MT6771 Helio P60 (12 nm),microSDXC (uses shared SIM slot),"48 MP, (wide), 1/2.0"", AF16 MP, (ultrawide)5 MP, (macro)0.3 MP","USB Type-C, OTG",,"HSPA, LTE",,1080 x 2310 pixels (~398 ppi density),,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,Wi-Fi 802.11 a/b/g/n,,,"Black, Green",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Unspecified,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66",157.1 x 76.4 x 8.5 mm (6.19 x 3.01 x 0.33 in),,,Cubot,32 MP,"128GB 8GB RAM, 256GB 8GB RAM",,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",LED flash,Android 10,,,,4200 mAh,Available. Released 2020
,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Cubot X30,193 g (6.81 oz),,Nano-SIM + Nano-SIM,"6.4 inches, 101.4 cm2(~84.5% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,GPS,2020,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-x30.jpg,Yes,,Mali-G72 MP3,"4.2, A2DP",Yes,Yes,Yes,Mediatek MT6771 Helio P60 (12 nm),microSDXC (uses shared SIM slot),,"USB Type-C, OTG",,"HSPA, LTE",,1080 x 2310 pixels (~398 ppi density),,,GSM / HSPA / LTE,,"48 MP, (wide), 1/2.0"", AF16 MP, (ultrawide)5 MP, (macro)2 MP, (depth)0.3 MP",Unspecified,IPS LCD,Wi-Fi 802.11 a/b/g/n,,,"Blue, Black, Gradient Green",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Unspecified,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66",157.1 x 76.4 x 8.5 mm (6.19 x 3.01 x 0.33 in),,,Cubot,32 MP,"128GB 8GB RAM, 256GB 8GB RAM",,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",LED flash,Android 10,,,,4200 mAh,Available. Released 2020
,Quad-core 1.8 GHz Cortex-A53,Cubot P40,184 g (6.49 oz),,Nano-SIM + Nano-SIM,"6.2 inches, 95.9 cm2(~84.8% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,GPS,2020,,10W wired,,https://fdn2.gsmarena.com/vv/bigpic/cubot-p40.jpg,Yes,,PowerVR GE8320,"4.2, A2DP",Yes,Yes,Yes,Mediatek MT6761 Helio A22 (12 nm),microSDXC,,"USB Type-C, OTG",,"HSPA, LTE",,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,Wi-Fi 802.11 a/b/g/n,,,"Blue, Black, Green",HSDPA 900 / 2100,Unspecified,"1, 3, 7, 8, 19, 20",155 x 73 x 10 mm (6.10 x 2.87 x 0.39 in),,,Cubot,20 MP,128GB 4GB RAM,,"Accelerometer, gyro, proximity, compass",LED flash,Android 10,"12 MP, (wide), 1/2.9"", PDAF5 MP, (macro)0.3 MP",,,"4200 mAh, removable",Available. Released 2020
,Quad-core 1.8 GHz Cortex-A53,Cubot Note 20,200 g (7.05 oz),,Nano-SIM + Nano-SIM,"6.5 inches, 102.0 cm2(~83.1% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,GPS,2020,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-note20.jpg,Yes,,PowerVR GE8320,"4.2, A2DP",Yes,Yes,Yes,Mediatek MT6761D Helio A20 (12 nm),microSDXC (dedicated slot),"12 MP, (wide), 1/2.9"", AF20 MP, (depth), 1/2.78""0.3 MP4th unspecified camera",microUSB,,"HSPA, LTE",,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,Wi-Fi 802.11 a/b/g/n,,,"Black, Blue, Green",HSDPA 900 / 2100,Yes,"1, 3, 7, 8, 19, 20",162.8 x 75.4 x 9.1 mm (6.41 x 2.97 x 0.36 in),,,Cubot,8 MP,64GB 3GB RAM,,"Accelerometer, proximity",LED flash,Android 10,,,,"4200 mAh, removable",Available. Released 2020
,Octa-core 2.5 GHz Cortex-A53,Cubot X20,240 g (8.47 oz),,Nano-SIM + Nano-SIM,"6.3 inches, 97.4 cm2(~83.1% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,GPS,2020,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-x20.jpg,Yes,,Mali-G71 MP2,"4.2, A2DP",Yes,No,Yes,Mediatek MT6763 Helio P23 (16 nm),microSDXC (uses shared SIM slot),,"USB Type-C, OTG",,"HSPA, LTE",,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",,"Glass front, plastic frame, glass back",GSM / HSPA / LTE,,,Unspecified,IPS LCD,Wi-Fi 802.11 a/b/g/n,,,"Blue, Gold, Black",HSDPA 900 / 2100,Unspecified,"1, 3, 7, 8, 19, 20",157.1 x 74.6 x 8.1 mm (6.19 x 2.94 x 0.32 in),,,Cubot,"13 MP, (wide), 1/3.06""",64GB 4GB RAM,,"Accelerometer, gyro, proximity, compass",LED flash,Android 9.0 (Pie),"12 MP, (wide), 1/2.9"", AF8 MP, 125˚ (ultrawide)20 MP, (depth), 1/2.78""",,,4000 mAh,Available. Released 2020
Water/dust resistant,Quad-core 1.3 GHz,Cubot KingKong CS,236.5 g (8.36 oz),,"Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2(~56.2% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,GPS,2020,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-cs.jpg,Yes,,,"4.0, A2DP",Yes,No,Yes,Mediatek MT6580 (28 nm),microSDHC (dedicated slot),,microUSB,,HSPA,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,GSM / HSPA,,,Unspecified,IPS LCD,Wi-Fi 802.11 b/g/n,,,Black,HSDPA 850 / 1700 / 1900 / 2100,Unspecified,,153 x 80.2 x 14.9 mm (6.02 x 3.16 x 0.59 in),,,Cubot,"13 MP, (wide), AF",16GB 2GB RAM,8 MP,"Accelerometer, gyro, proximity, compass",LED flash,Android 10 (Go edition),,,,4400 mAh,Available. Released 2020
