Speed,,Positioning,Chipset,3G bands,Keyboard,4G bands,Announced,Messaging,_2,_4,Status,Loudspeaker,Camera,EDGE,Weight,Model Image,_1,Video,Resolution,GPU,Bluetooth,Protection,Talk time,Technology,Call records,Loudspeaker_1,2G bands,Java,Brand,Sensors,Video_1,Internal,Single_1,Type_1,USB,Price,Size,Features,Card slot,Stand-by,_3,Phonebook,Model Name,Radio,CPU,Single,3.5mm jack,OS,SIM,Browser,Dimensions,NFC,Colors,Type,WLAN,Audio quality,GPRS,Games
"HSPA, LTE",,GPS,Intel Atom Z3580,HSDPA,,LTE,"2015, April. Released 2015, May",,,,Discontinued,"Yes, with stereo speakers",,Yes,597 g (1.32 lb),https://fdn2.gsmarena.com/vv/bigpic/dell-venue-10-7000.jpg,,Yes,"1600 x 2560 pixels, 16:10 ratio (~288 ppi density)",PowerVR G6430,"4.0, A2DP",,Up to 7 h (multimedia),GSM / HSPA / LTE,,,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity, compass",,32GB 2GB RAM,2 MP,"Li-Ion 7000 mAh, non-removable",microUSB 2.0,About 460 EUR,"10.5 inches, 319.7 cm2(~67.2% screen-to-body ratio)",,microSDXC (dedicated slot),,,,Dell Venue 10 7000,No,Quad-core 2.3 GHz,"8 MP, AF",Yes,Android 5.0 (Lollipop),Micro-SIM,,243.4 x 195.4 x 6.2 mm (9.58 x 7.69 x 0.24 in),No,Black,OLED,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",,Yes,
"HSPA, LTE - cellular model only",,GPS - cellular model only,Intel Atom Z3580,HSDPA,,LTE,"2014, October. Released 2015, January",,,,Discontinued,"Yes, with stereo speakers",,Yes,305 g (10.76 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-venue-8-7000.jpg,,1080p@30fps,"1600 x 2560 pixels, 16:10 ratio (~359 ppi density)",PowerVR G6430,"4.0, A2DP",,,GSM / HSPA / LTE,,,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity, compass",1080p@30fps,"16GB 2GB RAM, 32GB 2GB RAM",2 MP,"Li-Ion 5900 mAh, non-removable (21 Wh)",microUSB 2.0,About 250 EUR,"8.4 inches, 204.6 cm2(~76.3% screen-to-body ratio)",Depth & motion tracking sensors,microSDXC (dedicated slot),,,,Dell Venue 8 7000,No,Quad-core 2.3 GHz,"8 MP, f/2.4, AF",Yes,"Android 4.4.2 (KitKat), upgradable to 5.0.2 (Lollipop)",Micro-SIM - cellular model only,,215.9 x 124.2 x 6.1 mm (8.5 x 4.89 x 0.24 in),No,Black,OLED,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",,Yes,
HSPA,,GPS,Intel Atom Z2580,HSDPA 900 / 2100,,,"2013, October. Released 2013, October",,,,Discontinued,Yes,,,292 g (10.30 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-venue-8.jpg,,Yes,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",PowerVR SGX544MP2,"4.0, A2DP",,,GSM / HSPA,,,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity, compass",,"16GB 2GB RAM, 32GB 2GB RAM",2 MP,"Li-Ion 4100 mAh, non-removable (15.5 Wh)",microUSB 2.0,About 130 EUR,"8.0 inches, 185.6 cm2(~67.3% screen-to-body ratio)",,microSDHC (dedicated slot),,,,Dell Venue 8,No,Dual-core 2.0 GHz,5 MP,Yes,Android 4.2.2 (Jelly Bean),Micro-SIM,,212 x 130 x 9.8 mm (8.35 x 5.12 x 0.39 in),No,Black,IPS LCD,"Wi-Fi 802.11 b/g/n, hotspot",,,
,,GPS,Intel Atom Z2560,,,,"2013, October. Released 2013, October",,,,Discontinued,Yes,,No,234 g (8.25 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-venue-7-8gb.jpg,,Yes,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",PowerVR SGX544MP2,"4.0, A2DP",,,No cellular connectivity,,,N/A,,Dell,"Accelerometer, proximity, compass",,8GB 1GB RAM,VGA,"Li-Ion 4100 mAh, non-removable (15.5 Wh)",microUSB 2.0,,"7.0 inches, 142.1 cm2(~62.4% screen-to-body ratio)",,microSDHC (dedicated slot),,,,Dell Venue 7 8 GB,No,Dual-core 1.6 GHz,3.15 MP,Yes,Android 4.2.2 (Jelly Bean),No,,193 x 118 x 9.6 mm (7.60 x 4.65 x 0.38 in),No,"Black, Red",IPS LCD,"Wi-Fi 802.11 b/g/n, hotspot",,No,
HSPA,,GPS,Intel Atom Z2560,HSDPA 900 / 2100,,,"2013, October. Released 2013, October",,,,Discontinued,Yes,,,234 g (8.25 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-venue-7.jpg,,Yes,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",PowerVR SGX544MP2,"4.0, A2DP",,,GSM / HSPA,,,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity, compass",,16GB 2GB RAM,VGA,"Li-Ion 4100 mAh, non-removable (15.5 Wh)",microUSB 2.0,About 100 EUR,"7.0 inches, 142.1 cm2(~62.4% screen-to-body ratio)",,microSDHC (dedicated slot),,,,Dell Venue 7,No,Dual-core 1.6 GHz,3.15 MP,Yes,Android 4.2.2 (Jelly Bean),Micro-SIM,,193 x 118 x 9.6 mm (7.60 x 4.65 x 0.38 in),No,"Black, Red",IPS LCD,"Wi-Fi 802.11 b/g/n, hotspot",,,
HSPA/LTE (optional),Optional mobile dock with standard QWERTY keyboard and trackpad,GPS (with LTE/HSPA+ configs),,HSDPA (optional),,LTE (optional),"2012, Q4. Released 2012, December",,,,Discontinued,"Yes, with stereo speakers",,No,635 g (1.40 lb),https://fdn2.gsmarena.com/vv/bigpic/dell-xps-10.jpg,MP4/H.264 playerMP3/WAV/eAAC+ playerPhoto viewer/editorDocument editor,720p@30fps,"1366 x 768 pixels, 16:9 ratio (~155 ppi density)",,"4.0, A2DP",,,GSM / HSPA / LTE,,,GSM 850 / 900 / 1800 / 1900  (optional),,Dell,"Accelerometer, gyro, compass",720p@30fps,32/64GB,2 MP,Li-Ion (28 Wh),microUSB 2.0,About 380 EUR,"10.1 inches, 281.1 cm2(~57.7% screen-to-body ratio)",,microSDXC (dedicated slot),,,,Dell XPS 10,No,Dual-core 1.5 GHz,"5 MP, AF",Yes,Microsoft Windows RT,Single SIM (Micro-SIM) - optional,,274.7 x 177.3 x 9.2 mm (10.81 x 6.98 x 0.36 in),No,Black,TFT,"Wi-Fi 802.11 a/b/g/n, dual-band",,No,
,MP4/H.264/WMV playerMP3/WAV/eAAC+/WMA playerDocument viewerPhoto viewer/editorOrganizerPredictive text input,GPS,Nvidia Tegra 2 T20,,,,2011,,,,Discontinued,"Yes, with stereo speakers",,No,727 g (1.60 lb),https://fdn2.gsmarena.com/vv/bigpic/dell-streak-10-pro.jpg,,1080p@30fps,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",ULP GeForce,"2.1, A2DP, EDR",Corning Gorilla Glass,Up to 12 h,No cellular connectivity,,,N/A,,Dell,"Accelerometer, gyro, proximity, compass",,16GB 1GB RAM,2 MP,Non-removable Li-Ion battery,2.0,About 280 EUR,"10.1 inches, 295.8 cm2(~63.4% screen-to-body ratio)",LED flash,microSDHC (dedicated slot),,,,Dell Streak 10 Pro,No,Dual-core 1.0 GHz Cortex-A9,"5 MP, AF",Yes,Android 3.2 (Honeycomb),No,,262.3 x 178 x 13 mm (10.33 x 7.01 x 0.51 in),,Black,TFT,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,No,
HSPA 14.4/5.76 Mbps,SNS integrationMP4/WMV/H.264 playerMP3/WAV/eAAC+ playerOrganizerPhoto/video editorDocument editorVoice memo/dial/commandsPredictive text input,"GPS, A-GPS",Qualcomm MSM8260 Snapdragon S3,HSDPA 900 / 1700 / 2100,,,"2011, December. Released 2012, Q3","SMS(threaded view), MMS, Email, IM",,,Discontinued,Yes,,,145 g (5.11 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-streak-pro-d43.jpg,,1080p@30fps,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Adreno 220,"2.1, A2DP, EDR",Corning Gorilla Glass,Up to 13 h (2G) / Up to 9 h (3G),GSM / HSPA,Practically unlimited,,GSM 850 / 900 / 1800 / 1900,"Yes, via Java MIDP emulator",Dell,"Accelerometer, gyro, proximity, compass",,"8GB ROM, 1GB RAM",1.3 MP,Removable Li-Ion 1520 mAh battery,microUSB 2.0,About 450 EUR,"4.3 inches, 51.0 cm2(~63.3% screen-to-body ratio)",LED flash,microSDHC (dedicated slot),Up to 281 h (2G) / Up to 353 h (3G),,"Practically unlimited entries and fields, Photocal",Dell Streak Pro D43,"Stereo FM radio, RDS",Dual-core 1.5 GHz Scorpion,"8 MP, AF",Yes,,Micro-SIM,,124.9 x 64.5 x 10.3 mm (4.92 x 2.54 x 0.41 in),,Black,Super AMOLED,"Wi-Fi 802.11 b/g/n, hotspot",,,Yes + downloadable
HSPA,MP4/H.264/WMV playerMP3/WAV/eAAC+/WMA playerQuickOffice document viewerPhoto viewer/editorOrganizerPredictive text input,"GPS, A-GPS",Nvidia Tegra 2 T20,HSDPA 900 / 1900 / 2100  / 1700,,,"2011, February. Released 2011, March",,,,Discontinued,Yes,,,453.6 g (1.00 lb),https://fdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg,,720p,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",ULP GeForce,"2.1, A2DP, EDR",Corning Gorilla Glass,Up to 4 h,GSM / HSPA,,,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity, compass",,16GB,1.3 MP,Non-removable Li-Ion 2780 mAh battery,2.0,About 210 EUR,"7.0 inches, 139.5 cm2(~58.2% screen-to-body ratio)",LED flash,microSDHC (dedicated slot),Up to 72 h,,,Dell Streak 7,No,Dual-core 1.0 GHz Cortex-A9,"5 MP, AF",Yes,"Android 2.2 (Froyo), 2.3 (Gingerbread), upgradable to 3.2 (Honeycomb)",Mini-SIM,"HTML, Adobe Flash",200 x 119.8 x 12.4 mm (7.87 x 4.72 x 0.49 in),,Gray,TFT,"Wi-Fi 802.11 b/g/n, hotspot",,,
,MP4/H.264/WMV playerMP3/WAV/eAAC+/WMA playerQuickOffice document viewerPhoto viewer/editorOrganizerPredictive text input,GPS,Nvidia Tegra 2 T20,,,,"2011, February. Released 2011, April",,,,Discontinued,Yes,,No,453.6 g (1.00 lb),https://fdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg,,720p,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",ULP GeForce,"2.1, A2DP, EDR",Corning Gorilla Glass,Up to 4 h,No cellular connectivity,,,N/A,,Dell,"Accelerometer, proximity, compass",,16GB,1.3 MP,Non-removable Li-Ion 2780 mAh battery,2.0,About 140 EUR,"7.0 inches, 139.5 cm2(~58.2% screen-to-body ratio)",LED flash,microSDHC (dedicated slot),Up to 72 h,,,Dell Streak 7 Wi-Fi,No,Dual-core 1.0 GHz Cortex-A9,"5 MP, AF",Yes,"Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",No,"HTML, Adobe Flash",200 x 119.8 x 12.4 mm (7.87 x 4.72 x 0.49 in),,Gray,TFT,"Wi-Fi 802.11 b/g/n, hotspot",,No,
HSPA 7.2/5.76 Mbps,HSDPA 900 / 2100,"GPS, A-GPS",Qualcomm QSD8250 Snapdragon S1,HSDPA 850 / 1900 / 2100,,,"2010, December. Released 2010, December",,Dell Stage UI,MP3/eAAC+/WAV/WMA9 playerMP4/H.264/WMV9 playerOrganizerQuick Office document viewer/editorVoice memo/dialPredictive text input,Discontinued,Yes,,,164 g (5.78 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-venue-ofic.jpg,HSDPA 900 / 1700 / 2100,720p,"480 x 800 pixels, 5:3 ratio (~228 ppi density)",Adreno 200,Yes,Corning Gorilla Glass,,GSM / HSPA,,,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity, compass",,1GB 512MB RAM,,Removable Li-Ion 1400 mAh battery,microUSB 2.0,About 390 EUR,"4.1 inches, 47.8 cm2(~61.8% screen-to-body ratio)",LED flash,microSDHC (dedicated slot),,No,,Dell Venue,FM radio,1.0 GHz Scorpion,"8 MP, AF",Yes,Android 2.2 (Froyo),Mini-SIM,"HTML, Adobe Flash",121 x 64 x 12.9 mm (4.76 x 2.52 x 0.51 in),,Black,AMOLED,"Wi-Fi 802.11 b/g, hotspot",,,
HSPA 7.2/0.384 Mbps,No,"GPS, A-GPS",,HSDPA 2100,,,"2010, November. Released 2010, December",,,,Discontinued,Yes,,,120 g (4.23 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-xcd35-new.jpg,MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerVoice memoPredictive text input,Yes,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",,"2.1, A2DP, EDR",,Up to 4 h,GSM / HSPA,,,GSM 900 / 1800 / 1900,,Dell,"Accelerometer, proximity, compass",,"256MB RAM, 512MB",,Removable Li-Ion 1250 mAh battery,microUSB 2.0,About 280 EUR,"3.5 inches, 34.9 cm2(~54.6% screen-to-body ratio)",,microSDHC (dedicated slot),Up to 240 h,,,Dell XCD35,FM radio,600 MHz ARM 11,"3.15 MP, AF",Yes,Android 2.1 (Eclair),Mini-SIM,HTML,114 x 56 x 12.2 mm (4.49 x 2.20 x 0.48 in),,Black,"TFT, 256K colors",Wi-Fi 802.11 b/g,,,
HSPA 7.2/0.384 Mbps,No,"GPS, A-GPS",Qualcomm MSM7227 Snapdragon S1,HSDPA 2100,,,"2010, November. Released 2010, November",,,,Discontinued,Yes,,,100 g (3.53 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-xcd28.jpg,MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerVoice memoPredictive text input,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Adreno 200,"2.1, A2DP, EDR",,,GSM / HSPA,,,GSM 850 / 900 / 1800 / 1900,,Dell,,,"256MB RAM, 256MB",,Removable Li-Ion 1100 mAh battery,microUSB 2.0,About 180 EUR,"2.8 inches, 24.3 cm2(~43.3% screen-to-body ratio)",,"microSDHC (dedicated slot), 2 GB included",,,,Dell XCD28,"Stereo FM radio, RDS",600 MHz ARM 11,"3.15 MP, AF",Yes,Android 2.1 (Eclair),Mini-SIM,HTML,102 x 55 x 14.5 mm (4.02 x 2.17 x 0.57 in),,Black,"TFT resistive touchscreen, 256K colors",Wi-Fi 802.11 b/g,,,
HSPA 14.4/5.76 Mbps,MP3/WAV/eAAC+/WMA playerMP4/H.264 playerOrganizerDocument viewer/editorVoice memo/dial,A-GPS,Qualcomm MSM7230,HSDPA 850 / 1900 / 2100,QWERTY,,Not officially announced yet,,,,Cancelled,Yes,,,-,https://fdn2.gsmarena.com/vv/bigpic/dell-smoke.jpg,,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Adreno 205,"2.1, A2DP",,Up to 6 h (3G),GSM / HSPA,,,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity, compass",,,Yes,Removable Li-Ion 1170 mAh battery,microUSB 2.0,,"2.8 inches, 24.3 cm2(~33.8% screen-to-body ratio)",,microSDHC,Up to 576 h (3G),,,Dell Smoke,"Stereo FM radio, RDS",800 MHz Scorpion,"5 MP, AF",Yes,Android 2.2 (Froyo),Mini-SIM,"HTML, Adobe Flash",120 x 59.8 x 10.5 mm (4.72 x 2.35 x 0.41 in),,Black,"TFT, 256K colors",Wi-Fi 802.11 b/g,,,
HSPA 14.4/5.76 Mbps,Handwriting recognition,A-GPS,Qualcomm MSM7230,HSDPA 850 / 1900 / 2100,QWERTY,,"Not officially announced yet. Released Exp. release 2009, Q4",,TV-OutMP3/WAV/eAAC+/WMA playerMP4/H.264 playerOrganizerDocument viewerVoice memo,,Discontinued,Yes,,,110 g (3.88 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-flash.jpg,No,Yes,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",Adreno 205,"3.0, A2DP",,Up to 12 h,GSM / HSPA,,,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity, compass",,"512MB RAM, 512MB",,Removable Li-Ion 1300 mAh battery,microUSB 2.0,,"3.5 inches, 34.9 cm2(~51.4% screen-to-body ratio)",,microSDXC,Up to 725 h,,,Dell Flash,No,800 MHz Scorpion,"5 MP, AF",Yes,Android 2.2 (Froyo),Mini-SIM,"HTML, Adobe Flash",117 x 58 x 11 mm (4.61 x 2.28 x 0.43 in),,"Black, White","TFT, 256K colors","Wi-Fi 802.11 b/g, DLNA & UPnP",,,
HSPA 7.2/5.76 Mbps,No,"GPS, A-GPS",Qualcomm QSD8250 Snapdragon S1,HSDPA 900 / 1700 / 2100,QWERTY,,"2010, October. Released 2010, November",,,,Discontinued,Yes,,,192.8 g (6.77 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-venue-pro.jpg,Document viewer/editorMP4/H.264/WMV playerMP3/WAV/WMA/eAAC+ playerOrganizerVoice memoPredictive text input,720p,"480 x 800 pixels, 5:3 ratio (~228 ppi density)",Adreno 200,"2.1, A2DP",Corning Gorilla Glass,Up to 7 h,GSM / HSPA,,,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity, compass",,"8GB 512MB RAM, 16GB 512MB RAM",,Removable Li-Ion 1400 mAh battery,microUSB 2.0,About 220 EUR,"4.1 inches, 47.8 cm2(~61.8% screen-to-body ratio)",LED flash,microSDHC (dedicated slot) - not user accessible,Up to 400 h,,,Dell Venue Pro,"Stereo FM radio, RDS",1.0 GHz Scorpion,"5 MP, AF",Yes,Microsoft Windows Phone 7,Mini-SIM,HTML,122 x 63.5 x 15.2 mm (4.80 x 2.5 x 0.60 in),,Black,AMOLED,Wi-Fi 802.11 b/g/n,,,
HSPA 7.2/5.76 Mbps,HSDPA 850 / 1900 / 2100,"GPS, A-GPS",Qualcomm QSD8250 Snapdragon S1,HSDPA 900 / 2100,,,"2010, May. Released 2010, June",,,,Discontinued,Yes,Photo,,220 g (7.76 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-streak-official.jpg,MP4/H.264/WMV playerMP3/WAV/eAAC+/WMA playerQuickOffice document viewerPhoto viewer/editorOrganizerVoice memo/dialPredictive text input,480p@20fps; 720p (via SW update),"480 x 800 pixels, 5:3 ratio (~187 ppi density)",Adreno 200,"2.0, A2DP",Corning Gorilla Glass,Up to 9 h 48 min,GSM / HSPA,,Voice 70dB / Noise 75dB / Ring 80dB,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity, compass",,16GB 512MB RAM,VGA,Removable Li-Ion 1530 mAh battery,2.0,About 190 EUR,"5.0 inches, 71.2 cm2(~58.8% screen-to-body ratio)",Dual-LED flash,microSDHC (dedicated slot),Up to 400 h,,,Dell Streak,No,1.0 GHz Scorpion,"5 MP, f/2.8, AF",Yes,"Android OS 1.6 (Donut), upgradable to 2.2 (Froyo)",Mini-SIM,"HTML, Adobe Flash",152.9 x 79.1 x 10 mm (6.02 x 3.11 x 0.39 in),,"Black, Red, white",TFT,"Wi-Fi 802.11 b/g, hotspot (charges may apply)",Noise -84.7dB / Crosstalk -82.5dB,,
HSPA 3.6/0.384 Mbps,Handwriting recognition,"GPS, A-GPS",,HSDPA 850 / 1900 / 2100,,,"2010, March. Released 2010, August",,MP4/H.264/WMV playerMP3/WAV/eAAC+/WMA playerQuickOffice document viewerPhoto viewer/editorOrganizerVoice memoPredictive text input,,Discontinued,Yes,,,104 g (3.67 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-aero.jpg,No,CIF@30fps,"360 x 640 pixels, 16:9 ratio (~210 ppi density)",,"2.0, A2DP",Corning Gorilla Glass,Up to 5 h,GSM / HSPA,,,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity",,,,Removable Li-Ion 1000 mAh battery,miniUSB 2.0,About 230 EUR,"3.5 inches, 33.8 cm2(~47.8% screen-to-body ratio)",LED flash,"microSDHC (dedicated slot), 2 GB included",Up to 400 h,,,Dell Aero,No,Marvell PXA310 624 MHz,"5 MP, AF",No,Android 1.5 (Cupcake),Mini-SIM,"HTML, Adobe Flash Lite","122 x 57.9 x 11.7 mm, 68.6 cc (4.80 x 2.28 x 0.46 in)",,Black,"TFT, 256K colors",Wi-Fi 802.11 b/g,,,
,No,"GPS, A-GPS",,,,,"2009, November. Released 2009, December",,,,Discontinued,Yes,,Class 12,102 g (3.60 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-mini-3i.jpg,MP4/H.264/WMV playerMP3/e-AAC+/WMA playerOrganizerVoice memo,Yes,"360 x 640 pixels, 16:9 ratio (~210 ppi density)",,"2.0, A2DP",,Up to 7 h 20 min,GSM,,,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity",,256MB,,Removable Li-Ion 1000 mAh battery,miniUSB 2.0,About 230 EUR,"3.5 inches, 33.8 cm2(~47.4% screen-to-body ratio)",,"microSDHC (dedicated slot), 4 GB included",Up to 423 h,,,Dell Mini 3i,No,,"3.15 MP, AF",No,OPhone OS,Mini-SIM,HTML,122 x 58.4 x 11.7 mm (4.80 x 2.30 x 0.46 in),,"Passion Red, Oiled Bronze","TFT, 256K colors",No,,Class 12,
HSPA 3.6/0.384 Mbps,No,"GPS, A-GPS",,HSDPA 850 / 1900 / 2100,,,"2009, November. Released 2009, December",,,,Discontinued,Yes,,,108 g (3.81 oz),https://fdn2.gsmarena.com/vv/bigpic/dell-mini-3ix-official.jpg,MP4/H.264/WMV playerMP3/e-AAC+/WMA playerVoice memoPredictive text input,Yes,"360 x 640 pixels, 16:9 ratio (~210 ppi density)",,"2.1, A2DP",,Up to 5 h,GSM / HSPA,,,GSM 850 / 900 / 1800 / 1900,,Dell,"Accelerometer, proximity",,256MB,,Removable Li-Ion 1000 mAh battery,miniUSB 2.0,About 230 EUR,"3.5 inches, 33.8 cm2(~47.0% screen-to-body ratio)",LED flash,"microSDHC (dedicated slot), 2 GB included",Up to 400 h,,,Dell Mini 3iX,No,,"3.15 MP, AF",No,Android 1.5 (Cupcake),Mini-SIM,HTML,120 x 59.9 x 11.7 mm (4.72 x 2.36 x 0.46 in),,Oiled Bronze and Ocean Blue,"TFT, 256K colors",Wi-Fi 802.11 b/g,,,
