Speed,Loudspeaker,,EDGE,GPRS,Card slot,Features,CPU,Sensors,Model Image,Type_1,Talk time,OS,Dual,Bluetooth,SIM,2G bands,Internal,_1,Video_1,Positioning,Radio,Dual_1,Phonebook,Games,Model Name,Weight,5G bands,Video,Triple,Charging,Messaging,3G bands,Call records,Status,_2,SAR,NFC,3.5mm jack,Single_1,WLAN,Price,_3,GPU,Build,4G bands,Chipset,Resolution,Technology,Single,Announced,Brand,USB,Colors,Java,Features_1,Dimensions,Stand-by,Type,Size,No,Protection
"HSPA, LTE, 5G",Yes,,,,No,LED flash,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-u6g.jpg,5000 mAh,,Android 14,,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,"64GB 4GB RAM, 256GB 6GB RAM",,1080p@30fps,GPS,FM radio,,,,Energizer Ultimate U6G,186 g (6.56 oz),"1, 3, 7, 28, 38, 41, 77, 78, 79 SA/NSA",1080p@30fps,"50 MP, (wide), AF2 MPVGA",33W wired,,HSDPA 850 / 900 / 2100,,"Coming soon. Exp. release 2025, March",,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 140 EUR,,Mali-G57 MC2,,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 39, 40, 41, 66",Mediatek Dimensity 6100+ (6 nm),720 x 1620 pixels (~263 ppi density),GSM / HSPA / LTE / 5G,"8 MP, (wide)","2024, December",Energizer,USB Type-C 2.0,Black,,,167.2 x 77.2 x 9 mm (6.58 x 3.04 x 0.35 in),,IPS LCD,"6.75 inches, 109.1 cm2(~84.5% screen-to-body ratio)",,
"HSPA, LTE",Yes,,,,microSDXC,LED flash,Quad-core 1.3 GHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e288s.jpg,"Li-Ion 2000 mAh, removable",,KaiOS 2.X,,"4.2, A2DP",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,4GB 512MB RAM,,,GPS,FM radio,,,,Energizer E288s,116 g (4.09 oz),,Yes,,,,HSDPA 850 / 900 / 2100,,"Available. Released 2024, August",,,No,Yes,Yes,Yes,,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66",Mediatek MT6739WW (28 nm),"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM / HSPA / LTE,0.3 MP,"2024, April",Energizer,USB Type-C,Black,,,138 x 58.2 x 12.8 mm (5.43 x 2.29 x 0.50 in),,TFT,"2.8 inches, 24.3 cm2(~30.2% screen-to-body ratio)",,
"HSPA, LTE",Yes,"Secondary external 1.77"" display",,,microSDHC,LED flash,Single-core 1 GHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e246sc.jpg,"Li-Ion 2000 mAh, removable",,Proprietary OS,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,128MB 48MB RAM,VGA,Yes,No,FM radio,,,,Energizer E246SC,-,,Yes,,,,HSDPA 850 / 900 / 2100,,"Available. Released 2024, December",,,No,Yes,,No,About 50 EUR,,,,"1, 2, 3, 4, 5, 7, 8, 12, 12, 17, 20, 26, 28, 38, 40, 41, 66",Unisoc T107 (22 nm),"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM / HSPA / LTE,VGA,"2024, May",Energizer,USB Type-C 2.0,Gray,,,86 x 70 x 21 mm (3.39 x 2.76 x 0.83 in),,TN TFT,"2.4 inches, 17.8 cm2(~29.6% screen-to-body ratio)",,
"HSPA, LTE",Yes,eMMC 5.1,,,microSDXC,LED flash,Quad-core 1.5 GHz,"Fingerprint (side-mounted), accelerometer, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/energizer-u652s.jpg,Li-Ion 4000 mAh,,Android 13 (Go edition),,"4.2, A2DP",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,64GB 2GB RAM,,Yes,GPS,FM radio,,,,Energizer Ultimate U652S,190 g (6.70 oz),,1080p@30fps,"18 MP (wide), AF0,08 MP (depth)0,08 MP (auxiliary lens)",,,HSDPA 850 / 900 / 2100,,"Available. Released 2024, July",,,No,Yes,,Wi-Fi 802.11 a/b/g/n,About 70 EUR,,IMG 8XE1PPC,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66",Mediatek MT6739WW (28 nm),"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",GSM / HSPA / LTE,"13 MP, (wide)","2024, February",Energizer,USB Type-C 2.0,Black,,,164.3 x 76.1 x 9.1 mm (6.47 x 3.00 x 0.36 in),,IPS LCD,"6.51 inches, 102.3 cm2(~81.8% screen-to-body ratio)",,
"HSPA, LTE",Yes,Flashlight,,,microSD,,Single-core 1 GHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e130s.jpg,"Li-Ion 1000 mAh battery, removable",,,,2.1,Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,128MB 48MB RAM,VGA,,No,FM radio,,Yes,No,Energizer E130S,87 g (3.07 oz),,Yes,,,SMS,HSDPA 850 / 900 / 2100,Yes,"Available. Released 2022, September",,,No,Yes,,No,About 20 EUR,,,,"1, 3, 7, 8, 20, 28, 38, 40, 41",Unisoc T107,128 x 160 pixels (~116 ppi density),GSM / HSPA / LTE,VGA,"2022, September",Energizer,microUSB 2.0,"Black, Gold, Silver",No,,115 x 49.2 x 14.8 mm (4.53 x 1.94 x 0.58 in),,TFT LCD,"1.77 inches, 9.9 cm2(~17.4% screen-to-body ratio)",,
"HSPA, LTE",Yes,eMMC 5.1,,,microSDHC,LED flash,Quad-core 1.5 GHz,"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-u506s.jpg,"Li-Ion 3000 mAh battery, removable",,Android 13 (Go edition),5 MPAuxiliary lens,"4.0, A2DP",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,32GB 2GB RAM,,1080p@30fps,GPS,FM radio,,,,Energizer U506S,178 g (6.28 oz),,1080p@30fps,,,,HSDPA 850 / 900 / 2100,,"Available. Released 2023, November",,,No,Yes,,Wi-Fi 802.11 a/b/g/n,About 60 EUR,,,,"1, 3, 4, 7, 8, 20, 28, 38, 40, 41",,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM / HSPA / LTE,2 MP,"2023, November",Energizer,microUSB,Black,,,144.8 x 72.4 x 11.6 mm (5.70 x 2.85 x 0.46 in),,IPS LCD,"5.0 inches, 68.9 cm2(~65.7% screen-to-body ratio)",,
"HSPA, LTE, 5G",Yes,eMMC 5.1,,,microSDXC,LED flash,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Fingerprint (rear-mounted), accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u65g.jpg,Li-Ion 4000 mAh,,Android 13,,"5.1, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,64GB 4GB RAM,,1080p@30fps,GPS,FM radio,,,,Energizer Ultimate 65G,190 g (6.70 oz),"1, 3, 5, 8, 28, 41, 77, 78 SA/NSA",1080p@30fps,"13 MP, f/1.8, (wide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",20W wired,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2024, Q3",,,No,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 140 EUR,,Mali-G57 MC2,,"1, 3, 5, 7, 8, 28, 34, 38, 39, 40, 41",Mediatek Dimensity 700 (7 nm),"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",GSM / HSPA / LTE / 5G,"8 MP, (wide)","2024, February",Energizer,USB Type-C 2.0,Black,,,164.4 x 76.4 x 9.2 mm (6.47 x 3.01 x 0.36 in),,IPS LCD,"6.51 inches, 102.3 cm2(~81.5% screen-to-body ratio)",,
"HSPA, LTE",Yes,IP68/IP69 dust/water resistant (up to 1.2m for 30 min),,,microSDXC (uses shared SIM slot),"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/energizer-hard-case-p28k.jpg,28000 mAh,,Android 14,,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,256GB 8GB RAM,,1080p@30fps,"GPS, GALILEO, GLONASS, BDS",No,,,,Energizer Hard Case P28K,570 g (1.26 lb),,"4K@30fps, 1080p@30fps","64 MP, (wide), PDAF20 MP2 MP",33W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2024, October",,,Yes,No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 250 EUR,,Mali-G57 MC2,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66",Mediatek Helio G99 (6 nm),1080 x 2460 pixels (~396 ppi density),GSM / HSPA / LTE,"16 MP, (wide)","2024, February 25",Energizer,USB Type-C 2.0,Black,,,178.1 x 84 x 27.8 mm (7.01 x 3.31 x 1.09 in),,IPS LCD,"6.78 inches, 109.2 cm2(~73.0% screen-to-body ratio)",,
"HSPA, LTE",Yes,eMMC 5.1,,,microSDXC,LED flash,Octa-core 2.0 GHz,"Fingerprint (rear-mounted), accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-u683s.jpg,Li-Po 4900 mAh,,Android 13 (Go edition),,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,64GB 2GB RAM,,1080p@30fps,GPS,No,,,,Energizer U683S,210 g (7.41 oz),,1080p@30fps,"8 MP, (wide), AF0.08 MP, (macro)0.3 MP, (depth)",,,HSDPA 850 / 900 / 2100,,"Available. Released 2024, February",,,No,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 80 EUR,,PowerVR GE8320,,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66",Mediatek MT6762CB,720 x 1640 pixels (~263 ppi density),GSM / HSPA / LTE,"5 MP, (wide)","2024, January",Energizer,USB Type-C 2.0,"Black, Gold, Pink",,,172.8 x 78.5 x 9.7 mm (6.80 x 3.09 x 0.38 in),,IPS LCD,"6.82 inches, 110.5 cm2(~81.4% screen-to-body ratio)",,
"HSPA, LTE, 5G",Yes,,,,microSDXC,"LED flash, HDR, panorama",Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/energizer-h67g.jpg,Li-Po 4900 mAh,,Android 13,,"5.1, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,128GB 4GB RAM,,1080p@30fps,GPS,No,,,,Energizer H67G,287 g (10.12 oz),"1, 3, 7, 28, 38, 41, 77, 78, 79 SA/NSA",1080p@30fps,"48 MP, (wide), PDAF5 MP, (depth)2 MP, (macro)",18W wired,,HSDPA 850 / 900 / 2100,,"Available. Released 2024, February",,,No,No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 310 EUR,,Mali-G57 MC3,,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66",Mediatek Dimensity 720 (7 nm),1080 x 2460 pixels (~396 ppi density),GSM / HSPA / LTE / 5G,"24 MP, (wide)","2024, January 19",Energizer,USB Type-C 2.0,"Black, Grey, Red",,,178.6 x 84 x 13.5 mm (7.03 x 3.31 x 0.53 in),,"IPS LCD, 90Hz","6.78 inches, 109.2 cm2(~72.8% screen-to-body ratio)",,
"HSPA, LTE",Yes,"Downloadable applications Facebook, Gmail, Whatsapp, etc.",,,microSDHC,LED flash,Quad-core 1.5 GHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e242s-plus.jpg,2000 mAh battery,,KaiOS 2.X,,"4.0, A2DP",Nano-SIM + Micro-SIM,GSM 850 / 900 / 1800 / 1900,4GB 512MB RAM,,,GPS,FM radio,,,,Energizer E242s+,116 g (4.09 oz),,Yes,,,,HSDPA 850 / 900 / 2100,,"Available. Released 2024, January",,,No,Yes,,Yes,About 30 EUR,,PowerVR GE8100,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66",Mediatek MT6739,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM / HSPA / LTE,2 MP,"2024, January",Energizer,microUSB,Black,,,130.8 x 53.6 x 13 mm (5.15 x 2.11 x 0.51 in),,"TFT LCD, 256K colors","2.4 inches, 17.8 cm2(~25.4% screen-to-body ratio)",1.3 MP,
"HSPA, LTE",Yes,No,,,microSDHC,LED flash,Single-core 1 GHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e244s.jpg,1400 mAh battery,,,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,,,,No,FM radio,,Yes,,Energizer E244s,91 g (3.21 oz),,No,,,SMS,HSDPA 850 / 900 / 2100,Yes,"Available. Released 2024, February",,,No,Yes,,No,About 20 EUR,,,,LTE,Unisoc T107,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM / HSPA / LTE,0.3 MP,"2023, December",Energizer,USB Type-C 2.0,Black,No,,131.2 x 54 x 12 mm (5.17 x 2.13 x 0.47 in),,TN TFT,"2.4 inches, 17.8 cm2(~25.2% screen-to-body ratio)",,
,Yes,Flashlight,No,Yes,microSD,,Single-core 312 MHz,,https://fdn2.gsmarena.com/vv/bigpic/energizer-e13.jpg,Li-Ion 1000 mAh battery,,,,2.1,Dual SIM (Mini-SIM),GSM 850 / 900 / 1800 / 1900,,,,No,FM radio,,Yes,No,Energizer E13,73 g (2.57 oz),,Yes,,,SMS,,Yes,"Available. Released 2022, June",,,No,Yes,,No,About 10 EUR,,,,,Mediatek MT6261D,128 x 160 pixels (~116 ppi density),GSM,VGA,"2022, June",Energizer,microUSB,Black,No,,116 x 50 x 14.5 mm (4.57 x 1.97 x 0.57 in),,"TFT LCD, 256K colors","1.77 inches, 9.9 cm2(~17.0% screen-to-body ratio)",,
,Yes,No,No,Yes,microSDHC,,Single-core 260 MHz,,https://fdn2.gsmarena.com/vv/bigpic/energizer-e20-plus.jpg,1000 mAh,,,,3.0,"Dual SIM (Mini-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900,,,,No,FM radio,,Yes,No,Energizer E20+,-,,Yes,,,SMS,,Yes,"Available. Released 2023, December",,,No,No,,No,About 20 EUR,,,,,Mediatek MT6261D,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM,QVGA,"2023, November",Energizer,USB Type-C,Black,No,,105 x 52.6 x 19.9 mm (4.13 x 2.07 x 0.78 in),,TFT,"2.4 inches, 17.8 cm2(~32.3% screen-to-body ratio)",,
,Yes,Flashlight,No,Yes,microSDHC,LED flash,Single-core 312 MHz,,https://fdn2.gsmarena.com/vv/bigpic/energizer-e29.jpg,Li-Ion 1700 mAh battery,,,,2.1,Dual SIM (Mini-SIM),GSM 850 / 900 / 1800 / 1900,,,,No,FM radio,,Yes,No,Energizer E29,-,,Yes,,,SMS,,Yes,"Available. Released 2023, November",,,No,Yes,,No,About 20 EUR,,,,,Unisoc 6531E,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM,VGA,"2023, October",Energizer,microUSB,Black,No,,137.6 x 62.5 x 15.6 mm (5.42 x 2.46 x 0.61 in),,TFT LCD,"2.8 inches, 24.3 cm2(~28.2% screen-to-body ratio)",,
No,Yes,,No,Yes,microSDHC,,312 MHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e4.jpg,"Li-Ion 1000 mAh battery, removable",,,,2.0,"Dual SIM (Mini-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900,4MB,SOS feature,,No,FM radio,,Yes,,Energizer E4,65 g (2.29 oz),,Yes,,,SMS,N/A,Yes,"Available. Released 2022, August",,,No,Yes,,No,About 10 EUR,,,,N/A,Unisoc SC6531DA,128 x 160 pixels (~116 ppi density),GSM,QVGA,"2022, June",Energizer,microUSB,"Black, Blue, Red, Gold, Silver",No,,115 x 46 x 13.5 mm (4.53 x 1.81 x 0.53 in),,TFT,"1.77 inches, 9.9 cm2(~18.6% screen-to-body ratio)",,
"HSPA, LTE",Yes,eMMC 5.1,,,microSDXC,LED flash,Quad-core 2.0 GHz Cortex-A53,,https://fdn2.gsmarena.com/vv/bigpic/energizer-u608s.jpg,Li-Ion 3000 mAh,,Android 12 (Go edition),,"4.2, A2DP",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,32GB 2GB RAM,,720p,GPS,FM radio,,,,Energizer Ultimate U608s,156.8 g (5.54 oz),,1080p@30/60fps,,,,HSDPA 850 / 900 / 2100,,"Available. Released 2022, July",,,No,Yes,5 MP,Wi-Fi 802.11 b/g/n,About 90 EUR,,PowerVR GE8320,,LTE,Mediatek MT6761 Helio A22 (12 nm),"720 x 1520 pixels, 19:9 ratio (~277 ppi density)",GSM / HSPA / LTE,5 MP,"2022, June",Energizer,microUSB,Black,,,155.4 x 73.3 x 9.8 mm (6.12 x 2.89 x 0.39 in),,LCD,"6.08 inches, 92.3 cm2(~81.0% screen-to-body ratio)",,
"HSPA, LTE",Yes,"Downloadable applications Facebook, Gmail, Whatsapp, etc.",,,microSDHC,LED flash,Quad-core 1.5 GHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e242s.jpg,"Li-Ion 1700 mAh battery, removable",,KaiOS 2.5.3,,"4.2, A2DP, LE","Dual SIM (Micro-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900,4GB 512MB RAM,,Yes,GPS,FM radio,,,,Energizer E242s,116 g (4.09 oz),,Yes,,,,HSDPA 850 / 900 / 2100,,"Available. Released 2022, April 10",,,No,Yes,0.3 MP,Yes,About 40 EUR,,PowerVR GE8100,,"1, 3, 7, 8, 20, 28, 38, 40, 41",Mediatek MT6739,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM / HSPA / LTE,0.3 MP,"2022, April 10",Energizer,microUSB,"Black, Blue, Pink, Gold, Silver",,,130.8 x 53.6 x 13 mm (5.15 x 2.11 x 0.51 in),,"TFT LCD, 256K colors","2.4 inches, 17.8 cm2(~25.4% screen-to-body ratio)",,
"HSPA, LTE",Yes,eMMC,,,microSDHC,LED flash,1 GHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e284s.jpg,"Li-Ion 2000 mAh, removable",,,,2.1,Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,"128MB, 64MB RAM",,Yes,No,FM radio,,Yes,Downloadable,Energizer E284S,131 g (4.62 oz),,Yes,,,SMS,HSDPA 850 / 900 / 2100,Yes,"Available. Released 2022, Q2",,,No,Yes,VGA,Yes,About 50 EUR,,,,"1, 3, 7, 8, 20, 28, 38, 40, 41",Unisoc T117,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM / HSPA / LTE,2 MP,"2021, December",Energizer,microUSB,"Black, Blue, Red, Green",No,,137.6 x 62.5 x 15.6 mm (5.42 x 2.46 x 0.61 in),,TFT LCD,"2.8 inches, 24.3 cm2(~28.2% screen-to-body ratio)",,
"HSPA, LTE",Yes,eMMC 5.1,,,microSDHC,LED flash,Quad-core 1.5 GHz,"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-u505s.jpg,"Li-Po 3000 mAh, removable",,Android 11 (Go edition),5 MPVGA,"4.0, A2DP",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,16GB 1GB RAM,,720p,GPS,FM radio,,,,Energizer Ultimate U505s,-,,1080p@30fps,,,,HSDPA 850 / 900 / 2100,,"Available. Released 2022, March",,,No,Yes,,Yes,About 80 EUR,,,,"1, 3, 7, 8, 20, 28, 38, 40, 41",Mediatek MT6739,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM / HSPA / LTE,2 MP,"2022, March",Energizer,microUSB 2.0,Black,,,138.5 x 73.5 x 10.6 mm (5.45 x 2.89 x 0.42 in),,TFT LCD,"5.0 inches, 68.9 cm2(~67.7% screen-to-body ratio)",,
