Speed,Loudspeaker,,EDGE,GPRS,Card slot,Features,CPU,Sensors,Model Image,Type_1,Talk time,OS,Dual,Bluetooth,SIM,2G bands,Internal,_1,Video_1,Positioning,Radio,Dual_1,Phonebook,Games,Model Name,Weight,5G bands,Video,Triple,Charging,Messaging,3G bands,Call records,Status,_2,SAR,NFC,3.5mm jack,Single_1,WLAN,Price,_3,GPU,Build,4G bands,Chipset,Resolution,Technology,Single,Announced,Brand,USB,Colors,Java,Features_1,Dimensions,Stand-by,Type,Size,No,Protection
HSPA,Yes,Flashlight,,,microSDHC,,Quad-core 1.1 GHz,,https://fdn2.gsmarena.com/vv/bigpic/energizer-e282sc.jpg,"Li-Ion 1400 mAh, removable",,KaiOS 2.5.3,,"4.2, A2DP","Dual SIM (Micro-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900,4GB 512MB RAM,,,GPS,FM radio,,,,Energizer E282SC,101 g (3.56 oz),,No,,,,HSDPA 850 / 900 / 2100,,"Available. Released 2021, December",,,No,Yes,2 MP,Yes,About 60 EUR,,PowerVR GE8100,,"1, 3, 7, 8, 20, 28, 38, 40, 41",Mediatek MT6731 (28 nm),"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM / HSPA / LTE,2 MP,"2021, December",Energizer,microUSB 2.0,"Black, Silver/Diamond, Gold/Diamond, Pink/Diamond",,,108.5 x 58 x 18.5 mm (4.27 x 2.28 x 0.73 in),,TFT LCD,"2.8 inches, 24.3 cm2(~38.6% screen-to-body ratio)",,
"HSPA, LTE, 5G",Yes,CDMA 800 / TD-SCDMA,,,microSDXC,LED flash,Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Fingerprint (rear-mounted), accelerometer, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/energizer-g5.jpg,Li-Po 5000 mAh,,Android 11,,"5.1, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,128GB 6GB RAM,CDMA2000 1xEV-DO,1080p@30fps,GPS,FM radio,,,,Energizer Hard Case G5,-,"1, 3, 8, 28, 38, 41, 77, 78, 79 SA/NSA",1080p@30fps,"48 MP, (wide), AF20 MP, f/1.813 MP, f/2.4, (ultrawide)",,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2021, Q4",IP69 dust/water resistant (up to 1.2m for 30 min)Drop resistant up to 1.2m,,Yes,No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 500 EUR,eMMC 5.1,Mali-G57 MC3,,"1, 2, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",Mediatek Dimensity 800U (7 nm),"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",GSM / CDMA / HSPA / EVDO / LTE / 5G,8 MP,"2021, June 29",Energizer,"USB Type-C 2.0, OTG",Black,,,167.7 x 78.2 x 13.7 mm (6.60 x 3.08 x 0.54 in),,IPS LCD,"6.3 inches, 97.4 cm2(~74.3% screen-to-body ratio)",,Corning Gorilla Glass 5
"HSPA, LTE",Yes,eMMC 5.1,,,microSDHC,LED flash,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-u680s.jpg,Li-Po 7000 mAh,,Android 11,,4.0,Nano-SIM + Micro-SIM,GSM 850 / 900 / 1800 / 1900,32GB 2GB RAM,,,GPS,FM radio,,,,Energizer U680S,-,,1080p@30fps,"13 MP, AF2 MPVGA",,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2021, Q3",,,No,Yes,,Wi-Fi 802.11 b/g/n,About 120 EUR,,IMG8322,,"1, 2, 3, 5, 7, 8, 20, 28, 40, 41",Unisoc SC9863A (28 nm),720 x 1640 pixels (~263 ppi density),GSM / HSPA / LTE,5 MP,"2021, June 29",Energizer,USB Type-C 2.0,"Green, Black",,,-,,IPS LCD,"6.8 inches, 109.8 cm2",,
,Yes,Flashlight,No,Yes,microSD,LED flash,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-e28.jpg,Li-Ion 3000 mAh battery,,,,2.1,"Dual SIM (Mini-SIM, Micro-SIM)",GSM 850 / 900 / 1800 / 1900,,,,No,FM radio,,Yes,No,Energizer E28,113 g (3.99 oz),,Yes,,,SMS,,Yes,"Available. Released 2021, April",,,No,Yes,,No,About 20 EUR,,,,,Spreadtrum SC6531E,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM,QVGA,"2021, April",Energizer,microUSB,"Black, Gray, Blue, White, Green, Brown, Yellow",No,,134.5 x 56 x 16.9 mm (5.30 x 2.20 x 0.67 in),,"TFT LCD, 256K colors","2.8 inches, 24.3 cm2(~32.2% screen-to-body ratio)",,
,Yes,Flashlight,No,Yes,microSD,LED flash,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-e24.jpg,Li-Ion 1900 mAh battery,,,,2.1,"Dual SIM (Mini-SIM, Micro-SIM)",GSM 850 / 900 / 1800 / 1900,,,,No,FM radio,,Yes,No,Energizer E24,105 g (3.70 oz),,Yes,,,SMS,,Yes,"Available. Released 2021, April",,,No,Yes,QVGA,No,About 20 EUR,,,,,Spreadtrum SC6531E,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM,QVGA,"2021, April",Energizer,microUSB,"Black, Gray, Blue, White, Green, Brown, Yellow",No,,125.3 x 54 x 14.5 mm (4.93 x 2.13 x 0.57 in),,"TFT LCD, 256K colors","2.4 inches, 17.8 cm2(~26.4% screen-to-body ratio)",,
,Yes,Flashlight,No,Yes,microSD,,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-e3.jpg,Li-Ion 1000 mAh battery,,,,2.1,Dual SIM (Mini-SIM),GSM 850 / 900 / 1800 / 1900,,,,No,FM radio,,Yes,No,Energizer E3,70 g (2.47 oz),,Yes,,,SMS,,Yes,"Available. Released 2021, April",,,No,Yes,QVGA,No,About 10 EUR,,,,,Spreadtrum SC6531E,128 x 160 pixels (~116 ppi density),GSM,QVGA,"2021, April",Energizer,microUSB,"Black, Gray, Blue, White, Green, Brown, Yellow",No,,113.9 x 48 x 14 mm (4.48 x 1.89 x 0.55 in),,"TFT LCD, 256K colors","1.77 inches, 9.9 cm2(~18.0% screen-to-body ratio)",,
,Yes,Flashlight,No,Yes,microSD,,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-e2.jpg,Li-Ion 800 mAh battery,,,,2.1,Dual SIM (Mini-SIM),GSM 850 / 900 / 1800 / 1900,,,,No,FM radio,,Yes,No,Energizer E2,74.3 g (2.61 oz),,Yes,,,SMS,,Yes,"Available. Released 2021, April",,,No,Yes,,No,About 10 EUR,,,,,Spreadtrum SC6531E,128 x 160 pixels (~116 ppi density),GSM,QVGA,"2021, April",Energizer,microUSB,"Black, Gray, Blue, White, Green, Brown, Yellow",No,,116 x 50 x 13.9 mm (4.57 x 1.97 x 0.55 in),,"TFT LCD, 256K colors","1.77 inches, 9.9 cm2(~17.0% screen-to-body ratio)",,
"HSPA, LTE",Yes,eMMC,,,microSDHC,LED flash,Dual-core (2x1.2 GHz),,https://fdn2.gsmarena.com/vv/bigpic/energizer-282s.jpg,Li-Ion 3000 mAh battery,,KaiOS 2.5.3,,"2.1, EDR","Dual SIM (Micro-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900,4GB 512MB RAM,"Downloadable applications Facebook, Gmail, Whatsapp, etc.",,GPS,FM radio,,,,Energizer E280s,113 g (3.99 oz),,Yes,,,,HSDPA 900 / 2100,,"Available. Released 2021, May 31",,,No,Yes,VGA,"Wi-Fi 802.11 b/g/n, hotspot",About 40 EUR,,Mali-T820,,"1, 3, 7, 8, 20, 28, 40",Spreadtrum SC9820E,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM / HSPA / LTE,2 MP,"2021, April 07",Energizer,microUSB,"Black, White, Gray, Blue, Green, Yellow, Brown",,,134.5 x 56 x 16.8 mm (5.30 x 2.20 x 0.66 in),,"TFT LCD, 256K colors","2.8 inches, 24.3 cm2(~32.2% screen-to-body ratio)",,
"HSPA, LTE",Yes,IP69 dust/water resistant (up to 1.2m for 30 min)Drop resistant up to 1.2m,,,microSDHC (uses shared SIM slot),Dual-LED flash,Octa-core 2.0 GHz Cortex-A53,"Fingerprint (rear-mounted), accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-h621s.jpg,Li-Po 5000 mAh,,Android 11,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,64GB 4GB RAM,eMMC 5.1,1080p@30fps,GPS,FM radio,,,,Energizer Hardcase H621S,241 g (8.50 oz),,1080p@30fps,,15W wired,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2021, June",,,Yes,No,8 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 200 EUR,,PowerVR GE8320,,"1, 2, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",Mediatek MT6762 Helio P22 (12 nm),"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",GSM / HSPA / LTE,"48 MP, PDAF","2021, June",Energizer,USB Type-C 2.0,Black,,,163 x 78.2 x 12 mm (6.42 x 3.08 x 0.47 in),,IPS LCD,"6.2 inches, 95.9 cm2(~75.3% screen-to-body ratio)",,
"HSPA, LTE",Yes,IP69 dust/water resistant (up to 1.2m for 30 min)Drop resistant up to 1.2m,,,microSDHC (uses shared SIM slot),Dual-LED flash,Octa-core 2.0 GHz Cortex-A53,"Fingerprint (rear-mounted), accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h620s.jpg,Li-Ion 5000 mAh,,Android 10,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,64GB 4GB RAM,eMMC 5.1,1080p@30fps,GPS,FM radio,,,,Energizer Hardcase H620S,250 g (8.82 oz),,1080p@30fps,,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2021, February 09",,,Yes,Yes,8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 300 EUR,,PowerVR GE8320,,"1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",Mediatek MT6762 Helio P22 (12 nm),"720 x 1440 pixels, 18:9 ratio (~260 ppi density)",GSM / HSPA / LTE,"48 MP, PDAF","2020, December",Energizer,USB Type-C 2.0,Black,,,163 x 78.2 x 12 mm (6.42 x 3.08 x 0.47 in),,IPS LCD,"6.2 inches, 99.2 cm2(~77.8% screen-to-body ratio)",,
"HSPA, LTE","Yes, with stereo speakers",eMMC 5.1,,,microSDXC,"LED flash, HDR, panorama",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"Fingerprint (rear-mounted), accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-u710s.jpg,Li-Po 6000 mAh,,Android 9.0 (Pie),"13 MP, PDAFVGA","4.2, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,32GB 3GB RAM,,,"GPS, GLONASS",FM radio,,,,Energizer Ultimate U710S,-,,1080p@30fps,,10W wired,,HSDPA 850 / 900 / 1900 / 2100,,Cancelled,,,No,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,Mali-G71 MP2,,"1, 3, 7, 8, 20, 28, 38, 40",Mediatek MT6763 Helio P23 (16 nm),"1080 x 2244 pixels, 18.7:9 ratio (~350 ppi density)",GSM / HSPA / LTE,5 MP,"2020, February 17",Energizer,USB Type-C 2.0,Gray,,,180.3 x 86.8 x 9.2 mm (7.10 x 3.42 x 0.36 in),,IPS LCD,"7.12 inches, 127.8 cm2(~81.7% screen-to-body ratio)",,AGC glass
,Yes,- Flashlight,Yes,Yes,microSDHC,,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e12.jpg,Li-Ion 1000 mAh battery,,,,2.1,Dual SIM (Mini-SIM),GSM 850 / 900 / 1800 / 1900,4MB 4MB RAM,,,No,FM radio,,Yes,,Energizer Energy E12,91 g (3.21 oz),,Yes,,,"SMS, MMS",,Yes,"Available. Released 2019, June",,,No,Yes,VGA,No,About 10 EUR,,,,,Spreadtrum SC6531E,128 x 160 pixels (~114 ppi density),GSM,VGA,"2019, April",Energizer,microUSB 2.0,Black,No,,117 x 51 x 15 mm (4.61 x 2.01 x 0.59 in),,"TFT LCD, 256K colors","1.8 inches, 10.2 cm2(~17.1% screen-to-body ratio)",,
,Yes,"IP54, dust and splash resistantFlashlight",Yes,Yes,microSDHC,,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h10.jpg,Li-Ion 1000 mAh battery,,,,3.0,Dual SIM (Mini-SIM),GSM 850 / 900 / 1800 / 1900,64MB 32MB RAM,,,No,FM radio,,Yes,,Energizer Hardcase H10,80 g (2.82 oz),,Yes,,,SMS,,Yes,"Available. Released 2019, April",,,No,Yes,VGA,No,About 30 EUR,,,,,Mediatek MT6261A,128 x 160 pixels (~114 ppi density),GSM,VGA,"2019, April",Energizer,microUSB,Black,No,,109 x 49 x 15 mm (4.29 x 1.93 x 0.59 in),,"TFT LCD, 256K colors","1.8 inches, 10.2 cm2(~19.1% screen-to-body ratio)",,
"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat13 600/50 Mbps, 5G (2+ Gbps DL)",Yes,"Cover display:6 inches, 1080 x 2160 pixels",,,microSDXC,"Dual-LED flash, HDR, panorama",Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"Accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p8100s-.jpg,"Li-Po 10000 mAh, non-removable",,Android 9.0 (Pie),"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF12 MP","5.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,256GB 8GB RAM,,1080p@30fps,GPS,FM radio,,,,Energizer Power Max P8100S,-,NSA,4K@30fps,,18W wired,,HSDPA 850 / 900 / 2100,,Cancelled,,,No,No,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",About 900 EUR,,Adreno 640,,LTE,Qualcomm SM8150 Snapdragon 855 (7 nm),"1536 x 2048 pixels, 4:3 ratio (~316 ppi density)",GSM / HSPA / LTE / 5G,"24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm","2019, February",Energizer,USB Type-C,Dark red,,,-,,Foldable IPS LCD,"8.1 inches, 203.2 cm2",,
"HSPA, LTE",Yes,eMMC 5.1,,,microSDXC (uses shared SIM slot),"Dual-LED dual-tone flash, panorama, HDR",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p18k-pop-100.jpg,"Li-Po 18000 mAh, non-removable",,Android 9.0 (Pie),"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm2 MP, depth sensor","5.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,128GB 6GB RAM,,1080p@30fps,"GPS, GLONASS",FM radio,,,,Energizer Power Max P18K Pop,-,,1080p@30fps,"12 MP, PDAF5 MP2 MP, (depth)","18W wired, PD2.02.5W reverse wired",,HSDPA 850 / 900 / 1900 / 2100,,Cancelled,,,No,No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,Mali-G72 MP3,,"1, 3, 5, 7, 8, 20",Mediatek MT6771 Helio P70 (12 nm),"1080 x 2280 pixels, 19:9 ratio (~407 ppi density)",GSM / HSPA / LTE,,"2019, February",Energizer,"USB Type-C 2.0, OTG","Black, Blue",,,⁓ 30-40 mm thickness,,IPS LCD,"6.2 inches, 95.9 cm2(~83.8% screen-to-body ratio)",,
"HSPA, LTE",Yes,eMMC 5.1,,,microSDXC (uses shared SIM slot),"Dual-LED dual-tone flash, panorama, HDR",Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u620s-pop.jpg,"Li-Ion 3200 mAh, non-removable",,Android 9.0 (Pie),"Motorized pop-up 16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µmMotorized pop-up 2 MP, depth sensor","5.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,128GB 6GB RAM,,1080p,"GPS, GLONASS",FM radio,,,,Energizer Ultimate U620S Pop,-,,1080p@30fps,"12 MP, PDAF5 MP2 MP, (depth)",18W wired,,HSDPA 850 / 900 / 2100,,Cancelled,,,No,No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,Mali-G72 MP3,,"1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41",Mediatek MT6771 Helio P70 (12 nm),"1080 x 2280 pixels, 19:9 ratio (~407 ppi density)",GSM / HSPA / LTE,,"2019, January",Energizer,"USB Type-C 2.0, OTG","Black, Red, Green",,,153.2 x 74.9 x 10.3 mm (6.03 x 2.95 x 0.41 in),,IPS LCD,"6.2 inches, 95.9 cm2(~83.6% screen-to-body ratio)",,
"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,IP68 dust/water resistant (up to 1.5m for 30 min),,,microSDHC (uses shared SIM slot),LED flash,Quad-core 1.5 GHz Cortex-A53,"Fingerprint (rear-mounted), accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h570s-not-scan.jpg,"Li-Ion 6500 mAh, non-removable",,Android 9.0 (Pie),"13 MP, AF0.3 MP, (depth)","4.2, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,16GB 2GB RAM,eMMC 5.1,,"GPS, GLONASS",No,,,,Energizer Hardcase H570S,-,,1080p@30fps,,10W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2019, Q3",,,No,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,PowerVR GE8100,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41",Mediatek MT6739 (28 nm),"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",GSM / HSPA / LTE,8 MP,"2019, February",Energizer,USB Type-C 2.0,Black,,,,,IPS LCD,"5.7 inches, 83.8 cm2",,Corning Gorilla Glass 3
"HSPA 7.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,IP68 dust/water resistant (up to 1.5m for 30 min),,,microSDXC (uses shared SIM slot),LED flash,Quad-core 1.5 GHz Cortex-A53,"Fingerprint (rear-mounted), accelerometer, gyro, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h501s.jpg,"Li-Ion 2500 mAh, non-removable",,Android 9.0 (Pie),"16 MP, AF2 MP, (depth)","4.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,16GB 2GB RAM,eMMC 5.1,,"GPS, GLONASS",No,,,,Energizer Hardcase H501S,-,,480p@30fps,,,,HSDPA 900 / 2100,,"Available. Released 2019, Q3",,,No,Yes,,Wi-Fi 802.11 a/b/g/n,,,PowerVR GE8100,,"1, 3, 7, 20",Mediatek MT6739 (28 nm),"480 x 960 pixels, 18:9 ratio (~215 ppi density)",GSM / HSPA / LTE,5 MP,"2019, February",Energizer,microUSB 2.0,Black,,,149.4 x 69.9 x 12 mm (5.88 x 2.75 x 0.47 in),,IPS LCD,"5.0 inches, 64.5 cm2(~61.8% screen-to-body ratio)",,Panda Glass
"HSPA, LTE",Yes,IP68 dust/water resistant (up to 1.2m for 30 min)Drop resistant up to 1.2m,,,microSDXC,LED flash,Dual-core (2x1.2 GHz),,https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h280s1.jpg,Li-Ion 2000 mAh battery,,KaiOS 2.5.3,,3.0,"Dual SIM (Micro-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900,4GB 512MB RAM,"Downloadable applications Facebook, Gmail, Whatsapp, etc.",,GPS,FM radio,,,,Energizer Hardcase H280S,256 g (9.03 oz),,Yes,,,,HSDPA 900 / 2100,,"Available. Released 2020, January",,,No,Yes,0.3 MP,"Wi-Fi 802.11 b/g/n, hotspot",About 80 EUR,,,,"1, 3, 7, 8, 20, 28, 40",Spreadtrum SC9820E,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM / HSPA / LTE,2 MP,"2019, February",Energizer,microUSB 2.0,Black,,,142 x 64 x 16.5 mm (5.59 x 2.52 x 0.65 in),,"TFT LCD, 256K colors","2.8 inches, 24.3 cm2(~26.7% screen-to-body ratio)",,
HSPA,Yes,IP68 dust/water resistant (up to 1.2m for 30 min),,,microSDXC,LED flash,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h241s.jpg,Li-Ion 2500 mAh battery,,KaiOS 2.5.1,,Yes,Dual SIM (Mini-SIM),GSM 850 / 900 / 1800 / 1900,128MB 64MB RAM,"Downloadable applications Facebook, Gmail, Whatsapp, etc.",,No,FM radio,,,,Energizer Hardcase H241,-,,Yes,,,,HSDPA 900 / 2100,,Cancelled,,,No,Yes,0.3 MP,"Wi-Fi 802.11 b/g/n, hotspot",,,,,,Mediatek MT6276А,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM / HSPA,2 MP,"2019, February",Energizer,microUSB 2.0,Black,,,128.5 x 56.5 x 16.5 mm (5.06 x 2.22 x 0.65 in),,"TFT LCD, 256K colors","2.4 inches, 17.8 cm2(~24.6% screen-to-body ratio)",,
