,Card slot,Games,Dimensions,Bluetooth,2G bands,4G bands,Features_1,Talk time,Positioning,Infrared port,Loudspeaker,Battery (old),Messaging,Models,Phonebook,EDGE,Build,Radio,Camera,OS,Speed,Quad,Loudspeaker_1,Type,Weight,Sensors,Internal,Size,Colors,Call records,Single_1,Type_1,Display,SAR,Protection,Technology,3G bands,WLAN,NFC,Model Name,Model Image,Features,Stand-by,Announced,_2,Video,_1,USB,Chipset,Triple,Price,CPU,Resolution,Audio quality,Brand,Dual,Dual_1,Java,3.5mm jack,Single,Performance,GPU,Video_1,Charging,Status,GPRS,SIM,SAR EU
eMMC 5.1,Unspecified,,158 x 76 x 9.2 mm (6.22 x 2.99 x 0.36 in),Yes,GSM 850 / 900 / 1800 / 1900,LTE,,,GPS,,Yes,,,GNV5221,,,"Glass front, plastic frame, glass back",Unspecified,,HarmonyOS,"HSPA, LTE",,,IPS LCD,195 g (6.88 oz),"Accelerometer, proximity",32GB 4GB RAM,"6.26 inches, 94.6 cm2(~78.8% screen-to-body ratio)","Black, Blue, Silver, Purple",,,Li-Ion 3500 mAh,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Yes,No,Gionee G13 Pro,https://fdn2.gsmarena.com/vv/bigpic/gionee-g13-pro.jpg,LED flash,,"2022, January 28",,1080p@30fps,,USB Type-C 2.0,Unisoc Tiger T310 (12 nm),,About 80 EUR,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),"720 x 1600 pixels, 20:9 ratio (~280 ppi density)",,Gionee,"13 MP, (wide), PDAF2 MP",,,Yes,5 MP,,PowerVR GE8300,,,"Available. Released 2022, January 30",,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC (dedicated slot),,164.7 x 76.3 x 9 mm (6.48 x 3.00 x 0.35 in),Yes,GSM 850 / 900 / 1800 / 1900,"1, 2, 3, 5, 7, 8, 20, 28, 40",,,GPS,,Yes,,,,,,,Unspecified,,Android 11 (Go edition),"HSPA, LTE",,,IPS LCD,-,"Fingerprint (rear-mounted), accelerometer, proximity, compass",32GB 2GB RAM,"6.52 inches, 102.6 cm2(~81.7% screen-to-body ratio)","Black, Blue, Light Blue",,8 MP,Li-Po 5000 mAh,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Yes,No,Gionee P15,https://fdn2.gsmarena.com/vv/bigpic/gionee-p15.jpg,LED flash,,"2021, July 26",,Unspecified,,"microUSB, OTG",Unisoc SC9863A (28 nm),,About 100 EUR,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Gionee,,,,Yes,"13 MP, (wide), PDAF0.08 MP (auxiliary lens)0.08 MP (auxiliary lens)",,IMG8322,Unspecified,,"Available. Released 2021, July 30",,Nano-SIM + Nano-SIM,
IP67Compatible with standard 22mm straps,No,,50 x 45 x 9.6 mm (1.97 x 1.77 x 0.38 in),4.0,N/A,N/A,,,No,,No,,,,,No,,No,,Proprietary OS,No,,,TFT LCD,35 g (1.23 oz),"Accelerometer, heart rate, SpO2",,1.3 inches,"Teal Green, Mimi Pink, Matte Black",,,Li-Ion 130 mAh,,,,No cellular connectivity,N/A,No,No,Gionee Smartwatch 7,https://fdn2.gsmarena.com/vv/bigpic/gionee-smartwatch-7.jpg,,,"2021, June 09",No,,eMMC 4.5,No,,,About 50 EUR,,240 x 240 pixels (~261 ppi density),,Gionee,,,,No,,,,,,"Available. Released 2021, June 13",No,No,
,microSDXC (dedicated slot),,165.2 x 77 x 9 mm (6.50 x 3.03 x 0.35 in),Yes,GSM 850 / 900 / 1800 / 1900,"1, 2, 3, 5, 7, 8, 20, 28, 40",,,GPS,,Yes,,,,,,,Unspecified,,Android 11,"HSPA, LTE","48 MP, (wide), PDAF5 MP, (ultrawide)2 MP, (macro)2 MP, (depth)",,IPS LCD,-,"Fingerprint (rear-mounted), accelerometer, gyro, proximity","128GB 6GB RAM, 128GB 8GB RAM","6.67 inches, 107.4 cm2(~84.4% screen-to-body ratio)",Gray,,,Li-Po 5100 mAh,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Yes,No,Gionee M15,https://fdn2.gsmarena.com/vv/bigpic/gionee-m15.jpg,"LED flash, HDR, panorama",,"2021, May 24",,1080p@30fps,,"USB Type-C 2.0, OTG",Mediatek MT6785 Helio G90 (12 nm),,About 180 EUR,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,Gionee,,,,Yes,16 MP,,Mali-G76 MC4,1080p@30fps,18W wired,"Available. Released 2021, May 28",,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC (uses shared SIM slot),,163.2 x 75.9 x 9.3 mm (6.43 x 2.99 x 0.37 in),Yes,GSM 850 / 900 / 1800 / 1900,LTE,,,GPS,,Yes,,,,,,,Unspecified,,Android,"HSPA, LTE","16 MP, (wide), PDAF5 MP, (ultrawide)2 MP, (macro)2 MP, (depth)",,IPS LCD,201 g (7.09 oz),"Fingerprint (side-mounted), accelerometer, proximity","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","6.53 inches, 102.9 cm2(~83.1% screen-to-body ratio)","Black, Green, Sky, Gray",,,Li-Po 5000 mAh,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee M3,https://fdn2.gsmarena.com/vv/bigpic/gionee-m3.jpg,"LED flash, HDR, panorama",,"2021, April 07",,1080p@30fps,,"USB Type-C 2.0, OTG",Mediatek MT6771 Helio P60 (12 nm),,About 120 EUR,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Gionee,,,,Yes,8 MP,,Mali-G72 MP3,1080p@30fps,18W wired,"Available. Released 2021, April 14",,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC,,173.8 x 78.5 x 9.5 mm (6.84 x 3.09 x 0.37 in),"5.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 7, 8, 20, 28, 40",,,GPS,,Yes,,,,,,"Glass front, plastic frame, plastic back",FM radio,,Android 11,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,208 g (7.34 oz),"Fingerprint (rear-mounted), accelerometer, proximity, compass",64GB 3GB RAM,"6.82 inches, 110.5 cm2(~81.0% screen-to-body ratio)","Fjord, Petrol Blue",,,Li-Po 6000 mAh,,,,GSM / HSPA / LTE,HSDPA 900 / 2100,Wi-Fi 802.11 b/g/n,No,Gionee P15 Pro,https://fdn2.gsmarena.com/vv/bigpic/gionee-p15-pro.jpg,LED flash,,"2021, March 26",,1080p@30fps,,"USB Type-C 2.0, OTG",Mediatek MT6765G Helio G35 (12 nm),,About 120 EUR,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),720 x 1640 pixels (~263 ppi density),,Gionee,"13 MP, (wide), AF2 MP, (ultrawide)0.1 MP, (depth)",,,Yes,8 MP,,PowerVR GE8320,1080p@30fps,,"Available. Released 2021, March 29",,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC (dedicated slot),,165 x 75 x 10 mm (6.50 x 2.95 x 0.39 in),"4.2, A2DP",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 8, 38, 40, 41",,,GPS,,Yes,,,,,,,FM radio,,Android 10,"HSPA, LTE",,,IPS LCD,212 g (7.48 oz),"Accelerometer, proximity",32GB 3GB RAM,"6.52 inches, 104.4 cm2(~84.3% screen-to-body ratio)","Black, Red, Blue",,,Li-Po 6000 mAh,,0.34 W/kg (head)     0.97 W/kg (body),,GSM / HSPA / LTE,HSDPA 900 / 2100,Wi-Fi 802.11 a/b/g/n/ac,No,Gionee Max Pro,https://fdn2.gsmarena.com/vv/bigpic/gionee-max-pro.jpg,LED flash,,"2021, March 01",,1080p@30fps,,"microUSB 2.0, OTG",Unisoc SC9863A (28 nm),,About 80 EUR,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),"720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)",,Gionee,"13 MP, (wide), AF2 MP (depth)",,,Yes,8 MP,,IMG8322,,,"Available. Released 2021, March 08",,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC,,165 x 76 x 8 mm (6.50 x 2.99 x 0.31 in),Yes,GSM 850 / 900 / 1800 / 1900,LTE,,,GPS,,Yes,,,GSE1020,,,"Glass front, plastic frame, glass back",FM radio,,Android,"HSPA, LTE",,,IPS LCD,165 g (5.82 oz),"Fingerprint (rear-mounted), accelerometer, proximity","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","6.53 inches, 104.7 cm2(~83.5% screen-to-body ratio)","Black, Blue, White",,,Li-Po 4000 mAh,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee K30 Pro,https://fdn2.gsmarena.com/vv/bigpic/gionee-k30-pro.jpg,"LED flash, HDR, panorama",,"2020, December 08",,1080p@30fps,24-bit/192kHz Hi-Res audio,"USB Type-C 2.0, OTG",Mediatek,"16 MP, f/1.8, (wide), PDAF5 MP, 120˚ (ultrawide)2 MP, (depth)",About 100 EUR,Octa-core 2.0 GHz,"720 x 1560 pixels, 19.5:9 ratio (~263 ppi density)",,Gionee,,,,Yes,8 MP,,,1080p@30fps,20W wired,"Available. Released 2020, December",,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC,,156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in),"5.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 7, 8, 20, 28, 40",,,GPS,,Yes,,,,,,"Glass front, plastic frame, glass back",FM radio,,Android 10,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,178 g (6.28 oz),"Fingerprint (rear-mounted), accelerometer, proximity",16GB 2GB RAM,"6.1 inches, 89.8 cm2(~78.1% screen-to-body ratio)","Black, Purple",,,Li-Ion 3200 mAh,,,,GSM / HSPA / LTE,HSDPA 900 / 1900,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,Gionee P12,https://fdn2.gsmarena.com/vv/bigpic/gionee-p12.jpg,"LED flash, HDR, panorama",,"2020, November 09",,1080p@30fps,,"microUSB 2.0, OTG",Mediatek MT6761 Helio A20 (12 nm),"13 MP, (wide), AF0.3 MP, (ultrawide)0.3 MP, (depth)",About 80 EUR,Quad-core 1.8 GHz Cortex-A53,"720 x 1600 pixels, 20:9 ratio (~288 ppi density)",,Gionee,,,,Yes,5 MP,,PowerVR GE8320,1080p@30fps,,"Available. Released 2020, November 09",,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC,,163.9 x 76.8 x 9.3 mm (6.45 x 3.02 x 0.37 in),"5.0, A2DP",GSM 850 / 900 / 1800 / 1900,"1, 2, 3, 5, 7, 8, 20, 28, 40",,,GPS,,Yes,,,,,,"Glass front, plastic frame, plastic back",FM radio,,Android 10,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","48 MP, f/1.8, (wide), PDAF5 MP, f/2.2, 115˚, (ultrawide)2 MP (depth)2 MP (depth)",,IPS LCD,196 g (6.91 oz),"Fingerprint (rear-mounted), accelerometer, proximity","64GB 4GB RAM, 128GB 6GB RAM","6.55 inches, 103.6 cm2(~82.3% screen-to-body ratio)","Magic Green, Dazzling Black",,,Li-Po 5100 mAh,,,,GSM / HSPA / LTE,HSDPA 900 / 1900,"Wi-Fi 802.11 a/b/g/n, dual-band",No,Gionee M12,https://fdn2.gsmarena.com/vv/bigpic/gionee-m12-.jpg,"LED flash, HDR, panorama",,"2020, November 16",,1080p@30fps,,"USB Type-C 2.0, OTG",Mediatek MT6762D Helio A25 (12 nm) - model 1Mediatek MT6762 Helio P22 (12 nm) - model 2,,About 150 EUR,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - model 1Octa-core 2.0 GHz Cortex-A53 - model 2,"720 x 1600 pixels, 20:9 ratio (~268 ppi density)",,Gionee,,,,Yes,16 MP,,PowerVR GE8320,1080p@30fps,,"Available. Released 2020, November 16",,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC,,166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in),"4.2, A2DP",GSM 850 / 900 / 1800 / 1900,"1, 3, 7, 8, 20, 28, 40",,,GPS,,Yes,,,H602,,,"Glass front, plastic frame, plastic back",FM radio,,Android 10,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,174 g (6.14 oz),"Fingerprint (rear-mounted), accelerometer, proximity",32GB 3GB RAM,"6.52 inches, 102.6 cm2(~80.9% screen-to-body ratio)","Blue, Green, Gray",,,Li-Po 4000 mAh,,,,GSM / HSPA / LTE,HSDPA 900 / 2100,Wi-Fi 802.11 b/g/n,No,Gionee S12 Lite,https://fdn2.gsmarena.com/vv/bigpic/gionee-s12-lite.jpg,"LED flash, HDR",,"2020, September 29",,1080p@30fps,,"microUSB 2.0, OTG",Mediatek MT6762D Helio A25 (12 nm),"13 MP, (wide), AF5 MP, (ultrawide)2 MP (depth)",,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Gionee,,,,Yes,8 MP,,PowerVR GE8320,1080p@30fps,,"Available. Released 2020, October 05",,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC,,164.6 x 76.6 x 8.8 mm (6.48 x 3.02 x 0.35 in),"4.2, A2DP",GSM 850 / 900 / 1800 / 1900,"1, 3, 7, 8, 20, 28, 40",,,GPS,,Yes,,,,,,"Glass front, plastic frame, plastic back",FM radio,,Android 10,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,181 g (6.38 oz),"Fingerprint (rear-mounted), accelerometer, proximity",64GB 4GB RAM,"6.52 inches, 102.6 cm2(~81.4% screen-to-body ratio)","Black, Blue",,,Li-Po 4000 mAh,,,,GSM / HSPA / LTE,HSDPA 900 / 2100,Wi-Fi 802.11 b/g/n,No,Gionee S12,https://fdn2.gsmarena.com/vv/bigpic/gionee-s12.jpg,"LED flash, HDR, panorama",,"2020, July",,1080p@30fps,,USB Type-C 2.0,Mediatek MT6762D Helio A25 (12 nm),"16 MP, (wide), AF8 MP, (ultrawide)2 MP (depth)",About 140 EUR,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Gionee,,,,Yes,13 MP,,PowerVR GE8320,1080p@30fps,,"Available. Released 2020, July 15",,Nano-SIM + Nano-SIM,
,microSDXC,,-,"4.2, A2DP",GSM 850 / 900 / 1800 / 1900,LTE,,,GPS,,"Yes, with stereo speakers",,,,,,"Glass front, aluminum frame, aluminum back",FM radio,,Android,"HSPA, LTE",,,IPS LCD,305 g (10.76 oz),"Fingerprint (rear-mounted), accelerometer, proximity",128GB 8GB RAM,"6.0 inches, 92.9 cm2",Black,,8 MP,Li-Po 10000 mAh,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee M30,https://fdn2.gsmarena.com/vv/bigpic/gionee-m30.jpg,LED flash,,"2020, August 25",,1080p@30fps,,"USB Type-C 2.0, OTG",Mediatek MT6771 Helio P60 (12 nm),,About 170 EUR,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"720 x 1440 pixels, 18:9 ratio (~268 ppi density)",,Gionee,,,,Yes,"16 MP, (wide), AF",,Mali-G72 MP3,1080p@30fps,25W wired,"Available. Released 2020, August 31",,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC (dedicated slot),,148 x 70.9 x 10.8 mm (5.83 x 2.79 x 0.43 in),"4.2, A2DP",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 8, 38, 40, 41",,,GPS,,Yes,,,,,,,FM radio,,Android 10,"HSPA, LTE",,,IPS LCD,185 g (6.53 oz),"Accelerometer, proximity",32GB 2GB RAM,"6.1 inches, 91.3 cm2(~87.0% screen-to-body ratio)","Black, Red, Royal Blue",,,Li-Po 5000 mAh,,0.41 W/kg (head)     0.90 W/kg (body),,GSM / HSPA / LTE,HSDPA 900 / 2100,Wi-Fi 802.11 a/b/g/n/ac,No,Gionee Max,https://fdn2.gsmarena.com/vv/bigpic/gionee-max.jpg,LED flash,,"2020, August 25",,1080p@24fps,,"microUSB 2.0, OTG",Unisoc SC9863A (28 nm),,About 70 EUR,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,Gionee,"13 MP, (wide), AF0.3 MP (depth)",,,Yes,5 MP,,IMG8322,,,"Available. Released 2020, August 31",,Nano-SIM + Nano-SIM,
CDMA 800 & TD-SCDMA,microSDXC,,164.3 x 77.6 x 9.7 mm (6.47 x 3.06 x 0.38 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 38, 39, 40, 41",,,GPS,,Yes,,,,,,,FM radio,,Android 9.0 (Pie),"HSPA, LTE",,,IPS LCD,205 g (7.23 oz),"Fingerprint (rear-mounted), accelerometer, proximity","128GB 6GB RAM, 128GB 8GB RAM","6.53 inches, 102.9 cm2(~80.7% screen-to-body ratio)","Jade Green, Pearl White",,,Li-Po 4000 mAh,,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Wi-Fi 802.11 b/g/n,No,Gionee K3 Pro,https://fdn2.gsmarena.com/vv/bigpic/gionee-k3-pro.jpg,"LED flash, HDR, panorama",,"2020, August 24",,1080p@30fps,eMMC 5.1,USB Type-C 2.0,Mediatek MT6771 Helio P60 (12 nm),"16 MP, f/2.0, (wide), 1/3.1"", 1.0µm, AF2 other unknown cameras",About 80 EUR,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",,Mali-G72 MP3,1080p@30fps,10W wired,"Available. Released 2020, September",,Nano-SIM + Nano-SIM,
CDMA 800 & TD-SCDMA,microSDXC (dedicated slot),,157.6 x 75.9 x 10.2 mm (6.20 x 2.99 x 0.40 in),"4.2, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 38, 39, 40, 41",,,GPS,,Yes,,,20190418Q,,,,FM radio,,Android 7.1 (Nougat),"HSPA, LTE",,,IPS LCD,192 g (6.77 oz),"Fingerprint (rear-mounted), accelerometer, proximity","128GB 6GB RAM, 128GB 8GB RAM","6.2 inches, 94.4 cm2(~78.9% screen-to-body ratio)","Black, Blue",,,Li-Po 4350 mAh,,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Wi-Fi 802.11 b/g/n,No,Gionee K6,https://fdn2.gsmarena.com/vv/bigpic/gionee-k6.jpg,"LED flash, HDR, panorama",,"2020, May 21",,1080p@30fps,eMMC 5.1,microUSB 2.0,Mediatek MT6771 Helio P60 (12 nm),"16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm, AF2 other unknown cameras",About 100 EUR,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"720 x 1560 pixels, 19.5:9 ratio (~277 ppi density)",,Gionee,,,,Yes,"13 MP, (wide), 1/3.1"", 1.12µm",,Mali-G72 MP3,1080p@30fps,10W wired,"Available. Released 2020, May 27",,Nano-SIM + Nano-SIM,
CDMA 800 & TD-SCDMA,microSDXC,,148.4 x 70.7 x 8 mm (5.84 x 2.78 x 0.31 in),"4.2, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 38, 39, 40, 41",,,GPS,,Yes,,,F205,,,"Glass front, aluminum back, aluminum frame",FM radio,,"Android 7.1 (Nougat), Amigo 5","HSPA, LTE",,,IPS LCD,135.6 g (4.80 oz),"Accelerometer, proximity, compass",16GB 2GB RAM,"5.45 inches, 76.7 cm2(~73.1% screen-to-body ratio)","Gold, Red, Blue",,5 MP,"Li-Ion 2670 mAh, non-removable",,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Wi-Fi 802.11 b/g/n,No,Gionee F205,https://fdn2.gsmarena.com/vv/bigpic/gionee-f205.jpg,"LED flash, HDR, panorama",,"2018, January",,720p@30fps,eMMC 5.1,microUSB 2.0,Mediatek MT6739 (28 nm),,About 130 EUR,Quad-core 1.3 GHz Cortex-A53,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,PowerVR GE8100,,,"Available. Released 2018, January",,Nano-SIM + Nano-SIM,
CDMA 800 & TD-SCDMA,microSDXC,,155.8 x 72.6 x 7 mm (6.13 x 2.86 x 0.28 in),"4.2, A2DP, LE",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41",,,GPS,,Yes,,,,,,"Glass front, glass back, aluminum frame",FM radio,,"Android 7.1 (Nougat), Amigo 5","HSPA, LTE",,,AMOLED,177 g (6.24 oz),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",64GB 6GB RAM,"6.01 inches, 93.2 cm2(~82.4% screen-to-body ratio)","Silver, Gold",,,"Li-Po 3600 mAh, non-removable",,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Wi-Fi 802.11 b/g/n,Yes,Gionee S11S,https://fdn2.gsmarena.com/vv/bigpic/gionee-s11s.jpg,"LED flash, HDR, panorama",,"2017, November. Released 2017, December",,1080p@30fps,,"microUSB 2.0, OTG",Mediatek MT6758 Helio P30 (16 nm),,About 500 EUR,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53),"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",,Gionee,"16 MP, AF8 MP","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm8 MP",,Yes,,,Mali-G71 MP2,,,Discontinued,,Nano-SIM + Nano-SIM,
