,Card slot,Games,Dimensions,Bluetooth,2G bands,4G bands,Features_1,Talk time,Positioning,Infrared port,Loudspeaker,Battery (old),Messaging,Models,Phonebook,EDGE,Build,Radio,Camera,OS,Speed,Quad,Loudspeaker_1,Type,Weight,Sensors,Internal,Size,Colors,Call records,Single_1,Type_1,Display,SAR,Protection,Technology,3G bands,WLAN,NFC,Model Name,Model Image,Features,Stand-by,Announced,_2,Video,_1,USB,Chipset,Triple,Price,CPU,Resolution,Audio quality,Brand,Dual,Dual_1,Java,3.5mm jack,Single,Performance,GPU,Video_1,Charging,Status,GPRS,SIM,SAR EU
CDMA 800 & TD-SCDMA,microSDXC (uses shared SIM slot),,159.5 x 77.7 x 7.8 mm (6.28 x 3.06 x 0.31 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41",,,GPS,,Yes,,,,,,,FM radio,,"Android 7.1 (Nougat), Amigo 5","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,IPS LCD,165 g (5.82 oz),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",64GB 4GB RAM,"5.99 inches, 92.6 cm2(~74.7% screen-to-body ratio)","Moonlight blue, space gold, cherry powder",,,"Li-Po 3410 mAh, non-removable",,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Wi-Fi 802.11 b/g/n,No,Gionee S11,https://fdn2.gsmarena.com/vv/bigpic/gionee-s11.jpg,"LED flash, HDR, panorama",,"2017, November. Released 2017, December",,1080p@30fps,eMMC 5.1,"microUSB 2.0, OTG",Mediatek MT6763T Helio P23 (16 nm),,About 320 EUR,Octa-core 2.5 GHz Cortex-A53,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",,Gionee,"16 MP, AF5 MP, f/2.4, (depth)","16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm8 MP",,Yes,,,Mali-G71 MP2,,,Discontinued,,Nano-SIM + Nano-SIM,
CDMA 800 & TD-SCDMA,microSDXC (uses shared SIM slot),,153.8 x 72.6 x 7.9 mm (6.06 x 2.86 x 0.31 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LTE,,,GPS,,Yes,,,S11 lite,,,,FM radio,,"Android 7.1 (Nougat), Amigo 5","HSPA, LTE",,,IPS LCD,141 g (4.97 oz),"Fingerprint (rear-mounted), accelerometer, proximity, compass",32GB 4GB RAM,"5.7 inches, 83.8 cm2(~75.1% screen-to-body ratio)","Gold, Dark Blue, Black",,,"Li-Ion 3030 mAh, non-removable",,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Wi-Fi 802.11 b/g/n,No,Gionee S11 lite,https://fdn2.gsmarena.com/vv/bigpic/gionee-s11-mini-.jpg,"LED flash, HDR, panorama",,"2017, November. Released 2018, February",,1080p@30fps,eMMC 5.1,"microUSB 2.0, OTG",Qualcomm MSM8937 Snapdragon 430 (28 nm),,About 200 EUR,Octa-core 1.4 GHz Cortex-A53,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,Gionee,"13 MP, f/2.2, AF2 MP, (depth)",,,Yes,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",,Adreno 505,,,Discontinued,,Nano-SIM + Nano-SIM,
CDMA 800 & TD-SCDMA,microSDXC,,166.5 x 81.6 x 8.7 mm (6.56 x 3.21 x 0.34 in),"5.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41",,,GPS,Yes,Yes,,,,,,"Glass front, aluminum/leather back, aluminum frame",FM radio,,"Android 7.1 (Nougat), Amigo 5","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,AMOLED,241 g (8.50 oz),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",128GB 6GB RAM,"6.43 inches, 106.7 cm2(~78.5% screen-to-body ratio)",Blue,,,"Li-Po 5000 mAh, non-removable",,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Wi-Fi 802.11 b/g/n,Yes,Gionee M7 Plus,https://fdn2.gsmarena.com/vv/bigpic/gionee-m7-plus.jpg,"LED flash, HDR, panorama",,"2017, November. Released 2018, July",,1080p@30fps,eMMC 5.1,"microUSB 2.0, OTG",Qualcomm SDM660 Snapdragon 660 (14 nm),,About 670 EUR,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),"1080 x 2160 pixels, 18:9 ratio (~376 ppi density)",,Gionee,"16 MP, AF8 MP",,,Yes,8 MP,,Adreno 512,,10W wired,Discontinued,,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC (uses shared SIM slot),,156.4 x 76.7 x 8.6 mm (6.16 x 3.02 x 0.34 in),"4.1, A2DP, LE",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 5, 7, 8, 38, 39, 40, 41",,Up to 56 h (3G),"GPS, GLONASS, BDS",,Yes,,,M7 Power,,,"Glass front (Gorilla Glass 3), aluminum back, aluminum frame",FM radio,,"Android 7.1.1 (Nougat), Amigo 5","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,199 g (7.02 oz),"Fingerprint (rear-mounted), accelerometer, proximity, compass",64GB 4GB RAM,"6.0 inches, 92.9 cm2(~77.4% screen-to-body ratio)","Dark blue, black, gold",,"8 MP, f/2.2","Li-Po 5000 mAh, non-removable",,,Corning Gorilla Glass 3,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Wi-Fi 802.11 b/g/n,No,Gionee M7 Power,https://fdn2.gsmarena.com/vv/bigpic/gionee-m7-power-.jpg,"LED flash, HDR, panorama",Up to 625 h (3G),"2017, October. Released 2017, November",,1080p@30fps,,"microUSB 2.0, OTG",Qualcomm MSM8940 Snapdragon 435 (28 nm),,About 260 EUR,Octa-core 1.4 GHz Cortex-A53,"720 x 1440 pixels, 18:9 ratio (~268 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, AF",,Adreno 505,,,Discontinued,,Nano-SIM + Nano-SIM,
CDMA 800 & TD-SCDMA,microSDXC,,157 x 76 x 7.2 mm (6.18 x 2.99 x 0.28 in),"4.2, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,,GPS,Yes,Yes,,,,,,"Glass front, aluminum back, aluminum frame","FM radio, recording",,"Android 7.1 (Nougat), Amigo 5","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,AMOLED,180 g (6.35 oz),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",64GB 6GB RAM,"6.01 inches, 93.2 cm2(~78.1% screen-to-body ratio)","Sapphire Blue, Star Blue, Maple Red, Champagne Gold, Black",,,"Li-Po 4000 mAh, non-removable",,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Wi-Fi 802.11 b/g/n,Yes,Gionee M7,https://fdn2.gsmarena.com/vv/bigpic/gionee-m7.jpg,"LED flash, HDR, panorama",,"2017, September. Released 2017, September",,1080p@30fps,,"microUSB 2.0, OTG",Mediatek MT6758 Helio P30 (16 nm),,About 360 EUR,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53),"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",,Gionee,"16 MP, AF8 MP",,,Yes,8 MP,,Mali-G71 MP2,,10W wired,Discontinued,,Nano-SIM + Nano-SIM,
eMMC 5.0,microSDXC (dedicated slot),,150.4 x 73.5 x 8.8 mm (5.92 x 2.89 x 0.35 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LTE,,,GPS,Yes,Yes,,,"X1S, SWW1627",,Yes,,FM radio,,"Android 7 (Nougat), Amigo 4","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,166 g (5.86 oz),"Fingerprint (rear-mounted), accelerometer, proximity",16GB 3GB RAM,"5.2 inches, 74.5 cm2(~67.4% screen-to-body ratio)","Black, Gold",,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","Li-Ion 4000 mAh, non-removable",,,Corning Gorilla Glass 3,GSM / HSPA / LTE,HSDPA,Wi-Fi 802.11 b/g/n,No,Gionee X1s,https://fdn2.gsmarena.com/vv/bigpic/gionee-x1s.jpg,"Dual-LED dual-tone flash, HDR, panorama",,"2017, September. Released 2017, September",,1080p@30fps,,microUSB 2.0,Mediatek MT6737T (28 nm),,About 13000 INR,Quad-core 1.5 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,Gionee,,,,Yes,"13 MP, AF",,Mali-T720,1080p@30fps,,Discontinued,Yes,Dual SIM,
eMMC 5.0,microSDXC,,144.3 x 72.2 x 8.8 mm (5.68 x 2.84 x 0.35 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LTE,,,GPS,,Yes,,,X1,,Yes,,FM radio,,"Android 7 (Nougat), Amigo 5","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,-,"Fingerprint (rear-mounted), accelerometer, proximity",16GB 2GB RAM,"5.0 inches, 68.9 cm2(~66.2% screen-to-body ratio)","Black, Gold",,"8 MP, f/2.0, 1/4.0"", 1.12µm","Li-Ion 3000 mAh, non-removable",,,,GSM / HSPA / LTE,HSDPA,Wi-Fi 802.11 b/g/n,No,Gionee X1,https://fdn2.gsmarena.com/vv/bigpic/gionee-x1.jpg,"Dual-LED dual-tone flash, HDR, panorama",,"2017, August. Released 2017, August",,1080p@30fps,,microUSB 2.0,Mediatek MT6737 (28 nm),,About 9000 INR,Quad-core 1.3 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,Mali-T720,720p,,Discontinued,Yes,Dual SIM,
eMMC 5.0,microSDXC,,154.4 x 76.6 x 9.2 mm (6.08 x 3.02 x 0.36 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LTE,,,GPS,Yes,Yes,,,,,Yes,,FM radio,,"Android 6.0 (Marshmallow), Amigo 3.2","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,-,"Accelerometer, proximity, compass",32GB 3GB RAM,"5.5 inches, 83.4 cm2(~70.5% screen-to-body ratio)","Gold, Gray, White",,"8 MP, f/2.2","Li-Ion 3150 mAh, non-removable",,,Corning Gorilla Glass (unspecified version),GSM / HSPA / LTE,HSDPA,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee P8 Max,https://fdn2.gsmarena.com/vv/bigpic/gionee-p8-max.jpg,"LED flash, HDR, panorama",,"2017, June. Released 2017, Q4",,1080p@30fps,,microUSB 2.0,Mediatek MT6737T (28 nm),,,Quad-core 1.5 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.2, AF",,Mali-T720,,10W wired,Discontinued,Yes,Dual SIM,
,microSDXC (dedicated slot),,150.5 x 74.4 x 8 mm (5.93 x 2.93 x 0.31 in),"4.1, A2DP, LE",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LTE,LED flash,,GPS,,Yes,,,A1 lite,,,,FM radio,,"Android 7 (Nougat), Amigo 4","HSPA, LTE",,,IPS LCD,161 g (5.68 oz),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",32GB 3GB RAM,"5.3 inches, 77.4 cm2(~69.2% screen-to-body ratio)","Gold, Black",,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm","Li-Ion 4000 mAh, non-removable",,,Corning Gorilla Glass 3,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Wi-Fi 802.11 b/g/n,No,Gionee A1 Lite,https://fdn2.gsmarena.com/vv/bigpic/gionee-a1-lite-.jpg,"Dual-LED flash, HDR",,"2017, June. Released 2017, August",,1080p@30fps,,microUSB 2.0,Mediatek MT6753 (28 nm),,About 15000 INR,Octa-core 1.3 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~277 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",,Mali-T720MP3,,,Discontinued,,Dual SIM,
CDMA 800 & TD-SCDMA,microSDXC (uses shared SIM slot),,155 x 76.8 x 7.4 mm (6.10 x 3.02 x 0.29 in),"4.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,,GPS,,Yes,,,S10BL,,,,FM radio; recording,,"Android 7 (Nougat), Amigo 4","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,IPS LCD,178 g (6.28 oz),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",64GB 4GB RAM,"5.5 inches, 83.4 cm2(~70.1% screen-to-body ratio)","Cherry Gold, Dark Black, Indigo Blue, Primrose Green",,,"Li-Po 3450 mAh, non-removable",,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,Gionee S10,https://fdn2.gsmarena.com/vv/bigpic/gionee-s10.jpg,"LED flash, HDR, panorama",,"2017, May. Released 2017, July",,1080p@30fps,,"microUSB 2.0, OTG",Mediatek MT6757T Helio P25 (16 nm),,About 340 EUR,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Gionee,"16 MP, AF8 MP","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm8 MP",,Yes,,,Mali-T880MP2,,,Discontinued,,Nano-SIM + Nano-SIM,
CDMA 800 & TD-SCDMA,microSDXC (uses shared SIM slot),,154.5 x 76 x 7.6 mm (6.08 x 2.99 x 0.30 in),"4.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,,GPS,,Yes,,,,,,,FM radio,,"Android 7 (Nougat), Amigo 4","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,176 g (6.21 oz),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",64GB 4GB RAM,"5.5 inches, 83.4 cm2(~71.0% screen-to-body ratio)","Black, Gold",,,"Li-Po 3700 mAh, non-removable",,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,Gionee S10B,https://fdn2.gsmarena.com/vv/bigpic/gionee-s10b.jpg,"Dual-LED dual-tone flash, HDR, panorama",,"2017, May. Released 2017, July",,1080p@30fps,eMMC 5.1,microUSB 2.0,Mediatek MT6755 Helio P10 (28 nm),,About 220 EUR,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Gionee,"13 MP, PDAF5 MP, f/2.4, (depth)",,,Yes,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",,Mali-T860MP2,,,Discontinued,,Nano-SIM + Nano-SIM,
CDMA 800 TD-SCDMA,microSDXC (uses shared SIM slot),,148.7 x 73.7 x 7.9 mm (5.85 x 2.90 x 0.31 in),"4.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,,GPS,,Yes,,,,,,,FM radio,,"Android 7.1.1 (Nougat), Amigo 5","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,151 g (5.33 oz),"Fingerprint (front-mounted), accelerometer, proximity, compass",32GB 4GB RAM,"5.2 inches, 74.5 cm2(~68.0% screen-to-body ratio)","Black, Gold, Green",,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","Li-Po 3100 mAh, non-removable",,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee S10C,https://fdn2.gsmarena.com/vv/bigpic/gionee-s10c.jpg,"LED flash, HDR, panorama",,"2017, May. Released 2017, July",,1080p@30fps,eMMC 5.1,microUSB 2.0,Qualcomm MSM8920 Snapdragon 427 (28 nm),,About 180 EUR,Quad-core 1.4 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, PDAF",,Adreno 308,,,Discontinued,,Hybrid Dual SIM,
CDMA 800 / 1900,microSDXC (dedicated slot),,163.3 x 80.9 x 8.3 mm (6.43 x 3.19 x 0.33 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 5, 7, 38, 39, 40, 41",,Up to 51 h (3G),GPS,Yes,Yes,,,,,,,"FM radio, RDS, recording",,"Android 6.0 (Marshmallow), Amigo 3.5","HSPA, LTE",,,AMOLED,215 g (7.58 oz),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","64GB 6GB RAM, 256GB 6GB RAM","6.0 inches, 99.2 cm2(~75.1% screen-to-body ratio)",Black,,"8 MP, f/2.0, 1/4.0"", 1.12µm","Li-Po 6020 mAh, non-removable",,,,GSM / CDMA / HSPA / EVDO / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee M6s Plus,https://fdn2.gsmarena.com/vv/bigpic/gionee-m6s-plus.jpg,"Dual-LED dual-tone flash, panorama, HDR",Up to 843 h (3G),"2017, April. Released 2017, May",eMMC 5.1,1080p@30fps,CDMA2000 1xEV-DO / TD-SCDMA,"microUSB 2.0, OTG",Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),,About 460 EUR,Octa-core (4x1.95 GHz Cortex-A72 & 4x1.44 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,Gionee,,,,Yes,"12 MP, f/1.9, 1/2.55"", 1.4µm, PDAF",,Adreno 510,,"18W wired, QC3Reverse wired",Discontinued,,Nano-SIM + Nano-SIM,
,microSDXC (uses shared SIM slot),,166.4 x 83.3 x 9.1 mm (6.55 x 3.28 x 0.36 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 38, 39, 40, 41",,,GPS,,Yes,,,A1 Plus,,,,FM radio,,"Android 7 (Nougat), Amigo 4","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,IPS LCD,226 g (7.97 oz),"Fingerprint (rear-mounted), accelerometer, proximity, compass",64GB 4GB RAM,"6.0 inches, 99.2 cm2(~71.6% screen-to-body ratio)","Gray, Mocha Gold",,,"Li-Ion 4550 mAh, non-removable",,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee A1 Plus,https://fdn2.gsmarena.com/vv/bigpic/gionee-a1-.jpg,"LED flash, HDR",,"2017, February. Released 2017, May",,1080p@30fps,,"USB Type-C, OTG",Mediatek MT6757T Helio P25 (16 nm),,About 370 EUR,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,Gionee,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF5 MP, f/2.4, (depth)",,,Yes,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",,Mali-T880MP2,,10W wired,Discontinued,,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC (uses shared SIM slot),,154.5 x 76.5 x 8.3 mm (6.08 x 3.01 x 0.33 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 38, 39, 40, 41",,,GPS,,Yes,,,A1,,,,FM radio,,"Android 7 (Nougat), Amigo 4","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,IPS LCD,182 g (6.42 oz),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",64GB 4GB RAM,"5.5 inches, 83.4 cm2(~70.6% screen-to-body ratio)","Black, Gray, Gold",,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","Li-Ion 4010 mAh, non-removable",,,Corning Gorilla Glass (unspecified version),GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",No,Gionee A1,https://fdn2.gsmarena.com/vv/bigpic/gionee-a1.jpg,"LED flash, HDR",,"2017, February. Released 2017, April",,1080p@30fps,,"microUSB 2.0, OTG",Mediatek MT6755 Helio P10 (28 nm),,About 280 EUR,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",,Mali-T860MP2,,10W wired,Discontinued,,Nano-SIM + Micro-SIM,
CDMA2000 1xEV-DO / TD-SCDMA,microSDXC,,150 x 74.5 x 7.7 mm (5.91 x 2.93 x 0.30 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 2, 3, 5, 7, 8, 38",,,GPS,,Yes,,,,,,,FM radio,,Android 6.0 (Marshmallow),"HSPA, LTE",,,IPS LCD,162 g (5.71 oz),"Accelerometer, gyro, proximity, compass",32GB 4GB RAM,"5.3 inches, 77.4 cm2(~69.3% screen-to-body ratio)","Gold, Rose gold",,8 MP,"Li-Po 4000 mAh, non-removable",,,,GSM / HSPA / EVDO / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee F5,https://fdn2.gsmarena.com/vv/bigpic/gionee-f5.jpg,"LED flash, panorama, HDR",,"2017, January. Released 2017, February",,1080p@30fps,eMMC 5.1,microUSB 2.0,Mediatek MT6750 (28 nm),,About 250 EUR,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"720 x 1280 pixels, 16:9 ratio (~277 ppi density)",,Gionee,,,,Yes,"13 MP, AF",,Mali-T860MP2,,,Discontinued,,Nano-SIM + Nano-SIM,
