,Card slot,Games,Dimensions,Bluetooth,2G bands,4G bands,Features_1,Talk time,Positioning,Infrared port,Loudspeaker,Battery (old),Messaging,Models,Phonebook,EDGE,Build,Radio,Camera,OS,Speed,Quad,Loudspeaker_1,Type,Weight,Sensors,Internal,Size,Colors,Call records,Single_1,Type_1,Display,SAR,Protection,Technology,3G bands,WLAN,NFC,Model Name,Model Image,Features,Stand-by,Announced,_2,Video,_1,USB,Chipset,Triple,Price,CPU,Resolution,Audio quality,Brand,Dual,Dual_1,Java,3.5mm jack,Single,Performance,GPU,Video_1,Charging,Status,GPRS,SIM,SAR EU
eMMC 4.5,microSDHC (dedicated slot),,143 x 70.7 x 6.9 mm (5.63 x 2.78 x 0.27 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3, 7, 38, 39, 40, 41",,Up to 16 h 40 min (2G) / Up to 14 h (3G),GPS,,Yes,,,,,,,FM radio,,Android 4.4.2 (KitKat),"HSPA, LTE",,,IPS LCD,124.5 g (4.41 oz),"Accelerometer, proximity, compass",8GB 1GB RAM,"5.0 inches, 68.9 cm2(~68.2% screen-to-body ratio)","White, Blue",,5 MP,"Li-Ion 1950 mAh, removable",,,,GSM / HSPA / LTE,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Ctrl V6L,https://fdn2.gsmarena.com/vv/bigpic/gionee-ctrl-v6l.jpg,"LED flash, panorama",Up to 208 h (2G) / Up to 149 h (3G),"2014, November. Released 2014, November",,720p@30fps,,microUSB 2.0,Qualcomm Snapdragon 400 (28 nm),,,Quad-core 1.2 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,Adreno 305,,,Discontinued,,"Dual SIM (Micro-SIM, dual stand-by)",1.32 W/kg (head)     1.29 W/kg (body)
,microSDHC (dedicated slot),,134.5 x 67.7 x 8.1 mm (5.30 x 2.67 x 0.32 in),2.0,GSM 850 / 900 / 1800 / 1900,,,Up to 14 h 30 min (2G) / Up to 10 h (3G),GPS,,Yes,,,,,,,"FM radio, recording",,Android 4.2 (Jelly Bean),HSPA,,,IPS LCD,103.5 g (3.63 oz),"Accelerometer, proximity, compass",8GB 1GB RAM,"4.7 inches, 60.9 cm2(~66.9% screen-to-body ratio)","Black, White",,2 MP,"Li-Po 1800 mAh, removable",,0.45 W/kg (head)     0.57 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Ctrl V5,https://fdn2.gsmarena.com/vv/bigpic/gionee-ctrl-v5.jpg,LED flash,Up to 324 h (2G) / Up to 324 h (3G),"2014, Q1. Released 2014, Q1",,Yes,,microUSB,Mediatek MT6582V/X,,About 160 EUR,Quad-core 1.3 GHz Cortex-A7,"540 x 960 pixels, 16:9 ratio (~234 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,Mali-400MP2,,,Discontinued,,Dual SIM (Dual stand-by),
HSDPA 900 / 1900 / 2100,No,,145.1 x 70.2 x 5.6 mm (5.71 x 2.76 x 0.22 in),"4.0, A2DP, EDR",GSM 850 / 900 / 1800 / 1900,,,Up to 27 h (2G) / Up to 11 h (3G),GPS,,Yes,Endurance rating 48h,,,,,,"FM radio, RDS",Photo/Video,"Android 4.2 (Jelly Bean), upgradаble to 4.4.2 (KitKat), Amigo 2",HSPA 21.1/5.76 Mbps,,Voice 66dB / Noise 66dB / Ring 75dB,Super AMOLED,133 g (4.69 oz),"Accelerometer, gyro, proximity, compass",16GB 2GB RAM,"5.0 inches, 68.9 cm2(~67.7% screen-to-body ratio)","Black, white, blue, pink, purple",,"5 MP, f/2.4","Li-Ion 2300 mAh, non-removable","Contrast ratio: Infinite (nominal),  3.386 (sunlight)",,Corning Gorilla Glass 3 (front and back),GSM / HSPA,HSDPA 850 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Elife S5.5,https://fdn2.gsmarena.com/vv/bigpic/gionee-elife-s5.5.jpg,"LED flash, panorama, HDR",Up to 490 h,"2014, February. Released 2014, March",,1080p@30fps,,"microUSB 2.0, OTG",Mediatek MT6592 (28 nm),,About 270 EUR,Octa-core 1.7 GHz Cortex-A7,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.4, AF",Basemark OS II 2.0: 567,Mali-450MP4,,,Discontinued,,Micro-SIM,0.38 W/kg (head)     0.33 W/kg (body)
No,No,,139.8 x 66.2 x 8.6 mm (5.50 x 2.61 x 0.34 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,Up to 18 h (2G) / Up to 14 h (3G),GPS,,Yes,,,,,Yes,,"FM radio, recording",,"Android 4.2.2 (Jelly Bean), Amigo 2",HSPA,,,IGZO IPS LCD,142.9 g (5.01 oz),"Accelerometer, gyro, proximity, compass",16GB,"4.7 inches, 60.9 cm2(~65.8% screen-to-body ratio)","Black, White",,,"Li-Ion 2200 mAh, non-removable",,,,GSM / HSPA,HSDPA,Wi-Fi 802.11 b/g/n,Yes,Gionee Elife E7 Mini,https://fdn2.gsmarena.com/vv/bigpic/gionee-e7-mini.jpg,"LED flash, panorama",Up to 200 h,"2013, December. Released 2014, April",,1080p@30fps,,microUSB 2.0,Mediatek MT6592 (28 nm),,About 230 EUR,Octa-core 1.7 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,Gionee,,,,Yes,"13 MP, AF",,Mali-450MP4,,,Discontinued,Yes,Dual SIM,
"38, 39, 41",No,,150.6 x 75 x 9.5 mm (5.93 x 2.95 x 0.37 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,"3, 7",,,GPS,,Yes,,,,,,,"FM radio, recording",,Android 4.2 (Jelly Bean),"HSPA, LTE",,,IPS LCD,150 g (5.29 oz),"Accelerometer, gyro, proximity, compass","16GB 2GB RAM, 32GB 3GB RAM","5.5 inches, 83.4 cm2(~73.8% screen-to-body ratio)","Black, White",,8 MP,"Li-Po 2500 mAh, non-removable",,,Corning Gorilla Glass 3,GSM / HSPA / LTE,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct",Yes,Gionee Elife E7,https://fdn2.gsmarena.com/vv/bigpic/gionee-e7-.jpg,LED flash,,2013. Released 2013,,Yes,eMMC 4.5,"microUSB 2.0, OTG",Qualcomm MSM8274 Snapdragon 800 (28 nm),,About 340 EUR,Quad-core 2.2 GHz Krait 400/ Quad-core 2.5 GHz Krait 400,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Gionee,,,,Yes,"16 MP, f/2.2, AF",,Adreno 330,,,Discontinued,,Micro-SIM,
,No,,142.5 x 69.4 x 7.9 mm (5.61 x 2.73 x 0.31 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA,,,IPS LCD,-,"Accelerometer, gyro, proximity, compass",32GB 2GB RAM,"5.0 inches, 68.9 cm2(~69.7% screen-to-body ratio)","Black, White",,"5 MP, f/2.2","Li-Ion 2000 mAh, non-removable",,,Corning Gorilla Glass 3,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct",No,Gionee Elife E6,https://fdn2.gsmarena.com/vv/bigpic/gionee-e6-.jpg,"LED flash, panorama",,2013. Released 2013,,1080p@30fps,,microUSB 2.0,,,About 250 EUR,Quad-core 1.5 GHz Cortex-A7,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.2, AF",,PowerVR Series 5XT,,,Discontinued,,Micro-SIM,
,No,,137 x 69 x 6.9 mm (5.39 x 2.72 x 0.27 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA,,,Super AMOLED,135 g (4.76 oz),"Accelerometer, proximity, compass",16GB 1GB RAM,"4.8 inches, 63.5 cm2(~67.2% screen-to-body ratio)","Black, White, Yellow",,5 MP,"Li-Ion 2000 mAh, non-removable",,0.73 W/kg (head)     0.94 W/kg (body),Corning Gorilla Glass 2,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct",No,Gionee Elife E5,https://fdn2.gsmarena.com/vv/bigpic/gionee-e5.jpg,LED flash,,2013. Released 2013,,1080p@30fps,,microUSB 2.0,,,About 200 EUR,Quad-core 1.5 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~306 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,PowerVR Series 5XT,,,Discontinued,,Micro-SIM,
,microSDHC (dedicated slot),,137 x 68 x 7.9 mm (5.39 x 2.68 x 0.31 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,,,FM radio,,"Android 4.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",HSPA,,,IPS LCD,-,"Accelerometer, proximity, compass",16GB 1GB RAM,"4.7 inches, 60.9 cm2(~65.4% screen-to-body ratio)","Black, White, Blue, Pink",,2 MP,"Li-Ion 1800 mAh, removable",,1.06 W/kg (head)     0.88 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Elife E3,https://fdn2.gsmarena.com/vv/bigpic/gionee-e3.jpg,"LED flash, panorama",,2013. Released 2013,,1080p@30fps,,microUSB 2.0,,,About 180 EUR,Quad-core 1.2 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,PowerVR Series 5XT,,,Discontinued,,Dual SIM (Dual stand-by),
,microSDHC (dedicated slot),,144 x 72 x 10.5 mm (5.67 x 2.83 x 0.41 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,Up to 31 h 30 min (2G) / Up to 24 h (3G),GPS,,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA,,,TFT,-,"Accelerometer, proximity, compass",4GB 1GB RAM,"5.0 inches, 68.9 cm2(~66.4% screen-to-body ratio)","Black, White",,2 MP,"Li-Ion 4200 mAh, removable",,,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee M2,https://fdn2.gsmarena.com/vv/bigpic/gionee-m2.jpg,"LED flash, panorama",Up to 555 h,2014. Released 2014,,720p,,"microUSB 2.0, OTG",,,About 130 EUR,Quad-core 1.3 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Gionee,,,,Yes,8 MP,,Mali-400,,,Discontinued,,Dual SIM (Dual stand-by),
,microSDHC (dedicated slot),,157.3 x 77.6 x 7.9 mm (6.19 x 3.06 x 0.31 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,Up to 15 h (2G) / Up to 12 h (3G),GPS,,"Yes, dual speakers",,,,,,,FM radio,,Android 4.4.2 (KitKat),HSPA,,,IPS LCD,104.6 g (w/o battery) (3.70 oz),"Accelerometer, proximity, compass",8GB 1GB RAM,"5.5 inches, 83.4 cm2(~68.3% screen-to-body ratio)","Black, White",,2 MP,"Li-Ion 2400 mAh, removable",,1.10 W/kg (head)     1.04 W/kg (body),Asahi Dragontrail Glass,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct",No,Gionee Gpad G5,https://fdn2.gsmarena.com/vv/bigpic/gionee-gpad-g5.jpg,"LED flash, panorama",Up to 288 h,2014. Released 2014,,720p@30fps,,microUSB 2.0,Mediatek MT6591,,,Hexa-core 1.5 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,Mali-450MP4,,,Discontinued,,Dual SIM (Dual stand-by),
,No,,163.5 x 81.3 x 8 mm (6.44 x 3.20 x 0.31 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,Up to 26 h (2G) / Up to 14 h (3G),GPS,,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA,,,IPS LCD,-,"Accelerometer, gyro, proximity, compass",16GB 1GB RAM,"5.7 inches, 89.6 cm2(~67.4% screen-to-body ratio)","Black, White",,5 MP,"Li-Ion 3200 mAh, non-removable",,0.83 W/kg (head)     0.70 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct",No,Gionee Gpad G4,https://fdn2.gsmarena.com/vv/bigpic/gionee-gpad-g4.jpg,"LED flash, panorama",Up to 375 h,2014. Released 2014,,1080p@30fps,,microUSB 2.0,,,About 220 EUR,Quad-core 1.5 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~258 ppi density)",,Gionee,,,,Yes,"13 MP, AF",,PowerVR Series 5XT,,,Discontinued,,Dual SIM (Dual stand-by),
,microSDHC (dedicated slot),,157.7 x 79.5 x 9.8 mm (6.21 x 3.13 x 0.39 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA,,,TFT,-,"Accelerometer, proximity, compass",4GB 512MB RAM,"5.5 inches, 83.4 cm2(~66.5% screen-to-body ratio)","Black, White",,VGA,"Li-Ion 2250 mAh, removable",,0.84 W/kg (head)     0.79 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Gpad G3,https://fdn2.gsmarena.com/vv/bigpic/gionee-gpad-g3.jpg,"LED flash, panorama",,2013. Released 2013,,720p,,microUSB 2.0,Mediatek MT6589 (28 nm),,About 110 EUR,Quad-core 1.2 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~178 ppi density)",,Gionee,,,,Yes,"5 MP, AF",,PowerVR SGX544,,,Discontinued,,Dual SIM (Dual stand-by),
,microSDHC (dedicated slot),,145 x 73 x 9.9 mm (5.71 x 2.87 x 0.39 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,,,FM radio,,Android 4.1 (Jelly Bean),HSPA,,,IPS LCD,-,"Accelerometer, proximity, compass",4GB 1GB RAM,"5.3 inches, 77.4 cm2(~73.2% screen-to-body ratio)","Black, White",,2 MP,"Li-Ion 3000 mAh, removable",,,,GSM / HSPA,HSDPA 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Gpad G2,https://fdn2.gsmarena.com/vv/bigpic/gionee-gpad-g2.jpg,LED flash,,"2013, May. Released 2013, May",,1080p@30fps,,microUSB 2.0,,,About 160 EUR,Quad-core 1.2 GHz Cortex-A7,"540 x 960 pixels, 16:9 ratio (~208 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,PowerVR SGX544,,,Discontinued,,Dual SIM (Dual stand-by),
,microSDHC (dedicated slot),,142 x 78.5 x 10 mm (5.59 x 3.09 x 0.39 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,,,FM radio,,Android 4.0 (Ice Cream Sandwich),HSPA,,,TFT,-,"Accelerometer, proximity, compass",4GB 512MB RAM,"5.0 inches, 71.2 cm2(~63.8% screen-to-body ratio)","Black, White",,VGA,"Li-Ion 2100 mAh, removable",,0.47 W/kg (head)     0.64 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Gpad G1,https://fdn2.gsmarena.com/vv/bigpic/gionee-gpad-g1.jpg,LED flash,,2013. Released 2013,,720p,,microUSB 2.0,,,About 100 EUR,Dual-core 1.0 GHz Cortex-A9,"480 x 800 pixels, 5:3 ratio (~187 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,,,,Discontinued,,Dual SIM (Dual stand-by),
,microSDHC (dedicated slot),,129.3 x 68 x 11.1 mm (5.09 x 2.68 x 0.44 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA,,,TFT,-,"Accelerometer, proximity, compass",4GB 512MB RAM,"4.3 inches, 52.6 cm2(~59.9% screen-to-body ratio)","Black, White",,VGA,"Li-Ion 1700 mAh, removable",,0.68 W/kg (head)     0.67 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Pioneer P3,https://fdn2.gsmarena.com/vv/bigpic/gionee-pioneer-p3.jpg,"LED flash, panorama",,2013. Released 2013,,720p,,microUSB 2.0,,,About 90 EUR,Quad-core 1.3 GHz Cortex-A7,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",,Gionee,,,,Yes,"5 MP, AF",,Mali-400,,,Discontinued,,Dual SIM (Dual stand-by),
,microSDHC (dedicated slot),,126 x 64.4 x 11.2 mm (4.96 x 2.54 x 0.44 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,,,"FM radio, recording",,Android 4.2 (Jelly Bean),HSPA,,,TFT,-,"Accelerometer, proximity, compass",4GB 512MB RAM,"4.0 inches, 45.5 cm2(~56.1% screen-to-body ratio)","Black, White",,VGA,"Li-Ion 1700 mAh, removable",,1.36 W/kg (head)     0.73 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Pioneer P2,https://fdn2.gsmarena.com/vv/bigpic/gionee-pioneer-p2.jpg,"LED flash, panorama",,2013. Released 2013,,720p,,microUSB 2.0,,,About 70 EUR,Dual-core 1.3 GHz Cortex-A7,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Gionee,,,,Yes,5 MP,,Mali-400,,,Discontinued,,Dual SIM,
,microSDHC (dedicated slot),,113 x 61.5 x 12 mm (4.45 x 2.42 x 0.47 in),Yes,GSM 900 / 1800,,,,No,,Yes,,,,,No,,"FM radio, recording",,Android 2.3 (Gingerbread),,,,TFT,-,"Accelerometer, proximity, compass",512MB 256MB RAM,"3.5 inches, 36.5 cm2(~52.5% screen-to-body ratio)",Black,,VGA,"Li-Ion 1500 mAh, removable",,1.44 W/kg (head)     1.35 W/kg (body),,GSM,,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Pioneer P1,https://fdn2.gsmarena.com/vv/bigpic/gionee-pioneer-p1.jpg,,,2013. Released 2013,,Yes,,Proprietary,,,About 60 EUR,1.0 GHz Cotex-A9,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Gionee,,,,Yes,"2 MP, AF",,,,,Discontinued,Class 12,Dual SIM (Dual stand-by),
,microSDHC (dedicated slot),,123 x 63.5 x 11.2 mm (4.84 x 2.5 x 0.44 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,,,FM radio,,Android 4.0 (Ice Cream Sandwich),HSPA,,,TFT,-,"Accelerometer, proximity, compass",4GB 512MB RAM,"3.95 inches, 46.5 cm2(~59.5% screen-to-body ratio)",Cofee/Black,,VGA,"Li-Ion 1700 mAh, removable",,1.29 W/kg (head)     0.83 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Ctrl V1,https://fdn2.gsmarena.com/vv/bigpic/gionee-ctrl-v1.jpg,,,2013. Released 2013,,Yes,,microUSB,,,About 90 EUR,1.0 GHz Cotex-A9,"320 x 480 pixels, 3:2 ratio (~146 ppi density)",,Gionee,,,,Yes,2 MP,,,,,Discontinued,,Dual SIM (Dual stand-by),
,microSDHC (dedicated slot),,115 x 61 x 10.8 mm (4.53 x 2.40 x 0.43 in),Yes,GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,Yes,,FM radio,,Android 4.0 (Ice Cream Sandwich),,,,IPS LCD,-,"Accelerometer, proximity, compass",4GB 512MB RAM,"3.5 inches, 36.5 cm2(~52.0% screen-to-body ratio)",White,,VGA,"Li-Ion 1500 mAh, removable",,1.25 W/kg (head)     1.04 W/kg (body),,GSM,,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Ctrl V2,https://fdn2.gsmarena.com/vv/bigpic/gionee-ctrl-v2.jpg,,,2013. Released 2013,,Yes,,microUSB,,,About 60 EUR,1.0 GHz Cotex-A9,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Gionee,,,,Yes,3.15 MP,,,,,Discontinued,Yes,Dual SIM (Dual stand-by),
,microSDHC (dedicated slot),,130 x 67 x 9.8 mm (5.12 x 2.64 x 0.39 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,,,FM radio,,Android 4.0 (Ice Cream Sandwich),HSPA,,,IPS LCD,-,"Accelerometer, proximity, compass",4GB 512MB RAM,"4.3 inches, 52.6 cm2(~60.4% screen-to-body ratio)",Black,,VGA,"Li-Ion 1800 mAh, removable",,0.70 W/kg (head)     0.96 W/kg (body),Corning Gorilla Glass,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Ctrl V3,https://fdn2.gsmarena.com/vv/bigpic/gionee-ctrl-v3.jpg,LED flash,,2013. Released 2013,,Yes,,microUSB,,,About 100 EUR,Dual-core 1.0 GHz Cortex-A9,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",,Gionee,,,,Yes,"5 MP, AF",,,,,Discontinued,,Dual SIM (Dual stand-by),
,microSDHC (dedicated slot),,131 x 65 x 7.8 mm (5.16 x 2.56 x 0.31 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,Up to 16 h (2G) / Up to 10 h (3G),GPS,,Yes,,,,,,,FM radio,,Android 4.4.2 (KitKat),HSPA,,,IPS LCD,-,"Accelerometer, proximity, compass",8GB 1GB RAM,"4.5 inches, 55.8 cm2(~65.5% screen-to-body ratio)","Black, White",,2 MP,"Li-Ion 1800 mAh, removable",,0.46 W/kg (head)     0.74 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Ctrl V4s,https://fdn2.gsmarena.com/vv/bigpic/gionee-ctrl-v4s.jpg,"LED flash, panorama",Up to 230 h (2G) / Up to 230 h (3G),2014. Released 2014,,720p,,microUSB 2.0,,,,Quad-core 1.3 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,Mali-400,,,Discontinued,,Dual SIM,
,microSDHC (dedicated slot),,136 x 67 x 9.7 mm (5.35 x 2.64 x 0.38 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA,,,TFT,-,"Accelerometer, proximity, compass",4GB 512MB RAM,"4.5 inches, 55.8 cm2(~61.2% screen-to-body ratio)","Black, White",,VGA,"Li-Ion 1800 mAh, removable",,0.63 W/kg (head)     0.48 W/kg (body),,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Ctrl V4,https://fdn2.gsmarena.com/vv/bigpic/gionee-ctrl-v4.jpg,LED flash,,2013. Released 2013,,Yes,,microUSB,,,About 110 EUR,Quad-core 1.2 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Gionee,,,,Yes,"5 MP, AF",,PowerVR Series 5XT,,,Discontinued,,Dual SIM (Dual stand-by),
,microSDHC (dedicated slot),,130 x 67 x 8.6 mm (5.12 x 2.64 x 0.34 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,,,GPS,,Yes,,,,,,,FM radio,,Android 4.1 (Jelly Bean),HSPA,,,Super AMOLED+,-,"Accelerometer, proximity, compass",4GB 1GB RAM,"4.65 inches, 59.6 cm2(~68.4% screen-to-body ratio)",Black,,1 MP,"Li-Ion 2100 mAh, removable",,0.64 W/kg (head)     1.01 W/kg (body),Corning Gorilla Glass 2,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee Dream D1,https://fdn2.gsmarena.com/vv/bigpic/gionee-dream-d1.jpg,LED flash,,2013. Released 2013,,1080p@30fps,,microUSB 2.0,,,About 170 EUR,Quad-core 1.2 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~316 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,PowerVR Series 5XT,,,Discontinued,,Dual SIM (Dual stand-by),
