,Talk time,Single,Internal,Model Image,SIM,WLAN,Dimensions,_3,Games,Infrared port,Messaging,Call records,USB,Video,Size,Talk time_1,Card slot,2G bands,Phonebook,Positioning,Announced,Type,Type_1,GPRS,Bluetooth,Radio,Stand-by_1,Features,Sensors,Technology,Alert types,Colors,Weight,Status,Loudspeaker,Browser,_1,EDGE,_2,3.5mm jack,Resolution,Model Name,Stand-by,Java,Brand
"Second external display TFT, 256K colors (96 x 96 pixels)",,2 MP,64MB (128MB optional),https://fdn2.gsmarena.com/vv/bigpic/innostream-a20.gif,Mini-SIM,No,93.9 x 46.4 x 23 mm (3.70 x 1.83 x 0.91 in),Predictive text inputMP3/AAC/MP4 playerVoice memoOrganizerStopwatch,Yes+ downloadable,Yes,"SMS, MMS, EMail","20 received, dialed and missed calls",Proprietary,Yes,,,MMC,GSM 900 / 1800 / 1900,"1000 entries, Photo call",No,"2005, July","TFT, 256K colors",Removable Li-Ion battery,Class 10,No,No,,LED flash,,GSM,"Vibration; Downloadable polyphonic, MP3 ringtones",,105 g (3.70 oz),Discontinued,No,WAP 2.0/xHTML,,No,No,No,176 x 220 pixels,Innostream INNO A20,,"Yes, MIDP 2.0",Innostream
4-way navi key,Up to 6 h,1.3 MP,,https://fdn2.gsmarena.com/vv/bigpic/innostream-p10.gif,Mini-SIM,No,91.9 x 44 x 23.8 mm (3.62 x 1.73 x 0.94 in),Predictive text inputDictionary (EnglishChinese)MP3/MP4 PlayerVideo Recording (up to 90 min.)Flight ModeVoice memoBio-rhythmStopwatchOrganizer,3 + downloadable,Yes,"SMS, MMS, EMail","20 received, dialed and missed calls",,Yes,,,RS-MMC,GSM 900 / 1800 / 1900,"1000 entries, Photo call",No,"2005, June","TFT, 256K colors",Removable Li-Ion 830 mAh battery,Class 10,No,No,,LED flash,,GSM,"Vibration; Downloadable polyphonic ringtones, composer","Black, Silver, Red",94 g (3.32 oz),Discontinued,"Yes, with stereo speakers",WAP 2.0/xHTML,No,No,3D Sound,No,128 x 160 pixels,Innostream INNO P10,Up to 200 h,"Yes, MIDP 2.0",Innostream
GSM 850 / 1900 - US version,Up to 4 h,1.3 MP,128MB,https://fdn2.gsmarena.com/vv/bigpic/ina10.gif,Mini-SIM,No,90 x 43 x 24 mm (3.54 x 1.69 x 0.94 in),MP3/3GP playerPredictive text inputVoice memoBio-rhythmStopwatch,Yes + downloadable,Yes,"SMS, MMS, EMail","20 received, dialed and missed calls",Proprietary,Yes,,,No,GSM 900 / 1800,"800 entries, Photo call",No,"2004, Q4","TFT, 256K colors",Removable Li-Ion battery,Class 10,No,No,,LED flash,,GSM,"Vibration; Downloadable polyphonic, MP3 ringtones, composer","Silver, Blue",86 g (3.03 oz),Discontinued,Yes,WAP 2.0/xHTML,Second external 65K colors CSTN display (96 x 64 pixels)4-way navi key,No,No,No,128 x 160 pixels,Innostream INNO A10,Up to 160 h,"Yes, MIDP 2.0",Innostream
No,,VGA,,https://fdn2.gsmarena.com/vv/bigpic/ininno75.gif,Mini-SIM,No,82.5 x 44 x 23 mm (3.25 x 1.73 x 0.91 in),,Yes + downloadable,Yes,"SMS, MMS","20 received, dialed and missed calls",,Yes,,,miniSD,GSM 900 / 1800 / 1900,Yes,No,"2004, Q2. Released 2004","TFT, 65K colors",Removable Li-Ion battery,Class 10,No,FM radio,,,,GSM,Vibration; Downloadable polyphonic ringtones,,80 g (2.82 oz),Discontinued,No,WAP 2.0/xHTML,MP3/MP4 playerPredictive text inputOrganizerVoice memoRemote control for IR,No,,No,"128 x 128 pixels, 1:1 ratio",Innostream INNO 75,,"Yes, MIDP 2.0",Innostream
"Second external display, STN, 65K colors (96 x 96 pixels)180 deg swivelDownloadable logos",Up to 3 h,1.3 MP,12MB,https://fdn2.gsmarena.com/vv/bigpic/ininno50.gif,Mini-SIM,No,88.6 x 44.5 x 22.5 mm (3.49 x 1.75 x 0.89 in),,Yes + downloadable,Yes,"SMS, MMS","20 received, dialed and missed calls",,Yes,,,No,GSM 900 / 1800,250,No,"2004, Q1","TFT, 256K colors",Removable Li-Ion battery,Class 10,No,No,,LED flash,,GSM,Vibration; Downloadable polyphonic ringtones,Silver,90 g (3.17 oz),Discontinued,"Yes, with stereo speakers",WAP 1.2.1,No,No,Predictive text inputOrganizer,No,"176 x 220 pixels, 11 lines",Innostream INNO 50,Up to 100 h,"Yes, MIDP 2.0",Innostream
"Second external STN display, 65K colors (96 x 64 pixels)Screensavers and wallpapersDownloadable pictures",,VGA,,https://fdn2.gsmarena.com/vv/bigpic/innostream-36.gif,Mini-SIM,No,80 x 43 x 23.8 mm (3.15 x 1.69 x 0.94 in),,Yes,Yes,"SMS, MMS, Email","20 received, dialed and missed calls",,Yes,,,No,GSM 900 / 1800,"Yes, Photo call",No,"2005, Q2","TFT, 256K colors",Removable Li-Ion battery,Yes,No,No,,,,GSM,Vibration; Downloadable polyphonic ringtones,"Silver, Red",76 g (2.68 oz),Cancelled,No,WAP 1.2.1,No,No,Predictive text inputOrganizerVoice memo,No,128 x 143 pixels,Innostream INNO 36,,"Yes, MIDP 2.0",Innostream
"Second external display, OLED, 256 colorsScreensavers and wallpapersDownloadable pictures",,VGA,,https://fdn2.gsmarena.com/vv/bigpic/ininno79.gif,Mini-SIM,No,84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),,Yes,,"SMS, MMS","20 received, dialed and missed calls",,Yes,,,No,GSM 900 / 1800,"250 entries, Photo call",No,"2004, Q1","TFT, 256K colors",Removable Li-Ion battery,Yes,No,No,,,,GSM,Vibration; Downloadable polyphonic ringtones,,85 g (3.00 oz),Discontinued,No,WAP,No,No,Predictive text inputOrganizerVoice memo,No,"128 x 160 pixels, 11 lines",Innostream INNO 79,,"Yes, MIDP 2.0",Innostream
"Second external display, OLED, 65K colorsScreensavers and wallpapersDownloadable pictures",,VGA,,https://fdn2.gsmarena.com/vv/bigpic/ininno78.gif,Mini-SIM,No,84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),,Yes,,"SMS, MMS","20 received, dialed and missed calls",,Yes,,,No,GSM 900 / 1800,"250 entries, Photo call",No,"2004, Q1","TFT, 256K colors",Removable Li-Ion battery,Yes,No,No,,,,GSM,Vibration; Downloadable polyphonic ringtones,,85 g (3.00 oz),Discontinued,No,WAP,No,No,Predictive text inputOrganizerVoice memo,No,"128 x 160 pixels, 11 lines",Innostream INNO 78,,"Yes, MIDP 2.0",Innostream
"Second external CSTN display (96 x 64 pixels), 65K colorsScreensavers and wallpapersDownloadable images",Up to 3 h - 5 h,VGA,,https://fdn2.gsmarena.com/vv/bigpic/ininno30.gif,Mini-SIM,No,82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in),,Yes,,"SMS, MMS, Email","20 received, dialed and missed calls",,Yes,,Up to 3 h - 6 h,No,GSM 900 / 1800 / 1900,800,No,"2004, Q1","TFT, 256K colors",Removable Li-Ion 650 mAh battery,Yes,No,No,Up to 200 h,,,GSM,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",,76 g (2.68 oz),Discontinued,No,WAP,No,No,Predictive text input (iTAP)CalculatorStopwatchVoice memo,No,"128 x 160 pixels, 11 lines",Innostream INNO 30,Up to 150 h,Yes,Innostream
5-way navi key,Up to 6 h,VGA,,https://fdn2.gsmarena.com/vv/bigpic/ininno55.gif,Mini-SIM,No,85 x 42 x 21.6 mm (3.35 x 1.65 x 0.85 in),,Yes,Yes,"SMS, MMS. EMail","20 received, dialed and missed calls",,Yes,,,No,GSM 900 / 1800 / 1900,800,No,"2004, Q2","TFT, 256K colors",Removable Li-Ion 830 mAh battery,Class 10,No,No,,,,GSM,"Vibration; Downloadable polyphonic ringtones, composer",,88 g (3.10 oz),Discontinued,"Yes, with stereo speakers",WAP 2.0/xHTML,No,No,"Predictive text inputOrganizerStopwatch, Bio-rhythmVoice memoRemote control for IR",No,"128 x 160 pixels, 11 lines",Innostream INNO 55,Up to 200 h,No,Innostream
"Second external display, OLED, 256 colorsScreensavers and wallpapersDownloadable pictures",Up to 6 h,"VGA, 180 deg. rotating lens",4MB,https://fdn2.gsmarena.com/vv/bigpic/ininno70.gif,Mini-SIM,No,90 x 52 x 22 mm (3.54 x 2.05 x 0.87 in),,Yes,,"SMS, MMS, Email","20 received, dialed and missed calls",,Yes,,,No,GSM 900 / 1800,"250 entries, Photo call",No,"2004, Q1","TFT, 256K colors",Removable Li-Ion battery,Yes,No,No,,,,GSM,Vibration; Downloadable polyphonic ringtones,,88 g (3.10 oz),Discontinued,No,WAP,No,No,Predictive text inputOrganizerVoice memo,No,"128 x 160 pixels, 11 lines",Innostream INNO 70,Up to 105 h,No,Innostream
"Second external display, STN, 65K colors (96 x 64 pixels)7 color indicator3 color keypad backlightingScreensavers and wallpapers",Up to 6 h,VGA,,https://fdn2.gsmarena.com/vv/bigpic/ininno99.gif,Mini-SIM,No,87 x 46 x 24 mm (3.43 x 1.81 x 0.94 in),"Predictive text input for English, ChineseBio-rhythmOrganizerStopwatchVoice memo",Yes + downloadable,,"SMS, MMS, Email","20 received, dialed and missed calls",,Yes,,,No,GSM 900 / 1800 / 1900,"500 entries, Photo call",No,"2004, Q1","TFT, 256K colors",Removable Li-Ion 720 mAh battery,Yes,No,No,,,,GSM,"Vibration; Polyphonic(64) ringtones, composer",,91 g (3.21 oz),Discontinued,Yes,WAP,No,No,"Video formats: JPG, GIF, WBMP, PNGAudio formats: MIDI, MIDI, i-Melody, AMR, SMAF",No,"128 x 160 pixels, 11 lines",Innostream INNO 99,Up to 100 h,No,Innostream
"Second external display, STN, 65K colors (96 x 64 pixels)7 color optic fiberlighting3 color keypad backlightingScreensavers and wallpapers",Up to 6 h,VGA,4MB,https://fdn2.gsmarena.com/vv/bigpic/ininno90.gif,Mini-SIM,No,87 x 46 x 26 mm (3.43 x 1.81 x 1.02 in),,Yes + downloadable,,"SMS, MMS, Email","20 received, dialed and missed calls",,Yes,,,No,GSM 900 / 1800 / 1900,"500 entries, contact groups, Photo call",No,"2004, Q1","TFT, 256K colors",Removable Li-Ion 680 mAh battery,Yes,No,No,,,,GSM,"Vibration; Downloadable polyphonic, MP3 ringtones, composer","Pearl White, Silver",88 g (3.10 oz),Discontinued,Yes,WAP,No,No,Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo,No,"128 x 160 pixels, 11 lines",Innostream INNO 90,Up to 100 h,No,Innostream
"Second external display, STN, 65K colors (96 x 64 pixels)3 color keypad backlightingScreensavers and wallpapersDownloadable pictures",Up to 5 h,CIF,,https://fdn2.gsmarena.com/vv/bigpic/ininno89.gif,Mini-SIM,No,88 x 43 x 24 mm (3.46 x 1.69 x 0.94 in),Predictive text input (iTAP)Bio-rhythmStopwatchOrganizerVoice memo,Yes + Java downloadable,,"SMS, MMS, Email","20 received, dialed and missed calls",,Yes,,,No,GSM 900 / 1800 / 1900,"500 entries, contact groups, Photo call",No,"2004, Q1","TFT, 256K colors",Removable Li-Ion 720 mAh battery,Yes,No,No,,,,GSM,"Vibration; Downloadable polyphonic - SMAF, MIDI, I-Melody and AMR ringtones, composer","silver, white, blue",98 g (3.46 oz),Discontinued,No,WAP,No,No,"Audio format: SMAF, MIDI, I-Melody and AMRImage format: WBMP, JPG, GIF and PNG",No,"128 x 160 pixels, 11 lines",Innostream INNO 89,Up to 100 h,Yes,Innostream
"Second external display, STN, 65K colors (96 x 64 pixels)3 color keypad backlightingScreensavers and wallpapersDownloadable pictures",Up to 5 h,CIF,,https://fdn2.gsmarena.com/vv/bigpic/ininno80.gif,Mini-SIM,No,90 x 44 x 22 mm (3.54 x 1.73 x 0.87 in),,Yes + Java dwnloadable,,"SMS, MMS, Email","20 received, dialed and missed calls",,Yes,,,No,GSM 900 / 1800 / 1900,"500 entries, contact groups, Photo call",No,"2004, Q1","TFT, 256K colors",Removable Li-Ion 720 mAh battery,Yes,No,No,,,,GSM,"Vibration; Downloadable polyphonic, MP3 ringtones, composer","Black, White, Silver",97 g (3.42 oz),Discontinued,Yes,WAP,No,No,Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo,No,"128 x 160 pixels, 11 lines",Innostream INNO 80,Up to 100 h,Yes,Innostream
Second external display (64 x 80 pixels)Screensavers and wallpapers,Up to 5 h,,,https://fdn2.gsmarena.com/vv/bigpic/ininno120.gif,Mini-SIM,No,80 x 44 x 23.3 mm (3.15 x 1.73 x 0.92 in),,Yes,,SMS,"10 dialed, 10 received, 10 missed calls",,,,,No,GSM 900 / 1800,"500 entries, contact groups",No,"2003, Q4","LCD, 65K colors",Removable Li-Ion 740 mAh battery,No,No,FM radio,,,,GSM,"Vibration; Polyphonic(40) ringtones, composer",,81 g (2.86 oz),Discontinued,Yes,WAP 1.2.1,No,No,Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo,No,"128 x 144 pixels, 10 lines",Innostream INNO 120,Up to 100 h,No,Innostream
Second external display (64 x 80 pixels)Screensavers and wallpapers,Up to 5 h,,,https://fdn2.gsmarena.com/vv/bigpic/ininno110.gif,Mini-SIM,No,80 x 43 x 20 mm (3.15 x 1.69 x 0.79 in),,Yes,,SMS,"10 dialed, 10 received, 10 missed calls",,,,,No,GSM 900 / 1800,"500 entries, contact groups",No,"2003, Q4","LCD, 65K colors",Removable Li-Ion 740 mAh battery,No,No,FM radio,,,,GSM,"Vibration; Polyphonic(40) ringtones, composer",,80 g (2.82 oz),Discontinued,Yes,WAP 1.2.1,No,No,Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo,No,"128 x 144 pixels, 10 lines",Innostream INNO 110,Up to 100 h,No,Innostream
Second external display (64 x 80 pixels)Screensavers and wallpapers,Up to 5 h,,,https://fdn2.gsmarena.com/vv/bigpic/ininno100.gif,Mini-SIM,No,80 x 43 x 20 mm (3.15 x 1.69 x 0.79 in),,Yes,,SMS,"10 dialed, 10 received, 10 missed calls",,,,,No,GSM 900 / 1800,"500 entries, contact groups",No,"2003, Q4","LCD, 65K colors",Removable Li-Ion 740 mAh battery,No,No,FM radio,,,,GSM,"Vibration; Polyphonic(40) ringtones, composer",,80 g (2.82 oz),Discontinued,Yes,WAP 1.2.1,No,No,Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo,No,"128 x 144 pixels, 10 lines",Innostream INNO 100,Up to 100 h,No,Innostream
