,CPU,Single,Internal,Talk time,Model Image,SIM,WLAN,Price,Dimensions,NFC,OS,SAR EU,4G bands,USB,Protection,Video,Size,Speed,Card slot,3G bands,2G bands,Positioning,Announced,Type,Video_1,Type_1,Build,GPRS,SAR,Bluetooth,Radio,Chipset,Features,Sensors,Technology,Colors,Weight,Status,Single_1,Loudspeaker,_1,EDGE,GPU,3.5mm jack,Resolution,Model Name,Stand-by,Brand
,Quad-core 1.0 GHz Cortex-A53,"8 MP, AF",8GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-craze.jpg,Dual SIM,Wi-Fi 802.11 b/g/n,,143.5 x 71.4 x 9 mm (5.65 x 2.81 x 0.35 in),No,Android 5.1 (Lollipop),0.73 W/kg (head),"3, 5, 40",microUSB 2.0,,Yes,"5.0 inches, 68.9 cm2(~67.3% screen-to-body ratio)","HSPA, LTE",microSDHC (dedicated slot),HSDPA 900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,"2016, January. Released 2016, January",IPS LCD,,"Li-Ion 2500 mAh, removable",,,,"4.0, A2DP",FM radio,Mediatek MT6735P (28 nm),"LED flash, panorama, HDR","Accelerometer, proximity",GSM / HSPA / LTE,"Gray, White, Gold",165 g (5.82 oz),Discontinued,2 MP,Yes,,,Mali-T720MP2,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Intex Aqua Craze,,Intex
,Octa-core 1.3 GHz Cortex-A53,"13 MP, AF",16GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-genx.jpg,Dual SIM,Wi-Fi 802.11 b/g/n,,152.6 x 76.4 x 8.4 mm (6.01 x 3.01 x 0.33 in),No,Android 5.1 (Lollipop),0.72 W/kg (head),"3, 40",microUSB 2.0,Asahi Dragontrail Glass,1080p@30fps,"5.5 inches, 83.4 cm2(~71.5% screen-to-body ratio)","HSPA, LTE",microSDHC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,"2015, August. Released 2015, August",IPS LCD,,"Li-Ion 2850 mAh, non-removable",,,,"4.0, A2DP",FM radio,Mediatek MT6753 (28 nm),"LED flash, panorama, HDR","Accelerometer, proximity",GSM / HSPA / LTE,White,175 g (6.17 oz),Discontinued,5 MP,Yes,,,Mali-T720MP3,Yes,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Intex Aqua GenX,,Intex
,Quad-core 1.3 GHz Cortex-A53,"13 MP, AF",16GB 3GB RAM,Up to 10 h,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-ace.jpg,Dual SIM,Wi-Fi 802.11 b/g/n,,145 x 71.5 x 6.7 mm (5.71 x 2.81 x 0.26 in),No,Android 5.1 (Lollipop),,"3, 5, 40",microUSB 2.0,Corning Gorilla Glass 3,1080p@30fps,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2015, October. Released 2015, October",Super AMOLED,,"Li-Po 2300 mAh, non-removable","Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame",,,"4.0, A2DP",FM radio,Mediatek MT6735 (28 nm),"LED flash, panorama, HDR","Accelerometer, proximity",GSM / HSPA / LTE,"Black, White",121.5 g (4.30 oz),Discontinued,5 MP,Yes,,,Mali-T720MP2,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Intex Aqua Ace,Up to 250 h,Intex
,Quad-core 1.3 GHz Cortex-A53,"13 MP, AF",16GB 2GB RAM,Up to 7 h,https://fdn2.gsmarena.com/vv/bigpic/intel-aqua-trend.jpg,Dual SIM,Wi-Fi 802.11 b/g/n,,144.5 x 72.5 x 8.9 mm (5.69 x 2.85 x 0.35 in),No,Android 5.1 (Lollipop),,"3, 40",microUSB 2.0,,1080p@30fps,"5.0 inches, 68.9 cm2(~65.8% screen-to-body ratio)","HSPA, LTE",microSDHC,HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2015, September. Released 2015, September",IPS LCD,,"Li-Ion 3000 mAh, removable",,,1.44 W/kg (head),"4.0, A2DP",FM radio,Mediatek MT6735 (28 nm),"LED flash, panorama","Accelerometer, proximity",GSM / HSPA / LTE,"Champagne, silver, gray, black",158.5 g (5.61 oz),Discontinued,5 MP,Yes,,,Mali-T720MP2,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Intex Aqua Trend,Up to 250 h,Intex
No,Dual-core 1.2 GHz Cortex-A7,5 MP,4GB 512MB RAM,,https://fdn2.gsmarena.com/vv/bigpic/intex-watch.jpg,Micro-SIM,Wi-Fi 802.11 b/g/n,About 160 EUR,44 x 44 x 14 mm (1.73 x 1.73 x 0.55 in),No,Android OS compatible,,,microUSB 2.0,,Yes,1.56 inches,HSPA,microSDHC (dedicated slot),HSDPA 1900 / 2100,GSM 850 / 900 / 1800 / 1900,GPS,"2015, July. Released 2015, August",OLED,,"Li-Ion 600 mAh, non-removable",,,0.98 W/kg (head),2.0,No,Mediatek MT6572 (28 nm),,"Accelerometer, gyro, compass",GSM / HSPA,"Orange, pink, black",83 g (3.03 oz),Discontinued,,Yes,Video playerPhoto viewer,,Mali-400,No,240 x 240 pixels (~218 ppi density),Intex IRist Smartwatch,,Intex
,Quad-core 1.3 GHz Cortex-A53,"13 MP, AF",16GB 2GB RAM,Up to 8 h,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-4g.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",,140 x 71 x 9.5 mm (5.51 x 2.80 x 0.37 in),No,Android 5.0 (Lollipop),0.26 W/kg (head),"1, 3, 40, 41",microUSB 2.0,,Yes,"5.0 inches, 68.9 cm2(~69.3% screen-to-body ratio)","HSPA, LTE",microSDHC,HSDPA 900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,"2015, June. Released 2015, June",IPS LCD,,"Li-Ion 2300 mAh, non-removable",,,,"4.0, A2DP",FM radio,Mediatek MT6735 (28 nm),"LED flash, panorama","Accelerometer, proximity",GSM / HSPA / LTE,"White, Black",136.5 g (4.83 oz),Discontinued,5 MP,Yes,,,Mali-T720MP2,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Intex Aqua 4G+,Up to 210 h,Intex
,Octa-core 1.4 GHz Cortex-A7,"13 MP, AF",16GB 2GB RAM,Up to 8 h,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-xtreme-ii.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",,140 x 71.9 x 7.9 mm (5.51 x 2.83 x 0.31 in),No,Android 4.4.2 (KitKat),0.26 W/kg (head),,microUSB 2.0,,1080p@30fps,"5.0 inches, 68.9 cm2(~68.5% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,"2015, June. Released 2015, June",IPS LCD,,"Li-Ion 2000 mAh, non-removable",,,,"4.0, A2DP",FM radio,Mediatek MT6592M (28 nm),"LED flash, panorama, HDR","Accelerometer, gyro, proximity, compass",GSM / HSPA,"White, Black, Champagne, Silver",132 g (4.66 oz),Discontinued,5 MP,Yes,,,Mali-450MP4,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Intex Aqua Xtreme II,Up to 300 h,Intex
,Dual-core 1.2 GHz Cortex-A7,5 MP,4GB 512MB RAM,Up to 8 h,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-y2-remote.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",,125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in),No,Android 4.4.2 (KitKat),,,microUSB 2.0,,Yes,"4.0 inches, 45.5 cm2(~56.9% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2015, February. Released 2015, February",IPS LCD,,"Li-Ion 1500 mAh, removable",,,0.78 W/kg (head),2.0,FM radio,Mediatek MT6572M (28 nm),"LED flash, panorama","Accelerometer, proximity",GSM / HSPA,"Blue, White, Gray",110 g (3.88 oz),Discontinued,2 MP,Yes,,,Mali-400,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Intex Aqua Y2 Remote,Up to 180 h,Intex
,Octa-core 1.7 GHz Cortex-A7,"13 MP, AF",32GB 2GB RAM,Up to 7 h,https://fdn2.gsmarena.com/vv/bigpic/intex-xtreme.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",,144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in),No,Android 5.0 (Lollipop),,,microUSB 2.0,Asahi Dragontrail Glass,Yes,"5.0 inches, 68.9 cm2(~68.7% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2014, December. Released 2014, December",IPS LCD,,"Li-Ion 2000 mAh, non-removable",,,0.62 W/kg (head),"4.0, A2DP",FM radio,Mediatek MT6592 (28 nm),"LED flash, panorama, HDR","Accelerometer, proximity",GSM / HSPA,"Black, Gray, Red",119.5 g (4.23 oz),Discontinued,5 MP,Yes,,,Mali-450MP4,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Intex Aqua Xtreme,Up to 180 h,Intex
,Quad-core 1.3 GHz Cortex-A7,"8 MP, AF",8GB 1GB RAM,Up to 5 h,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-star.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",,141 x 72.9 x 8 mm (5.55 x 2.87 x 0.31 in),No,Android 5.0 (Lollipop),,,microUSB 2.0,,Yes,"5.0 inches, 68.9 cm2(~67.0% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2015, January. Released 2015, January",IPS LCD,,"Li-Ion 2000 mAh, removable",,,0.72 W/kg (head),2.0,FM radio,Mediatek MT6582M (28 nm),"LED flash, panorama","Accelerometer, proximity",GSM / HSPA,"White, black",130 g (4.59 oz),Discontinued,2 MP,Yes,,,Mali-400MP2,Yes,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Intex Aqua Star L,Up to 220 h,Intex
,Quad-core 1.2 GHz,8 MP,8GB 1GB RAM,Up to 6 h,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-star2.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",,142 x 71.5 x 9 mm (5.59 x 2.81 x 0.35 in),No,Android 4.4.2 (KitKat),,,microUSB 2.0,,Yes,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2015, February. Released 2015, February",IPS LCD,,"Li-Ion 2000 mAh, removable",,,0.33 W/kg (head),2.0,FM radio,Spreadtrum 7731,"LED flash, panorama","Accelerometer, proximity",GSM / HSPA,"White, black, blue, gray",122 g (4.30 oz),Discontinued,5 MP,Yes,,,Mali-400,Yes,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Intex Aqua Star 2,Up to 250 h,Intex
,Quad-core 1.3 GHz Cortex-A7,8 MP,16GB 2GB RAM,Up to 5 h,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-speed.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",,136 x 68 x 9 mm (5.35 x 2.68 x 0.35 in),No,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",,,microUSB 2.0,,Yes,"4.5 inches, 55.8 cm2(~60.4% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2015, February. Released 2015, February",IPS LCD,,"Li-Ion 1700 mAh, removable",,,0.35 W/kg (head),2.0,FM radio,Mediatek MT6582M (28 nm),"LED flash, panorama","Accelerometer, proximity",GSM / HSPA,"White, black, gray, coffee",120 g (4.23 oz),Discontinued,5 MP,Yes,,,Mali-400MP2,Yes,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",Intex Aqua Speed,Up to 180 h,Intex
,Octa-core 1.4 GHz Cortex-A7,8 MP,8GB 1GB RAM,Up to 11 h,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-power.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",,141 x 71.9 x 9.3 mm (5.55 x 2.83 x 0.37 in),No,Android 4.4.2 (KitKat),,,microUSB 2.0,,Yes,"5.0 inches, 68.9 cm2(~68.0% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,"2014, November. Released 2014, November",IPS LCD,,Li-Ion 4000 mAh battery,,,0.72 W/kg (head),2.0,FM radio,Mediatek MT6592M (28 nm),"LED flash, panorama, HDR","Accelerometer, proximity, compass",GSM / HSPA,"White, black, blue, gray",160 g (5.64 oz),Discontinued,2 MP,Yes,,,Mali-450MP4,Yes,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Intex Aqua Power,Up to 500 h,Intex
,Quad-core 1.3 GHz Cortex-A7,"13 MP, AF",16GB 2GB RAM,Up to 17 h (2G) / Up to 8 h (3G),https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-power-plus.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",,147 x 72 x 8.7 mm (5.79 x 2.83 x 0.34 in),No,Android 5.0 (Lollipop),,,microUSB 2.0,,Yes,"5.0 inches, 68.9 cm2(~65.1% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2015, April. Released 2015, April",IPS LCD,,"Li-Ion 4000 mAh, removable",,,0.47 W/kg (head),"4.0, A2DP",FM radio,Mediatek MT6582M (28 nm),"LED flash, panorama, HDR","Accelerometer, proximity",GSM / HSPA,"Black/champagne, White/champagne, Champagne, Black/silver",156 g (5.50 oz),Discontinued,5 MP,Yes,,,Mali-400MP2,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Intex Aqua Power +,Up to 1176 h,Intex
,Dual-core 1.3 GHz Cortex-A7,5 MP,4GB 512MB RAM,Up to 5 h,https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-45e.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",,133.4 x 68.9 x 8.9 mm (5.25 x 2.71 x 0.35 in),No,Android 4.4.2 (KitKat),,,microUSB 2.0,,Yes,"4.5 inches, 55.8 cm2(~60.7% screen-to-body ratio)",,microSDHC,,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2014, December. Released 2014, December",TFT,,"Li-Ion 1600 mAh, removable",,Yes,1.03 W/kg (head),2.0,FM radio,Mediatek MT6571 (28 nm),LED flash,Accelerometer,GSM,"Black, Grey/Black, Black/Blue, White/Champagne",137 g (4.83 oz),Discontinued,2 MP,Yes,,Yes,Mali-400,Yes,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Intex Aqua 4.5E,Up to 400 h,Intex
