,CPU,Single,Internal,Talk time,Model Image,SIM,WLAN,Price,Dimensions,Model Name,NFC,Messaging,Games,OS,SAR EU,Call records,USB,Video,Size,Speed,Card slot,3G bands,2G bands,Positioning,Phonebook,Announced,Type,Video_1,Type_1,Build,GPRS,SAR,Bluetooth,Radio,Chipset,Features,Sensors,Technology,Colors,Weight,Status,Single_1,Loudspeaker,_1,EDGE,GPU,_2,3.5mm jack,Resolution,Protection,Stand-by,Java,Brand
GSM 900 / 1800 - SIM 1 & SIM 2,1.0 GHz,3.15 MP,"256MB RAM, 512MB",Up to 4 h 20 min,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a3.jpg,Dual SIM (Mini-SIM),"Wi-Fi 802.11 b/g/n, hotspot",About 70 EUR,113 x 61 x 13.5 mm (4.45 x 2.40 x 0.53 in),Karbonn A3,No,,,Android 2.3.6 (Gingerbread),,,Proprietary,Yes,"4.0 inches, 47.6 cm2(~69.1% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 850 / 1900 - SIM 1 & SIM 2,No,,"2013, March. Released 2013, March",TFT,,Li-Ion 1400 mAh battery,,Yes,,Yes,FM radio,,,Accelerometer,GSM,White/Black,90 g (3.17 oz),Discontinued,VGA,Yes,,Yes,,,Yes,"320 x 480 pixels, 3:2 ratio (~144 ppi density)",,Up to 250 h,,Karbonn
,,3.15 MP,200MB,Up to 3 h 30 min,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a2.jpg,Dual SIM (Mini-SIM),No,About 70 EUR,124 x 63.6 x 12.4 mm (4.88 x 2.50 x 0.49 in),Karbonn A2,No,,,Android 2.3.6 (Gingerbread),,,Proprietary,Yes,"4.0 inches, 45.5 cm2(~57.7% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,No,,"2013, March. Released 2013, March",TFT,,Li-Ion 1750 mAh battery,,Yes,,Yes,FM radio,,,Accelerometer,GSM,White/Black,110 g (3.88 oz),Discontinued,Yes,Yes,,Yes,,,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 120 h,,Karbonn
,Quad-core 1.2 GHz Cortex-A5,"8 MP, AF",4GB 1GB RAM,Up to 13 h (2G) / Up to 11 h (3G),https://fdn2.gsmarena.com/vv/bigpic/karbonn-s5-titanium.jpg,Dual SIM (Mini-SIM),"Wi-Fi 802.11 b/g/n, hotspot",About 160 EUR,144 x 72 x 9 mm (5.67 x 2.83 x 0.35 in),Karbonn S5 Titanium,No,,,Android 4.1 (Jelly Bean),,,microUSB 2.0,Yes,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",HSPA 7.2/0.384 Mbps,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,,"2013, March. Released 2013, May",IPS LCD,,"Li-Ion 2000 mAh, removable",,,,"2.1, A2DP",FM radio,Qualcomm MSM8225Q Snapdragon S4 Play,LED flash,"Accelerometer, proximity",GSM / HSPA,Blue,200 g (7.05 oz),Discontinued,2 MP,Yes,,,Adreno 203,,Yes,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",,Up to 200 h (2G) / Up to 200 h (3G),,Karbonn
,Quad-core 1.2 GHz,"5 MP, AF",4GB 1GB RAM,Up to 4 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-s1.jpg,Dual SIM (Mini-SIM),"Wi-Fi 802.11 b/g/n, hotspot",About 150 EUR,134.6 x 66 x 9.3 mm (5.30 x 2.60 x 0.37 in),Karbonn S1 Titanium,No,,,Android 4.1 (Jelly Bean),,,microUSB 2.0,Yes,"4.5 inches, 55.8 cm2(~62.8% screen-to-body ratio)",HSPA,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,"2013, January. Released 2013, January",IPS LCD,,Li-Ion 1600 mAh battery,,,,Yes,FM radio,,LED flash,"Accelerometer, proximity",GSM / HSPA,"Black, White",-,Discontinued,Yes,Yes,,,,,Yes,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",,Up to 200 h,,Karbonn
No,1.2 GHz,1.3 MP,2GB 512MB RAM,Up to 6 h (multimedia),https://fdn2.gsmarena.com/vv/bigpic/karbonn-st9.jpg,No,Wi-Fi 802.11 b/g/n,About 90 EUR,-,Karbonn Smart Tab 9,No,,,Android 4.0.4 (Ice Cream Sandwich),,,Proprietary,Yes,"9.0 inches, 230.5 cm2",,microSDHC (dedicated slot),,N/A,No,,2012. Released 2012,TFT,,"Li-Ion 4000 mAh, non-removable",,No,,Yes,No,,,Accelerometer,No cellular connectivity,Black/White,-,Discontinued,,Yes,,No,,,Yes,"480 x 800 pixels, 5:3 ratio (~104 ppi density)",,,,Karbonn
HDMI port,Dual-core 1.5 GHz Cortex-A9,3.15 MP,1.5GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-st8.jpg,No,Wi-Fi 802.11 b/g/n,About 100 EUR,-,Karbonn Smart Tab 8,No,,,Android 4.1.1 (Jelly Bean),,,Proprietary,Yes,"8.0 inches, 198.2 cm2",,microSDHC (dedicated slot),,N/A,No,,2012. Released 2012,TFT,,"Li-Ion 4500 mAh, non-removable",,No,,Yes,No,,,Accelerometer,No cellular connectivity,Black/White,-,Discontinued,Yes,Yes,,No,,,Yes,"1024 x 768 pixels, 4:3 ratio (~160 ppi density)",,,,Karbonn
HDMI port,Dual-core 1.5 GHz Cortex-A9,2 MP,1.5GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-st10.jpg,No,Wi-Fi 802.11 b/g/n,About 140 EUR,-,Karbonn Smart Tab 10,No,,,Android 4.1.1 (Jelly Bean),,,Proprietary,Yes,"9.7 inches, 291.4 cm2",,microSDHC (dedicated slot),,N/A,No,,2012. Released 2012,TFT,,"Li-Ion 6000 mAh, non-removable",,No,,Yes,No,,,Accelerometer,No cellular connectivity,Black/White,-,Discontinued,Yes,Yes,,No,Mali-400,,Yes,"1024 x 768 pixels, 4:3 ratio (~132 ppi density)",,,,Karbonn
No,1.2 GHz,2 MP,1GB 512MB RAM,Up to 7 h (multimedia),https://fdn2.gsmarena.com/vv/bigpic/karbonn-st72.jpg,No,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 70 EUR,-,Karbonn Smart Tab2,No,,,Android 4.1 (Jelly Bean),,,Proprietary,Yes,"7.0 inches, 139.5 cm2",,microSDHC (dedicated slot),,N/A,No,,2012. Released 2012,TFT,,"Li-Ion 3700 mAh, non-removable",,No,,"4.0, A2DP",No,,,Accelerometer,No cellular connectivity,Black/White,-,Discontinued,,Yes,HDMI port,No,,,Yes,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",Corning Gorilla Glass,,,Karbonn
No,1.2 GHz,2 MP,1GB 512MB RAM,Up to 7 h (multimedia),https://fdn2.gsmarena.com/vv/bigpic/karbonn-st7.jpg,No,Wi-Fi 802.11 b/g/n,About 80 EUR,-,Karbonn Smart Tab 7,No,,,"Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)",,,Proprietary,Yes,"8.0 inches, 182.2 cm2",,microSDHC (dedicated slot),,N/A,No,,2012. Released 2012,TFT,,"Li-Ion 3700 mAh, non-removable",,No,,"4.0, A2DP",No,Vivante GC860,,Accelerometer,No cellular connectivity,Black/White,-,Discontinued,,Yes,HDMI port,No,Mali-400,,Yes,"480 x 800 pixels, 5:3 ratio (~117 ppi density)",,,,Karbonn
No,,3.15 MP,,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-kt21.jpg,Dual SIM (Mini-SIM),No,About 40 EUR,-,Karbonn KT21 Express,No,"SMS, MMS, Email",Yes,,,Yes,microUSB,Yes,"2.8 inches, 24.3 cm2",,microSDHC (dedicated slot),,GSM - SIM 1 & SIM 2,No,2000 entries,2012,TFT,,"Li-Ion 1000 mAh, removable",,Yes,,2.0,"FM radio, recording",,LED flash,Proximity,No cellular connectivity,Black,-,Discontinued,,Yes,Audio/video playerPhoto viewerOrganizer,Yes,,,Yes,"240 x 320 pixels, 4:3 ratio",,,Yes,Karbonn
No,,2 MP,,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k65-buzz.jpg,Dual SIM (Mini-SIM),No,About 40 EUR,-,Karbonn K65 Buzz,No,"SMS, MMS",Yes,,1.08 W/kg (head),Yes,microUSB,Yes,"3.5 inches, 37.9 cm2",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,Yes,2012,TFT,,"Li-Ion 1200 mAh, removable",,Yes,,2.0,"FM radio, recording",,,,GSM,White,-,Discontinued,,Yes,Audio/video playerPhoto viewerOrganizer,Yes,,,Yes,"320 x 480 pixels, 4:3 ratio",,,Yes,Karbonn
No,,1.3 MP,,Up to 6 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k9.jpg,Dual SIM (Mini-SIM),No,About 30 EUR,115 x 50 x 15.5 mm (4.53 x 1.97 x 0.61 in),Karbonn K9 Jumbo,No,"SMS, MMS",Yes,,,Yes,microUSB,480p,"2.4 inches, 17.8 cm2(~31.0% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,1000 entries,2012,"TFT, 256K colors",,"Li-Ion 1800 mAh, removable",,Yes,,2.0,"FM radio, recording",,,,GSM,"Black, Red",112 g (3.95 oz),Discontinued,,Yes,Audio/video playerPhoto viewerOrganizerVoice memo,Yes,,,Yes,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Up to 300 h,Yes,Karbonn
,1.0 GHz,"5 MP, AF",512MB,Up to 4 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a9.jpg,Dual SIM (Mini-SIM),Wi-Fi 802.11 b/g/n,About 110 EUR,120 x 60.5 x 11.3 mm (4.72 x 2.38 x 0.44 in),Karbonn A9,No,,,Android 2.3.6 (Gingerbread),,,microUSB 2.0,Yes,"3.8 inches, 41.1 cm2(~56.6% screen-to-body ratio)",HSPA,microSDHC (dedicated slot),HSDPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,2012,"TFT, 256K colors",,"Li-Ion 1600 mAh, removable",,Yes,0.68 W/kg (head),"2.1, A2DP",FM radio,,LED flash,"Accelerometer, proximity",GSM / HSPA,"Black, White",-,Discontinued,Yes,Yes,,Yes,,,Yes,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",,Up to 200 h,,Karbonn
No,,Yes,,Up to 3 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-kt62.jpg,Dual SIM (Mini-SIM),No,About 30 EUR,100 x 55 x 13 mm (3.94 x 2.17 x 0.51 in),Karbonn KT62,No,"SMS, MMS",Yes,,1.04 W/kg (head),Yes,microUSB,Yes,"2.8 inches, 24.3 cm2(~44.1% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,500 entries,2012,TFT,,"Li-Ion 1000 mAh, removable",,Yes,,2.0,FM radio,,,,GSM,Black/Red,85 g (3.00 oz),Discontinued,,Yes,Audio/video playerPhoto viewerOrganizer,No,,,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Up to 200 h,Yes,Karbonn
No,,1.3 MP,,Up to 6 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k52.jpg,Dual SIM (Mini-SIM),No,About 20 EUR,115 x 52 x 15.2 mm (4.53 x 2.05 x 0.60 in),Karbonn K52 Groovster,No,"SMS, MMS",Yes,,0.58 W/kg (head),Yes,microUSB,Yes,"2.4 inches, 17.8 cm2(~29.8% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,500 entries,2012,TFT,,Li-Ion 1800 mAh battery,,Yes,,2.0,"FM radio, recording",,,,GSM,"Black/Red, Silver/Black",-,Discontinued,,Yes,Audio/video playerPhoto viewerOrganizer,No,,,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Up to 600 h,Yes,Karbonn
Dedicated music keysFlashlight,,VGA,,Up to 5 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k309.jpg,Dual SIM (Mini-SIM),No,About 20 EUR,113 x 49 x 15.2 mm (4.45 x 1.93 x 0.60 in),Karbonn K309 Boombastic,No,SMS,Yes,,0.75 W/kg (head),Yes,microUSB,,", -",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,200 entries,2012,"TFT, 65K colors",,"Li-Ion 1500 mAh, removable",,Yes,,2.0,FM radio,,,,GSM,Black/Red,85 g (3.00 oz),Discontinued,,Yes,No,No,,Audio/video playerPhoto viewerOrganizer,No,176 x 220 pixels,,Up to 400 h,Yes,Karbonn
No,,1.3 MP,,Up to 10 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k4+.jpg,Dual SIM (Mini-SIM),No,About 30 EUR,118.8 x 52.5 x 14.9 mm (4.68 x 2.07 x 0.59 in),Karbonn K4+ Titan,No,"SMS, MMS",Yes,,0.95 W/kg (head),Yes,microUSB,Yes,"2.6 inches, 20.9 cm2(~33.6% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,500 entries,2012,"TFT, 65K colors",,Li-Ion 2200 mAh battery,,Yes,,2.0,Wireless FM radio (no wired headphones required),,,,GSM,"Black/Silver, White/Black",95 g (3.35 oz),Discontinued,,"Yes, with stereo speakers",Audio/video playerPhoto viewerOrganizer,No,,,No,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",,Up to 600 h,Yes,Karbonn
Flashlight,,1.3 MP,,Up to 8 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k707.jpg,Dual SIM (Mini-SIM),No,About 20 EUR,118.9 x 49.8 x 15.7 mm (4.68 x 1.96 x 0.62 in),Karbonn K707 Spy II,No,"SMS, MMS",Yes,,1.32 W/kg (head),Yes,microUSB,Yes,"2.4 inches, 17.8 cm2(~30.1% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,1000 entries,2012,"TFT, 65K colors",,Li-Ion 1800 mAh battery,,Yes,,2.0,"FM radio, recording",,,,GSM,"Black/Silver, Black/Red",100 g (3.53 oz),Discontinued,,Yes,No,No,,Audio/video playerPhoto viewerOrganizer,Yes,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Up to 600 h,Yes,Karbonn
No,,1.3 MP,,Up to 8 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k451.jpg,Dual SIM (Mini-SIM),No,About 20 EUR,116.5 x 51.9 x 14.6 mm (4.59 x 2.04 x 0.57 in),Karbonn K451+ Sound Wave,No,"SMS, MMS",Yes,,0.45 W/kg (head),Yes,microUSB,Yes,"2.4 inches, 17.8 cm2(~29.5% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,500 entries,2012,"TFT, 65K colors",,Li-Ion 1800 mAh battery,,Yes,,2.0,"FM radio, recording",,,,GSM,Silver/Black,-,Discontinued,,Yes,Audio/video playerPhoto viewerOrganizer,No,,,Yes,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Up to 500 h,Yes,Karbonn
No,,VGA,,Up to 4 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k102+.jpg,Dual SIM (Mini-SIM),No,About 20 EUR,108.9 x 45.6 x 14.5 mm (4.29 x 1.80 x 0.57 in),Karbonn K102+ Flair,No,"SMS, MMS",Yes,,0.94 W/kg (head),Yes,microUSB,Yes,", -",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,500 entries,2012,"TFT, 65K colors",,Li-Ion 1000 mAh battery,,Yes,,2.0,FM radio,,,,GSM,"Golden/White, Black/Red",80 g (2.82 oz),Discontinued,,Yes,Audio/video playerPhoto viewerOrganizer,No,,,No,176 x 220 pixels,,Up to 250 h,Yes,Karbonn
No,,1.3 MP,,Up to 4 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-kc540.jpg,Dual SIM (Mini-SIM),No,About 40 EUR,111.2 x 46.8 x 13.9 mm (4.38 x 1.84 x 0.55 in),Karbonn KC540 Blaze,No,"SMS, MMS",Yes,,0.70 W/kg (head),Yes,microUSB,Yes,"2.2 inches, 15.0 cm2(~28.8% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,500 entries,2012,"TFT, 65K colors",,"Li-Ion 1000 mAh, removable",,Yes,,2.0,"FM radio, recording",,,,GSM,White,80 g (2.82 oz),Discontinued,,Yes,Audio/video playerPhoto viewerOrganizer,No,,,No,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",,Up to 150 h,Yes,Karbonn
No,,VGA,,Up to 5 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k1+.jpg,Dual SIM (Mini-SIM),No,About 30 EUR,109 x 44 x 14.4 mm (4.29 x 1.73 x 0.57 in),Karbonn K1+ Stereo,No,SMS,Yes,,0.85 W/kg (head),Yes,microUSB,Yes,"1.77 inches, 9.9 cm2(~20.6% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,250 entries,2012,"TFT, 65K colors",,"Li-Ion 1000 mAh, removable",,Yes,,2.0,FM radio,,,,GSM,"White/Black, Black/Red",78 g (2.75 oz),Discontinued,,Yes,Audio/video playerPhoto viewerOrganizer,No,,,No,128 x 160 pixels (~116 ppi density),,Up to 250 h,Yes,Karbonn
Mobile TV,1.0 GHz,3 MP,256MB RAM,Up to 4 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a1+.jpg,Dual SIM (Mini-SIM),Wi-Fi 802.11 b/g,About 50 EUR,114.5 x 60.6 x 13.8 mm (4.51 x 2.39 x 0.54 in),Karbonn A1+,No,,,Android 2.3.6 (Gingerbread),,,microUSB 2.0,Yes,"3.5 inches, 36.5 cm2(~52.6% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,No,,2012,"TFT, 256K colors",,"Li-Ion 1500 mAh, removable",,Yes,0.66 W/kg (head),"2.1, A2DP",FM radio,,,"Accelerometer, proximity",GSM,Ivory White,130 g (4.59 oz),Discontinued,VGA,Yes,,Yes,,,Yes,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 240 h,,Karbonn
,Dual-core 1.2 GHz,"5 MP, AF",4GB 512MB RAM,Up to 5 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a21.jpg,Dual SIM (Mini-SIM),Wi-Fi 802.11 b/g/n,About 130 EUR,-,Karbonn A21,No,,,Android 4.0 (Ice Cream Sandwich),0.44 W/kg (head),,microUSB 2.0,Yes,"4.5 inches, 57.6 cm2",HSPA 7.2/0.384 Mbps,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,2012,"TFT, 256K colors",,"Li-Ion 1800 mAh, removable",,,,"2.1, A2DP",No,,LED flash,"Accelerometer, proximity",GSM / HSPA,Pearl White,-,Discontinued,1.3 MP,Yes,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~207 ppi density)",,Up to 200 h,,Karbonn
,1.0 GHz,"5 MP, AF",4GB 512MB RAM,Up to 5 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a11.jpg,Dual SIM (Mini-SIM),Wi-Fi 802.11 b/g/n,About 100 EUR,-,Karbonn A11,No,,,Android 4.0.4 (Ice Cream Sandwich),1.12 W/kg (head),,microUSB 2.0,Yes,"4.0 inches, 45.5 cm2",HSPA 7.2/0.384 Mbps,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,2012,"TFT, 256K colors",,Li-Ion 1500 mAh battery,,,,"4.0, A2DP",No,,LED flash,"Accelerometer, proximity",GSM / HSPA,Black/White,-,Discontinued,1.3 MP,Yes,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 200 h,,Karbonn
No,,VGA,,Up to 8 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k36+.jpg,Dual SIM (Mini-SIM),No,About 20 EUR,111 x 47 x 16.5 mm (4.37 x 1.85 x 0.65 in),Karbonn K36+ Jumbo Mini,No,SMS,Yes,,,Yes,microUSB,Yes,"1.8 inches, 10.2 cm2(~19.5% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,500 entries,2012,"TFT, 65K colors",,Li-Ion 1800 mAh battery,,No,,2.0,"FM radio, recording",,,,GSM,Black,92 g (3.25 oz),Discontinued,,Yes,Audio/video playerPhoto viewerOrganizer,No,,,No,128 x 160 pixels (~114 ppi density),,Up to 400 h,Yes,Karbonn
No,,VGA,,Up to 5 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k101+.jpg,Dual SIM (Mini-SIM),No,About 10 EUR,104 x 44.7 x 15.3 mm (4.09 x 1.76 x 0.60 in),Karbonn K101+ Media Champ,No,SMS,Yes,,0.95 W/kg (head),Yes,microUSB,Yes,"1.8 inches, 10.2 cm2(~21.9% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,500 entries,2012,"TFT, 65K colors",,Li-Ion 800 mAh battery,,No,,2.0,"FM radio, recording",,,,GSM,"Black, Black/Red",69 g (2.43 oz),Discontinued,,Yes,Audio/video playerPhoto viewerOrganizer,No,,,No,128 x 160 pixels (~114 ppi density),,Up to 240 h,Yes,Karbonn
No,,1.3 MP,,Up to 12 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k440.jpg,Dual SIM (Mini-SIM),No,About 30 EUR,119.5 x 54 x 13.5 mm (4.70 x 2.13 x 0.53 in),Karbonn K440,No,"SMS, MMS",Yes,,,Yes,microUSB,Yes,"2.6 inches, 20.9 cm2(~32.4% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,1000 entries,2012,"TFT, 256K colors",,Li-Ion 2100 mAh battery,,Yes,,2.0,"FM radio, recording",,,,GSM,"Black/White, Black/Red",-,Discontinued,,Yes,Audio/video playerPhoto viewerOrganizer,No,,,No,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",,Up to 800 h,Yes,Karbonn
,Dual-core 1.2 GHz,"5 MP, AF",4GB 512MB RAM,Up to 4 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-A9+.jpg,Dual SIM (Mini-SIM),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",About 120 EUR,120 x 60.5 x 11.3 mm (4.72 x 2.38 x 0.44 in),Karbonn A9+,No,,,Android 4.0 (Ice Cream Sandwich),,,microUSB 2.0,Yes,"4.0 inches, 45.5 cm2(~62.7% screen-to-body ratio)",HSPA 7.2/0.384 Mbps,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,2012,IPS LCD,,"Li-Ion 1420 mAh, removable",,,0.66 W/kg (head),2.0,FM radio,,LED flash,"Accelerometer, proximity",GSM / HSPA,Pearl White,-,Discontinued,1.3 MP,Yes,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 200 h,,Karbonn
No,,VGA,,Up to 3 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-k11+.jpg,Dual SIM (Mini-SIM),No,About 30 EUR,-,Karbonn K11+,No,SMS,Yes,,,Yes,microUSB,Yes,"2.4 inches, 17.8 cm2",,microSDHC (dedicated slot),,GSM 900 / 1800 - SIM 1 & SIM 2,No,300 entries,2012,"TFT, 65K colors",,"Li-Ion 1000 mAh, removable",,No,,2.0,FM radio,,,,GSM,"Black/Red, White/Black",61 g (2.15 oz),Discontinued,,Yes,Audio/video playerPhoto viewerOrganizer,No,,,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Up to 280 h,Yes,Karbonn
No,1.0 GHz,3.15 MP,"4GB (2.5GB user available), 512MB RAM",,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a15.jpg,Dual SIM (Mini-SIM),Wi-Fi 802.11 b/g/n,About 80 EUR,-,Karbonn A15,No,,,Android 4.0.4 (Ice Cream Sandwich),,,microUSB 2.0,Yes,"4.0 inches, 45.5 cm2",HSPA 7.2/0.384 Mbps,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,2012,TFT,,"Li-Ion 1420 mAh, removable",,,0.59 W/kg (head),2.0,FM radio,,,Accelerometer,GSM / HSPA,Black,-,Discontinued,,Yes,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 150 h,,Karbonn
,Dual-core 1.0 GHz,"8 MP, AF",4GB 512MB RAM,Up to 10 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a30.jpg,Dual SIM (Mini-SIM),"Wi-Fi 802.11 b/g/n, hotspot",About 160 EUR,166 x 91 x 10.7 mm (6.54 x 3.58 x 0.42 in),Karbonn A30,No,,,Android 4.0.4 (Ice Cream Sandwich),0.46 W/kg (head),,microUSB 2.0,Yes,"5.9 inches, 99.1 cm2(~65.6% screen-to-body ratio)",HSPA 7.2/0.384 Mbps,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,2012,"TFT, 256K colors",,Li-Ion 2500 mAh battery,,,,2.0,FM radio,,LED flash,Accelerometer,GSM / HSPA,Black/White,280 g (9.88 oz),Discontinued,1.3 MP,Yes,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~158 ppi density)",,Up to 600 h,,Karbonn
