,Chipset,Brand,Positioning,Loudspeaker_1,GPRS,_1,_3,Audio quality,Status,WLAN,Sensors,Loudspeaker,Resolution,Talk time,Weight,Video_1,CPU,Java,Type_1,Keyboard,3.5mm jack,Card slot,Browser,Internal,_2,Games,Single_1,Phonebook,Bluetooth,USB,Dimensions,Model Name,2G bands,Model Image,Stand-by,Price,Languages,Speed,Announced,Technology,SAR EU,EDGE,GPU,Infrared port,Features,Colors,OS,Type,Video,3G bands,Call records,SIM,Single,Radio,Messaging,Alert types,Size
Handwriting recognition,Qualcomm MSM7201A,O,"GPS, A-GPS",,,MP3/WAV/WMA playerMP4/WMV/3gp playerPocket OfficeVoice memoPredictive text input,,,Discontinued,Wi-Fi 802.11 b/g,Accelerometer,Yes,"480 x 640 pixels, 4:3 ratio (~286 ppi density)",Up to 8 h,165 g (5.82 oz),,528 MHz ARM 11,,Removable Li-Ion 1340 mAh battery,QWERTY,No,microSD (dedicated slot),"WAP 2.0/xHTML, HTML","288MB RAM, 512MB ROM",,,VGA videocall camera,,"2.0, A2DP",miniUSB,102 x 51 x 18.1 mm (4.02 x 2.01 x 0.71 in),O2 XDA Serra,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda_serra.jpg,Up to 406 h,,,HSPA 7.2/0.384 Mbps,"2008, July. Released 2008, September",GSM / HSPA,,,Adreno 130,,LED flash,Black,Microsoft Windows Mobile 6.1 Professional,"TFT resistive touchscreen, 65K colors",Yes,HSDPA 2100,,Mini-SIM,"3.15 MP, AF","Stereo FM radio, RDS",,,"2.8 inches, 24.3 cm2(~46.7% screen-to-body ratio)"
TouchFLO finger swipe navigationHandwriting recognition5-way navigation,Qualcomm MSM7225 Snapdragon S1,O,"GPS, A-GPS; TomTom NAVIGATOR 7",,,No,,,Discontinued,Wi-Fi 802.11 b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 6 h 30 min,102 g (3.60 oz),,528 MHz ARM 11,,Removable Li-Ion 1110 mAh battery,,No,"microSD (dedicated slot), 1 GB included","WAP 2.0/xHTML, HTML","256MB RAM, 512MB ROM",HTC FootprintsPocket OfficeVoice memoMP3/AAC player3GP/MP4/WMV/AVI playerPredictive text input,,,,"2.0, A2DP",miniUSB,102 x 53.5 x 14.5 mm (4.02 x 2.11 x 0.57 in),O2 XDA Guide,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-guide.jpg,Up to 400 h,,,HSPA,"2008, December. Released 2009, February",GSM / HSPA,,,No,,,Grey,Microsoft Windows Mobile 6.1 Professional,"TFT resistive touchscreen, 65K colors",CIF,HSDPA 2100,,Mini-SIM,3.15 MP,No,,,"2.8 inches, 24.3 cm2(~44.5% screen-to-body ratio)"
Handwriting recognition,,O,"GPS, A-GPS, SiRF Star III chipset",,,SiRF star III chipsetPocket OfficeVoice memoMP3 playerPredictive text input,,,Discontinued,Wi-Fi 802.11 b/g,,Yes,"480 x 640 pixels, 4:3 ratio (~286 ppi density)",Up to 5 h,102.5 g (3.60 oz),,624MHz Marvell TavorP,,Removable Li-Ion 1300 mAh battery,,No,microSDHC (dedicated slot),"WAP 2.0/xHTML, HTML","128MB RAM, 256MB ROM",,,VGA videocall camera,,"2.0, A2DP",miniUSB 1.1,102 x 60.5 x 16.5 mm (4.02 x 2.38 x 0.65 in),O2 XDA Zest,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-zest.jpg,Up to 260 h,,,HSPA 3.6/0.384 Mbps,"2008, October. Released 2008, November",GSM / HSPA,,,,,,Black,Microsoft Windows Mobile 6.1 Professional,"TFT resistive touchscreen, 65K colors",Yes,HSDPA 2100,,Mini-SIM,"3.15 MP, AF",No,,,"2.8 inches, 24.3 cm2(~39.3% screen-to-body ratio)"
TouchFLO 3D finger swipe navigationHandwriting recognition,Qualcomm MSM7201A,O,"GPS, A-GPS",,,Pocket OfficeVoice memoMP3 player,,,Discontinued,Wi-Fi 802.11 b/g,Accelerometer,Yes,"480 x 640 pixels, 4:3 ratio (~286 ppi density)",Up to 5 h 30 min,110 g (3.88 oz),,528 MHz ARM 11,,Removable Li-Ion 900 mAh battery,,No,No,"WAP 2.0/xHTML, HTML",4GB 192MB RAM,,,VGA videocall camera,,"2.0, A2DP",miniUSB,102 x 51 x 11.5 mm (4.02 x 2.01 x 0.45 in),O2 XDA Ignito,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-ignito.jpg,Up to 285 h,,,HSPA 7.2/0.384 Mbps,"2008, August. Released 2008, August",GSM / HSPA,,,Adreno 130,,,Black,Microsoft Windows Mobile 6.1 Professional,"TFT resistive touchscreen, 65K colors",CIF@30fps,HSDPA 2100,,Mini-SIM,"3.15 MP, AF","Stereo FM radio, RDS",,"Vibration; Downloadable polyphonic, MP3, WAV, WMA ringtones","2.8 inches, 24.3 cm2(~46.7% screen-to-body ratio)"
Handwriting recognition,Qualcomm MSM7200,O,"GPS, A-GPS",,,Pocket OfficeBusiness card readerVoice memoMedia Player 10,,,Cancelled,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 5 h,190 g (6.70 oz),,400 MHz ARM 11,,Removable Li-Ion 1350 mAh battery,QWERTY,No,microSD,"WAP 2.0/xHTML, HTML (PocketIE)","128MB RAM, 256MB ROM",,,VGA videocall camera,,2.0,2.0,112 x 59 x 18.6 mm (4.41 x 2.32 x 0.73 in),O2 XDA Stellar,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-stellar.jpg,Up to 365 h,,,HSPA 3.6/0.384 Mbps,"2007, November",GSM / HSPA,,,Adreno 130,,,Silver,Microsoft Windows Mobile 6.0 Professional,"TFT resistive touchscreen, 65K colors",Yes,HSDPA 850 / 1900 / 2100,,Mini-SIM,"3.15 MP, AF",No,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.8 inches, 24.3 cm2(~36.7% screen-to-body ratio)"
HSDPA 850 / 1900,Qualcomm MSM7200,O,"GPS, CoPilot Live Navigator",,,TouchFLO finger swipe navigationHandwriting recognition4-way navigation wheel,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 7 h (2G) / Up to 4 h (3G),130 g (4.59 oz),,400 MHz ARM 11,,Removable Li-Ion 1350 mAh battery,,No,"microSD (dedicated slot), SD 2.0 compatible","WAP 2.0/xHTML, HTML (PocketIE)","128MB RAM, 256MB ROM",Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/WAV/AMR-NBplayerPredictive text input,,VGA,,"2.0, A2DP",miniUSB,110 x 58 x 15.5 mm (4.33 x 2.28 x 0.61 in),O2 XDA Orbit II,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-orbit2-ofic.jpg,Up to 400 h (2G) / Up to 450 h (3G),,,HSPA 3.6/0.384 Mbps,"2007, November. Released 2008, February",GSM / HSPA,1.72 W/kg (head),,Adreno 130,,,Black,Microsoft Windows Mobile 6.0 Professional,"TFT resistive touchscreen, 65K colors",Yes,HSDPA 2100,,Mini-SIM,"3.15 MP, AF",FM radio,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones","2.8 inches, 24.3 cm2(~38.1% screen-to-body ratio)"
Handwriting recognition,,O,No,,,Pocket OfficeVoice memoMP3/AAC player,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~148 ppi density)",Up to 6 h,145 g (5.11 oz),,Intel XScale PXA 270 620 MHz,,Removable Li-Ion battery,,No,miniSD,"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 1GB ROM",,,VGA videocall camera,,1.2,miniUSB,106 x 58 x 19 mm (4.17 x 2.28 x 0.75 in),O2 XDA Comet,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-comet.jpg,Up to 200 h,,,HSPA,"2007, September",GSM / HSPA,,,,Yes,LED flash,Silver,Microsoft Windows Mobile 6.0 Professional,"TFT resistive touchscreen, 65K colors",Yes,HSDPA 1900 / 2100,,Mini-SIM,2 MP,"Stereo FM radio, RDS",,"Vibration; Downloadable polyphonic, MP3 ringtones","2.7 inches, 22.6 cm2(~36.7% screen-to-body ratio)"
TouchFLO finger swipe navigationHandwriting recognition5-way navigation,TI OMAP 850,O,No,,Class 10,No,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 3 h 30 min,120 g (4.23 oz),,200 MHz ARM926EJ-S,,Removable Li-Ion battery,,No,"microSD (dedicated slot), 1 GB included","WAP 2.0/xHTML, HTML (PocketIE)","128MB RAM, 256MB ROM",Pocket OfficeVoice memoMP3/AAC player,,,,2.0,miniUSB,100 x 58 x 14 mm (3.94 x 2.28 x 0.55 in),O2 XDA Nova,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-nova.jpg,Up to 200 h,About 520 EUR,,,"2007, June",GSM,,Yes,,,,"Soft Black, Wasabi Green",Microsoft Windows Mobile 6.0 Professional,"TFT resistive touchscreen, 65K colors",Yes,,,Mini-SIM,2 MP,No,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.8 inches, 24.3 cm2(~41.9% screen-to-body ratio)"
Handwriting recognition,TI OMAP 850,O,No,,Class 10,No,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~148 ppi density)",Up to 5 h,168 g (5.93 oz),,200 MHz ARM926EJ-S,,Removable Li-Ion battery,QWERTY,No,microSD (dedicated slot),"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 128MB ROM",Pocket OfficeVoice memoMP3/AAC player,,,,"2.0, A2DP",1.1,109 x 59 x 17 mm (4.29 x 2.32 x 0.67 in),O2 XDA Terra,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-terra.jpg,Up to 200 h,,,,"2007, March",GSM,,Class 10,,,,Black,Microsoft Windows Mobile 5.0 PocketPC,"TFT resistive touchscreen, 65K colors",QCIF,,,Mini-SIM,2 MP,No,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.7 inches, 42 x 57 mm, 22.6 cm2(~35.1% screen-to-body ratio)"
Handwriting recognition5-way navigation,,O,No,,Class 10,No,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~114 ppi density)",Up to 4 h,200 g (7.05 oz),,32-bit Samsung SC3 2442 400 MHz,,Removable Li-Ion 1300 mAh battery,,No,SD,"WAP 2.0/xHTML, HTML (PocketIE)","128MB RAM, 256MB ROM",Pocket OfficeVoice memoMP3/AAC player,,,,2.0,miniUSB,130 x 70 x 18.8 mm (5.12 x 2.76 x 0.74 in),O2 XDA Argon,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-argon.jpg,Up to 200 h,,,,"2007, May",GSM,,No,,Yes,,Silver,Microsoft Windows Mobile 5.0 PocketPC,"TFT resistive touchscreen, 65K colors",Yes,,,Mini-SIM,2 MP,No,,"Vibration; Downloadable polyphonic, MP3 ringtones","3.5 inches, 37.9 cm2(~41.7% screen-to-body ratio)"
TouchFLO finger swipe navigationHandwriting recognition,Qualcomm MSM7200,O,No,,,Pocket OfficeVoice memoMP3/AAC player,,,Cancelled,No,,Yes,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Up to 5 h,120 g (4.23 oz),,400 MHz ARM 11,,Removable Li-Ion 1120 mAh battery,Half-QWERTY,No,microSD,"WAP 2.0/xHTML, HTML (PocketIE)","96MB RAM, 128MB ROM",,,CIF videocall camera,,2.0,miniUSB,107 x 55 x 15.8 mm (4.21 x 2.17 x 0.62 in),O2 XDA Star,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-star.gif,Up to 250 h,,,HSPA 3.6/0.384 Mbps,"2007, October",GSM / HSPA,,,Adreno 130,,,Black,Microsoft Windows Mobile 6.0 Professional,"TFT resistive touchscreen, 65K colors",Yes,HSDPA 2100,,Mini-SIM,2 MP,No,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.6 inches, 20.9 cm2(~35.6% screen-to-body ratio)"
Hidden LED display on front shell,,O,No,Voice 65dB / Noise 65dB / Ring 78dB,,MP3/AAC/AAC+ playerPredictive text inputOrganizer,,Noise -80.1dB / Crosstalk -79.6dB,Discontinued,No,,Yes,"240 x 320 pixels, 4:3 ratio (~175 ppi density)",Up to 5 h,114 g (4.02 oz),,,Yes,Removable Li-Ion battery,,Yes,microSD (dedicated slot),"WAP 2.0/xHTML, HTML",2GB,,"Tetris, Ice Hockey, Sims2 + downloadable",Videocall camera,"1000 entries, Photocall","2.0, A2DP",2.0,94 x 49 x 21 mm (3.70 x 1.93 x 0.83 in),O2 Cocoon,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-cocoon.gif,Up to 350 h,,,"Yes, 384 kbps","2007, June",GSM / HSPA,,,,,LED flash,White,,"TFT, 256K colors",Yes,HSDPA 2100,"20 dialed, 20 received, 20 missed calls",Mini-SIM,"2 MP, AF","Stereo FM radio, RDS","SMS, MMS, Email","Vibration; Downloadable polyphonic, MP3 ringtones","2.28 inches, 16.1 cm2(~35.0% screen-to-body ratio)"
Handwriting recognition,,O,No,,,Pocket OfficeVoice memoMP3/AAC playerTV-out,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"480 x 640 pixels, 4:3 ratio (~222 ppi density)",Up to 6 h,190 g (6.70 oz),,Intel XScale PXA 270 520 MHz,,Removable Li-Po 1620 mAh battery,,No,microSD (dedicated slot),"WAP 2.0/xHTML, HTML (PocketIE)","128MB RAM, 2GB ROM",,,VGA videocall camera,,2.0,"miniUSB, OTG",126 x 74 x 17.5 mm (4.96 x 2.91 x 0.69 in),O2 XDA Flame,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-flame.gif,Up to 200 h,About 280 EUR,,"Yes, 384 kbps","2007, February",GSM / UMTS,,,,Yes,LED flash,Silver,Microsoft Windows Mobile 5.0 PocketPC,"TFT resistive touchscreen, 256K colors (65K effective)",Yes,UMTS 2100,,Mini-SIM,"2 MP, AF","Stereo FM radio, RDS",,"Vibration; Downloadable polyphonic, MP3 ringtones","3.6 inches, 40.1 cm2(~43.0% screen-to-body ratio)"
Handwriting recognition,,O,No,,,Pocket OfficeVoice memoMP3/AAC player,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~148 ppi density)",Up to 4 h,145 g (5.11 oz),,Intel XScale PXA 270 620 MHz,,Removable Li-Po 1530 mAh battery,,No,miniSD,"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 1GB ROM",,,VGA videocall camera,,1.2,miniUSB,106 x 58 x 18 mm (4.17 x 2.28 x 0.71 in),O2 XDA Atom Life,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-atom-life.gif,Up to 200 h,About 250 EUR,,HSPA,"2007, January",GSM / HSPA,,,,Yes,LED flash,Silver,Microsoft Windows Mobile 5.0 PocketPC,"TFT resistive touchscreen, 256K colors (65K effective)",Yes,HSDPA 1900 / 2100,,Mini-SIM,2 MP,"Stereo FM radio, RDS",,"Vibration; Downloadable polyphonic, MP3 ringtones","2.7 inches, 22.6 cm2(~36.7% screen-to-body ratio)"
Handwriting recognition,,O,No,,,Pocket OfficeVoice memoMP3/AAC player,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 5 h,175 g (6.17 oz),,Intel XScale PXA 270 520 MHz,,Removable Li-Ion 1300 mAh battery,QWERTY,No,miniSD,"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 128MB ROM",,,VGA videocall camera,,Yes,miniUSB,109 x 58 x 22.6 mm (4.29 x 2.28 x 0.89 in),O2 XDA Zinc,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-zinc.gif,Up to 220 h,About 240 EUR,,"Yes, 384 kbps","2006, December",GSM / UMTS,,,,Yes,LED flash,Silver,Microsoft Windows Mobile 5.0 PocketPC,"TFT resistive touchscreen, 65K colors",Yes,UMTS 2100,,Mini-SIM,2 MP,No,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.8 inches, 24.3 cm2(~38.4% screen-to-body ratio)"
Video telephonyMP3/WMA/WAV/AMR-NB/AAC playerPredictive text inputOrganizerVoice memo,,O,No,,,,,,Discontinued,Wi-Fi 802.11b/g,,"Yes, with stereo speakers","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 4 h,105 g (3.70 oz),,Intel XScale PXA 270 416 MHz,,Removable Li-Ion 1100 mAh battery,,No,microSD (dedicated slot),"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 128MB ROM",,,VGA videocall camera,,1.2,miniUSB,109.5 x 46.9 x 18 mm (4.31 x 1.85 x 0.71 in),O2 XDA Graphite,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-graphite.gif,Up to 200 h,About 290 EUR,,"Yes, 384 kbps","2006, December",GSM / UMTS,,,,,LED flash,,Microsoft Windows Mobile 5.0 Smartphone,"TFT, 65K colors",Yes,UMTS 2100,,Mini-SIM,2 MP,No,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.2 inches, 15.0 cm2(~29.2% screen-to-body ratio)"
Handwriting recognition,TI OMAP 850,O,"GPS, CoPilot Live Navigator",,Class 10,No,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 5 h,129 g (4.55 oz),,200 MHz ARM926EJ-S,,Removable Li-Ion battery,,No,microSD (dedicated slot),"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 128MB ROM",Pocket OfficeVoice memoMP3/AAC player,,,,2.0,Proprietary,108 x 58 x 16.8 mm (4.25 x 2.28 x 0.66 in),O2 XDA Orbit,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-orbit.gif,Up to 200 h,,,,"2006, September",GSM,,Class 10,,,,"Silver, Black",Microsoft Windows Mobile 5.0 PocketPC,"TFT resistive touchscreen, 65K colors",QCIF,,,Mini-SIM,2 MP,FM radio,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.8 inches, 24.3 cm2(~38.8% screen-to-body ratio)"
HTC JOGGR touch-sensitive navigation bar,TI OMAP 850,O,No,,Class 10,No,,,Discontinued,Wi-Fi 802.11b,,Yes,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 4 h,130 g (4.59 oz),,200 MHz ARM926EJ-S,,Removable Li-Ion battery,QWERTY,No,microSD (dedicated slot),"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 128MB ROM",MP3/AAC playerPocket OfficePredictive text inputOrganizer,,,,2.0,miniUSB,111 x 62 x 13 mm (4.37 x 2.44 x 0.51 in),O2 Cosmo,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-cosmo.gif,Up to 200 h,,,,"2006, September",GSM,,Class 10,,Yes,,,Microsoft Windows Mobile 5.0 Smartphone,"TFT, 65K colors",Yes,,,Mini-SIM,1.3 MP,No,,"Vibration; Downloadable polyphonic, MP3 ringtones, composer","2.4 inches, 50 x 37 mm, 17.8 cm2(~25.9% screen-to-body ratio)"
Handwriting recognition,,O,No,,Class 10,No,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 4 h 30 min,140 g (4.94 oz),,Intel XScale PXA 272 416 MHz,,Removable Li-Po 1300 mAh battery,,No,miniSD,"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 192MB ROM",Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPredictive text inputVoice dial,,,,1.2,miniUSB,110 x 53 x 22.5 mm (4.33 x 2.09 x 0.89 in),O2 XDA Stealth,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-stealth.gif,Up to 150 h,About 250 EUR,,,"2006, September",GSM,,No,,Yes,LED flash,Silver,Microsoft Windows Mobile 5.0 PocketPC,"TFT resistive touchscreen, 65K colors",Yes,,,Mini-SIM,"2 MP, AF",No,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.4 inches, 17.8 cm2(~30.6% screen-to-body ratio)"
