,Technology,Single,OS,_3,NFC,Features,Size,EDGE,SIM,Positioning,Dual,Status,Weight,Chipset,Announced,_2,Type_1,3G bands,Price,USB,Colors,Protection,Video_1,Video,Radio,Sensors,Internal,Card slot,Loudspeaker,Type,CPU,Triple,GPRS,WLAN,Bluetooth,Dimensions,Brand,Speed,Model Name,Resolution,2G bands,Model Image,3.5mm jack,_1,5G bands,4G bands,Charging,GPU,Single_1
,GSM / HSPA / LTE / 5G,"8 MP, (wide)","Android 14, Doke OS 4.0",,Yes,"LED flash, HDR, panorama","6.67 inches, 107.2 cm2(~86.1% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2024, October 21",200 g (7.05 oz),Unisoc T760 (6 nm),"2024, October 21",,5000 mAh,HSDPA 850 / 900 / 1900 / 2100,,"USB Type-C 2.0, OTG","Hurricane Black, Violet Blue",,1080p@30fps,"4K@30fps, 1080p@30fps",FM radio,"Fingerprint (side-mounted), accelerometer, proximity",256GB 8GB RAM,microSDXC (uses shared SIM slot),"Yes, with stereo speakers","IPS LCD, 90Hz, 700 nits",Octa-core (1x2.2 GHz Cortex-A76 & 3x Cortex-A76 & 4x Cortex-A55),"50 MP, (wide), PDAF2 MP, (macro)2 MP, (depth)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",164.8 x 75.6 x 8.7 mm (6.49 x 2.98 x 0.34 in),Oscal,"HSPA, LTE, 5G",Oscal Tiger 13,"720 x 1604 pixels, 20:9 ratio (~264 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oscal-tiger13.jpg,Yes,,"1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA","1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 28, 38, 39, 40, 41, 66",18W wired,Mali-G57,
Stylus support,GSM / HSPA / LTE,"12 MP, (wide), 1/2.55""","Android 14, DokeOS_P 4.0",,No,LED flash,"12.1 inches, 338.3 cm2(~105.0% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2024, May",587 g (1.29 lb),Mediatek Helio G99 (6 nm),"2024, May",,8800 mAh,HSDPA 900 / 2100,,"USB Type-C, OTG","Gray, White, Blue",,1080p@30fps,1080p@30fps,FM radio,"Accelerometer, proximity (accessories only), gyro",256GB 8GB RAM,microSDXC (uses shared SIM slot),"Yes, with stereo speakers (4 speakers)","IPS LCD, 120Hz, 600 nits",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",178.5 x 180.5 x 7.4 mm (7.03 x 7.11 x 0.29 in),Oscal,"HSPA, LTE",Oscal Elite 1,1080 x 2560 pixels (~230 ppi density),GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oscal-elite.jpg,No,UFS 2.1,,"1, 3, 7, 8, 19, 20, 28, 40, 41",33W wired,Mali-G57 MC2,13 MP
CDMA 800 / 1900,GSM / CDMA / HSPA / LTE,"32 MP, (wide)","Android 14, DokeOS 4.0",UFS 2.2,Yes,"LED flash, HDR, panorama","6.5 inches, 102.0 cm2(~68.8% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, BDS, GALILEO","50 MP, (wide), 1/1.57"", PDAF, OIS13 MP, 120˚, (ultrawide), AF","Available. Released 2024, May",368 g (12.98 oz),Mediatek Helio G99 (6 nm),"2024, May","Back display:1.3 inches, 360 x 360 pixels",8800 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"USB Type-C, OTG","Black, Green, Orange",Corning Gorilla Glass 5,1080p@30fps,"1440p@30fps, 1080p@30fps",FM radio,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",256GB 8GB RAM,microSDXC (uses shared SIM slot),Yes,"IPS LCD, 120Hz, 500 nits",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE",179.5 x 82.6 x 17 mm (7.07 x 3.25 x 0.67 in),Oscal,"HSPA, LTE",Oscal Pilot 2,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oscal-pilot2.jpg,No,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810H compliantDedicated flashlight (top mounted),,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 34, 38, 39, 40, 41, 66",45W wired5W reverse wired,Mali-G57 MC2,
,GSM / HSPA / LTE,"8 MP, (wide), 1/4.0""","Android 13, DokeOS 4",,No,"LED flash, HDR, panorama","6.75 inches, 110.0 cm2(~84.7% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","50 MP, f/1.8, 23mm (wide), 1/2.76"", PDAF2 MP, (depth)","Available. Released 2024, May",214 g (7.55 oz),Unisoc Tiger T616 (12 nm),"2024, May",,6000 mAh,HSDPA 900 / 2100,About 100 EUR,USB Type-C,"Wisteria Purple, Ripple Blue, Ash Gray",,Yes,1080p@30fps,Unspecified,"Fingerprint (side-mounted), accelerometer, proximity","128GB 8GB RAM, 256GB 8GB RAM",microSDXC (dedicated slot),Yes,"IPS LCD, 90Hz, 450 nits (typ)",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Yes,Yes,167.8 x 77.4 x 9.1 mm (6.61 x 3.05 x 0.36 in),Oscal,"HSPA, LTE",Oscal Modern 8,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oscal-modern-8.jpg,Yes,,,"1, 3, 7, 8, 19, 20, 28, 40, 41",18W wired,Mali-G57 MP1,
Stylus support,GSM / HSPA / LTE,"13 MP0.08 MP, (auxiliary lens)","Android 13, DokeOS_P 3.0",,No,LED flash,"10.5 inches, 319.7 cm2(~80.6% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2024, January",515 g (1.14 lb),Unisoc T606 (12 nm),"2024, January",,8200 mAh,HSDPA 900 / 2100,,"USB Type-C, OTG","Space Gray, Sierra Blue",,Yes,1080p@30fps,FM radio,"Accelerometer, proximity (accessories only)",256GB 8GB RAM,microSDXC (uses shared SIM slot),"Yes, with stereo speakers (4 speakers)",IPS LCD,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",246.6 x 160.8 x 7.4 mm (9.71 x 6.33 x 0.29 in),Oscal,"HSPA, LTE",Oscal Pad 16,"1200 x 1920 pixels, 16:10 ratio (~216 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad16.jpg,No,UFS,,"1, 3, 7, 8, 19, 20, 40",,Mali-G57 MP1,13 MP
Stylus support,GSM / HSPA / LTE,13 MP,"Android 13, DokeOS_P 3.0",,No,LED flash,"10.95 inches, 347.7 cm2(~80.4% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",13 MP2 MP,"Available. Released 2023, December",490 g (1.08 lb),Unisoc Tiger T616 (12 nm),"2023, December 05",,8800 mAh,HSDPA 900 / 2100,,"USB Type-C, OTG",Blue,,Yes,1080p@30fps,FM radio,"Accelerometer, proximity (accessories only)","256GB 8GB RAM, 256GB 12GB RAM",microSDXC (uses shared SIM slot),"Yes, with stereo speakers (4 speakers)",IPS LCD,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",256.8 x 168.3 x 7.4 mm (10.11 x 6.63 x 0.29 in),Oscal,"HSPA, LTE",Oscal Pad 18,"1200 x 1920 pixels, 16:10 ratio (~207 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-18.jpg,No,eMMC 5.1,,"1, 3, 7, 8, 19, 20, 40",18W wired,Mali-G57 MP1,
UFS 2.2,GSM / HSPA / LTE,"13 MP, (wide), 1/3"", 1.12µm","Android 13, Doke OS 4.0",,Yes,"LED flash, HDR, panorama","6.78 inches, 109.2 cm2(~84.6% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","64 MP, (wide), 1/1.97"", 0.7µm, PDAF2 MP, (depth)","Available. Released 2023, November",198.3 g (6.98 oz),Mediatek Helio G99 (6 nm),"2023, November 14",,5000 mAh,HSDPA 900 / 2100,About 190 EUR,"USB Type-C 2.0, OTG","Cerulean Blue, Flowing Purple, Cloudwing Grey",,1080p@30fps,"1440p@30fps, 1080p@30fps",FM radio,"Fingerprint (rear-mounted), accelerometer, proximity","128GB 8GB RAM, 256GB 12GB RAM",microSDXC (dedicated slot),Yes,"IPS LCD, 120Hz, 500 nits",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",168.5 x 76.6 x 8.4 mm (6.63 x 3.02 x 0.33 in),Oscal,"HSPA, LTE",Oscal Tiger 12,1080 x 2460 pixels (~396 ppi density),GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-tiger12.jpg,Yes,,,"1, 3, 7, 8, 19, 20, 28, 40, 41",33W wired,Mali-G57 MC2,
UFS 2.1,GSM / HSPA / LTE,8 MP,"Android 13, Doke OS 4.0",,No,"LED flash, HDR, panorama","6.6 inches, 104.6 cm2(~85.3% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","50 MP, (wide), 1/2.76, 0.64µm, PDAF2 MP, (depth)","Available. Released 2023, November",195 g (6.88 oz),Unisoc T606 (12 nm),"2023, November",,5180 mAh,HSDPA 900 / 2100,,"USB Type-C, OTG","Dim Forest Green, Summer Sky Blue, Stardust Grey",,1080p@30fps,1080p@30fps,FM radio,"Fingerprint (side-mounted), accelerometer, proximity",256GB 8GB RAM,microSDXC (uses shared SIM slot),Yes,"IPS LCD, 90Hz, 400 nits",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",163.2 x 75.2 x 8.8 mm (6.43 x 2.96 x 0.35 in),Oscal,"HSPA, LTE",Oscal Tiger 10,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-tiger10.jpg,Yes,,,"1, 3, 7, 8, 19, 20, 40",,Mali-G57 MP1,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,8 MP,"Android 12, Doke OS 3.1",,Yes,LED flash,"6.1 inches, 91.3 cm2(~72.9% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, August",273 g (9.63 oz),Mediatek MT6765 Helio P35 (12 nm),"2023, August",,6580 mAh,HSDPA 900 / 2100,,"USB Type-C, OTG","Black, Orange, Green",,1080p@30fps,1080p@30fps,FM radio,"Accelerometer, proximity, compass",64GB 4GB RAM,microSDXC (dedicated slot),Yes,IPS LCD,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),13 MPother unspecified cameras,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",161.5 x 77.6 x 15 mm (6.36 x 3.06 x 0.59 in),Oscal,"HSPA, LTE",Oscal S70 Pro,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-s70-pro.jpg,No,eMMC 5.1,,"1, 3, 7, 8, 19, 20, 28, 40",10W wiredReverse wired,PowerVR GE8320,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliantStylus support,GSM / HSPA / LTE,16 MP,"Android 13, Doke OS_P 3.0",,No,LED flash,"10.1 inches, 295.8 cm2(~69.2% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",13 MPsecondary unspecified camera,"Available. Released 2023, August",854 g (1.88 lb),Unisoc Tiger T616 (12 nm),"2023, August",,13000 mAh,HSDPA 900 / 2100,About 220 EUR,"USB Type-C, OTG","Black, Orange",Corning Gorilla Glass 5,Yes,1080p@30fps,FM Radio,"Accelerometer, gyro, proximity, compass",128GB 8GB RAM,microSDXC (uses shared SIM slot),"Yes, with stereo speakers",IPS LCD,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP",251.3 x 170.1 x 14.9 mm (9.89 x 6.70 x 0.59 in),Oscal,"HSPA, LTE",Oscal Spider 8,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-spider8.jpg,No,,,"1, 3, 7, 8, 20, 34, 38, 39, 40, 41",33W wired5W reverse wired,Mali-G57 MP1,
Stylus support,GSM / HSPA / LTE,13 MP,"Android 13, DokeOS_P 3.0",,No,,"10.36 inches, 305.5 cm2(~79.3% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, September",449 g (15.84 oz),Unisoc T606 (12 nm),"2023, September",,8280 mAh,HSDPA 900 / 2100,,"USB Type-C, OTG","Green, Gray",,Yes,1080p@30fps,FM radio,"Accelerometer, proximity (accessories only)",256GB 8GB RAM,microSDXC (uses shared SIM slot),"Yes, with stereo speakers",IPS LCD,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",246.5 x 156.3 x 7.6 mm (9.70 x 6.15 x 0.30 in),Oscal,"HSPA, LTE",Oscal Pad 15,"1200 x 2000 pixels, 5:3 ratio (~225 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-pad-15.jpg,Yes,UFS 2.1,,"1, 3, 7, 8, 20, 40",10W wired,Mali-G57 MP1,16 MP
eMMC 5.1,GSM / HSPA / LTE,8 MP,"Android 12, DokeOS 3",,No,LED flash,"6.5 inches, 102.0 cm2(~80.6% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, June",194.6 g (6.88 oz),Mediatek MT6765 Helio G35 (12 nm),"2023, June",,5080 mAh,HSDPA 900 / 2100,About 120 EUR,"USB Type-C 2.0, OTG","Shadow Black, Starry Night Blue, Streaming Green",,Yes,1080p@30fps,FM radio,"Fingerprint (side-mounted), accelerometer, proximity",64GB 4GB RAM,microSDXC (dedicated slot),Yes,"IPS LCD, 500 nits",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),"12 MP, (wide), 1/2.55"", PDAFother unspecified cameras",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",164.6 x 76.9 x 9.4 mm (6.48 x 3.03 x 0.37 in),Oscal,"HSPA, LTE",Oscal C30 Pro,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-c30-pro.jpg,Yes,,,"1, 3, 7, 8, 19, 20, 28, 40",10W wired,PowerVR GE8320,
eMMC 5.1,No cellular connectivity,13 MP,"Android 12, DokeOS_P 3.0",,No,LED flash,"10.1 inches, 295.8 cm2(~73.6% screen-to-body ratio)",No,No,No,,"Available. Released 2023, July",520.5 g (1.15 lb),,"2023, July",,6580 mAh,N/A,About 90 EUR,"USB Type-C 2.0, OTG","Misty Blue, Meteorite Grey",,Yes,1080p@30fps,No,"Accelerometer, proximity (accessories only)","64GB 4GB RAM, 128GB 4GB RAM",microSDXC,"Yes, with stereo speakers",IPS LCD,Quad-core,,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.0, A2DP, LE",246.5 x 163 x 9.9 mm (9.70 x 6.42 x 0.39 in),Oscal,,Oscal Pad 70,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",N/A,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-70.jpg,Yes,,,N/A,10W wired,,8 MP
eMMC 5.1,No cellular connectivity,5 MP,"Android 12, DokeOS_P 3.0",,No,LED flash,"10.1 inches, 295.8 cm2(~73.6% screen-to-body ratio)",No,No,No,,"Available. Released 2023, July",537 g (1.18 lb),,"2023, July",,6580 mAh,N/A,About 100 EUR,"USB Type-C 2.0, OTG","Misty Blue, Meteorite Grey",,Yes,Yes,No,Accelerometer,64GB 3GB RAM,microSDXC,"Yes, with stereo speakers",IPS LCD,Quad-core,,No,Wi-Fi 802.11 b/g/n,4.1,246.5 x 163 x 9.9 mm (9.70 x 6.42 x 0.39 in),Oscal,,Oscal Pad 60,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",N/A,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-60.jpg,No,,,N/A,10W wired,,2 MP
UFS 2.1,GSM / HSPA / LTE,8 MP,"Android 12, Doke-OS 3.1",,No,"LED flash, HDR, panorama","6.56 inches, 103.9 cm2(~84.7% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","50 MP, (wide), 1/2.76"", 0.64µm, PDAF2 MP, (depth)","Available. Released 2023, May",192 g (6.77 oz),Unisoc T606 (12 nm),"2023, April 20",,5180 mAh,HSDPA 900 / 2100,About 80 EUR,"USB Type-C, OTG","Dim Forest Green, Summer Sky Blue, Stardust Grey",,1080p@30fps,1080p@30fps,FM radio,"Fingerprint (side-mounted), unspecified sensors",128GB 6GB RAM,microSDXC (uses shared SIM slot),Yes,IPS LCD,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",163.2 x 75.2 x 8.8 mm (6.43 x 2.96 x 0.35 in),Oscal,"HSPA, LTE",Oscal C70,"720 x 1600 pixels, 20:9 ratio (~267 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-c70.jpg,Yes,,,"1, 3, 7, 8, 19, 20, 40",,Mali-G57 MP1,
,GSM / HSPA / LTE,13 MP,"Android 12, Doke-OS 3.0",,No,LED flash,"10.1 inches, 295.8 cm2(~78.3% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, April 17",435 g (15.34 oz),Unisoc T606 (12 nm),"2023, April 12",,7680 mAh,HSDPA 900 / 2100,About 130 EUR,"USB Type-C, OTG","Glacier Blue, Space Grey",,Yes,1080p@30fps,FM radio,Unspecified,256GB 8GB RAM,microSDXC (uses shared SIM slot),"Yes, with dual speakers",IPS LCD,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",239.2 x 158 x 7.6 mm (9.42 x 6.22 x 0.30 in),Oscal,"HSPA, LTE",Oscal Pad 13,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-13.jpg,No,,,"1, 3, 7, 8, 20, 40",,Mali-G57 MP1,"8 MP, 1/4.0"", 1.12µm"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,8 MP,"Android 12, Doke-OS 3.0",,Yes,"LED flash, HDR, panorama","6.58 inches, 104.3 cm2(~73.6% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, February 13",460 g (1.01 lb),Mediatek MT6769 Helio G85 (12 nm),"2023, January 03",,13000 mAh,HSDPA 900 / 2100,About 170 EUR,"USB Type-C, OTG","Navy Green, Mecha Orange, Conquest Black",,1080p@30fps,"1440p@30fps, 1080p@30fps",FM radio,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",128GB 6GB RAM,microSDXC (uses shared SIM slot),Yes,IPS LCD,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"12 MP, f/2.0, (wide), 1/2.55"", PDAF8 MP, 117˚ (ultrawide)2 MP, (depth)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",174 x 81.4 x 18.9 mm (6.85 x 3.20 x 0.74 in),Oscal,"HSPA, LTE",Oscal S80,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-s80.jpg,Unspecified,eMMC 5.1,,"1, 3, 7, 8, 20, 40","33W wired, 51% in 66 minReverse charging",Mali-G52 MC2,
,GSM / HSPA / LTE,13 MP,"Android 12, Doke-OS 3.0",,No,LED flash,"10.1 inches, 295.8 cm2(~76.6% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, January 09",536 g (1.18 lb),Unisoc T606 (12 nm),"2022, December 29",,6580 mAh,HSDPA 900 / 2100,About 130 EUR,"USB Type-C, OTG","Mint Green, Moonlight Silver, Diamond Grey",,Yes,1080p@30fps,FM radio,Unspecified,128GB 8GB RAM,microSDXC (uses shared SIM slot),"Yes, with dual speakers",IPS LCD,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",241.3 x 160 x 8.9 mm (9.50 x 6.30 x 0.35 in),Oscal,"HSPA, LTE",Oscal Pad 10,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-10.jpg,Yes,,,"1, 3, 7, 8, 19, 20, 28, 40",10W wired,Mali-G57 MP1,"8 MP, 1/4.0"", 1.12µm"
UFS 2.1,GSM / HSPA / LTE,8 MP,"Android 12, Doke-OS 3.0",,No,"LED flash, HDR, panorama","6.5 inches, 102.0 cm2(~81.7% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","50 MP, (wide), 1.2µm, PDAF0.3 MP, (depth)","Available. Released 2022, September 14",188 g (6.63 oz),Unisoc T606 (12 nm),"2022, September 07",,5180 mAh,HSDPA 900 / 2100,About 130 EUR,"USB Type-C, OTG","Early Sunny Snow, Midnight Black, Navy Blue",,1080p@30fps,1080p@30fps,FM radio,"Fingerprint (side-mounted), accelerometer, gyro, compass",128GB 8GB RAM,microSDXC (uses shared SIM slot),Yes,"IPS LCD, 90Hz",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",164.2 x 76 x 8.6 mm (6.46 x 2.99 x 0.34 in),Oscal,"HSPA, LTE",Oscal C80,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-c80.jpg,Yes,,,"1, 3, 7, 8, 20, 40",18W wired,Mali-G57 MP1,
