,Features,CPU,4G bands,Single_1,Stand-by,Loudspeaker,Bluetooth,Games,OS,_2,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,2G bands,Features_1,Resolution,Talk time,Card slot,Languages,Speed,NFC,Build,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Video,Type_1,_4,Sensors,Java
,"LED flash, panorama, HDR",Dual-core 1.2 GHz Cortex-A7,,1.3 MP,Up to 860 h,Yes,"4.0, A2DP",,Android 4.2.2 (Jelly Bean),,,Yes,,Dual SIM,"5 MP, AF",109 g (3.84 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,face detection,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 18 h,microSDHC,,,No,,"2014, May. Released 2014, August",,GSM,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-x500.jpg,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",Plum Sync 5.0,,"Black/Gold, White/Silver, Pink/Silver, Blue/Silver",TFT,,Class 12,145.6 x 71.2 x 9.6 mm (5.73 x 2.80 x 0.38 in),4GB 512MB RAM,microUSB 2.0,Class 12,GPS,FM radio,,,720p@30fps,"Li-Ion 1900 mAh, removable",,"Accelerometer, gyro, proximity",
,"LED flash, panorama, HDR",Dual-core 1.2 GHz Cortex-A7,,1.3 MP,Up to 760 h,Yes,"4.0, A2DP",,Android 4.4 (KitKat),,,Yes,,Dual SIM,"5 MP, AF",97 g (3.42 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,face detection,"480 x 854 pixels, 16:9 ratio (~245 ppi density)",Up to 14 h,microSDHC,,,No,,"2014, May. Released 2014, August",,GSM,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-x400.jpg,"4.0 inches, 44.1 cm2(~57.6% screen-to-body ratio)",Plum Sync 4.0,,"Black, White, Red, Blue",TFT,,Class 12,120.4 x 63.6 x 9.8 mm (4.74 x 2.50 x 0.39 in),512MB 256MB RAM,microUSB 2.0,Class 12,GPS,FM radio,,,720p@30fps,"Li-Ion 1200 mAh, removable",,"Accelerometer, gyro, proximity",
,"LED flash, panorama, HDR",Dual-core 1.2 GHz Cortex-A7,,1.3 MP,Up to 780 h,Yes,"4.0, A2DP",,Android 4.2.2 (Jelly Bean),,,Yes,,Dual SIM,"1.3 MP, AF",93 g (3.28 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 14 h,microSDHC,,,No,,"2014, August. Released 2014, August",,GSM,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-x350.jpg,"3.5 inches, 36.5 cm2(~54.8% screen-to-body ratio)",Plum Sync 3.5,,"Black, White, Red, Blue, Pink",TFT,,Class 12,118.4 x 56.2 x 9.8 mm (4.66 x 2.21 x 0.39 in),512MB 256MB RAM,microUSB,Class 12,GPS,FM radio,,,Yes,"Li-Ion 1350 mAh, removable",,"Accelerometer, gyro, proximity",
,"LED flash, panorama, HDR",Quad-core 1.3 GHz Cortex-A7,,1.3 MP,Up to 780 h (2G) / Up to 690 h (3G),Yes,"4.0, A2DP",,Android 4.4.2 (KitKat),,,Yes,,Dual SIM,"8 MP, AF",164 g (5.78 oz),Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,face detection,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 14 h (2G) / Up to 8 h (3G),microSDXC,,HSPA 21.1/5.76 Mbps,No,,"2014, May. Released 2014, August",,GSM / HSPA,,Plum,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-z514.jpg,"5.0 inches, 68.9 cm2(~67.7% screen-to-body ratio)",Plum Might Pro,,"Black, White, Red, Blue",IPS LCD,,,143.4 x 71 x 8.4 mm (5.65 x 2.80 x 0.33 in),16GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900,,720p@30fps,"Li-Ion 2200 mAh, removable",,"Accelerometer, gyro, proximity",
,"LED flash, panorama, HDR",Quad-core 1.3 GHz Cortex-A7,,1.3 MP,Up to 780 h (2G) / Up to 690 h (3G),Yes,"4.0, A2DP",,Android 4.4.2 (KitKat),,,Yes,,Dual SIM,"8 MP, AF",156 g (5.50 oz),Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,face detection,"720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Up to 16 h (2G) / Up to 8 h (3G),microSDXC,,HSPA 21.1/5.76 Mbps,No,,"2014, May. Released 2014, August",,GSM / HSPA,,Plum,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-z621.jpg,"6.0 inches, 99.2 cm2(~85.0% screen-to-body ratio)",Plum Coach Plus II,,"Black, White",IPS LCD,,,157.8 x 74 x 9.9 mm (6.21 x 2.91 x 0.39 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900,,1080p@30fps,"Li-Ion 2400 mAh, removable",,"Accelerometer, gyro, proximity",
,"Panorama, HDR",Quad-core 1.8 GHz,,2 MP,Up to 780 h,Yes,No,,Android 4.4.2 (KitKat),,,Yes,,No,"5 MP, AF",246 g (8.68 oz),Rockchip RK3188,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,N/A,face detection,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Up to 11 h,microSDXC (dedicated slot),,,No,,"2014, May. Released 2014, August",,No cellular connectivity,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-z702.jpg,"7.0 inches, 137.9 cm2(~60.9% screen-to-body ratio)",Plum Link Plus,,"Black, White",IPS LCD,,No,190.4 x 119 x 7.9 mm (7.50 x 4.69 x 0.31 in),8GB 1GB RAM,microUSB 2.0,No,GPS,No,,,1080p@30fps,"Li-Ion 2800 mAh, non-removable",,"Accelerometer, gyro",
,"LED flash, panorama",Dual-core 1.3 GHz Cortex-A7,,1.3 MP,Up to 650 h (2G) / Up to 540 h (3G),Yes,"4.0, A2DP",,Android 4.2.2 (Jelly Bean),,,Yes,,Dual SIM (Dual stand-by),"5 MP, AF",120 g (4.23 oz),Mediatek MT6572 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,face detection,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 12 h (2G) / Up to 11 h (3G),microSDHC,,HSPA 21.1/5.76 Mbps,No,,"2014, May. Released 2014, May",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-trigger-plus.jpg,"3.5 inches, 36.5 cm2(~49.5% screen-to-body ratio)",Plum Trigger Plus,,"Black, White, Blue, Red, Pink","TFT, 256K colors",,,118 x 62.4 x 11.5 mm (4.65 x 2.46 x 0.45 in),2GB 256MB RAM,microUSB,,GPS,FM radio,HSDPA 850 / 1900,,720p@30fps,"Li-Ion 1100 mAh, removable",,"Accelerometer, gyro, proximity",
,"LED flash, panorama",Dual-core 1.2 GHz Cortex-A7,,1.3 MP,Up to 750 h (2G) / Up to 650 h (3G),Yes,"4.0, A2DP",,Android 4.2 (Jelly Bean),,,Yes,,Dual SIM (Dual stand-by),"5 MP, AF",107 g (3.77 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,face detection,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 17 h (2G) / Up to 14 h (3G),microSDHC,,HSPA 21.1/5.76 Mbps,No,,"2014, May. Released 2014, May",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-trigger-pro.jpg,"3.5 inches, 36.5 cm2(~52.5% screen-to-body ratio)",Plum Trigger Pro,,"Black, White, Red, Blue",IPS LCD,,,114.8 x 60.5 x 12.2 mm (4.52 x 2.38 x 0.48 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900,,720p@30fps,"Li-Ion 1350 mAh, removable",,"Accelerometer, gyro, proximity",
IP67 dust/water resistant (up to 1m for 30 min)Water resistant up to 1 meter and 30 minutes,"LED flash, panorama, HDR",Dual-core 1.3 GHz Cortex-A7,,1.3 MP,Up to 900 h (2G) / Up to 850 h (3G),Yes,"4.0, A2DP",,"Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",,,Yes,,Dual SIM,"5 MP, AF",207 g (7.30 oz),Mediatek MT6572A,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",Up to 22 h (2G) / Up to 18 h 30 min (3G),microSDHC,,HSPA 21.1/5.76 Mbps,No,,"2014, May. Released 2014, July",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-alligator1.jpg,"3.5 inches, 34.9 cm2(~37.8% screen-to-body ratio)",Plum Gator,,"Black, Red",IPS LCD,,,131.8 x 70 x 21.7 mm (5.19 x 2.76 x 0.85 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,1080p@30fps,"Li-Ion 3600 mAh, removable",,"Accelerometer, gyro, proximity",
,"LED flash, panorama, HDR",Dual-core 1.3 GHz Cortex-A7,,2 MP,Up to 950 h (2G) / Up to 850 h (3G),Yes,"4.0, A2DP",,Android 4.2.2 (Jelly Bean),,,Yes,,Dual SIM,"8 MP, AF",-,Mediatek MT8312 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,face detection,"1024 x 600 pixels, 16:9 ratio (~170 ppi density)",Up to 24 h (2G) / Up to 22 h (3G),microSDHC,,HSPA 21.1/11.5 Mbps,No,,"2014, May. Released 2014, May",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-z708.jpg,"7.0 inches, 137.9 cm2(~62.2% screen-to-body ratio)",Plum Z708,,White,IPS LCD,,,191 x 116 x 7.9 mm (7.52 x 4.57 x 0.31 in),16GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,,1080p@30fps,"Li-Ion 3000 mAh, non-removable",,"Accelerometer, gyro, proximity",
,"LED flash, panorama, HDR",Dual-core 1.2 GHz Cortex-A7,,2 MP,Up to 750 h (2G) / Up to 650 h (3G),Yes,"4.0, A2DP",,Android 4.2.2 (Jelly Bean),,,Yes,,Dual SIM,"8 MP, AF",250 g (8.82 oz),Mediatek MT8312 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,face detection,"540 x 960 pixels, 16:9 ratio (~184 ppi density)",Up to 17 h (2G) / Up to 8 h 30 min (3G),microSDXC,,HSPA 21.1/5.76 Mbps,No,,"2014, May. Released 2014, May",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/Plum-Coach-Plus.jpg,"6.0 inches, 99.2 cm2(~67.1% screen-to-body ratio)",Plum Coach Plus,,"Black, White",IPS LCD,,,168 x 88 x 11.2 mm (6.61 x 3.46 x 0.44 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,1080p@30fps,"Li-Ion 2600 mAh, removable",,"Accelerometer, gyro, proximity",
,"LED flash, panorama, HDR",Quad-core 1.3 GHz Cortex-A7,,"2 MP, AF",Up to 900 h (2G) / Up to 750 h (3G),Yes,"4.0, A2DP",,Android 4.4.2 (KitKat),,,Yes,,Dual SIM,"8 MP, AF",143 g (5.04 oz),Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"540 x 960 pixels, 16:9 ratio (~200 ppi density)",Up to 20 h (2G) / Up to 15 h (3G),microSDXC,,HSPA 21.1/11.5 Mbps,No,,"2014, May. Released 2014, May",,GSM / HSPA,,Plum,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-pilot-plus1.jpg,"5.5 inches, 83.4 cm2(~73.9% screen-to-body ratio)",Plum Pilot Plus,,"Black, White",IPS LCD,,,147.5 x 76.5 x 8.3 mm (5.81 x 3.01 x 0.33 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900,,1080p@30fps,"Li-Ion 2200 mAh, removable",,"Accelerometer, gyro, proximity",
HSDPA 850 / 1700 / 1900 - Z512a,"LED flash, panorama, HDR",Dual-core 1.3 GHz Cortex-A7,,2 MP,Up to 900 h (2G) / Up to 750 h (3G),Yes,"4.0, A2DP",,Android 4.2.2 (Jelly Bean),,,Yes,,Dual SIM,"8 MP, AF",175 g (6.17 oz),Mediatek MT6572A,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,face detection,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 24 h (2G) / Up to 14 h (3G),microSDXC,,HSPA 21.1/5.76 Mbps,No,,"2014, May. Released 2014, May",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/Plum-Might-Plus.jpg,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",Plum Might Plus,,White,IPS LCD,,,145 x 72.8 x 9.2 mm (5.71 x 2.87 x 0.36 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100 - Z512i,,Yes,"Li-Ion 2000 mAh, removable",,"Accelerometer, gyro, proximity",
,"LED flash, panorama, HDR",Dual-core 1.2 GHz Cortex-A7,,"2 MP, AF",Up to 750 h (2G) / Up to 650 h (3G),Yes,"4.0, A2DP",,Android 4.2.2 (Jelly Bean),,,Yes,,Dual SIM,"5 MP, AF",142 g (5.01 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Up to 17 h (2G) / Up to 14 h (3G),microSDXC,,HSPA 21.1/5.76 Mbps,No,,"2014, May. Released 2014, May",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/Plum-Check-Plus.jpg,"4.5 inches, 55.8 cm2(~67.7% screen-to-body ratio)",Plum Check Plus,,"White/Blue, White/Red, Black/Black, Black/Lime, Black/Red",IPS LCD,,,130 x 63.4 x 9.2 mm (5.12 x 2.50 x 0.36 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900,,720p@30fps,"Li-Ion 1500 mAh, removable",,"Accelerometer, gyro, proximity",
,"LED flash, panorama, HDR",Dual-core 1.2 GHz Cortex-A7,,1.3 MP,Up to 750 h (2G) / Up to 650 h (3G),Yes,"4.0, A2DP",,Android 4.2.2 (Jelly Bean),,,Yes,,Dual SIM,"5 MP, AF",112 g (3.95 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,face detection,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 12 h (2G) / Up to 7 h 30 min (3G),microSDHC,,HSPA 21.1/5.76 Mbps,No,,"2014, May. Released 2014, May",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/Plum-Axe-Plus.jpg,"4.0 inches, 45.5 cm2(~54.2% screen-to-body ratio)",Plum Axe Plus,,"Black, White, Blue, Red",TFT,,,129 x 65.1 x 9.9 mm (5.08 x 2.56 x 0.39 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900,,720p@30fps,"Li-Ion 1200 mAh, removable",,"Accelerometer, gyro, proximity",
No,,360 MHz,,,Up to 48 h,Yes,2.0,Yes,,,,Yes,,Dual SIM,1.3 MP,82 g (2.89 oz),Mediatek MT6260A,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,128 x 160 pixels (~116 ppi density),Up to 3 h 30 min,microSDHC,,,No,,"2014, May. Released 2014, May",,GSM,Audio/video playerOrganizerCalculator,Plum,,No,https://fdn2.gsmarena.com/vv/bigpic/plum-boot.jpg,"1.77 inches, 9.9 cm2(~24.9% screen-to-body ratio)",Plum Boot,"SMS, MMS","Black, Blue, Red, Pink",TFT,Yes,Yes,90 x 44 x 18.2 mm (3.54 x 1.73 x 0.72 in),"64MB ROM, 64MB RAM",microUSB,No,No,FM radio,,,Yes,"Li-Ion 600 mAh, removable",,,No
Flashlight,,,,,Up to 200 h,Yes,3.0,,,MP3/WAV/eAAC+ playerPhoto viewer/editor,,Yes,,Dual SIM,1.3 MP,46 g (1.62 oz),Spreadtrum 6531,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,128 x 160 pixels (~116 ppi density),Up to 3 h,microSDHC,,,No,,"2014, May. Released 2014, May",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-slick.jpg,"1.77 inches, 9.9 cm2(~19.3% screen-to-body ratio)",Plum Slick,"SMS, MMS","Black, White, Red, Blue","TFT, 65K colors",Yes,Class 12,111 x 46 x 15 mm (4.37 x 1.81 x 0.59 in),"32MB ROM, 32MB RAM",microUSB,No,No,"FM radio, built-in antenna",,,Yes,"Li-Ion 800 mAh, removable",,,No
,,Dual-core 1.2 GHz,,5 MP,Up to 270 h,Yes,"4.0, A2DP",,Android 4.0 (Ice Cream Sandwich),,,Yes,,Dual SIM (Dual stand-by),5 MP,92 g (3.25 oz),,,Discontinued,Wi-Fi 802.11 b/g/n,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 7 h,microSDHC (dedicated slot),,"Yes, 384 kbps",No,,2013. Released 2013,,GSM / HSPA,,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-trigger-z104.jpg,"3.5 inches, 36.5 cm2(~50.7% screen-to-body ratio)",Plum Trigger Z104,,"Black, White",TFT,,,117 x 61.5 x 11.6 mm (4.61 x 2.42 x 0.46 in),512MB 256MB RAM,microUSB,,No,Stereo FM radio,HSDPA 850 / 1900,,Yes,"Li-Ion 1350 mAh, removable",,"Accelerometer, proximity",
No,,,,,Up to 200 h,Yes,2.0,No,,,,Yes,,Mini-SIM,1.3 MP,79 g (2.79 oz),Spreadtrum 7701,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,128 x 160 pixels (~116 ppi density),Up to 3 h,microSDHC (dedicated slot),,"Yes, 384 kbps",No,,"2013, September. Released 2013, September",,GSM / HSPA,SNS appsMP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerVoice memo/dialPredictive text input,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-bar-3g.jpg,"1.77 inches, 9.9 cm2(~19.6% screen-to-body ratio)",Plum Bar 3G,"SMS(threaded view), MMS, Email, Push Email, IM","Black, White, Blue, Red","TFT, 256K colors",Yes,,108.5 x 46.3 x 13.1 mm (4.27 x 1.82 x 0.52 in),128MB 64MB RAM,microUSB,,No,FM radio,HSDPA 850 / 1900,,Yes,"Li-Ion 800 mAh, removable",,,
,LED flash,1.0 GHz Cortex-A9,,1.3 MP,Up to 200 h,Yes,2.0,,Android 4.0 (Ice Cream Sandwich),,,No,QWERTY,Dual SIM,5 MP,190 g (6.70 oz),Mediatek MT6575M (65 nm),,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~222 ppi density)",Up to 5 h,microSDHC (dedicated slot),,"Yes, 384 kbps",No,,"2013, September. Released 2013, September",,GSM / HSPA,,Plum,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/plum-velocity-ii.jpg,"2.6 inches, 20.1 cm2(~28.2% screen-to-body ratio)",Plum Velocity II,,"Black, White, Blue, Red","TFT, 256K colors",,,110.5 x 64.5 x 12.4 mm (4.35 x 2.54 x 0.49 in),512MB 512MB RAM,microUSB,,GPS,Stereo FM radio,HSDPA 850 / 1900,,Yes,"Li-Ion 1200 mAh, removable",,Accelerometer,
,,Dual-core 1.0 GHz Cortex-A7,,5 MP,Up to 180 h,Yes,"2.1, A2DP, EDR",,Android 4.2 (Jelly Bean),,,Yes,,Dual SIM,5 MP,110 g (3.88 oz),Mediatek MT6572 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 4 h,microSDHC (dedicated slot),,,No,,"2013, September. Released 2013, October",,GSM,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-sync.jpg,"3.5 inches, 36.5 cm2(~49.5% screen-to-body ratio)",Plum Sync,,"Black, White","TFT, 256K colors",,Class 12,118 x 62.4 x 11.5 mm (4.65 x 2.46 x 0.45 in),512MB 256MB RAM,microUSB,Class 12,GPS,Stereo FM radio,,,Yes,"Li-Ion 1100 mAh, removable",,"Accelerometer, proximity, compass",
,LED flash,Dual-core 1.2 GHz Cortex-A7,,1.3 MP,Up to 200 h,Yes,"2.1, A2DP, EDR",,Android 4.2 (Jelly Bean),,,Yes,,Dual SIM,"5 MP, AF",110 g (3.88 oz),Mediatek MT6572AW,,Discontinued,Wi-Fi 802.11 b/g/n,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 5 h,microSDHC (dedicated slot),,HSPA 21.1/5.76 Mbps,No,,"2013, October. Released 2013, October",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-axe-2.jpg,"4.0 inches, 45.5 cm2(~55.8% screen-to-body ratio)",Plum Axe II,,"Black, White, Blue, Red","TFT, 256K colors",,,125.5 x 65 x 11.8 mm (4.94 x 2.56 x 0.46 in),4GB 512MB RAM,microUSB 2.0,,GPS,Stereo FM radio,HSDPA 850 / 900 / 1900 / 2100,,Yes,"Li-Ion 1450 mAh, removable",,"Accelerometer, proximity",
