Features,CPU,,Single_1,Stand-by,OS,Loudspeaker,Bluetooth,Price,3.5mm jack,SIM,Single,Weight,Chipset,Status,WLAN,2G bands,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Colors,Type,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,Sensors
,Dual-core 1.2 GHz Cortex-A9,,VGA,Up to 120 h,Android 4.0 (Ice Cream Sandwich),"Yes, with stereo speakers",Yes,,Yes,Yes,2 MP,453 g (1.00 lb),Mediatek MT8377 (40 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",Up to 5 h (multimedia),microSDHC (dedicated slot),HSPA 7.2/5.76 Mbps,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,PowerVR SGX531u,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-80-ultra-duo-3g2.jpg,"8.0 inches, 198.2 cm2(~61.5% screen-to-body ratio)",Prestigio MultiPad 2 Ultra Duo 8.0 3G,,"Black, White",IPS LCD,,204 x 158 x 9.3 mm (8.03 x 6.22 x 0.37 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 2100,,"Li-Po 4600 mAh, non-removable",Accelerometer
,Dual-core 1.6 GHz Cortex-A9,,VGA,Up to 120 h,Android 4.1 (Jelly Bean),"Yes, with stereo speakers",No,,Yes,No,2 MP,453 g (1.00 lb),,Discontinued,Wi-Fi 802.11 b/g/n,,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",Up to 5 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP4,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-80-ultra-duo-3g2.jpg,"8.0 inches, 198.2 cm2(~61.5% screen-to-body ratio)",Prestigio MultiPad 2 Ultra Duo 8.0,,"Black, White",IPS LCD,No,204 x 158 x 9.3 mm (8.03 x 6.22 x 0.37 in),8GB 1GB RAM,microUSB 2.0,No,No,No,,,"Li-Po 4100 mAh, non-removable",Accelerometer
,Dual-core 1.6 GHz Cortex-A9,HDMI port,2 MP,Up to 120 h,Android 4.0 (Ice Cream Sandwich),"Yes, with stereo speakers",Yes,About 230 EUR,Yes,Yes,2 MP,680 g (1.50 lb),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Up to 6 h 30 min (multimedia),microSDHC (dedicated slot),HSPA 7.2/5.76 Mbps,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,Mali-400MP4,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-101-ultimate.jpg,"10.1 inches, 295.8 cm2(~65.8% screen-to-body ratio)",Prestigio MultiPad 10.1 Ultimate 3G,,Black,MVA,,175 x 256.8 x 10.2 mm (6.89 x 10.11 x 0.40 in),16GB 1GB RAM,"miniUSB 2.0, OTG",,No,No,HSDPA 2100,,"Li-Po 6400 mAh, non-removable",Accelerometer
,Dual-core 1.6 GHz Cortex-A9,HDMI port,2 MP,Up to 120 h,Android 4.0 (Ice Cream Sandwich),"Yes, with stereo speakers",Yes,About 190 EUR,Yes,No,2 MP,660 g (1.46 lb),,Discontinued,Wi-Fi 802.11 b/g/n,N/A,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Up to 6 h 30 min (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP4,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-101-ultimate.jpg,"10.1 inches, 295.8 cm2(~65.8% screen-to-body ratio)",Prestigio MultiPad 10.1 Ultimate,,Gray,MVA,No,175 x 256.8 x 10.2 mm (6.89 x 10.11 x 0.40 in),16GB 1GB RAM,"miniUSB 2.0, OTG",No,No,No,,,"Li-Po 6400 mAh, non-removable",Accelerometer
,1.0 GHz Cortex-A9,,VGA,Up to 120 h,Android 4.0 (Ice Cream Sandwich),"Yes, with stereo speakers","4.0, LE",,Yes,Yes,2 MP,355 g (12.52 oz),Mediatek MT6575 (40 nm),Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",GSM 850 / 900 / 1800 / 1900,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",Up to 4 h (multimedia),microSDHC (dedicated slot),HSPA 7.2/5.76 Mbps,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-70-prime-3g.jpg,"7.0 inches, 139.5 cm2(~57.3% screen-to-body ratio)",Prestigio MultiPad 7.0 Prime 3G,,Black,TFT,,198 x 123 x 11.8 mm (7.80 x 4.84 x 0.46 in),4GB 512MB RAM,"microUSB 2.0, OTG",,GPS,FM transmitter,HSDPA 900 / 2100,,"Li-Po 3000 mAh, non-removable",Accelerometer
,Dual-core 1.6 GHz Cortex-A9,HDMI port,VGA,Up to 120 h,Android 4.1 (Jelly Bean),"Yes, with stereo speakers",No,,Yes,No,5 MP,360 g (12.70 oz),,Discontinued,Wi-Fi 802.11 b/g/n,N/A,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",Up to 5 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP4,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-80-prime-duo2.jpg,"8.0 inches, 198.2 cm2(~62.7% screen-to-body ratio)",Prestigio MultiPad 2 Prime Duo 8.0,,Gray,LED-backlit IPS LCD,No,204.2 x 154.8 x 8.5 mm (8.04 x 6.09 x 0.33 in),16GB 1GB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Po 4400 mAh, non-removable",Accelerometer
,Dual-core 1.6 GHz Cortex-A9,,VGA,Up to 120 h,Android 4.1 (Jelly Bean),"Yes, with stereo speakers",No,About 130 EUR,Yes,No,2 MP,305 g (10.76 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Up to 3 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP4,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-70-ultra-duo.jpg,"7.0 inches, 142.1 cm2(~65.2% screen-to-body ratio)",Prestigio MultiPad 7.0 Ultra Duo,,Black,IPS LCD,No,188 x 116 x 9 mm (7.40 x 4.57 x 0.35 in),8GB 1GB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Po 4000 mAh, non-removable",Accelerometer
,Dual-core 1.6 GHz Cortex-A9,HDMI port,VGA,Up to 120 h,Android 4.0 (Ice Cream Sandwich),"Yes, with stereo speakers",No,,Yes,No,5 MP,450 g (0.99 lb),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",Up to 7 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP4,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-80-ultra-duo.jpg,"8.0 inches, 198.2 cm2(~58.4% screen-to-body ratio)",Prestigio MultiPad 8.0 Ultra Duo,,Black,TFT,No,207 x 164 x 11.5 mm (8.15 x 6.46 x 0.45 in),16GB 1GB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Ion 6000 mAh, non-removable",Accelerometer
,Dual-core 1.6 GHz Cortex-A9,HDMI port,2 MP,Up to 120 h,Android 4.1 (Jelly Bean),"Yes, with stereo speakers",No,,Yes,No,2 MP,580 g (1.28 lb),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"768 x 1024 pixels, 4:3 ratio (~132 ppi density)",Up to 8 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP4,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-97-ultra-duo.jpg,"9.7 inches, 291.4 cm2(~63.1% screen-to-body ratio)",Prestigio MultiPad 9.7 Ultra Duo,,"Black, Red",LED-backlit IPS LCD,No,243 x 190 x 10.5 mm (9.57 x 7.48 x 0.41 in),16GB 1GB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Po 7800 mAh, non-removable",Accelerometer
,Dual-core 1.5 GHz Cortex-A9,,VGA,Up to 120 h,Android 4.0 (Ice Cream Sandwich),Yes,No,About 110 EUR,Yes,No,2 MP,305 g (10.76 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Up to 4 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-70-prime-duo.jpg,"7.0 inches, 137.9 cm2(~60.2% screen-to-body ratio)",Prestigio MultiPad 7.0 Prime Duo,,Gray,LED-backlit IPS LCD,No,191 x 120 x 8.9 mm (7.52 x 4.72 x 0.35 in),16GB 1GB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Po 3200 mAh, non-removable",Accelerometer
,Dual-core 1.5 GHz Cortex-A9,No,,Up to 120 h,Android 4.0 (Ice Cream Sandwich),"Yes, with stereo speakers",No,About 200 EUR,Yes,No,VGA,490 g (1.08 lb),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",Up to 5 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,HDMI port,Prestigio,,Mali-400MP,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-80-pro-duo.jpg,"8.0 inches, 198.2 cm2(~63.8% screen-to-body ratio)",Prestigio MultiPad 8.0 Pro Duo,,Black,TFT,No,203 x 153 x 11 mm (7.99 x 6.02 x 0.43 in),8GB 1GB RAM,"miniUSB 2.0, OTG",No,No,No,,,"Li-Po 4700 mAh, non-removable",Accelerometer
,Dual-core 1.6 GHz Cortex-A9,HDMI port,VGA,Up to 120 h,Android 4.0 (Ice Cream Sandwich),"Yes, with stereo speakers",No,,Yes,No,2 MP,356 g (12.56 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Up to 5 h 30 min (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP4,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-70-pro-duo.jpg,"7.0 inches, 137.9 cm2(~57.5% screen-to-body ratio)",Prestigio MultiPad 7.0 Pro Duo,,Black,LED-backlit IPS LCD,No,195 x 123 x 12 mm (7.68 x 4.84 x 0.47 in),8GB 1GB RAM,"miniUSB 2.0, OTG",No,No,No,,,"Li-Po 4100 mAh, non-removable",Accelerometer
,Dual-core 1.5 GHz Cortex-A9,No,,Up to 120 h,Android 4.2 (Jelly Bean),"Yes, with stereo speakers",No,,Yes,No,VGA,460 g (1.01 lb),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"768 x 1280 pixels, 5:3 ratio (~187 ppi density)",Up to 3 h 30 min (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-80-hd.jpg,"8.0 inches, 182.2 cm2(~60.9% screen-to-body ratio)",Prestigio MultiPad 8.0 HD,,Black,TFT,No,216.3 x 138.4 x 10.1 mm (8.52 x 5.45 x 0.40 in),8GB 1GB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Po 5000 mAh, non-removable",Accelerometer
,1.0 GHz Cortex-A8,No,,Up to 120 h,Android 4.1 (Jelly Bean),"Yes, with stereo speakers",No,About 70 EUR,Yes,No,VGA,305 g (10.76 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",Up to 4 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-70-ultra-plus-new.jpg,"7.0 inches, 139.5 cm2(~62.6% screen-to-body ratio)",Prestigio MultiPad 7.0 Ultra + New,,"White, Black, Red",TFT,No,192 x 116 x 10.7 mm (7.56 x 4.57 x 0.42 in),4GB 512MB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Po 3200 mAh, non-removable",Accelerometer
,Dual-core 1.5 GHz Cortex-A9,No,,Up to 120 h,Android 4.1 (Jelly Bean),"Yes, with stereo speakers",No,,Yes,No,VGA,360 g (12.70 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Up to 5 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-70-hd-plus.jpg,"7.0 inches, 137.9 cm2(~60.2% screen-to-body ratio)",Prestigio MultiPad 7.0 HD +,,Black,TFT,No,192.4 x 119 x 9.1 mm (7.57 x 4.69 x 0.36 in),8GB 1GB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Po 4000 mAh, non-removable",Accelerometer
,Dual-core 1.5 GHz Cortex-A9,No,,Up to 120 h,Android 4.1 (Jelly Bean),"Yes, with stereo speakers",No,,Yes,No,VGA,360 g (12.70 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Up to 6 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,HDMI port,Prestigio,,Mali-400MP,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-70-hd.jpg,"7.0 inches, 137.9 cm2(~57.9% screen-to-body ratio)",Prestigio MultiPad 7.0 HD,,Black,TFT,No,194.7 x 122.4 x 11.7 mm (7.67 x 4.82 x 0.46 in),4GB 1GB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Po 4000 mAh, non-removable",Accelerometer
,1.0 GHz Cortex-A8,No,,Up to 120 h,Android 4.1 (Jelly Bean),"Yes, with stereo speakers",No,About 70 EUR,Yes,No,VGA,305 g (10.76 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",Up to 5 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-70-ultra-plus.jpg,"7.0 inches, 139.5 cm2(~62.6% screen-to-body ratio)",Prestigio MultiPad 7.0 Ultra +,,Black,TFT,No,192 x 116 x 10.7 mm (7.56 x 4.57 x 0.42 in),8GB 512MB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Po 3200 mAh, non-removable",Accelerometer
,1.0 GHz Cortex-A8,No,,Up to 120 h,Android 4.0 (Ice Cream Sandwich),"Yes, with stereo speakers",No,About 130 EUR,Yes,No,VGA,326 g (11.50 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",Up to 5 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-70-ultra.jpg,"7.0 inches, 139.5 cm2(~66.0% screen-to-body ratio)",Prestigio MultiPad 7.0 Ultra,,Black,TFT,No,187 x 113 x 11.2 mm (7.36 x 4.45 x 0.44 in),4GB 512MB RAM,miniUSB 2.0,No,No,No,,,"Li-Po 3000 mAh, non-removable",Accelerometer
,1.0 GHz Cortex-A8,No,,Up to 120 h,Android 4.0 (Ice Cream Sandwich),"Yes, with stereo speakers",No,,Yes,No,VGA,257 g (9.07 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",Up to 4 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-70-prime-plus.jpg,"7.0 inches, 139.5 cm2(~64.4% screen-to-body ratio)",Prestigio MultiPad 7.0 Prime +,,Black,TFT,No,197 x 110 x 10.5 mm (7.76 x 4.33 x 0.41 in),4GB 512MB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Po 2500 mAh, non-removable",Accelerometer
,1.0 GHz Cortex-A8,No,,Up to 120 h,Android 4.0 (Ice Cream Sandwich),Yes,No,,Yes,No,VGA,290 g (10.23 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",Up to 4 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,,Prestigio,,Mali-400MP,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-70-prime.jpg,"7.0 inches, 139.5 cm2(~62.7% screen-to-body ratio)",Prestigio MultiPad 7.0 Prime,,Black,TFT,No,197 x 113 x 10.5 mm (7.76 x 4.45 x 0.41 in),4GB 512MB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Po 2500 mAh, non-removable",Accelerometer
,1.0 GHz Cortex-A5,No,,Up to 120 h,Android 4.0 (Ice Cream Sandwich),"Yes, with stereo speakers",No,,Yes,No,VGA,290 g (10.23 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",N/A,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",Up to 5 h (multimedia),microSDHC (dedicated slot),,No,2013. Released 2013,,No cellular connectivity,HDMI port,Prestigio,,Mali-400MP,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad-70-pro.jpg,"7.0 inches, 139.5 cm2(~59.1% screen-to-body ratio)",Prestigio MultiPad 7.0 Pro,,Gray,TFT,No,191.8 x 123 x 9.5 mm (7.55 x 4.84 x 0.37 in),4GB 512MB RAM,"microUSB 2.0, OTG",No,No,No,,,"Li-Po 3000 mAh, non-removable",Accelerometer
