,Brand,SAR EU,3.5mm jack,_1,CPU,Weight,Protection,Phonebook,Price,NFC,Positioning,Speed,Dual,Resolution,Games,Talk time,Size,Status,GPU,Technology,Colors,Triple,Audio quality,WLAN,Charging,Stand-by,3G bands,Announced,Messaging,Model Name,GPRS,Video_1,Type_1,2G bands,SIM,Type,Chipset,Bluetooth,OS,USB,SAR,Single_1,Keyboard,Java,EDGE,Sensors,Alert types,Video,Dimensions,Features,5G bands,Single,Browser,Quad,_2,Internal,Models,Call records,Features_1,Loudspeaker,_3,Card slot,Model Image,Radio,4G bands
,T_Mobile,,Yes,,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),198 g (6.98 oz),,,About 230 EUR,Yes,GPS,"HSPA, LTE (CA), 5G",,1080 x 2436 pixels (~393 ppi density),,,"6.78 inches, 109.9 cm2(~83.5% screen-to-body ratio)","Available. Released 2024, June",Adreno 710,GSM / HSPA / LTE / 5G,Azurite Blue,,,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band","25W wired, PD3.0, QC315W wireless",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2024, May 13",,T-Mobile REVVL 7 Pro,,1080p@30fps,5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM +eSIM,"AMOLED, 120Hz",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"5.2, A2DP, LE",Android 14,USB Type-C 3.0,1.38 W/kg (head)     1.41 W/kg (body),,,,,Fingerprint (side-mounted); unspecified sensors,,"1440p@30fps, 1080p@30/60fps",168.7 x 78 x 8.6 mm (6.64 x 3.07 x 0.34 in),"Dual-LED flash, HDR, panorama","1, 3, 7, 25, 28, 38, 41, 66, 71, 77, 78 SA/NSA",16 MP,,"50 MP, (wide), PDAF, OIS5 MP, (ultrawide)2 MP, (depth)2 MP, (macro)",,256GB 8GB RAM,,,,"Yes, with stereo speakers",,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvl-7-pro-.jpg,No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71"
,T_Mobile,,Yes,,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),206 g (7.27 oz),,,About 190 EUR,Yes,GPS,"HSPA, LTE (CA), 5G",,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",,,"6.58 inches, 104.3 cm2(~80.4% screen-to-body ratio)","Available. Released 2024, June",Adreno 710,GSM / HSPA / LTE / 5G,Arctic Gray,"50 MP, (wide), PDAF2 MP, (depth)2 MP, (macro)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","15W wired, PD3.0, QC3",,HSDPA 850 / 1700(AWS) / 2100,"2024, May 13",,T-Mobile REVVL 7,,1080p@30fps,5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM +eSIM,"AMOLED, 120Hz",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"5.1, A2DP, LE",Android 14,USB Type-C 2.0,1.14 W/kg (head)     1.12 W/kg (body),,,,,Fingerprint (side-mounted); unspecified sensors,,"1440p@30fps, 1080p@30/60fps",167.4 x 77.5 x 9.1 mm (6.59 x 3.05 x 0.36 in),"LED flash, HDR, panorama","25, 41, 66, 71, 77 SA/NSA",8 MP,,,,128GB 6GB RAM,,,,"Yes, with stereo speakers",,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvl-7.jpg,No,"2, 4, 5, 7, 12, 25, 26, 41, 66, 71"
,T_Mobile,,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),223.3 g (7.87 oz),,,About 210 EUR,Yes,GPS,"HSPA, LTE (CA), 5G",,720 x 1640 pixels (~263 ppi density),,,"6.82 inches, 110.5 cm2(~81.6% screen-to-body ratio)","Available. Released 2023, August 24",Mali-G57 MC2,GSM / HSPA / LTE / 5G,"Black, Dark Blue",,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",15W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2023, August 17",,T-Mobile REVVL 6x Pro,,1080p@30fps,Li-Ion 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek Dimensity 700 (7 nm),"5.1, A2DP, LE",Android 12 or 13,USB Type-C 2.0,,,,,,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer",,1080p@30fps,173.9 x 77.8 x 9 mm (6.85 x 3.06 x 0.35 in),"LED flash, HDR, panorama","25, 41, 66, 71, 77 SA/NSA",16 MP,,"50 MP, (wide), PDAF5 MP, (ultrawide)2 MP, (depth)2 MP, (macro)",,"128GB 6GB RAM, 256GB 6GB RAM",,,,Yes,,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-6x-pro.jpg,No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 20, 25, 26, 38, 39, 40, 41, 66, 71"
,T_Mobile,,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),194 g (6.84 oz),,,About 190 EUR,Yes (market/region dependent),GPS,"HSPA, LTE (CA), 5G",,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,"6.52 inches, 102.6 cm2(~80.6% screen-to-body ratio)","Available. Released 2023, August 24",Mali-G57 MC2,GSM / HSPA / LTE / 5G,"Gray, Blue","50 MP, (wide), PDAF2 MP, (depth)2 MP, (macro)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",15W wired,,HSDPA 850 / 1700(AWS) / 1900,"2023, August 17",,T-Mobile REVVL 6x,,1080p@30fps,Li-Ion 4500 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek Dimensity 700 (7 nm),"5.1, A2DP, LE",Android 12 or 13,USB Type-C 2.0,,,,,,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer",,1080p@30fps,166.6 x 76.4 x 8.8 mm (6.56 x 3.01 x 0.35 in),"LED flash, HDR, panorama","25, 41, 66, 71, 77 SA/NSA",8 MP (USA)5 MP (Europe),,,,"64GB 4GB RAM, 128GB 4GB RAM",,,,Yes,,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-6x.jpg,No,"2, 4, 5, 7, 12, 25, 26, 41, 66, 71"
,T_Mobile,,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),513.1 g (1.13 lb),,,About 180 EUR,No,No,"HSPA, LTE (CA), 5G","8 MP, (wide)2 MP, (depth)","1200 x 2000 pixels, 5:3 ratio (~225 ppi density)",,,"10.36 inches, 305.5 cm2(~78.5% screen-to-body ratio)","Available. Released 2023, August 24",Mali-G57 MC2,GSM / HSPA / LTE / 5G,Gray,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",15W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2023, August 17",,T-Mobile REVVL Tab,,1080p@30fps,Li-Po 7040 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek Dimensity 700 (7 nm),"5.1, A2DP, LE",Android 13,USB Type-C 2.0,,,,,,Accelerometer,,1080p@30fps,247.6 x 157.1 x 7.9 mm (9.75 x 6.19 x 0.31 in),LED flash,"1, 3, 7, 25, 28, 38, 41, 66, 71, 77, 78 SA/NSA",8 MP,,,,128GB 6GB RAM,,,,Yes,,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvl-tab.jpg,No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71"
Splash resistant,T_Mobile,,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),214 g (7.55 oz),,,About 220 EUR,Yes,GPS,"HSPA, LTE, 5G",,720 x 1640 pixels (~263 ppi density),,,"6.82 inches, 110.5 cm2(~81.6% screen-to-body ratio)","Available. Released 2022, July 28",Mali-G57 MC2,GSM / HSPA / LTE / 5G,Dark Shadow,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",15W wiredWireless,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2022, July 28",,T-Mobile REVVL 6 Pro,,1080p@30fps,Li-Ion 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek Dimensity 700 (7 nm),"5.1, A2DP, LE",Android 12,USB Type-C 2.0,,,,,,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer",,1080p@30fps,173.9 x 77.8 x 9 mm (6.85 x 3.06 x 0.35 in),"LED flash, HDR, panorama","25, 41, 66, 71, 77 SA/NSA",16 MP,,"50 MP, (wide), PDAF5 MP, (ultrawide)2 MP, (depth)2 MP, (macro)",,128GB 6GB RAM,TMAF035G,,,Yes,,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl6-pro.jpg,No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 71"
Splash resistant,T_Mobile,,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),194 g (6.84 oz),,,About 170 EUR,No,GPS,"HSPA, LTE, 5G",,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,"6.52 inches, 102.6 cm2(~80.6% screen-to-body ratio)","Available. Released 2022, July 28",Mali-G57 MC2,GSM / HSPA / LTE / 5G,Blue,"13 MP, (wide), AF2 MP, (depth)2 MP, (macro)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",15W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2022, July 28",,T-Mobile REVVL 6,,1080p@30fps,Li-Ion 4500 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek Dimensity 700 (7 nm),"5.1, A2DP, LE",Android 12,USB Type-C 2.0,,,,,,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer",,1080p@30fps,166.6 x 76.4 x 8.8 mm (6.56 x 3.01 x 0.35 in),"LED flash, HDR, panorama","25, 41, 66, 71, 77 SA/NSA",5 MP,,,,64GB 4GB RAM,TMAF025G,,,Yes,,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl6.jpg,No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 71"
,T_Mobile,,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),-,,,About 170 EUR,Yes,GPS,"HSPA, LTE, 5G",,"720 x 1640 pixels, 20:9 ratio (~257 ppi density)",,,"6.82 inches, 112.3 cm2(~83.4% screen-to-body ratio)","Available. Released 2021, July 12",Mali-G57 MC2,GSM / HSPA / LTE / 5G,Nebula Black,"16 MP, (wide), AF5 MP, (ultrawide)2 MP",,Yes,18W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2021, July 01",,T-Mobile REVVL V+ 5G,,1080p@30fps,Li-Po 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek Dimensity 700 (7 nm),Yes,Android 11,Yes,,,,,,"Fingerprint (side-mounted), accelerometer, proximity",,1080p@30fps,173.7 x 77.5 x 7.1 mm (6.84 x 3.05 x 0.28 in),"LED flash, HDR, panorama","25, 41, 66, 71 SA/NSA",16 MP,,,,64GB 4GB RAM,,,,Yes,,Unspecified,https://fdn2.gsmarena.com/vv/bigpic/t‑mobile-revvl-v-plus-5g.jpg,No,"2, 4, 5, 12, 25, 26, 41, 66, 71"
,T_Mobile,,Yes,,Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),215 g (7.58 oz),,,About 340 EUR,Yes,GPS,"HSPA, LTE, 5G",,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",,,"6.53 inches, 104.7 cm2(~83.1% screen-to-body ratio)","Available. Released 2020, September 04",Adreno 620,GSM / HSPA / LTE / 5G,Nebula Black,"48 MP, (wide), 1/2.0"", 0.8µm, PDAF8 MP, (ultrawide)5 MP, (macro)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2020, August 27",,T-Mobile REVVL 5G,,1080p@30fps,Li-Ion 4500 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Qualcomm SM7250 Snapdragon 765 5G (7 nm),"5.0, A2DP, LE",Android 10,USB Type-C 2.0,,,,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,"4K@30fps, 1080p@30fps",165.4 x 76.2 x 9.4 mm (6.51 x 3.00 x 0.37 in),"Dual-LED flash, HDR, panorama","2, 25, 41, 66, 71 SA/NSA",16 MP,,,,128GB 6GB RAM,"T790W, T790Z",,,Yes,,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4-5g.jpg,No,"1, 2, 3, 4, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71"
eMMC 5.1,T_Mobile,,Yes,,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),180 g (6.35 oz),,,About 160 EUR,Yes,GPS,"HSPA, LTE","16 MP, PDAF5 MP","720 x 1440 pixels, 18:9 ratio (~247 ppi density)",,,"6.52 inches, 109.7 cm2(~88.2% screen-to-body ratio)","Available. Released 2020, September 04",Adreno 610,GSM / HSPA / LTE,Steel Gray,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,HSDPA 850 / 1700(AWS) / 1900,"2020, August 27",,T-Mobile REVVL 4+,,1080p@30fps,Li-Ion 4000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Qualcomm SDM665 Snapdragon 665 (11 nm),"5.0, A2DP, LE",Android 10,USB Type-C 2.0,,,,,,"Fingerprint (rear-mounted), accelerometer, proximity",,1080p@30fps,165.4 x 75.2 x 8.1 mm (6.51 x 2.96 x 0.32 in),"Dual-LED dual-tone flash, HDR, panorama",,16 MP,,,,64GB 4GB RAM,"5062W, 5062Z",,,Yes,,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4-plus.jpg,No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71"
eMMC 5.1,T_Mobile,,Yes,,Quad-core 2.0 GHz Cortex-A53,158.5 (5.61 oz),,,About 100 EUR,No,GPS,"HSPA, LTE",,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)",,,"6.22 inches, 96.6 cm2(~79.9% screen-to-body ratio)","Available. Released 2020, September 04",PowerVR GE8300,GSM / HSPA / LTE,Graphite,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,HSDPA 850 / 1700(AWS) / 1900,"2020, August 27",,T-Mobile REVVL 4,,,Li-Ion 3500 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek MT6761 Helio A22 (12 nm),"5.0, A2DP, LE",Android 10,USB Type-C 2.0,,5 MP,,,,"Fingerprint (rear-mounted), accelerometer, proximity",,1080p@30fps,159 x 76 x 8.1 mm (6.26 x 2.99 x 0.32 in),"LED flash, HDR, panorama",,"13 MP, PDAF",,,,32GB 2GB RAM,"5007Z, 5007W, TMRVL4G",,,Yes,,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4.jpg,No,"2, 4, 5, 7, 12, 25, 26, 41, 66, 71"
"IP54, dust and splash resistant",T_Mobile,,Yes,eMMC 5.1,Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),-,,,About 310 EUR,No,"GPS, GLONASS, GALILEO","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat12 600/50 Mbps","16 MP, f/1.7, 1.22µm, PDAF, OIS5 MP, f/2.4, (depth)","1080 x 2270 pixels, 19:9 ratio (~403 ppi density)",,,"6.24 inches, 97.5 cm2(~81.8% screen-to-body ratio)","Available. Released 2019, July",Adreno 509,GSM / HSPA / LTE,Black,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",27W wired,,HSDPA 850 / 1700(AWS) / 1900,"2019, July",,T-Mobile Revvlry+,,1080p@30fps,"Li-Ion 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Qualcomm SDM636 Snapdragon 636 (14 nm),"5.0, A2DP, LE",Android 9.0 (Pie),USB Type-C 2.0,,,,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,"4K@30fps, 1080p@30/60/120fps, gyro-EIS",158.5 x 75.2 x 8.6 mm (6.24 x 2.96 x 0.34 in),"Dual-LED dual-tone flash, panorama, HDR",,"12 MP, (wide), 1/2.8"", 1.25µm",,,,64GB 4GB RAM,,,HDR,Yes,,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvlry-plus-.jpg,FM radio,"1, 2, 3, 4, 5, 7, 12, 13, 20, 66, 71"
Splash resistant,T_Mobile,,Yes,eMMC 5.1,Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),-,,,About 180 EUR,No,"GPS, GLONASS","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)",,,"5.7 inches, 81.1 cm2(~76.4% screen-to-body ratio)","Available. Released 2019, July",Adreno 506,GSM / HSPA / LTE,Black,,,Wi-Fi 802.11 b/g/n,10W wired,,HSDPA 850 / 1700(AWS) / 1900,"2019, July",,T-Mobile Revvlry,,1080p@30fps,"Li-Ion 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Qualcomm SDM632 Snapdragon 632 (14 nm),"4.2, A2DP, LE",Android 9.0 (Pie),USB Type-C 2.0,,"8 MP, f/2.2, 1/4.0"", 1.12µm",,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,1080p@30fps,148.6 x 71.4 x 8.1 mm (5.85 x 2.81 x 0.32 in),"LED flash, panorama, HDR",,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",,,,32GB 3GB RAM,,,LED flash,Yes,,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvlry-.jpg,FM radio,"2, 4, 5, 7, 12, 38, 66, 71"
,T_Mobile,,Yes,,Quad-core 1.5 GHz Cortex-A53,157.9 g (5.64 oz),,,About 110 EUR,No,GPS,"HSPA, LTE",,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Up to 12 h (3G),"5.5 inches, 83.4 cm2(~71.3% screen-to-body ratio)",Discontinued,Mali-T860MP2,GSM / HSPA / LTE,Black,,,Wi-Fi 802.11 b/g/n,,Up to 288 h (3G),HSDPA 1700 (AWS)/ 1900,"2017, August. Released 2017, August",,T-Mobile Revvl,,,"Li-Ion 3000 mAh, non-removable",GSM 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek MT6738,"4.2, A2DP",Android 7.0 (Nougat),microUSB 2.0,,5 MP,,,,"Fingerprint (rear-mounted), accelerometer, proximity",,1080p@30fps,151.9 x 77 x 8.4 mm (5.98 x 3.03 x 0.33 in),"LED flash, HDR",,"13 MP, AF",,,,32GB 2GB RAM,,,LED flash,Yes,,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvl.jpg,FM radio,"2, 4, 5, 12, 66"
No,T_Mobile,,Yes,,1.0 GHz Cortex-A5,100 g (3.53 oz),,,About 90 EUR,No,GPS,HSPA,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 8 h,"3.5 inches, 36.5 cm2(~50.3% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,,,"Wi-Fi 802.11 b/g/n, hotspot",,Up to 260 h,HSDPA 850 / 1700 / 1900 / 2100,"2013, June. Released 2013, June",,T-Mobile Prism II,,,"Li-Ion 1750 mAh, removable",GSM 850 / 900 / 1800 / 1900,Mini-SIM,TFT,,"4.0, A2DP",Android 4.1 (Jelly Bean),microUSB 2.0,,,,,,Accelerometer,,Yes,117 x 62 x 12.4 mm (4.61 x 2.44 x 0.49 in),,,3.15 MP,,,,4GB 512MB RAM,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-prism-ii.jpg,FM radio,
No,T_Mobile,,Yes,MP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerDocument viewerVoice memo/dialPredictive text input,832 MHz,100 g (3.53 oz),,,About 80 EUR,,"GPS, A-GPS",HSPA 7.2/5.76 Mbps,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 8 h 30 min,"3.5 inches, 36.5 cm2(~50.3% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,,,"Wi-Fi 802.11 b/g/n, hotspot",,Up to 300 h,HSDPA 850 / 1700 / 1900 / 2100,"2012, August. Released 2012, August",,T-Mobile Concord,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",BCM21553,"3.0, A2DP",Android 2.3.5 (Gingerbread),microUSB 2.0,,,,,,"Accelerometer, proximity",,480p,117 x 62 x 11.4 mm (4.61 x 2.44 x 0.45 in),,,2 MP,,,,512MB 512MB RAM,,,,Yes,,"microSDHC (dedicated slot), 2 GB included",https://fdn2.gsmarena.com/vv/bigpic/zte-t-mobile-concord.jpg,No,
T-Mobile TVMP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input (Swype),T_Mobile,,Yes,,1.4 GHz Scorpion,185 g (6.53 oz),,,About 290 EUR,,"GPS, A-GPS",HSPA,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 6 h,"4.0 inches, 45.5 cm2(~57.1% screen-to-body ratio)",Discontinued,Adreno 205,GSM / HSPA,"Black, White",,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,Up to 185 h,HSDPA 1700 / 2100,"2012, August. Released 2012, August",,T-Mobile myTouch Q 2,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,IPS LCD,Qualcomm MSM8255T Snapdragon S2,Yes,Android 2.3 (Gingerbread),microUSB 2.0,,VGA,QWERTY,,,"Accelerometer, proximity, compass",,720p@30fps,124.8 x 63.9 x 14.3 mm (4.91 x 2.52 x 0.56 in),LED flash,,"5 MP, AF",,,,4GB 1GB RAM,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-q-2.jpg,No,
T-Mobile TVMP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input (Swype),T_Mobile,,Yes,,1.4 GHz Scorpion,140 g (4.94 oz),,,About 290 EUR,,"GPS, A-GPS",HSPA,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 6 h 10,"4.0 inches, 45.5 cm2(~64.4% screen-to-body ratio)",Discontinued,Adreno 205,GSM / HSPA,"Black, Dark red",,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,Up to 186 h,HSDPA 1700 / 2100,"2012, August. Released 2012, August",,T-Mobile myTouch 2,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,IPS LCD,Qualcomm MSM8255T Snapdragon S2,Yes,Android 2.3 (Gingerbread),microUSB 2.0,,VGA,,,,"Accelerometer, proximity, compass",,720p@30fps,114 x 62 x 10 mm (4.49 x 2.44 x 0.39 in),LED flash,,"5 MP, AF",,,,4GB 1GB RAM,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-2.jpg,No,
No,T_Mobile,,Yes,MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input (Swype),600 MHz,125 g (4.41 oz),,,About 170 EUR,,"GPS, A-GPS",HSPA,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 6 h 30 min,"3.5 inches, 36.5 cm2(~52.1% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,,,"Wi-Fi 802.11 b/g, hotspot",,Up to 400 h,HSDPA 850 / 1700 / 1900 / 2100,"2012, May. Released 2012, May",,T-Mobile Prism,,,Removable Li-Ion 1400 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",,"2.1, A2DP, EDR",Android 2.3.5 (Gingerbread),microUSB 2.0,,,,,,"Accelerometer, proximity, compass",,Yes,116.3 x 60.2 x 12.2 mm (4.58 x 2.37 x 0.48 in),,,3.15 MP,,,,512MB,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-prism.jpg,No,
