,Brand,SAR EU,3.5mm jack,_1,CPU,Weight,Protection,Phonebook,Price,NFC,Positioning,Speed,Dual,Resolution,Games,Talk time,Size,Status,GPU,Technology,Colors,Triple,Audio quality,WLAN,Charging,Stand-by,3G bands,Announced,Messaging,Model Name,GPRS,Video_1,Type_1,2G bands,SIM,Type,Chipset,Bluetooth,OS,USB,SAR,Single_1,Keyboard,Java,EDGE,Sensors,Alert types,Video,Dimensions,Features,5G bands,Single,Browser,Quad,_2,Internal,Models,Call records,Features_1,Loudspeaker,_3,Card slot,Model Image,Radio,4G bands
No,T_Mobile,,No,MP3/AAC+/WAV playerMP4/H.264 playerVoice memoPredictive text input,,104.9 g (3.67 oz),,"1000 entries, Photocall",About 80 EUR,,"GPS, A-GPS",HSPA 3.6/0.384 Mbps,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Yes,Up to 5 h,"2.8 inches, 24.3 cm2(~40.7% screen-to-body ratio)",Discontinued,,GSM / HSPA,"Berry, Midnight Blue",,,No,,Up to 240 h,HSDPA 1700 / 2100,"2009, October. Released 2009, November","SMS, MMS, Email, IM",T-Mobile Tap,,,Removable Li-Ion 1150 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT resistive touchscreen, 256K colors",,"2.0, A2DP",,miniUSB,,,,"Yes, MIDP 2.1",,,,Yes,106.7 x 55.9 x 12.7 mm (4.20 x 2.20 x 0.5 in),,,2 MP,WAP 2.0 / xHTML,,,,,"30 received, dialed and missed calls",,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-tap-midnight-blue.jpg,No,
Trackball,T_Mobile,,No,2.5 mm audio jack,,130 g (4.59 oz),,,About 250 EUR,,"GPS, A-GPS",HSPA 7.2/2 Mbps,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 4 h,"3.5 inches, 36.5 cm2(~49.9% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,,,Wi-Fi 802.11 b/g,,Up to 300 h,HSDPA 900 / 2100,"2009, August. Released 2009, October",,T-Mobile Pulse,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",,"2.0, A2DP",Android 1.5 (Cupcake),Proprietary,,VGA,,,,Accelerometer,,Yes,116 x 63 x 13.5 mm (4.57 x 2.48 x 0.53 in),,,"3.15 MP, AF",HTML,,MP3/AAC+/WAV playerMP4/H.264 playerVoice memoPredictive text input,192MB,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-pulse-new.jpg,No,
No,T_Mobile,,No,"MP3/eAAC+ playerMP4/H.264 playerDocument viewer (Word, Excel, PPT, PDF)OrganizerCalculatorVoice memoPredictive text input",,103 g (3.63 oz),,"800 entries, Photocall",,,No,,,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Yes,Up 9 h,"2.4 inches, 17.8 cm2(~27.7% screen-to-body ratio)",Discontinued,,GSM,Black,,,No,,Up to 450 h,,"2009, September. Released 2009, October","SMS, MMS, Email",T-Mobile Vairy Text,Yes,,Removable Li-Ion 850 mAh battery,GSM 850 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",,"2.0, A2DP",,Proprietary,,,QWERTY,"Yes, MIDP 2.0",Yes,,,Yes,111 x 58 x 13.9 mm (4.37 x 2.28 x 0.55 in),,,2 MP,WAP 2.0/xHTML,,,20MB,,Yes,,Yes,,"microSDHC (dedicated slot), 2 GB included",https://fdn2.gsmarena.com/vv/bigpic/t-mobile-vairy-text.jpg,"Stereo FM radio, RDS",
GSM 900 / 1800,T_Mobile,,No,No,,83 g (2.93 oz),,"1000 contacts, Photocall",About 70 EUR,,No,,,"240 x 400 pixels, 5:3 ratio (~167 ppi density)",Yes,Up to 4 h 50 min,"2.8 inches, 22.3 cm2(~43.8% screen-to-body ratio)",Discontinued,,GSM,Black,,,No,,Up to 300 h,,"2010, Feburary. Released 2010, February","SMS, MMS",T-Mobile Vairy Touch II,Class 10,,Removable Li-Ion 800 mAh battery,GSM 900 / 1800 / 1900,Mini-SIM,"TFT resistive touchscreen, 65K colors",,"2.0, A2DP",,Proprietary,,,,"Yes, MIDP 2.0",Class 10,,,Yes,102 x 50 x 12.5 mm (4.02 x 1.97 x 0.49 in),,,2 MP,WAP 2.0/xHTML,,MP3/AAC+/WAV/WMA playerOrganizerVoice memoPredictive text input,,,"30 dialed, 30 received, 30 missed calls",,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-vairy-touch-ii.jpg,Stereo FM radio,
Trackball,T_Mobile,,Yes,No,528 MHz ARM 11,135 g (4.76 oz),,,About 260 EUR,,"GPS, A-GPS",HSPA 7.2/2 Mbps,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",,Up to 8 h (2G) / Up to 7 h (3G),"3.2 inches, 30.5 cm2(~48.4% screen-to-body ratio)",Discontinued,Adreno 130,GSM / HSPA,Black,,,Wi-Fi 802.11 b/g,,Up to 440 h (2G) / Up to 750 h (3G),HSDPA 900 / 2100,"2009, July. Released 2009, July",,T-Mobile G2 Touch,,,Removable Li-Ion 1350 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",Qualcomm MSM7200A,"2.0, A2DP","Android 1.5 (Cupcake), Sense UI",miniUSB,,,,,,"Accelerometer, proximity, compass",,Yes,112 x 56.2 x 14.4 mm (4.41 x 2.21 x 0.57 in),,,"5 MP, AF",HTML,,Dedicated search keyScenes quick profile switcherMP3/AAC+/WAV/WMA9 playerMP4/H.264/WMV9 playerVoice memoPredictive text input,"288MB RAM, 512MB",,,,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-g2-touch.jpg,No,
Trackball,T_Mobile,,No,No,528 MHz,120 g (4.23 oz),,,About 180 EUR,,"GPS, A-GPS",HSPA 7.2/0.384 Mbps,,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",,Up 8 h 30 min (2G) / Up to 5 h (3G),"2.4 inches, 17.8 cm2(~24.9% screen-to-body ratio)",Discontinued,,GSM / HSPA,Brown,,,Wi-Fi 802.11b/g,,Up to 380 h (2G) / Up to 480 h (3G),HSDPA 1700 / 2100,"2009, March. Released 2009, June",,T-Mobile Dash 3G,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",,"2.0, A2DP",Microsoft Windows Mobile 6.1 Standard,Proprietary,,,QWERTY,,,,,Yes,116.5 x 61.5 x 12 mm (4.59 x 2.42 x 0.47 in),,,2 MP,"WAP 2.0/xHTML, HTML",,MP3/WAV/WMA/eAAC+ playerMP4/H.264 playerDocument viewerOrganizerCalculatorVoice memoPredictive text input,"192MB RAM, 256MB ROM",,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-dash-3g.jpg,No,
No,T_Mobile,,Yes,Voice memoMP3 playerPredictive text input,528 MHz ARM 11,116 g (4.09 oz),,,,,GPS,HSPA 7.2/2 Mbps,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",,,"3.2 inches, 30.5 cm2(~48.2% screen-to-body ratio)",Discontinued,Adreno 130,GSM / HSPA,"White, Black, Red",,,Wi-Fi 802.11 b/g,,,HSDPA 900 / 1700 / 2100,2011. Released 2011,,T-Mobile myTouch 3G 1.2,,,Removable Li-Ion battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",Qualcomm MSM7201A,"2.0, A2DP (headset support only)",Android 1.5 (Cupcake),miniUSB,,,,,,"Accelerometer, compass",,CIF,113 x 56 x 14.7 mm (4.45 x 2.20 x 0.58 in),,,"3.15 MP, AF",HTML,,,"256MB RAM, 512MB",,,,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-3g.jpg,No,
Trackball,T_Mobile,,No,No,528 MHz ARM 11,116 g (4.09 oz),Corning Gorilla Glass,,About 250 EUR,,"GPS, A-GPS",HSPA 7.2/2 Mbps,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",,Up to 6 h,"3.2 inches, 30.5 cm2(~48.2% screen-to-body ratio)",Discontinued,Adreno 130,GSM / HSPA,"White, Black, Red",,,Wi-Fi 802.11 b/g,,Up to 600 h,HSDPA 1700 / 2100,"2009, June. Released 2009, April",,T-Mobile myTouch 3G,,,Removable Li-Ion 1340 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",Qualcomm MSM7201A,"2.0, A2DP, EDR",Android 1.5 (Cupcake),miniUSB 2.0,1.37 W/kg (head)     1.05 W/kg (body),,,,,"Accelerometer, compass",,CIF,113 x 56 x 14.7 mm (4.45 x 2.20 x 0.58 in),,,"3.15 MP, AF",HTML,,Voice memoMP3 playerPredictive text input,"192MB RAM, 512MB",,,,Yes,,"microSDHC (dedicated slot), 4 GB included",https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-3g.jpg,No,
TouchFLO 3D finger swipe navigationTouch-sensitive zoom barHandwriting recognition,T_Mobile,,No,Pocket OfficeVoice memoMP3 playerTV-out,528 MHz ARM 11,178.5 g (6.28 oz),,,,,GPS,HSPA 7.2/2 Mbps,,"480 x 800 pixels, 5:3 ratio (~259 ppi density)",,Up to 8 h 30 min (2G) / Up to 6 h 30 min (3G),"3.6 inches, 36.9 cm2(~53.7% screen-to-body ratio)",Discontinued,Adreno 130,GSM / HSPA,Black/Grey,,,Wi-Fi 802.11 b/g,,Up to 500 h (2G) / Up to 750 h (3G),HSDPA 900 / 2100,"2009, February. Released 2009, June",,T-Mobile MDA Vario V,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT resistive touchscreen, 65K colors",Qualcomm MSM7200A,"2.0, A2DP",Microsoft Windows Mobile 6.1 Professional,miniUSB,,VGA videocall camera,QWERTY,,,Accelerometer,,480p,116 x 59.2 x 17.3 mm (4.57 x 2.33 x 0.68 in),,,"3.15 MP, AF",HTML,,,"288MB RAM, 512MB ROM",,,,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mda-vario-v.jpg,"Factory locked by default, can be enabled",
TouchFLO 3D finger swipe navigationTouch-sensitive zoom barHandwriting recognition,T_Mobile,,No,Pocket OfficeVoice memoMP3 player,528 MHz ARM 11,117 g (4.13 oz),,,,,"GPS, A-GPS",HSPA 7.2/2 Mbps,,"480 x 800 pixels, 5:3 ratio (~292 ppi density)",,Up to 5 h,"3.2 inches, 29.1 cm2(~50.9% screen-to-body ratio)",Discontinued,Adreno 130,GSM / HSPA,Black,,,Wi-Fi 802.11 b/g,,Up to 500 h,HSDPA 900 / 2100,"2009, February. Released 2009, June",,T-Mobile MDA Compact V,,,Removable Li-Ion 1100 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT resistive touchscreen, 65K colors",Qualcomm MSM7200A,"2.0, A2DP",Microsoft Windows Mobile 6.1 Professional,miniUSB,,VGA videocall camera,,,,Accelerometer,,480p@15fps,107.9 x 53.1 x 13.7 mm (4.25 x 2.09 x 0.54 in),,,"5 MP, AF",HTML,,,"288MB RAM, 512MB ROM",,,,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mda-compact-v.jpg,"Stereo FM radio, RDS",
Trackball,T_Mobile,,Yes,Swivel display,,165 g (5.82 oz),,"2000 contacts, Photo call",About 220 EUR,,"GPS, A-GPS","Yes, 384 kbps",,"854 x 480 pixels, 16:9 ratio (~306 ppi density)",Yes,Up to 5 h 30 min,"3.2 inches, 28.2 cm2(~35.0% screen-to-body ratio)",Discontinued,,GSM / UMTS,"Orchid, Carbon",,,No,,Up to 192 h,UMTS 1700 / 2100,"2009, April","SMS, MMS, Email, IM",T-Mobile Sidekick LX 2009,,,Removable Li-Ion 1250 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",,"2.0, A2DP",,miniUSB,0.40 W/kg (head)     0.46 W/kg (body),,QWERTY,"Yes, MIDP 2.0",,,,Yes,132 x 61 x 16.3 mm (5.20 x 2.40 x 0.64 in),LED flash,,"3.15 MP, AF","WAP 2.0/xHTML, HTML",,No,,,"30 dialed, 30 received, 30 missed calls",,Yes,"MP3/WMA/WAV audio playerMP4/3gp playerVoice memoMySpace, Facebook, Twitter, Photobucket, YouTube apps","microSDHC (dedicated slot), 1 GB included",https://fdn2.gsmarena.com/vv/bigpic/sidekick-lx-2009.jpg,No,
No,T_Mobile,,No,Pocket OfficeMP3/AAC playerVoice memo/dialPredictive text input,260 MHz,150.3 g (5.29 oz),,,About 150 EUR,,No,,,"240 x 320 pixels, 4:3 ratio",,Up to 7 h,,Discontinued,,GSM,"White Mint, Black Burgundy",,,"Wi-Fi 802.11 b/g, UMA",,Up to 168 h,,"2009, January",,T-Mobile Shadow 2,Class 10,,Removable Li-Ion 1100 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",TI OMAP V1030,2.0,Microsoft Windows Mobile 6.1 Standard,miniUSB,,,Half-QWERTY,,Class 10,,,Yes,104.1 x 53.3 x 15.2 mm (4.10 x 2.10 x 0.60 in),,,2 MP,"WAP 2.0/xHTML, HTML (PocketIE)",,,,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-shadow-2.jpg,No,
T-Mobile 3D UI,T_Mobile,,No,No,,84 g (2.96 oz),,"1000 contacts, Photocall",,,No,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Yes,Up to 3 h,"2.4 inches, 17.8 cm2(~36.9% screen-to-body ratio)",Discontinued,,GSM,Black,,,No,,Up to 180 h,,"2009, March","SMS, MMS",T-Mobile Vairy Touch,Class 10,,Removable Li-Ion battery,GSM 900 / 1800,Mini-SIM,"TFT, 65K colors",,2.0,,miniUSB 2.0,,,,No,No,,,Yes,93 x 52 x 16 mm (3.66 x 2.05 x 0.63 in),,,1.3 MP,WAP 2.0/xHTML,,MP3/MP4 playerOrganizerVoice memoPredictive text input,,,"30 dialed, 30 received, 30 missed calls",,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-vairy-touch.jpg,"Stereo FM radio, RDS",
TouchFLO finger swipe navigationHandwriting recognition5-way navigation,T_Mobile,,No,No,200 MHz ARM926EJ-S,110 g (3.88 oz),,,,,No,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Up to 8 h,"2.8 inches, 24.3 cm2(~39.2% screen-to-body ratio)",Discontinued,,GSM,Gray,,,Wi-Fi 802.11b/g,,Up to 270 h,,"2009, January",,T-Mobile MDA Basic,Class 10,,Removable Li-Ion 1100 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT resistive touchscreen, 65K colors",TI OMAP 850,"2.0, A2DP",Microsoft Windows Mobile 6.1 Professional,miniUSB,,,,,Class 10,,,Yes,105 x 59 x 16 mm (4.13 x 2.32 x 0.63 in),,,2 MP,"WAP 2.0/xHTML, HTML (PocketIE)",,Pocket OfficeVoice memoMP3/AAC player,"128MB RAM, 256MB ROM",,,,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/mda-basic.jpg,No,
HSDPA 1700 / 2100 - American version,T_Mobile,,No,Trackball,528 MHz ARM 11,158 g (5.57 oz),Corning Gorilla Glass,,About 290 EUR,,GPS,HSPA 7.2/2 Mbps,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",,Up to 5 h 20 min,"3.2 inches, 30.5 cm2(~46.8% screen-to-body ratio)",Discontinued,Adreno 130,GSM / HSPA,"White, Black, Brown",,Noise -87.2dB / Crosstalk -86.1dB,Wi-Fi 802.11 b/g,,Up to 406 h,HSDPA 2100,"2008, September. Released 2008, October",,T-Mobile G1,,,Removable Li-Ion 1150 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",Qualcomm MSM7201A,"2.0, A2DP (headset support only)",Android 1.6 (Donut),miniUSB,0.71 W/kg (head)     0.84 W/kg (body),,QWERTY,,,"Accelerometer, compass",,Yes,117 x 55.7 x 17.1 mm (4.61 x 2.19 x 0.67 in),,,"3.15 MP, AF",HTML,,No,"192MB RAM, 256MB",,,,Yes,Voice memoMP3 player,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-g1.jpg,No,
TouchFLO 3D finger swipe navigationHandwriting recognition,T_Mobile,,No,TV-out (cable not included)Pocket OfficeVoice memoMP3 playerPredictive text input,528 MHz ARM 11,165 g (5.82 oz),,,,,"GPS, A-GPS",HSPA 7.2/0.384 Mbps,,"480 x 640 pixels, 4:3 ratio (~286 ppi density)",,Up to 8 h,"2.8 inches, 24.3 cm2(~46.7% screen-to-body ratio)",Discontinued,Adreno 130,GSM / HSPA,Black,,,Wi-Fi 802.11 b/g,,Up to 406 h,HSDPA 900 / 2100,"2008, June. Released 2008",,T-Mobile MDA Vario IV,,,Removable Li-Ion 1340 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT resistive touchscreen, 65K colors",Qualcomm MSM7201A,"2.0, A2DP",Microsoft Windows Mobile 6.1 Professional,miniUSB,1.34 W/kg (head)     0.87 W/kg (body),VGA videocall camera,QWERTY,,,Accelerometer,,Yes,102 x 51 x 18.1 mm (4.02 x 2.01 x 0.71 in),LED flash,,"3.15 MP, AF","WAP 2.0/xHTML, HTML (Opera 9.5)",,,"256MB RAM, 512MB ROM",,,,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/mda-vario-4.jpg,"Stereo FM radio, RDS",
No,T_Mobile,,No,Pocket OfficeMP3/AAC playerVoice memo/dialPredictive text input,200 MHz ARM926EJ-S,150 g (5.29 oz),,,About 260 EUR,,No,,,"240 x 320 pixels, 4:3 ratio",,Up to 5 h,", 53 x 40 mm",Discontinued,,GSM,Black,,,Wi-Fi 802.11 b/g,,Up to 150 h,,"2007, October",,T-Mobile Shadow,Class 10,,Removable Li-Ion 920 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",TI OMAP 850,2.0,Microsoft Windows Mobile 6.0 Standard,miniUSB,0.35 W/kg (head)     0.67 W/kg (body),,Half-QWERTY,,Class 10,,,Yes,103 x 53 x 15 mm (4.06 x 2.09 x 0.59 in),,,2 MP,"WAP 2.0/xHTML, HTML (PocketIE)",,,"128MB RAM, 256MB ROM",,,,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/htc-shadow.jpg,No,
TouchFLO 3D finger swipe navigationHandwriting recognition,T_Mobile,,No,Pocket OfficeVoice memoMP3 playerPredictive text input,528 MHz ARM 11,98 g (3.46 oz),,,,,"GPS, A-GPS",HSPA 7.2/0.384 Mbps,,"480 x 640 pixels, 4:3 ratio (~286 ppi density)",,Up to 5 h 30 min,"2.8 inches, 24.3 cm2(~42.4% screen-to-body ratio)",Discontinued,Adreno 130,GSM / HSPA,Black,,,Wi-Fi 802.11 b/g,,Up to 285 h,HSDPA 900 / 2100,"2008, May. Released 2009, Q1",,T-Mobile MDA Compact IV,,,Removable Li-Ion 900 mAh battery,GSM 900 / 1800 / 1900,Mini-SIM,"TFT resistive touchscreen, 65K colors",Qualcomm MSM7201A,"2.0, A2DP",Microsoft Windows Mobile 6.1 Professional,miniUSB,1.33 W/kg (head)     1.44 W/kg (body),VGA videocall camera,,,,Accelerometer,,CIF@30fps,110 x 52 x 12 mm (4.33 x 2.05 x 0.47 in),,,"3.15 MP, AF","WAP 2.0/xHTML, HTML (Opera 9.5)",,,4GB 128MB RAM,,,,Yes,,No,https://fdn2.gsmarena.com/vv/bigpic/mda-compact-4.jpg,"Stereo FM radio, RDS",
Swivel display,T_Mobile,,Yes,No,,128 g (4.52 oz),,,,,No,,,"240 x 400 pixels, 5:3 ratio (~179 ppi density)",,Up to 5 h,"2.6 inches, 19.2 cm2(~27.9% screen-to-body ratio)",Discontinued,,GSM,Black,,,No,,Up to 216 h,,"2008, July",,T-Mobile Sidekick,Class 10,,Removable Li-Ion 1030 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",,"2.0, A2DP",Danger 4.7,miniUSB,,,QWERTY,,Class 10,,,Yes,119 x 58 x 18 mm (4.69 x 2.28 x 0.71 in),,,1.3 MP,"WAP 2.0/xHTML, HTML",,MP3/WAV/WMA audio playerMP4 playerVoice memoPredictive text input,"128MB RAM, 64MB ROM",,,,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/sidekick.jpg,No,
No,T_Mobile,,No,"MP3 player (iMelody,MIDI,MP3,AMR formats)Predictive text inputCalculatorStopwatch",200 MHz ARM926EJ-S,150 g (5.29 oz),,2000 entries,About 100 EUR,,No,,,"240 x 320 pixels, 4:3 ratio (~160 ppi density)",Yes,Up to 7 h,"2.5 inches, 50.8 x 38 mm, 19.4 cm2(~26.6% screen-to-body ratio)",Discontinued,,GSM,Black,,,No,,Up to 156 h,,"2007, September. Released 2007, November","SMS, EMS, MMS, Email, Instant Messaging",T-Mobile Sidekick Slide,Class 10,,Removable Li-Ion 1130 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",TI OMAP 850,2.0,,miniUSB,0.67 W/kg (head)     0.37 W/kg (body),,QWERTY,No,Class 10,,"Vibration; Polyphonic(64), MP3 ringtones",No,119.4 x 61 x 17.8 mm (4.70 x 2.40 x 0.70 in),,,1.3 MP,WAP 2.0/xHTML,,,128MB,,"10 dialed, 10 received, 10 missed calls",,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/sidekick-slide.jpg,No,
No,T_Mobile,,No,MP3/WMA audio playerMP4 playerVoice memo,,162 g (5.71 oz),,,About 160 EUR,,No,,,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",,Up to 6 h 50 min,"3.0 inches, 25.6 cm2(~33.0% screen-to-body ratio)",Discontinued,,GSM,Black,,,No,,Up to 96 h,,"2007, September",,T-Mobile Sidekick LX,Class 10,,Removable Li-Ion 1540 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",,2.0,Danger OS,Proprietary,0.40 W/kg (head)     0.46 W/kg (body),,QWERTY,,Class 10,,,Yes,129.5 x 60 x 22 mm (5.10 x 2.36 x 0.87 in),,,1.3 MP,"WAP 2.0/xHTML, HTML",,,"64MB RAM, 64MB ROM",,,,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/sidekick-lx.jpg,No,
Swivel display,T_Mobile,,No,No,,190 g (6.70 oz),,,,,No,,,"160 x 240 pixels, 3:2 ratio (~111 ppi density)",,Up to 4 h 50 min,"2.6 inches, 20.1 cm2(~26.2% screen-to-body ratio)",Discontinued,,GSM,Black,,,No,,Up to 72 h,,"2006, June",,T-Mobile Sidekick 3,Class 10,,Removable Li-Ion 1500 mAh battery,GSM 850 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",,1.2,Danger 3.0,1.1,,,QWERTY,,Class 10,,,No,130 x 59 x 22 mm (5.12 x 2.32 x 0.87 in),LED flash,,1.3 MP,"WAP 2.0/xHTML, HTML",,MP3 audio playerVoice memo,64MB RAM,,,,Yes,,miniSD,https://fdn2.gsmarena.com/vv/bigpic/sidekick-3.jpg,No,
Handwriting recognition,T_Mobile,,No,No,200 MHz ARM926EJ-S,168 g (5.93 oz),,,,,No,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Up to 5 h,"2.8 inches, 24.3 cm2(~38.1% screen-to-body ratio)",Discontinued,,GSM,Black,,,Wi-Fi 802.11b/g,,Up to 200 h,,"2006, November",,T-Mobile Wing,Class 10,,Removable Li-Ion 1130 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT resistive touchscreen, 65K colors",TI OMAP 850,"2.0, A2DP",Microsoft Windows Mobile 6 Professional,1.1,,,QWERTY,,Class 10,,,QCIF,109 x 58.5 x 18.7 mm (4.29 x 2.30 x 0.74 in),,,2 MP,"WAP 2.0/xHTML, HTML (PocketIE)",,Pocket OfficeVoice memoMP3/WAV playerPredictive text input,"64MB RAM, 128MB ROM",,,,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/wing.jpg,No,
HTC JOGGR touch-sensitive navigation bar,T_Mobile,,No,No,200 MHz ARM926EJ-S,119 g (4.20 oz),,,,,No,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Up to 5 h,"2.4 inches, 17.8 cm2(~25.6% screen-to-body ratio)",Discontinued,,GSM,,,,Wi-Fi 802.11b/g,,Up to 220 h,,"2006, September",,T-Mobile Dash,Class 10,,Removable Li-Ion 960 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",TI OMAP 850,"2.0, A2DP",Microsoft Windows Mobile 5.0 Smartphone,1.1,,,QWERTY,,Class 10,,,Yes,111.5 x 62.5 x 12.8 mm (4.39 x 2.46 x 0.50 in),,,1.3 MP,"WAP 2.0/xHTML, HTML (PocketIE)",,MP3/WAV playerPocket OfficeOrganizerPredictive text input,"64MB RAM, 128MB ROM",,,,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/dash.jpg,No,
T-Mobile TVMP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input,T_Mobile,,Yes,,1.4 GHz,-,,,,,"GPS, A-GPS",HSPA 21.1/5.76 Mbps,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,"4.0 inches, 45.5 cm2",Cancelled,,GSM / HSPA,"White, Black",,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,HSDPA 850 / 1700 / 1900 / 2100,Not officially announced yet,,T-Mobile myTouch qwerty,,,Removable Li-Ion battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,IPS LCD,,"4.0, A2DP",Android 4.0 (Ice Cream Sandwich),microUSB 2.0,,Yes,QWERTY,,,"Accelerometer, proximity, compass",,1080p@30fps,-,"LED flash, HDR",,"5 MP, AF",,,,4GB 1GB RAM,,,,Yes,,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/huawei-ascend-g312-qwerty.jpg,FM Radio,
