,Dimensions,Phonebook,Model Image,Type_1,_1,Model Name,Messaging,Card slot,Brand,Speed,EDGE,Stand-by,SAR,Sensors,Video_1,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Keyboard,4G bands,Features,Java,Features_1,Single_1,Type,Games,Talk time,WLAN,Call records,3G bands,Size,Single,Bluetooth,Radio,USB,Music play,Status,Internal,OS,Colors,GPRS,Weight,Resolution
,133.9 x 66 x 8.3 mm (5.27 x 2.60 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-air-451.jpg,Li-Ion 1700 mAh battery,,Unnecto Air 4.5,,microSDHC,Unnecto,HSPA 21.1/5.76 Mbps,,Up to 120 h (3G),,Accelerometer,,,Mali-450MP4,"2015, January. Released 2015, February",Quad-core 1.3 GHz,GPS,GSM / HSPA,"Yes, with stereo speakers",Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@60fps,No,,,"LED flash, HDR",,,3 MP,IPS LCD,,Up to 8 h (3G),"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,HSDPA 850 / 1900 / 2100,"4.5 inches, 55.8 cm2(~63.1% screen-to-body ratio)","8 MP, AF","4.0, A2DP",FM radio,"microUSB 2.0, OTG",Up to 24 h,Discontinued,8GB 1GB RAM,Android 4.4.2 (KitKat),"Black, White, Gray",,110.6 g (3.92 oz),"480 x 854 pixels, 16:9 ratio (~218 ppi density)"
,148 x 74 x 9 mm (5.83 x 2.91 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-rush.jpg,Li-Ion 2000 mAh battery,,Unnecto Rush,,microSDHC,Unnecto,HSPA 21.1/11.5 Mbps,,Up to 750 h (3G),,"Accelerometer, proximity",,,Mali-400,"2014, September. Released 2014, September",Quad-core 1.3 GHz,GPS,GSM / HSPA,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,LED flash,,,VGA,TFT,,Up to 15 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1900 / 2100,"5.0 inches, 68.9 cm2(~62.9% screen-to-body ratio)",8 MP,"2.1, EDR",FM radio,microUSB,,Discontinued,4GB 512MB RAM,Android 4.4.2 (KitKat),"Black, White, Blue",,180 g (6.35 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,125.5 x 65 x 9.4 mm (4.94 x 2.56 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-z.jpg,Li-Ion 1500 mAh battery,,Unnecto Quattro Z,,microSDHC,Unnecto,HSPA 21.1/5.76 Mbps,,Up to 600 h,,,,,Mali-400,"2014, June. Released 2014, June",Dual-core 1.2 GHz,GPS,GSM / HSPA,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,LED flash,,,VGA,IPS LCD,,Up to 11 h,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1900 / 2100,"4.0 inches, 45.5 cm2(~55.8% screen-to-body ratio)",8 MP,"4.0, A2DP",FM radio,microUSB,,Discontinued,4GB 512MB RAM,Android 4.2.2 (Jelly Bean),"Black, White, Blue",,110 g (3.88 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
,116 x 61 x 11.5 mm (4.57 x 2.40 x 0.45 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-z.jpg,Li-Ion 1200 mAh battery,,Unnecto Drone Z,,microSDHC,Unnecto,HSPA 21.1/5.76 Mbps,,Up to 450 h (3G),,,,,,"2014, June. Released 2014, June",Dual-core 1.0 GHz,GPS,GSM / HSPA,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,,,,VGA,TFT,,Up to 9 h (3G),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 1900 / 2100,"3.5 inches, 36.5 cm2(~51.5% screen-to-body ratio)",3.15 MP,"4.0, A2DP",FM radio,microUSB,,Discontinued,512MB 256MB RAM,Android 4.2.2 (Jelly Bean),"Black, White, Grey",,100 g (3.53 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)"
,123 x 65 x 11.5 mm (4.84 x 2.56 x 0.45 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro.jpg,Li-Ion 1400 mAh battery,,Unnecto Quattro,,"microSDHC (dedicated slot), 8 GB included",Unnecto,HSPA 7.2/5.76 Mbps,,Up to 170 h,,,,,,"2012, March. Released 2012, June",,GPS,GSM / HSPA,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,,,,VGA,TFT,,Up to 3 h,Wi-Fi 802.11 b/g/n,,HSDPA 850 / 2100 - SIM 1,"4.0 inches, 45.5 cm2(~57.0% screen-to-body ratio)",3.15 MP,"2.1, EDR",FM radio,microUSB,,Discontinued,512MB RAM,Android 2.3 (Gingerbread),Black,,140 g (4.94 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
No,114 x 62.5 x 11.5 mm (4.49 x 2.46 x 0.45 in),1000 entries,https://fdn2.gsmarena.com/vv/bigpic/unnecto-blaze.jpg,Li-Ion 1100 mAh battery,MP3/MP4 playerOrganizerVoice memo,Unnecto Blaze,"SMS, MMS, Email, Push Email, IM","microSDHC (dedicated slot), 2 GB included",Unnecto,,Class 32,Up to 180 h,,,,,,"2012, March. Released 2012, April",,No,GSM,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,LED flash,"Yes, MIDP 2.0",,,TFT resistive touchscreen,Yes,Up to 4 h,Wi-Fi 802.11 b/g,Yes,,"3.5 inches, 3.50, 36.5 cm2(~51.2% screen-to-body ratio)",2 MP,"2.1, EDR",FM radio,microUSB,,Discontinued,1GB 512MB RAM,,"Black, White",Class 12,131.5 g (4.62 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)"
,102.6 x 56.4 x 12.4 mm (4.04 x 2.22 x 0.49 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone.jpg,Li-Ion 800 mAh battery,,Unnecto Drone,,microSDHC (dedicated slot),Unnecto,,Yes,Up to 100 h,,,,,,"2012, February. Released 2012, April",,No,GSM,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,LED flash,,,VGA,TFT resistive touchscreen,,Up to 4 h,Wi-Fi 802.11 b/g/n,,,"3.2 inches, 3.20, 29.1 cm2(~50.4% screen-to-body ratio)",2 MP,"2.1, A2DP, EDR",FM radio,microUSB,,Discontinued,4GB 2GB RAM,Android 2.2 (Froyo),"Black/black, black/silver, black/white",Class 12,117 g (4.13 oz),"240 x 400 pixels, 5:3 ratio (~146 ppi density)"
No,105.5 x 56 x 12.2 mm (4.15 x 2.20 x 0.48 in),500 entries,https://fdn2.gsmarena.com/vv/bigpic/unnecto-tap.jpg,Li-Ion 950 mAh battery,MP3/MP4 playerOrganizerVoice memo,Unnecto Tap,"SMS, MMS, IM","microSDHC (dedicated slot), 4 GB included",Unnecto,,Yes,Up to 200 h,,,,,,"2011, June. Released 2011, August",,No,GSM,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,,Yes,,,TFT resistive touchscreen,Yes,Up to 4 h,Wi-Fi 802.11 b/g/n,Yes,,"2.8 inches, 24.3 cm2(~41.1% screen-to-body ratio)",1.3 MP,Yes,FM radio,microUSB,,Discontinued,256MB 64MB RAM,,White/Blue,Class 12,90 g (3.17 oz),"240 x 320 pixels, 4:3 ratio (~143 ppi density)"
No,115 x 60 x 11 mm (4.53 x 2.36 x 0.43 in),500 entries,https://fdn2.gsmarena.com/vv/bigpic/unnecto-pro-z.jpg,Li-Ion 1000 mAh battery,MP3/MP4 playerOrganizerVoice memo,Unnecto Pro Z,"SMS, MMS, Email, Push Email, IM",microSDHC (dedicated slot),Unnecto,,Yes,Up to 240 h,,,,,,"2012, March. Released 2012, June",,No,GSM,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,QWERTY,,,"Yes, MIDP 2.0",,,TFT resistive touchscreen,Yes,Up to 3 h,Wi-Fi 802.11 b/g,Yes,,"2.4 inches, 17.8 cm2(~25.9% screen-to-body ratio)",1.3 MP,3.0,FM radio,microUSB,,Discontinued,64MB,,"Black, White",Class 12,90 g (3.17 oz),"320 x 240 pixels, 4:3 ratio (~167 ppi density)"
No,112 x 60 x 11.5 mm (4.41 x 2.36 x 0.45 in),500 entries,https://fdn2.gsmarena.com/vv/bigpic/unnecto-pro.jpg,Li-Ion 1000 mAh battery,MP3/MP4 playerNimbuzzOrganizerVoice memo,Unnecto Pro,"SMS, MMS, Email, Push Email, IM","microSDHC (dedicated slot), 4 GB included",Unnecto,,Yes,Up to 240 h,,,,,,"2012, March. Released 2012, June",,No,GSM,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,QWERTY,,,"Yes, MIDP 2.0",,,TFT resistive touchscreen,Yes,Up to 3 h,Wi-Fi 802.11 b/g/n,Yes,,"2.4 inches, 17.8 cm2(~26.5% screen-to-body ratio)",1.3 MP,3.0,FM radio,microUSB,,Discontinued,512MB 256MB RAM,,"Black, White",Class 12,120 g (4.23 oz),"320 x 240 pixels, 4:3 ratio (~167 ppi density)"
No,112 x 60 x 13.5 mm (4.41 x 2.36 x 0.53 in),500 entries,https://fdn2.gsmarena.com/vv/bigpic/unnecto-edge.jpg,Li-Ion 900 mAh battery,MP3/MP4 playerOrganizerVoice memo,Unnecto Edge,"SMS, MMS, Email, Push Email, IM","microSDHC (dedicated slot), 2 GB included",Unnecto,,No,Up to 120 h,,,,,,"2011, June. Released 2011, August",,No,GSM,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,No,Yes,No,QWERTY,,,"Yes, MIDP 2.0",,,TFT,Yes,Up to 3 h,No,Yes,,"2.2 inches, 15.0 cm2(~22.3% screen-to-body ratio)",1.3 MP,"2.1, EDR",FM radio,microUSB,,Discontinued,128MB,,"Black/Black, Black/Red",Class 12,140 g (4.94 oz),"320 x 240 pixels, 4:3 ratio (~182 ppi density)"
No,111.5 x 60 x 14.3 mm (4.39 x 2.36 x 0.56 in),500 entries,https://fdn2.gsmarena.com/vv/bigpic/unnecto-shell.jpg,Li-Ion 1000 mAh battery,MP3/MP4 playerOrganizerVoice memo,Unnecto Shell,"SMS, MMS, Email, Push Email, IM","microSDHC (dedicated slot), 2 GB included",Unnecto,,No,Up to 150 h,,,,,,"2011, June. Released 2011, August",,No,GSM,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,No,Yes,No,QWERTY,,,"Yes, MIDP 2.0",,,TFT,Yes,Up to 4 h,No,Yes,,"2.2 inches, 15.0 cm2(~22.4% screen-to-body ratio)",1.3 MP,"2.1, EDR",FM radio,microUSB,,Discontinued,128MB,,"Black, Silver",Class 12,240 g (8.47 oz),"320 x 240 pixels, 4:3 ratio (~182 ppi density)"
No,107.2 x 58.2 x 14.7 mm (4.22 x 2.29 x 0.58 in),300 entries,https://fdn2.gsmarena.com/vv/bigpic/unnecto-pebble.jpg,Li-Ion 800 mAh battery,MP3/MP4 playerOrganizerVoice memo,Unnecto Pebble,"SMS, MMS, Email, Push Email, IM","microSDHC (dedicated slot), 2 GB included",Unnecto,,No,Up to 120 h,,,,,,"2011, June. Released 2011, August",,No,GSM,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,QWERTY,,,No,,,TFT,Yes,Up to 5 h,No,Yes,,"2.0 inches, 12.6 cm2(~20.2% screen-to-body ratio)",1.3 MP,"2.1, EDR",FM radio,microUSB,,Discontinued,64MB,,"Black/Black, Black/Pink, White/Blue",Class 12,100 g (3.53 oz),220 x 176 pixels (~141 ppi density)
No,115 x 52 x 11.4 mm (4.53 x 2.05 x 0.45 in),500 entries,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drift.jpg,Li-Ion 800 mAh battery,MP3/MP4 playerOrganizerVoice memo,Unnecto Drift,"SMS, MMS, Email",microSDHC (dedicated slot),Unnecto,,No,Up to 120 h,,,,,,"2011, June. Released 2011, August",,No,GSM,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,No,Yes,No,,,,"Yes, MIDP 2.0",,,TFT,Yes,Up to 5 h,No,Yes,,"2.4 inches, 17.8 cm2(~29.8% screen-to-body ratio)",1.3 MP,"2.1, EDR",FM radio,microUSB,,Discontinued,128MB,,"Black, Yellow, Orange",Class 12,80 g (2.82 oz),"320 x 240 pixels, 4:3 ratio (~167 ppi density)"
Flashlight,105.8 x 46 x 14.8 mm (4.17 x 1.81 x 0.58 in),200 entries,https://fdn2.gsmarena.com/vv/bigpic/unnecto-eco.jpg,Li-Ion 1100 mAh battery,No,Unnecto Eco,"SMS, MMS",microSD (dedicated slot),Unnecto,,No,Up to 200 h,,,,MP3/MP4 playerOrganizerVoice memo,,"2011, June. Released 2011, August",,No,GSM,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,No,Yes,No,,,,No,,,TFT,Yes,Up to 7 h,No,Yes,,"1.77 inches, 9.9 cm2(~20.3% screen-to-body ratio)",VGA,"2.1, EDR",FM radio,Proprietary,,Discontinued,64MB,,"Black/Red, White/Blue, Black/Grey, Blue/Blue, White/Pink",Class 12,80 g (2.82 oz),128 x 160 pixels (~116 ppi density)
GSM 850 / 900 / 1800 / 1900,108 x 46 x 13.2 mm (4.25 x 1.81 x 0.52 in),1000 entries,https://fdn2.gsmarena.com/vv/bigpic/unnecto-primo-3g.jpg,Li-Ion 600 mAh battery,Flashlight,Unnecto Primo 3G,"SMS, MMS",microSDHC (dedicated slot),Unnecto,HSPA,,,,,,No,,2013. Released 2013,,No,GSM / HSPA,Yes,Single SIM or Dual SIM (dual stand-by),Audio/video playerOrganizerVoice memo,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,No,,,,No,,,TFT,Yes,,No,Yes,HSDPA 850 / 1900,"1.8 inches, 10.2 cm2(~20.5% screen-to-body ratio)",0.8 MP,Yes,FM radio,Proprietary,,Discontinued,1GB 256MB RAM,,"Black, Blue, Stone",,70 g (2.47 oz),128 x 160 pixels (~114 ppi density)
GSM 850 / 900 / 1800 / 1900,108 x 46 x 13.2 mm (4.25 x 1.81 x 0.52 in),250 entries,https://fdn2.gsmarena.com/vv/bigpic/unnecto-primo.jpg,Li-Ion 600 mAh battery,Flashlight,Unnecto Primo,"SMS, MMS",microSDHC (dedicated slot),Unnecto,,No,Up to 150 h,,,,No,,2013. Released 2013,,No,GSM,Yes,Single SIM or Dual SIM (dual stand-by),Audio/video playerOrganizerVoice memo,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,No,,,,No,,,TFT,Yes,Up to 5 h,No,Yes,,"1.8 inches, 10.2 cm2(~20.5% screen-to-body ratio)",Yes,Yes,FM radio,Proprietary,,Discontinued,32MB 32MB,,"Black Grey, Black Red, White Blue, White Pink, Blue",Yes,70 g (2.47 oz),128 x 160 pixels (~114 ppi density)
