,Features,Talk time,Positioning,Resolution,Type_1,WLAN,Phonebook,EDGE,Bluetooth,Messaging,Keyboard,Java,Model Image,OS,3G bands,2G bands,Call records,Card slot,Internal,Status,_3,Technology,Stand-by,Video,Games,Single,3.5mm jack,Brand,Speed,Dimensions,_2,GPRS,Weight,Colors,Announced,Type,Alert types,_1,Sensors,Size,Model Name,Loudspeaker,USB,Browser,SIM,Radio
3D Widget UI,,Up to 4 h 30 min,"GPS, A-GPS","480 x 800 pixels, 5:3 ratio (~217 ppi density)",Removable Li-Ion 1500 mAh battery,Wi-Fi 802.11 b/g,,,"2.0, A2DP",,,,https://fdn2.gsmarena.com/vv/bigpic/i858.jpg,Android 2.0 (Donut),HSDPA 2100,GSM 850 / 900 / 1800 / 1900,,microSDHC (dedicated slot),,Discontinued,,GSM / HSPA,Up to 250 h,Yes,,"5 MP, AF",No,i_mobile,HSPA,120 x 67 x 12.8 mm (4.72 x 2.64 x 0.50 in),TV tunerMP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,-,"Black, White",2010. Released 2010,"TFT, 256K colors",,No,Accelerometer,"4.3 inches, 52.6 cm2(~65.5% screen-to-body ratio)",i-mobile i858,Yes,Proprietary,WAP 2.0/xHTML,Mini-SIM,Stereo FM radio
Trackball,,Up to 8 h,"GPS, A-GPS","320 x 480 pixels, 3:2 ratio (~180 ppi density)",Removable Li-Ion 1500 mAh battery,Wi-Fi 802.11 b/g,,,"2.0, A2DP",,,,https://fdn2.gsmarena.com/vv/bigpic/8500.jpg,Android OS,HSDPA 2100,GSM 850 / 900 / 1800 / 1900,,microSDHC (dedicated slot),256MB 128MB RAM,Discontinued,,GSM / HSPA,Up to 250 h,Yes,,5 MP,Yes,i_mobile,HSPA,112 x 56.5 x 14.9 mm (4.41 x 2.22 x 0.59 in),MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,-,Silver,2010. Released 2010,"TFT, 256K colors",,No,Accelerometer,"3.2 inches, 30.5 cm2(~48.2% screen-to-body ratio)",i-mobile 8500,Yes,Proprietary,WAP 2.0/xHTML,Mini-SIM,Stereo FM radio
GSM 900 / 1800 / 1900 - SIM 2,LED flash,Up to 7 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Removable Li-Ion 1200 mAh battery,No,"1000 entries, Photocall",Class 12,"2.0, A2DP","SMS, MMS",QWERTY,"Yes, MIDP 2.0",https://fdn2.gsmarena.com/vv/bigpic/5230.jpg,,,GSM 900 / 1800 / 1900 - SIM 1,Yes,microSD (dedicated slot),48MB,Discontinued,,GSM,Up to 400 h,176x144@15fps,Yes,"5 MP, AF",Yes,i_mobile,,116 x 58 x 14.4 mm (4.57 x 2.28 x 0.57 in),Analog TVMP3/AAC+ playerH.263 playerOrganizerVoice memoPredictive text input,Class 12,-,Silver,2010. Released 2010,"TFT resistive touchscreen, 256K colors",,No,Accelerometer,"2.8 inches, 24.3 cm2(~36.1% screen-to-body ratio)",i-mobile 5230,Yes,miniUSB 2.0,"WAP 2.0/xHTML, HTML",Dual SIM (Mini-SIM),Stereo FM radio
GSM 900 / 1800 - SIM 2,,Up to 4 h,No,220 x 176 pixels,Removable Li-Ion 1000 mAh battery,No,"Yes, Photocall",No,No,"SMS, MMS",QWERTY,No,https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz-2206.jpg,,,GSM 900 / 1800 - SIM 1,Yes,microSD (dedicated slot),,Discontinued,OrganizerVoice memoPredictive text input,GSM,Up to 667 h,No,Yes,Yes,No,i_mobile,,110 x 59.4 x 13.4 mm (4.33 x 2.34 x 0.53 in),No,Class 10,-,Silver,2010. Released 2010,"TFT, 65K colors",,Flashlight,,,i-mobile Hitz 2206,Yes,No,No,Dual SIM (Mini-SIM),Stereo FM radio
No,LED flash,Up to 8 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1100 mAh battery,No,"1000 entries, Photocall",Class 10,"2.0, A2DP","SMS, MMS, EMS",,"Yes, MIDP 2.1",https://fdn2.gsmarena.com/vv/bigpic/5220.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 420 h,Yes,Yes,"5 MP, AF",No,i_mobile,,116.5 x 52.5 x 13 mm (4.59 x 2.07 x 0.51 in),,Class 10,-,"Black, White, Red",2010. Released 2010,"TFT, 256K colors",,TV tuner/recorderMP3/AAC playerH.263 playerOrganizerVoice memoPredictive text input,,"2.4 inches, 17.8 cm2(~29.2% screen-to-body ratio)",i-mobile 5220,Yes,miniUSB,WAP 2.0/xHTML,Mini-SIM,Stereo FM radio
No,flash,Up to 4 h,No,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",Removable Li-Ion 1050 mAh battery,No,"1000 entries, Photocall",Class 10,"1.2, A2DP","SMS, MMS, Email, Push Email",,Yes,https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz658.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 300 h,Yes,Yes,"8 MP, AF",No,i_mobile,,111 x 56 x 13 mm (4.37 x 2.20 x 0.51 in),,Class 10,,Black,"2009, October. Released 2009, October","TFT, 256K colors",,TV tunerMP3 playerMP4/3GP playerOrganizerVoice memoPredictive text input,Accelerometer,"3.0 inches, 25.6 cm2(~41.2% screen-to-body ratio)",i-mobile TV658 Touch&Move,Yes,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),"FM radio, built-in antenna"
No,,Up to 3 h,No,128 x 160 pixels (~116 ppi density),Removable Li-Ion 750 mAh battery,No,"300 entries, Photocall",No,Yes,"SMS, EMS",,,https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz212.jpg,,,GSM 900 / 1800,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 240 h,No,Yes,CIF,No,i_mobile,,105 x 46 x 13.3 mm (4.13 x 1.81 x 0.52 in),,No,80 g (2.82 oz),"Black-Green, Silver-Blue, Silver-Orange, Pink","2009, October. Released 2009, October","TFT, 65K colors",,MP3 playerOrganizerVoice memoPredictive text input,,"1.77 inches, 9.9 cm2(~20.4% screen-to-body ratio)",i-mobile Hitz 212,Yes,Proprietary,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
No,,Up to 2 h 30 min,No,128 x 160 pixels (~114 ppi density),Removable Li-Ion 700 mAh battery,No,"300 entries, Photocall",No,No,"SMS, EMS, MMS",,,https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz210.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 150 h,No,Yes,CIF,No,i_mobile,,112 x 49 x 12.8 mm (4.41 x 1.93 x 0.50 in),,No,,Black,"2009, October. Released 2009, October","TFT, 65K colors",,MP3 playerOrganizerPredictive text input,,"1.8 inches, 10.2 cm2(~18.6% screen-to-body ratio)",i-mobile Hitz 210,Yes,Proprietary,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
No,,Up to 2 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~133 ppi density)",Removable Li-Ion 1000 mAh battery,No,"1000 entries, Photocall",Class 10,"1.2, A2DP","SMS(threaded view), EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-tv650-touch.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 200 h,Yes,Yes,3.15 MP,No,i_mobile,,110 x 55 x 13.4 mm (4.33 x 2.17 x 0.53 in),,Class 10,,Black,"2009, July. Released 2009, Q4","TFT, 256K colors",,TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input,Accelerometer,"3.0 inches, 27.9 cm2(~46.1% screen-to-body ratio)",i-mobile TV650 Touch,Yes,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
No,,Up to 2 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Removable Li-Ion 1000 mAh battery,No,"1000 entries, Photocall",Class 10,"1.2, A2DP","SMS(threaded view), EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-tv550-touch.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 200 h,Yes,Yes,VGA,No,i_mobile,,108 x 52 x 14 mm (4.25 x 2.05 x 0.55 in),,Class 10,,Black,"2009, July. Released 2009, Q4","TFT, 256K colors",,TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input,Accelerometer,"2.8 inches, 24.3 cm2(~43.2% screen-to-body ratio)",i-mobile TV550 Touch,Yes,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
No,,Up to 8 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1100 mAh battery,No,"1000 entries, Photocall",Class 10,Yes,"SMS(threaded view), EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-630.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 420 h,480p,Yes,"8 MP, AF",No,i_mobile,,115 x 52.5 x 13 mm (4.53 x 2.07 x 0.51 in),,Class 10,102 g (3.60 oz),Black,"2009, July. Released 2009, Q4","TFT, 256K colors",,TV tuner/recorderMP3 playerMP4/3GP playerOrganizerPredictive text input,,"2.4 inches, 17.8 cm2(~29.5% screen-to-body ratio)",i-mobile TV 630,Yes,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
No,,Up to 7 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 950 mAh battery,No,"1000 entries, Photocall",No,Yes,"SMS(threaded view), EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-628.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),10MB,Discontinued,,GSM,Up to 380 h,Yes,Yes,3.15 MP,No,i_mobile,,113 x 51 x 17 mm (4.45 x 2.01 x 0.67 in),,Class 12,109.5 g (3.84 oz),Black,"2009, July. Released 2009, Q4","TFT, 256K colors",,TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input,,"2.4 inches, 17.8 cm2(~31.0% screen-to-body ratio)",i-mobile TV 628,Yes,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
No,,Up to 8 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1050 mAh battery,No,"1000 entries, Photocall",,"1.2, A2DP","SMS(threaded view), EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-620.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),14MB,Discontinued,,GSM,Up to 420 h,Yes,Yes,3.15 MP,No,i_mobile,,114 x 51.5 x 14.6 mm (4.49 x 2.03 x 0.57 in),,Class 10,98 g (3.46 oz),Black,"2009, July","TFT, 256K colors",,TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input,,"2.4 inches, 17.8 cm2(~30.4% screen-to-body ratio)",i-mobile TV 620,Yes,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
No,,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1000 mAh battery,No,"1000 entries, Photocall",No,"1.2, A2DP","SMS(threaded view), EMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-536.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 250 h,Yes,Yes,VGA,No,i_mobile,,112 x 51 x 13.7 mm (4.41 x 2.01 x 0.54 in),,Class 10,,"Black, Silver","2009, July. Released 2009, Q4","TFT, 256K colors",,TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input,,"2.4 inches, 17.8 cm2(~31.2% screen-to-body ratio)",i-mobile TV 536,Yes,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
CDMA 800,,Up to 8 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1050 mAh battery,No,"1000 entries, Photocall",No,Yes,"SMS(threaded view), EMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-638cg.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),25MB,Discontinued,,GSM,Up to 400 h,Yes,Yes,3.15 MP,No,i_mobile,,113 x 51 x 14.5 mm (4.45 x 2.01 x 0.57 in),TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input,Class 12,,Black,"2009, July. Released 2009, Q4","TFT, 256K colors",,No,,"2.4 inches, 17.8 cm2(~31.0% screen-to-body ratio)",i-mobile 638CG,Yes,microUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
CDMA 800,,Up to 9 h,No,176 x 220 pixels (~141 ppi density),Removable Li-Ion 1050 mAh battery,No,"1000 entries, Photocall",No,Yes,"SMS(threaded view), EMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-232cg.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 850 h,No,Yes,CIF,No,i_mobile,,109.5 x 47.8 x 11.1 mm (4.31 x 1.88 x 0.44 in),MP3 playerOrganizerPredictive text input,Class 10,-,"Black, Silver","2009, July. Released 2009, Q4","TFT, 65K colors",,No,,"2.0 inches, 12.6 cm2(~24.1% screen-to-body ratio)",i-mobile Hitz 232CG,Yes,microUSB (charging and headset only),WAP 2.0/xHTML,Mini-SIM,FM radio
No,,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Removable Li-Ion 1000 mAh battery,No,1000 entries,No,"1.2, A2DP","SMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-535.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 250 h,Yes,Yes,1.3 MP,No,i_mobile,,108 x 48 x 13.8 mm (4.25 x 1.89 x 0.54 in),,Class 10,90 g (3.17 oz),"Black, Silver","2009, January. Released 2009, January","TFT, 256K colors",,TV tunerYamaha audio amplifierMP3 playerMP4/3GP playerOrganizerStop watchPrivate menuPredictive text input,,"2.2 inches, 15.0 cm2(~28.9% screen-to-body ratio)",i-mobile TV 535,No,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio; built-in antenna
No,LED flash,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Removable Li-Ion 830 mAh battery,No,1000 entries,Class 10,"1.2, A2DP","SMS, MMS",,"Yes, MIDP 2.0",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-627.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),63MB,Discontinued,,GSM,Up to 250 h,Yes,Yes,"3.15 MP, Casio-Hitachi module, AF",No,i_mobile,,109 x 46 x 15.2 mm (4.29 x 1.81 x 0.60 in),,Class 10,90 g (3.17 oz),"Black, Silver","2008, October. Released 2008, October","TFT, 256K colors",,Yamaha audio amplifierMP3 playerMP4/3GP playerOrganizerStop watchTalking disctionaryPrivate menuPredictive text input,Accelerometer,"2.0 inches, 12.4 cm2(~24.7% screen-to-body ratio)",i-mobile 627,"Yes, with stereo speakers",miniUSB,WAP 2.0/xHTML,Mini-SIM,FM radio; built-in antenna
