,Features,Talk time,Positioning,Resolution,Type_1,WLAN,Phonebook,EDGE,Bluetooth,Messaging,Keyboard,Java,Model Image,OS,3G bands,2G bands,Call records,Card slot,Internal,Status,_3,Technology,Stand-by,Video,Games,Single,3.5mm jack,Brand,Speed,Dimensions,_2,GPRS,Weight,Colors,Announced,Type,Alert types,_1,Sensors,Size,Model Name,Loudspeaker,USB,Browser,SIM,Radio
No,,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1100 mAh battery,No,500 entries,No,"1.2, A2DP","SMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-533.jpg,,,GSM 900 / 1800,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 250 h,Yes,Yes,VGA,No,i_mobile,,112.7 x 50 x 14.5 mm (4.44 x 1.97 x 0.57 in),,Class 10,105 g (3.70 oz),"Black, Silver","2009, January. Released 2009, January","TFT, 256K colors",,TV tunerYamaha Audio AmplifierMP3 playerMP4/3GP playerOrganizerStop watchPredictive text input,,"2.4 inches, 17.8 cm2(~31.7% screen-to-body ratio)",i-mobile TV 533,No,miniUSB,WAP 2.0/xHTML,"Dual SIM (Mini-SIM, dual stand-by)",FM radio
No,,Up to 3 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1100 mAh battery,No,500 entries,No,"1.2, A2DP","SMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-530.jpg,,,GSM 900 / 1800,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 300 h,Yes,Yes,VGA,No,i_mobile,,112 x 50 x 16.4 mm (4.41 x 1.97 x 0.65 in),,Class 10,105 g (3.70 oz),Black,"2008, September. Released 2008, October","TFT, 256K colors",,TV tunerYamaha Audio AmplifierMP3 playerMP4/3GP playerOrganizerStop watchPredictive text input,,"2.4 inches, 17.8 cm2(~31.9% screen-to-body ratio)",i-mobile TV 530,No,miniUSB,WAP 2.0/xHTML,Mini-SIM,No
No,,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Removable Li-Ion 1000 mAh battery,No,1000 entries,No,"1.2, A2DP","SMS, MMS",,"Yes, MIDP 2.0",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-523.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 300 h,Yes,Yes,VGA,No,i_mobile,,110 x 49 x 14.5 mm (4.33 x 1.93 x 0.57 in),,Class 12,98 g (3.46 oz),"Black, Silver","2008, October. Released 2008, October","TFT, 256K colors",,TV tunerMotion sensorMP3 playerMP4 playerOrganizerWorld clockStop watchTalking dictionary,,"2.2 inches, 15.0 cm2(~27.8% screen-to-body ratio)",i-mobile TV 523,"Yes, with stereo speakers",Proprietary,WAP 2.0/xHTML,Mini-SIM,FM radio
No,,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Removable Li-Ion 1000 mAh battery,No,500 entries,No,"1.2, A2DP","SMS, MMS",,"Yes, MIDP 2.0",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-522.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),120MB,Discontinued,,GSM,Up to 200 h,No,Yes,VGA,No,i_mobile,,111 x 49 x 14.5 mm (4.37 x 1.93 x 0.57 in),,Class 10,93.6 g (3.28 oz),"Black, Silver","2008, October. Released 2008, October","TFT, 256K colors",,Built-in Yamaha Audio AmplifierMP3 playerMP4 playerOrganizerWorld clockStop watchTalking dictionary,,"2.2 inches, 15.0 cm2(~27.6% screen-to-body ratio)",i-mobile 522,No,Proprietary,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
"wallpapers, themes",,Up to 2 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Removable Li-Ion 750 mAh battery,No,Yes,No,Yes,"SMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-320.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 250 h,Yes,Yes,VGA,No,i_mobile,,112 x 49 x 12.8 mm (4.41 x 1.93 x 0.50 in),Yamaha audio amplifierMP3 playerMP4/3GP playerOrganizerWorld clockStop watchPredictive text input,Class 10,95 g (3.35 oz),"Black, White","2008, October. Released 2008, December","TFT, 256K colors",,No,,"2.2 inches, 15.0 cm2(~27.3% screen-to-body ratio)",i-mobile 320,No,miniUSB,WAP 2.0/xHTML,Mini-SIM,FM radio
No,LED flash,,No,128 x 160 pixels (~123 ppi density),Removable Li-Ion 830 mAh battery,No,500 entries,No,"1.2, A2DP","SMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-319.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),50MB,Discontinued,,GSM,,Yes,Yes,"VGA, AF",No,i_mobile,,96 x 44 x 13.9 mm (3.78 x 1.73 x 0.55 in),,Class 10,80 g (2.82 oz),"Black, White, Gray","2008, September. Released 2008, September","TFT, 256K colors",,Yamaha Audio AmplifierMotion sensorMP3 playerVideo playerOrganizerWorld clockStop watchTalking dictionary,,"1.67 inches, 8.8 cm2(~20.8% screen-to-body ratio)",i-mobile 319,No,Proprietary,WAP 2.0/xHTML,Mini-SIM,FM radio
"Wallpapers, themes",LED flash,Up to 2 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1000 mAh battery,No,"1000 entries, Photocall",No,"1.2, A2DP","SMS, EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-626.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),87MB,Discontinued,,GSM,Up to 210 h,Yes,Yes,"3.15 MP, Casio-Hitachi module, AF",No,i_mobile,,113.9 x 50 x 15.5 mm (4.48 x 1.97 x 0.61 in),TV tunerTV-outMP3 playerMP4 playerOrganizerWorld clockStop watchVoice memo,Class 10,90 g (3.17 oz),"Black, Silver, White","2008, July. Released 2008","TFT, 256K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,"2.4 inches, 17.8 cm2(~31.3% screen-to-body ratio)",i-mobile TV 626,Yes,Proprietary,WAP 2.0/xHTML,Mini-SIM,FM radio
"Wallpapers, themes",LED flash,Up to 3 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Removable Li-Ion 1100 mAh battery,No,500 entries,No,"2.0, A2DP","SMS, EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/imobile-902.jpg,,,GSM 900 / 1800 / 1900,Yes,"microSD (dedicated slot), 1 GB included",128MB,Discontinued,,GSM,Up to 300 h,480p,Yes,5 MP,No,i_mobile,,102 x 48 x 17.5 mm (4.02 x 1.89 x 0.69 in),TV-outMP3 playerMP4 playerPredictive text inputOrganizerWorld clockStop watch,Class 10,94 g (3.32 oz),Silver,"2007, October","TFT, 16M","Vibration; Downloadable polyphonic, MP3 ringtones",No,,"2.0 inches, 12.4 cm2(~25.3% screen-to-body ratio)",i-mobile 902,No,miniUSB,WAP 2.0/xHTML,Mini-SIM,"Stereo FM radio, RDS"
"wallpapers, themes",LED flash,Up to 2 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Removable Li-Ion 830 mAh battery,No,1000 entries,No,"2.0, A2DP","SMS, EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-625.jpg,,,GSM 900 / 1800 / 1900,Yes,"microSD (dedicated slot), 1 GB included",60MB,Discontinued,,GSM,Up to 210 h,Yes,Yes,"3.15 MP, Casio-Hitachi module, AF",No,i_mobile,,105 x 47 x 13 mm (4.13 x 1.85 x 0.51 in),Yamaha audio amplifierMP3 playerMP4 playerOrganizerWorld clockStop watch,Class 10,90 g (3.17 oz),"Black, Silver","2008, May. Released 2008, May","TFT, 256K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,"2.0 inches, 12.4 cm2(~25.1% screen-to-body ratio)",i-mobile 625,No,Proprietary,WAP 2.0/xHTML,Mini-SIM,FM radio
wallpapers,,Up to 2 h,No,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Removable Li-Ion 850 mAh battery,No,1000 entries,No,"2.0, A2DP","SMS, EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-903.jpg,,,GSM 900 / 1800 / 1900,Yes,"microSD (dedicated slot), 1 GB included",64MB,Discontinued,,GSM,Up to 200 h,Yes,Yes,2 MP,No,i_mobile,,106 x 47 x 17 mm (4.17 x 1.85 x 0.67 in),MP3 playerMP4 playerTalkie Gang (short-distance radio transceiver function)OrganizerWorld clockStop watch,Class 10,88 g (3.10 oz),"Black, White","2007, May. Released 2007, May","TFT, 256K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,"2.0 inches, 12.4 cm2(~24.9% screen-to-body ratio)",i-mobile 903,No,Proprietary,WAP 2.0/xHTML,Mini-SIM,FM radio
,,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Removable Li-Ion 1000 mAh battery,No,1000 entries,No,"1.2, A2DP",SMS,,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-613.jpg,,,GSM 900 / 1800 / 1900,Yes,"microSD (dedicated slot), 1 GB included",87MB,Discontinued,,GSM,Up to 300 h,Yes,Yes,"3.15 MP, AF",No,i_mobile,,113 x 50 x 18 mm (4.45 x 1.97 x 0.71 in),TV-outMP3 playerMP4 playerOrganizerWorld clockStop watch,Class 12,74.5 g (2.61 oz),Black,"2007, December. Released 2007, December","TFT, 256K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,Accelerometer,"2.2 inches, 15.0 cm2(~26.5% screen-to-body ratio)",i-mobile 613,"Yes, with stereo speakers",Proprietary,WAP 2.0/xHTML,Mini-SIM,FM radio
"wallpapers, themes",,Up to 3 h,No,176 x 220 pixels (~160 ppi density),Removable Li-Ion 750 mAh battery,No,1000 entries,No,"2.0, A2DP","SMS, MMS",,"Yes, MIDP 2.0",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-520.jpg,,,GSM 900 / 1800 / 1900,Yes,"microSD (dedicated slot), 1 GB included",56MB,Discontinued,,GSM,Up to 200 h,Yes,Yes,1.3 MP,No,i_mobile,,104 x 46 x 12.4 mm (4.09 x 1.81 x 0.49 in),Yamaha audio amplifierMP3 playerMP4 playerOrganizerWorld clockStop watch,Class 10,80 g (2.82 oz),"Black, Silver","2007, December. Released 2007, December","TFT, 256K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,"1.76 inches, 9.7 cm2(~20.4% screen-to-body ratio)",i-mobile 520,No,Proprietary,WAP 2.0/xHTML,Mini-SIM,FM radio
wallpapers,,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Removable Li-Ion 1000 mAh battery,No,Yes,No,"2.0, A2DP","SMS, EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-518.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),88MB,Discontinued,,GSM,Up to 250 h,Yes,Yes,2 MP,No,i_mobile,,105.5 x 49 x 16.5 mm (4.15 x 1.93 x 0.65 in),TV-outMP3 playerMP4 playerVoice memoOrganizerWorld clockStop watchSolar-Lunar calendar,Class 10,101 g (3.56 oz),Black,"2007, December. Released 2007, December","TFT, 256K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,"2.0 inches, 12.4 cm2(~24.0% screen-to-body ratio)",i-mobile 518,"Yes, with stereo speakers",miniUSB,WAP 2.0/xHTML,Mini-SIM,"FM radio, recording; built-in antenna"
wallpapers,,Up to 3 h,No,128 x 160 pixels,Removable Li-Ion 720 mAh battery,No,Yes,No,No,"SMS, EMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-510.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),64MB,Discontinued,,GSM,Up to 200 h,Yes,Yes,VGA,No,i_mobile,,99 x 44 x 15 mm (3.90 x 1.73 x 0.59 in),MP3 playerVideo playerOrganizerWorld clockStop watch,Class 10,75 g (2.65 oz),,"2006, April. Released 2006, April","TFT, 256K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,i-mobile 510,No,Proprietary,WAP 2.0/xHTML,Mini-SIM,FM radio
"wallpapers, themes",,Up to 2 h,No,176 x 220 pixels (~157 ppi density),Removable Li-Ion 700 mAh battery,No,Yes,No,"1.2, A2DP","SMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-318.jpg,,,GSM 900 / 1800,Yes,microSD (dedicated slot),120MB,Discontinued,,GSM,Up to 180 h,Yes,Yes,VGA,No,i_mobile,,107 x 45 x 14.8 mm (4.21 x 1.77 x 0.58 in),Yamaha audio amplifierMP3 playerVideo playerOrganizerWorld clockStop watch,Class 10,85.9 g (3.03 oz),,"2008, March. Released 2008, March","TFT, 256K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,"1.8 inches, 10.2 cm2(~21.2% screen-to-body ratio)",i-mobile 318,No,Proprietary,WAP,Mini-SIM,FM radio
"wallpapers, themes",,Up to 3 h,No,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",Removable Li-Ion 720 mAh battery,No,Yes,No,No,"SMS, EMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-315.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 200 h,No,Yes,VGA,No,i_mobile,,98 x 46.3 x 15.1 mm (3.86 x 1.82 x 0.59 in),MP3 playerClockCalculator,Class 8,80 g (2.82 oz),,"2007, November. Released 2007, November","TFT, 256K colors","Vibration; Downloadable polyphonic, MP3, AAC+ ringtones",No,,"1.5 inches, 7.3 cm2(~16.0% screen-to-body ratio)",i-mobile 315,No,Proprietary,WAP,Mini-SIM,FM radio
"wallpapers, themes",,Up to 2 h 30 min,No,128 x 160 pixels (~114 ppi density),Removable Li-Ion 750 mAh battery,No,Yes,No,No,"SMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-202.jpg,,,GSM 900 / 1800,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 220 h,No,Yes,VGA,No,i_mobile,,105 x 44 x 14.5 mm (4.13 x 1.73 x 0.57 in),MP3 playerVoice memoPredictive text inputOrganizerStop watch,Yes,95 g (3.35 oz),"Black, White","2008, November. Released 2008, December","CSTN, 65K colors",,No,,"1.8 inches, 10.2 cm2(~22.1% screen-to-body ratio)",i-mobile 202,No,miniUSB,WAP 2.0/HTML,Mini-SIM,FM radio
"wallpapers, themes",,Up to 2 h,No,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",Removable Li-Ion 750 mAh battery,No,500 entries,No,No,SMS,,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-201.jpg,,,GSM 900 / 1800,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 150 h,Yes,Yes,VGA,No,i_mobile,,106 x 45 x 15.5 mm (4.17 x 1.77 x 0.61 in),Yamaha Audio AmplifierMP3 playerMP4/AVI playerVoice memoPredictive text inputOrganizerWorld clockStop watch,No,73 g (2.57 oz),"Gray-Blue, Black-Orange","2008, May. Released 2008, May","CSTN, 65K colors","Vibration; Downloadable polyphonic, MP3, VDO ringtones",No,,"1.5 inches, 7.3 cm2(~15.2% screen-to-body ratio)",i-mobile 201,No,Proprietary,WAP,Mini-SIM,FM radio
wallpapers,,Up to 2 h 30 min,No,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",Removable Li-Ion 680 mAh battery,No,255 entries,No,No,SMS(100),,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile.jpg,,,GSM 900 / 1800,Yes,No,,Discontinued,,GSM,Up to 150 h,,Yes,,No,i_mobile,,103 x 45 x 14.4 mm (4.06 x 1.77 x 0.57 in),OrganizerWorld clockStop watch,No,69.6 g (2.36 oz),"Black, White, Gray","2008, May. Released 2008, May","CSTN, 65K colors",Vibration; Downloadable polyphonic ringtones,No,,"1.5 inches, 7.3 cm2(~15.7% screen-to-body ratio)",i-mobile 101,No,No,No,Mini-SIM,No
